census_id,emis,year
0001,25805.827025650495,2009
0002,16085.189577308744,2009
0003,72066.40626312673,2009
0004,22292.043900670866,2009
0005,83649.85450391163,2009
0006,14574.308884465217,2009
0007,37813.95079334141,2009
0008,16173.287480652963,2009
0009,12215.686714102492,2009
0010,34830.75475253918,2009
0011,20876.643939579437,2009
0012,1843.5590281142647,2009
0013,35120.5609962065,2009
0014,23799.48286596493,2009
0015,25447.568663217862,2009
0016,6382.332204474336,2009
0017,82344.78896191977,2009
0018,104980.7253569906,2009
0019,23571.512688768704,2009
0020,16455.010785943436,2009
0021,207067.7468879176,2009
0022,208118.0363262096,2009
0023,30670.712132967983,2009
0024,11179.253144165676,2009
0025,66240.56779068387,2009
0026,19669.54709116052,2009
0027,40139.37498525636,2009
0028,33144.041014360366,2009
0029,24399.663875035047,2009
0030,26838.09107164445,2009
0031,66141.22542246598,2009
0032,95801.63230500679,2009
0033,301010.80130434944,2009
0034,88275.42179293527,2009
0035,272303.0250706084,2009
0036,168302.18934089353,2009
0037,44145.97205677377,2009
0038,180431.95157964723,2009
0039,29323.58335703264,2009
0040,15623.448606359041,2009
0041,12223.984981841546,2009
0042,54962.37646998939,2009
0043,22177.253067216254,2009
0044,21300.673438536753,2009
0045,12376.184708824216,2009
0046,15915.906253674275,2009
0047,2086.3041418684475,2009
0048,18711.624589355008,2009
0049,10375.732666037973,2009
0050,28361.2743385132,2009
0051,29218.026939608768,2009
0052,15480.832722113917,2009
0053,14628.97635443541,2009
0054,44738.47426874356,2009
0055,99177.71102305519,2009
0056,12681.532657521002,2009
0057,76525.88706301853,2009
0058,19041.58110046278,2009
0059,30629.497216885644,2009
0060,14831.68856936526,2009
0061,36102.848696764035,2009
0062,53998.588346370314,2009
0063,27951.096285334886,2009
0064,69857.11587321581,2009
0065,23785.74866085737,2009
0066,23270.300103247962,2009
0067,36953.90786084605,2009
0068,21595.96572940396,2009
0069,13726.064663772793,2009
0070,7424.480242091887,2009
0071,14393.167626822624,2009
0072,14291.327292712116,2009
0073,12074.710387929033,2009
0074,16451.25800253638,2009
0075,21806.895002291658,2009
0076,5978.083881409901,2009
0077,9549.64798827354,2009
0078,24931.06709504772,2009
0079,17202.688763513248,2009
0080,16039.968083606418,2009
0081,19331.227155045195,2009
0082,22417.33287063952,2009
0083,23869.888611566523,2009
0084,60127.067278007,2009
0085,42459.83366153231,2009
0086,4675.146753016151,2009
0087,72235.42990528491,2009
0088,11445.746937656837,2009
0089,45267.238964552,2009
0090,21750.240539547904,2009
0091,36055.01721180072,2009
0092,8115.216457083002,2009
0093,1923.3436861392468,2009
0094,146.75787280435543,2009
0095,31249.964632961357,2009
0096,467.5923626053601,2009
0097,101655.08555203438,2009
0098,4775.499760538613,2009
0099,112537.00352345413,2009
0100,119075.01277478364,2009
0101,131084.1374170044,2009
0102,59891.95377112815,2009
0103,79377.65885153222,2009
0104,118865.7458966598,2009
0105,104512.2486207165,2009
0106,155019.5936423069,2009
0107,215704.75617088983,2009
0108,109040.46524256266,2009
0109,235425.9197884177,2009
0110,161232.92861512586,2009
0111,345183.3949819456,2009
0112,245852.41272931878,2009
0113,42847.92248911453,2009
0114,55392.316673561756,2009
0115,65159.34600707459,2009
0116,169414.86061949542,2009
0117,57058.57849073467,2009
0118,37754.25898859899,2009
0119,28756.97131985892,2009
0120,118501.70901181592,2009
0121,17780.63609361995,2009
0122,65839.15595674264,2009
0123,96287.66660392293,2009
0124,22784.863208523606,2009
0125,49498.212077500735,2009
0126,164128.78463025816,2009
0127,637642.5876165703,2009
0128,442932.58258290496,2009
0129,28866.669353210673,2009
0130,47055.17863263736,2009
0131,33314.162517839104,2009
0132,106507.27729648013,2009
0133,46304.4786098663,2009
0134,561896.1431416264,2009
0135,539591.0150195729,2009
0136,33805.69803576756,2009
0137,27655.95903018523,2009
0138,15479.1380022353,2009
0139,34469.21595620974,2009
0140,72288.65448881789,2009
0141,59394.963506909204,2009
0142,50753.00610404562,2009
0143,39151.487663928565,2009
0144,21090.791279821424,2009
0145,35540.59262661308,2009
0146,70570.28266666304,2009
0147,90112.38855692525,2009
0148,102717.75790966813,2009
0149,12161.291987089133,2009
0150,20755.592754126403,2009
0151,10335.908893190082,2009
0152,124711.23701185611,2009
0153,47018.51435639971,2009
0154,62917.30060022346,2009
0155,22542.664522025738,2009
0156,16256.974329904822,2009
0157,37873.53276121871,2009
0158,63452.31615383816,2009
0159,62314.52542291856,2009
0160,54460.93473190099,2009
0161,19386.004548609682,2009
0162,67409.06670330006,2009
0163,22370.151363973684,2009
0164,53.237323376922184,2009
0165,1481.204473503568,2009
0166,7979.20253661078,2009
0167,98.86792251677126,2009
0168,2535.8519162585753,2009
0169,3113.5000369289055,2009
0170,17306.47430484609,2009
0171,9878.023803938886,2009
0172,161.7517139845977,2009
0173,2391.6049716826315,2009
0174,435.3174643888099,2009
0175,6829.611177976304,2009
0176,3433.594634360512,2009
0177,7534.072087812555,2009
0178,4881.950869146967,2009
0179,99.29276523806449,2009
0180,14599.191111845568,2009
0181,3442.50020715034,2009
0182,3337.1521287075648,2009
0183,5805.699531306966,2009
0184,42122.698625304765,2009
0185,1128.1851479057582,2009
0186,340.02943685277916,2009
0187,24019.117000327762,2009
0188,2310.2074489009938,2009
0189,31167.331773302627,2009
0190,1310.5042527025814,2009
0191,13824.594901752651,2009
0192,333.2854998821295,2009
0193,3774.7341754416902,2009
0194,27790.053104941268,2009
0195,908.8638422823154,2009
0196,11759.722991121724,2009
0197,482.7215097207383,2009
0198,108.50560555712818,2009
0199,815.1949888872703,2009
0200,4801.2186969445165,2009
0201,777.5957674076149,2009
0202,42.16098833818892,2009
0203,3025.9171678558505,2009
0204,6077.916183840195,2009
0205,1039.8670895449325,2009
0206,1536.6318301366096,2009
0207,1153.5422650275352,2009
0208,7923.096533410226,2009
0209,828.4949269198021,2009
0210,137.38961586350513,2009
0211,478.24387454620415,2009
0212,2206.673974709228,2009
0213,414.39619246606367,2009
0214,44.33977291049349,2009
0215,163.21172443888327,2009
0216,1600.326918908508,2009
0217,359.55196966422477,2009
0218,194.60995221484052,2009
0219,2010.0279340848058,2009
0220,2256.738907987836,2009
0221,802.7919692371684,2009
0222,1549.7476064311948,2009
0223,1011.7811849264859,2009
0224,1085.3504803466324,2009
0225,2475.947822834454,2009
0226,1930.6241157825616,2009
0227,1928.2449040546492,2009
0228,195.97808346236792,2009
0229,1782.0824715320496,2009
0230,10095.95966598569,2009
0231,1514.8632551466417,2009
0232,941.0065038505028,2009
0233,9813.796529118008,2009
0234,2894.6224023193345,2009
0235,1786.5700122540372,2009
0236,339.70919885921563,2009
0237,123.8765806910084,2009
0238,1184.4363557961199,2009
0239,645.1104945645103,2009
0240,141.53407207519916,2009
0241,1999.732996647667,2009
0242,1174.355402199977,2009
0243,3234.763420002102,2009
0244,560.4973712246592,2009
0245,1798.5336737998214,2009
0246,4745.974361068852,2009
0247,534.9436754251842,2009
0248,420.44086295560396,2009
0249,8849.471817268197,2009
0250,389.10502949515717,2009
0251,51.10622891950251,2009
0252,3842.773080119788,2009
0253,3921.3049740220954,2009
0254,45.063414413669925,2009
0255,4692.752863272406,2009
0256,1295.174017738064,2009
0257,230.06788462753354,2009
0258,1391.104245593087,2009
0259,24492.85668362531,2009
0260,286.4262928184864,2009
0261,528.3198079281464,2009
0262,406.49164667991334,2009
0263,1585.9029931854757,2009
0264,1840.03921004125,2009
0265,66.29177825574546,2009
0266,104.30343298202617,2009
0267,181.83239805020705,2009
0268,6437.325477667581,2009
0269,523.1764580133913,2009
0270,2155.5531318566655,2009
0271,57.16529180567709,2009
0272,1557.647695257289,2009
0273,78811.26934569165,2009
0274,1168.301533048248,2009
0275,739.3425942299451,2009
0276,894.7771736199671,2009
0277,6999.610690027613,2009
0278,974.2545479515505,2009
0279,5378.385667493999,2009
0280,79.26343969868995,2009
0281,500.6137679685819,2009
0282,91.94315887783557,2009
0283,873.5862703743644,2009
0284,206.90423533109282,2009
0285,7521.382287470576,2009
0286,157.58637496713177,2009
0287,183691.86153646643,2009
0288,249.71896281890184,2009
0289,2735.024952785803,2009
0290,523.8307562344838,2009
0291,9723.264615000977,2009
0292,406.8365452846269,2009
0293,7190.038373713932,2009
0294,509.28325944355464,2009
0295,2654.711013542392,2009
0296,4848.867850546346,2009
0297,1938.7233145659286,2009
0298,662.5892648477932,2009
0299,61.99505718210356,2009
0300,442.46405622314234,2009
0301,740.6940091539685,2009
0302,6823.82253225095,2009
0303,1382.4838632112267,2009
0304,9680.618314613059,2009
0305,12386.858891957672,2009
0306,5204.380503591198,2009
0307,15880.40162992242,2009
0308,2816.8274046722986,2009
0309,548.8345642451652,2009
0310,135.7128741202019,2009
0311,5270.950980209279,2009
0312,59.47598258425665,2009
0313,3086.8809528404786,2009
0314,1597.2387397180028,2009
0315,19845.26979643655,2009
0316,1662.7155123797377,2009
0317,1107.6861392451717,2009
0318,9525.517678532555,2009
0319,3428.357919886111,2009
0320,14489.082807691026,2009
0321,7507.130143613568,2009
0322,755.1515150153966,2009
0323,6930.660999488671,2009
0324,31151.638525822138,2009
0325,3388.5543760906885,2009
0326,137.17562554356553,2009
0327,584.5914688888837,2009
0328,3728.72160052108,2009
0329,80935.29832948762,2009
0330,1360.1777027993878,2009
0331,1809.0082684977706,2009
0332,932.7963181257381,2009
0333,1628.288045273871,2009
0334,103926.8619246083,2009
0335,8445.589812111291,2009
0336,7562.330429911801,2009
0337,503.3535113334283,2009
0338,3218.0409584709114,2009
0339,17543.45382245515,2009
0340,10362.370766614726,2009
0341,3879.76180175328,2009
0342,5886.2798962015795,2009
0343,596.0893536710228,2009
0344,20633.23652519606,2009
0345,2839.5622106790474,2009
0346,1912.5919242699426,2009
0347,10572.52518044162,2009
0348,7633.977775273194,2009
0349,6020.507071704896,2009
0350,28011.820733130993,2009
0351,1755.6489784022233,2009
