census_id,emis
0001,26438.841460470197
0002,16264.076832942628
0003,73885.78473163802
0004,22680.298875839933
0005,85283.19145507319
0006,14845.258091513597
0007,37578.478845698985
0008,16002.712150167567
0009,12122.902327050362
0010,34575.82643668171
0011,20668.332715556262
0012,1833.8684278194212
0013,34661.71158454205
0014,23536.94508578318
0015,25090.518739070332
0016,6348.468748593626
0017,81406.21782622616
0018,101829.62571177197
0019,23005.929568955205
0020,16046.475479711296
0021,199681.25659229836
0022,201551.79023601118
0023,29840.66512903599
0024,10939.007877223936
0025,65063.99941478819
0026,19777.955416150577
0027,40633.46468388287
0028,33968.29693287929
0029,24776.485597874213
0030,25735.916054873447
0031,63856.664006541214
0032,92161.63038493365
0033,288021.47223071917
0034,84079.84195677824
0035,259270.6911173719
0036,161412.93448666748
0037,42288.83567376197
0038,169207.9292033888
0039,29638.66251741089
0040,15772.737285607856
0041,12347.040892378915
0042,55745.09973223414
0043,22459.404862644104
0044,21608.528173114926
0045,12495.993952835614
0046,16090.656521073566
0047,2107.5831922469915
0048,18912.759878451576
0049,10379.94752857447
0050,28150.6536145796
0051,29129.184464064547
0052,15476.068081253354
0053,14646.23567869032
0054,45034.05953150466
0055,99129.60685511357
0056,12717.416202470786
0057,76569.52497615764
0058,19097.03971027391
0059,30541.05893249946
0060,14774.592015149974
0061,35195.918629330925
0062,52235.45805120014
0063,27380.336624637133
0064,67495.23875494108
0065,23160.48130991035
0066,22716.277186528096
0067,36432.142894035554
0068,21130.139450148516
0069,13395.686300841562
0070,7291.804185086949
0071,14116.247212927105
0072,14103.539559371406
0073,11867.355880917225
0074,16208.39416891321
0075,21269.60859123158
0076,5896.321544783358
0077,9421.914558840253
0078,24355.55845410205
0079,16930.997039116886
0080,15775.86807110801
0081,19017.82417591376
0082,21912.679644844906
0083,23206.525401456955
0084,58221.631236944166
0085,41440.66669481352
0086,4629.380444944146
0087,70036.13125324996
0088,11314.615082870732
0089,44226.15166159956
0090,21418.43488830159
0091,35353.3879185037
0092,8287.341945935812
0093,1981.6567497167305
0094,150.4704633448243
0095,32081.476866561527
0096,479.4212270405813
0097,103313.65589492423
0098,4892.566757290989
0099,110869.93689286428
0100,116010.5087949123
0101,128266.1766369716
0102,59201.97119315228
0103,78090.37003209563
0104,116500.53511640897
0105,103297.73550605495
0106,151002.11515703172
0107,211439.0093628728
0108,107581.37606639827
0109,228258.64508506507
0110,155268.56504237998
0111,333452.65035909787
0112,239003.91811545021
0113,43194.29114978658
0114,55561.42581425058
0115,65662.05559011687
0116,166038.09115622076
0117,56863.75037464997
0118,37448.27628413241
0119,28891.94705848642
0120,116410.53953055217
0121,17860.24454870631
0122,65595.36548303532
0123,96473.48030394198
0124,22719.12257550206
0125,49141.1601202715
0126,159678.13576211847
0127,606088.6904719672
0128,417523.8714993931
0129,27685.923582366562
0130,45096.563594071835
0131,31871.013889491307
0132,101941.68972460109
0133,44515.00764186818
0134,535710.9550572655
0135,516924.00190851983
0136,33548.25639180193
0137,27469.517752672953
0138,15361.516385340421
0139,33805.09180765282
0140,70964.29013711931
0141,60488.43320844089
0142,51761.06904472298
0143,39483.53661182497
0144,21347.503639547358
0145,35788.06989654462
0146,71593.10140309503
0147,91306.72364907298
0148,102596.91346434219
0149,12344.312201445924
0150,20972.7571277499
0151,10439.265766646577
0152,125253.17550885335
0153,47532.21228137971
0154,63352.97014063952
0155,22900.6888511485
0156,16452.168861171333
0157,38535.8758163916
0158,64569.07625393701
0159,63741.17834111903
0160,55446.68060620754
0161,19810.216454226877
0162,68836.22534099032
0163,21173.43057891823
0164,50.24914389767685
0165,1400.0229858781213
0166,7463.721047232061
0167,94.11282936611998
0168,2396.679341292085
0169,2927.8529202372883
0170,16335.250057577601
0171,9273.296941889961
0172,150.50811656982506
0173,2253.6746661016177
0174,413.6620598664531
0175,6381.539711205968
0176,3245.4070307538273
0177,7166.995384050359
0178,4542.933145748867
0179,94.51723910305691
0180,13707.530331877291
0181,3276.758149224695
0182,3188.4707661414745
0183,5482.856807499382
0184,40181.569042480776
0185,1053.022028508063
0186,320.16762216793484
0187,22902.87723320452
0188,2199.162649657513
0189,29653.223591595448
0190,1225.9554674763306
0191,13121.363072890157
0192,311.7048236314524
0193,3578.852634283159
0194,26109.848631207762
0195,846.6605536053465
0196,11098.375160774443
0197,456.9729459721099
0198,101.39314894788684
0199,762.62946402912
0200,4565.034484326044
0201,733.8252033915109
0202,40.04902458802007
0203,2868.935544794113
0204,5782.072176871275
0205,975.8260961893835
0206,1444.4101690075142
0207,1073.4614751512756
0208,7488.917823545312
0209,770.979454650021
0210,127.85180412248258
0211,449.55647193374716
0212,2091.863085437834
0213,392.7857686019454
0214,42.23021672101067
0215,153.41648627415202
0216,1509.6856432859233
0217,341.60384766488284
0218,185.68844727381415
0219,1889.3950420556791
0220,2153.2512740700095
0221,755.1083577817768
0222,1470.8914620382018
0223,954.4746832554296
0224,1028.4207659430542
0225,2358.149496148374
0226,1814.7566860027525
0227,1806.719111436874
0228,184.21635489059295
0229,1661.4162581777591
0230,9578.388356241523
0231,1427.7788125485422
0232,892.031974773841
0233,9214.655094288224
0234,2720.9001043339244
0235,1675.920948166331
0236,322.001421797703
0237,118.19770602846171
0238,1118.0447150508528
0239,606.3938462443514
0240,133.03982970892875
0241,1875.8819396016559
0242,1107.6461830458818
0243,3049.017440761612
0244,526.1918295964609
0245,1703.0905628312933
0246,4498.317726797702
0247,502.8387471578003
0248,395.1693548987512
0249,8473.294906772991
0250,365.7526848759012
0251,48.03906149823519
0252,3606.6787461510157
0253,3737.482418383261
0254,42.35890970841408
0255,4377.8487605433775
0256,1214.958973317486
0257,218.0940393255171
0258,1324.7356675529475
0259,23397.91773814913
0260,271.5192834104111
0261,496.6124145800716
0262,382.0958350132427
0263,1488.9169783917162
0264,1740.2828228880426
0265,62.313242040831966
0266,99.64968981507168
0267,172.13138890065343
0268,6072.182695029899
0269,495.94782510771216
0270,2026.1864679367898
0271,54.54466306857867
0272,1465.430385333584
0273,75009.18987137862
0274,1104.0318799806553
0275,693.5523002416861
0276,855.8882738322213
0277,6591.584550306205
0278,922.5771996365493
0279,5076.1097179105245
0280,76.13484179968539
0281,480.6178549130109
0282,88.31408127551958
0283,835.0132888537106
0284,196.61223426573613
0285,7119.174816996735
0286,150.64266504035734
0287,172844.17238602487
0288,237.5230499661847
0289,2600.2507171602538
0290,498.247619974056
0291,9261.573364029851
0292,390.7783478905414
0293,6809.198487142398
0294,484.4106018791961
0295,2518.566238455913
0296,4620.648620260409
0297,1833.023559930599
0298,630.2293637813694
0299,59.54805757691481
0300,424.9996095381767
0301,702.4830837723501
0302,6490.556912426579
0303,1307.1105940533114
0304,9165.528605301053
0305,11783.749264865668
0306,4939.269580584031
0307,15043.60460572507
0308,2685.3467224707965
0309,520.902354458077
0310,129.77847129796245
0311,5014.4336427823655
0312,57.1284130760233
0313,2937.163834531471
0314,1514.9841046815525
0315,18717.89656243699
0316,1584.9773998888256
0317,1054.635860949462
0318,9049.98911085391
0319,3257.1212574839215
0320,13745.214400494364
0321,7122.739202559284
0322,694.3666373524587
0323,6434.445076316941
0324,28317.06995948015
0325,3132.8686671855708
0326,126.28909914243972
0327,543.1767850546214
0328,3465.1872940395024
0329,74591.22826507712
0330,1253.618076569728
0331,1663.3946477800284
0332,857.712167522457
0333,1556.6944339756185
0334,97999.71635215967
0335,7872.704926547197
0336,7145.265524499217
0337,479.55486778751316
0338,3024.7128201355445
0339,16533.50772699915
0340,9769.225770282248
0341,3624.600949555878
0342,5567.024555726737
0343,568.3501282918808
0344,19439.681146596686
0345,2703.371411639804
0346,1813.6446304380995
0347,10003.888287677957
0348,7168.009772179464
0349,5588.363417606156
0350,26448.67637509484
0351,1664.3449585555747
0352,11820.85152089336
0353,4654.107710444209
0354,8384.333109916515
0355,6377.667170715137
0356,7062.376129108205
0357,381.26888348124845
0358,12277.947318424835
0359,434.1763305612514
0360,475.7143718255779
0361,3265.6966425639635
0362,75.11309523812143
0363,1254.0869027791675
0364,6966.680054572639
0365,16473.00048494499
0366,10543.244181391536
0367,1537.703446862616
0368,561.1828189911967
0369,2257.6102834985454
0370,2910.020297877543
0371,2909.883738771641
0372,1657.1959959224369
0373,9100.19130358294
0374,1362.9220159432182
0375,22172.46776735522
0376,63708.48135846403
0377,110.20856862293664
0378,81723.88111110225
0379,2462.7774552374317
0380,4470.929310790303
0381,2395.77102411023
0382,1092.4467314363983
0383,19099.577493125646
0384,1790.638508075673
0385,3944.9774040464727
0386,279.5143081598895
0387,1992.2277752719756
0388,357.4235249914786
0389,20515.459545970858
0390,122.75752495858502
0391,27458.428233838615
0392,217.41909052670417
0393,5052.875856151207
0394,1448.280300518112
0395,18.50340205497272
0396,2519.388905933259
0397,1659.0172702900197
0398,4775.34949265037
0399,135.9754333061518
0400,1244.2900328939054
0401,352.22995172683653
0402,625.8240022252222
0403,8025.748630922934
0404,757.4714712967387
0405,539.0434828229546
0406,1509.7809408770834
0407,2456.5942284185444
0408,317.2207315742482
0409,365.0718610921922
0410,437.79230369902507
0411,20058.037148107822
0412,650.3045250918402
0413,753.6719790002144
0414,720.7327054596213
0415,520.7122669449321
0416,111.92143592237672
0417,462.7886882188844
0418,1321.1276628281175
0419,1225.8895615032636
0420,48.91366860790658
0421,24.547256654655257
0422,1794.2398362989272
0423,40.92932403203297
0424,525.6276196023344
0425,1353.5832561447014
0426,218.51538328191555
0427,353.10194744328027
0428,74.86568818792001
0429,1555.038755692456
0430,489.07253304647867
0431,747.6282260575948
0432,581.825537611238
0433,522.2869385699119
0434,3153.9993110743167
0435,2021.3069956492193
0436,367.6277859496219
0437,269.71356956301935
0438,132.49986094382652
0439,1289.5391263565361
0440,918.9817451571334
