GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll,marginal_damage
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.904318,36.24002,0.033393829401088926,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,SO2,162140.90605917398
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.647676,36.269528,0.02776769509981851,12.1914050594331,0.6095702529716549,394.2611111111111,15.239256324291372,egu,elevated,NA,SO2,176754.9776269215
06035,53211,MT. LASSEN POWER,-121.018,40.297,3.8112522686025407,38.09814081072844,1.5239256324291375,380.3722222222222,1.0344102407802498,egu,elevated,NA,SO2,76529.54697378581
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,-122.1104,39.1055,16.461887477313976,64.61444681499543,2.133495885400792,434.8166666666666,18.211368485217918,egu,elevated,NA,SO2,83900.34968709234
06007,124511,"OROVILLE COGENERATION, L.P.",-121.60517,39.51628,0,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,80958.90036339215
06013,148911,LOS MEDANOS ENERGY CENTER,-121.8727,38.0298,5.3743832667876585,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,SO2,341540.75992230413
06013,150711,DELTA ENERGY CENTER,-121.84376,38.0151,3.1298956442831214,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,SO2,346836.2201631717
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,-124.2084,40.7411,1.07616683938294,30.478512648582743,1.6153611703748854,663.7055555555555,25.241420298689423,egu,elevated,NA,SO2,50500.78036918309
06023,155811,DG FAIRHAVEN POWER COMPANY,-124.2027,40.7998,0.1561017604355717,30.478512648582747,2.133495885400792,434.8166666666666,15.569094788174334,egu,elevated,NA,SO2,52203.50792657184
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,-122.06755,38.02209000000001,1.8808176043557168,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,56368.6553590769
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,-92.21654785714286,34.59321371428572,8.068867513611615,48.1462394315329,3.196105709629921,413.7055555555555,21.607752451130025,egu,elevated,NA,SO2,130829.19362526157
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,-92.163531,34.834994,4.669900181488202,10.66537220389105,0.34346102132331935,699.8166666666666,12.056270937764623,egu,elevated,NA,SO2,162577.00061394944
06029,295911,"LINN OPERATING, INC",-119.37164,35.16575,4.130042649727768,18.287107589149652,3.474550441938433,460.92777777777775,53.62740018287108,egu,elevated,NA,SO2,188452.91395166086
06019,348711,FRESNO COGENERATION PARTNERS,-120.099422,36.61682800000001,0.019727767695099815,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,112516.67204108066
06013,353611,"CROCKETT COGENERATION, A CAL LTD PARTNERSHIP",-122.21585,38.05712,3.8212994555353896,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,52655.86269183257
06029,361111,SUNRISE POWER COMPANY,-119.585,35.2097,5.139259528130671,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,140928.40339913883
06029,410111,DOUBLE C LIMITED,-119.0461,35.5006,0.5464274047186932,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,164171.38939717118
06029,412511,BADGER CREEK LIMITED,-119.029933,35.483724,0.35568194192377495,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,166051.80838066197
06029,456011,LIVE OAK LIMITED,-119.009053,35.496231,0.5213793103448277,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,178326.5705967873
06029,458111,BEAR MOUNTAIN LIMITED,-118.92654,35.419205,0.7251910163339382,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,187498.54168951267
06029,492111,CHALK CLIFF LIMITED,-119.39467,35.09769,0.4483466424682395,138.547414174771,5.971173041364652,445.50412452290357,20.100404307217655,egu,elevated,NA,SO2,152273.77528519096
12099,533611,SOLID WASTE AUTHORITY OF PBC,-80.14162233333334,26.771985333333333,384.1809346642468,88.175591006838,2.3215775664472704,445.3242701350291,20.414974897899423,egu,elevated,NA,SO2,134505.8295600009
12001,535011,"CITY OF GAINESVILLE, GRU",-82.38859500000001,29.75842,351.1796733212341,106.35977088349097,5.591271332005509,407.98921906402524,15.220354921098455,egu,elevated,NA,SO2,139657.27295105974
12001,536811,GAINESVILLE REGIONAL UTILITIES,-82.321803,29.646,1.3611615245009074,31.088082901554404,4.724169460530326,389.8166666666666,18.957634867418474,egu,elevated,NA,SO2,165255.550209436
12081,537811,"TROPICANA MANUFACTURING COMPANY, INC.",-82.54796800000003,27.483272,0.08371052631578947,20.42060347455044,3.6574215178299303,404.26111111111106,15.452605912831453,egu,elevated,NA,SO2,109118.10406484426
12081,537911,FLORIDA POWER & LIGHT (PMT),-82.34568499999999,27.606119999999997,340.654112522686,148.54914457981266,8.101211509817857,443.4259969731056,24.31789948098238,egu,elevated,NA,SO2,55859.951246467295
12057,538611,TAMPA ELECTRIC COMPANY (TEC),-82.40327449999998,27.794846,4197.48814337568,149.34380719496892,7.314812525532521,360.60601508720856,21.313268796153682,egu,elevated,NA,SO2,78811.78031377739
