GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll,marginal_damage
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.904318,36.24002,0.12171542649727768,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291372,egu,elevated,NA,VOC,17746.704385708963
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.647676,36.269528,0.0558076225045372,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,VOC,27260.92381764288
06035,53211,MT. LASSEN POWER,-121.018,40.297,0.35812159709618874,38.09814081072843,1.5239256324291375,380.3722222222222,1.0344102407802498,egu,elevated,NA,VOC,5598.233485586623
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,-122.1104,39.1055,0.6913448275862069,64.61444681499543,2.133495885400792,434.8166666666666,18.21136848521792,egu,elevated,NA,VOC,9370.333891051054
06007,124511,"OROVILLE COGENERATION, L.P.",-121.60517,39.51628,0.0054446460980036296,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,17691.304763488104
06013,148911,LOS MEDANOS ENERGY CENTER,-121.8727,38.0298,6.327284537205082,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291372,egu,elevated,NA,VOC,53225.52089601508
06013,150711,DELTA ENERGY CENTER,-121.84376,38.0151,2.638000181488203,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,VOC,52666.463605876255
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,-124.2084,40.7411,19.939841250544465,30.47851264858275,1.6153611703748856,663.7055555555555,25.241420298689423,egu,elevated,NA,VOC,3670.559157132921
06023,155811,DG FAIRHAVEN POWER COMPANY,-124.2027,40.7998,0.11666556261343011,30.478512648582747,2.133495885400792,434.8166666666666,15.569094788174336,egu,elevated,NA,VOC,4981.588519504912
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,-122.06755,38.02209000000001,5.307535390199637,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,39894.84815702982
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,-92.21654785714286,34.59321371428572,1.6419283121597095,46.885626415181264,3.4095753309129804,413.7055555555555,21.307305499984093,egu,elevated,NA,VOC,10455.907470253127
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,-92.163531,34.834994,0.3759620689655172,9.13905974075307,0.26020761424306593,699.8166666666666,18.536161122177678,egu,elevated,NA,VOC,24825.689844800454
06029,295911,"LINN OPERATING, INC",-119.37164,35.16575,14.868157894736843,18.28710758914965,3.474550441938433,460.92777777777775,53.62740018287108,egu,elevated,NA,VOC,15541.281527411242
06019,348711,FRESNO COGENERATION PARTNERS,-120.099422,36.61682800000001,0.25816778584392014,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,18891.01821881914
06013,353611,"CROCKETT COGENERATION, A CAL LTD PARTNERSHIP",-122.21585,38.05712,2.5879392014519054,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,43901.06714262535
06029,361111,SUNRISE POWER COMPANY,-119.585,35.2097,6.962868421052631,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,17273.666341789758
06029,410111,DOUBLE C LIMITED,-119.0461,35.5006,0.010707803992740472,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,34748.70904118528
06029,412511,BADGER CREEK LIMITED,-119.029933,35.483724,0.013430127041742287,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,36900.68164229685
06029,456011,LIVE OAK LIMITED,-119.009053,35.496231,0.019328493647912885,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,40868.84755730099
06029,458111,BEAR MOUNTAIN LIMITED,-118.92654,35.419205,0.027404718693284934,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,40808.70834591617
06029,492111,CHALK CLIFF LIMITED,-119.39467,35.09769,0.017241379310344827,25.25528990151248,1.4060969784567878,415.8314710645531,16.726685686462258,egu,elevated,NA,VOC,20949.373936261236
12099,533611,SOLID WASTE AUTHORITY OF PBC,-80.14162233333334,26.771985333333333,16.293295825771324,94.48338921060652,2.4687595245352023,413.7055555555555,18.165193538555314,egu,elevated,NA,VOC,24748.800222007867
12001,535011,"CITY OF GAINESVILLE, GRU",-82.38859500000001,29.75842,12.499764065335754,98.21394328090304,4.3693971916173195,403.8317696740555,14.731605264943177,egu,elevated,NA,VOC,13265.380735989702
12001,536811,GAINESVILLE REGIONAL UTILITIES,-82.321803,29.646,4.571698729582577,31.088082901554397,4.724169460530326,389.8166666666666,18.957634867418474,egu,elevated,NA,VOC,15323.512341078427
12081,537811,"TROPICANA MANUFACTURING COMPANY, INC.",-82.54796800000003,27.483272,1.7821161524500908,20.420603474550436,3.65742151782993,404.26111111111106,15.452605912831451,egu,elevated,NA,VOC,15840.583200802905
12081,537911,FLORIDA POWER & LIGHT (PMT),-82.34568499999999,27.606119999999997,69.95144464609801,129.54196304216453,7.763716607008499,464.33597538031256,24.203552200814435,egu,elevated,NA,VOC,4938.799612111917
