GEOID17,observations,network,species
34039,0.2380473,AQS,SO2
34041,0.3919152,AQS,SO2
35001,0.5324382,AQS,SO2
35045,0.4973492857142857,AQS,SO2
36001,0.2794342,AQS,SO2
36005,0.7042305,AQS,SO2
36013,0.243956,AQS,SO2
36027,0.1866906,AQS,SO2
36029,0.5018911,AQS,SO2
36031,0.2100404,AQS,SO2
36033,0.8243721111111111,AQS,SO2
36041,0.0517628,AQS,SO2
36043,0.182831,AQS,SO2
36055,0.86132,AQS,SO2
36059,0.3278548,AQS,SO2
36067,0.398088,AQS,SO2
36079,0.2557588,AQS,SO2
36081,0.6714302,AQS,SO2
36089,5.623414625,AQS,SO2
36099,0.1999995,AQS,SO2
36101,0.1772448,AQS,SO2
36103,0.21921279999999999,AQS,SO2
36109,0.62813825,AQS,SO2
37013,0.7629376666666667,AQS,SO2
37019,3.440248,AQS,SO2
37021,1.0868387499999999,AQS,SO2
37027,-0.21313680000000002,AQS,SO2
37063,0.09415716666666667,AQS,SO2
37067,0.18318020000000002,AQS,SO2
37087,11.724749249999999,AQS,SO2
37105,0.1323735,AQS,SO2
37117,0.3153106666666667,AQS,SO2
37119,0.35612659999999996,AQS,SO2
37129,-0.16888616666666667,AQS,SO2
37145,1.5273299999999999,AQS,SO2
37157,0.642436,AQS,SO2
37183,0.20555416666666668,AQS,SO2
38007,1.11117375,AQS,SO2
38013,1.49312525,AQS,SO2
38015,0.94433425,AQS,SO2
38017,0.426973,AQS,SO2
38025,0.613733,AQS,SO2
38053,0.6153871666666667,AQS,SO2
38057,1.997951,AQS,SO2
38065,1.7316845,AQS,SO2
38093,1.1325515,AQS,SO2
38101,0.5801125,AQS,SO2
38105,1.6744774166666667,AQS,SO2
39001,1.0699055,AQS,SO2
39003,0.07648825000000001,AQS,SO2
39007,0.6536115,AQS,SO2
39013,0.14674625,AQS,SO2
39017,1.37617205,AQS,SO2
39023,0.2297205,AQS,SO2
39029,0.91863875,AQS,SO2
39035,1.3478813,AQS,SO2
39049,0.1041325,AQS,SO2
39053,2.1238530833333336,AQS,SO2
39061,1.221026875,AQS,SO2
39081,1.5221235,AQS,SO2
39085,0.558063,AQS,SO2
39087,0.31380875,AQS,SO2
39095,0.68686875,AQS,SO2
39099,0.222512,AQS,SO2
39115,0.972831,AQS,SO2
39135,0.4474235,AQS,SO2
39145,1.276369,AQS,SO2
39153,0.18323,AQS,SO2
40001,0.6254734,AQS,SO2
40047,1.5484048000000001,AQS,SO2
40071,2.0056964,AQS,SO2
40097,2.012804,AQS,SO2
40101,2.7329634,AQS,SO2
40109,0.08687800000000001,AQS,SO2
40143,0.7687930000000001,AQS,SO2
41051,0.4452958,AQS,SO2
42001,0.4403594,AQS,SO2
42003,2.37444152,AQS,SO2
42007,1.1626503,AQS,SO2
42011,0.6468366,AQS,SO2
42013,0.3793792,AQS,SO2
42021,0.8662108,AQS,SO2
42027,0.4969524,AQS,SO2
42045,0.7226442,AQS,SO2
42063,1.5241258,AQS,SO2
42073,0.6794482,AQS,SO2
42079,0.2451056,AQS,SO2
