geo_name,lon,lat,country,census_id,pop_tot,pop_30plus
ANGOLA_CUNENE_CAHAMA,14.247669093888437,-16.41710354139286,Angola,0061,82468,21952
ANGOLA_CUNENE_CUANHAMA,16.320547599774045,-16.48223334568777,Angola,0062,440856,107666
ANGOLA_CUNENE_CUROCA,13.788175609536145,-16.932294476395295,Angola,0063,48363,10436
ANGOLA_CUNENE_CUVELAI,16.136146428177735,-15.746368160393057,Angola,0064,67564,16356
ANGOLA_CUNENE_NAMACUNDE,16.606272115792553,-17.074018548021083,Angola,0065,167203,45202
ANGOLA_CUNENE_OMBADJA,14.941895100531925,-16.768959146811532,Angola,0066,358966,99457
ANGOLA_HUAMBO_BAILUNDO,15.850466201739053,-11.950050465566608,Angola,0067,346644,82679
ANGOLA_HUAMBO_CAÁLA,15.572188198073116,-13.27102876067493,Angola,0068,329342,76528
ANGOLA_HUAMBO_CACHIUNGO,16.319644201016246,-12.759421533499594,Angola,0069,142045,34868
ANGOLA_HUAMBO_ECUNHA,15.49134958273524,-12.53401934231182,Angola,0070,97158,24926
ANGOLA_HUAMBO_HUAMBO,15.79536569507517,-12.819324307871682,Angola,0071,839422,188736
ANGOLA_HUAMBO_LONDUIMBALI,15.292015045757923,-12.235996591708586,Angola,0072,158028,40966
ANGOLA_HUAMBO_LONGONJO,15.22279516795389,-13.084757821818668,Angola,0073,108420,26804
ANGOLA_HUAMBO_MUNGO,16.20588037491343,-11.755072951814116,Angola,0074,133501,32433
ANGOLA_HUAMBO_CHICALA CHOLOHANGA,16.092706109508978,-12.95985009260693,Angola,0075,122000,32209
ANGOLA_HUAMBO_CHINJENJE,14.940107561316543,-12.818781665594054,Angola,0076,35829,9151
ANGOLA_HUAMBO_UCUMA,15.15058241504692,-12.745033355569538,Angola,0077,64799,16300
ANGOLA_HUÍLA_CACONDA,15.158416365277283,-13.778376463063532,Angola,0078,197537,52739
ANGOLA_HUÍLA_CACULA,14.291948368736596,-14.437668897988177,Angola,0079,161232,40935
ANGOLA_HUÍLA_CALUQUEMBE,14.553605248971426,-13.943434135545042,Angola,0080,211791,53828
ANGOLA_HUÍLA_CHIBIA,13.860963321337298,-15.220319449437994,Angola,0081,224436,62311
ANGOLA_HUÍLA_CHICOMBA,15.019421703365952,-14.30430435864405,Angola,0082,155153,42260
ANGOLA_HUÍLA_CHIPINDO,15.73591828652565,-13.88531948048917,Angola,0083,76173,17879
ANGOLA_HUÍLA_CUVANGO,16.318716983084595,-14.2140670585581,Angola,0084,92454,23533
ANGOLA_HUÍLA_GAMBOS,14.0555441801658,-15.836380299367216,Angola,0085,93535,21857
ANGOLA_HUÍLA_HUMPATA,13.37340825793292,-15.07711619840059,Angola,0086,104930,26024
ANGOLA_HUÍLA_JAMBA,15.84246469273556,-14.813136321719922,Angola,0087,123696,33948
ANGOLA_HUÍLA_LUBANGO,13.74650625251509,-14.782265363665282,Angola,0088,913713,222452
ANGOLA_HUÍLA_MATALA,15.162569522619448,-15.264035381319765,Angola,0089,309296,76975
ANGOLA_HUÍLA_QUILENGUES,13.926712495367244,-14.10284606537322,Angola,0090,88676,23573
ANGOLA_HUÍLA_QUIPUNGO,14.584346812183863,-15.11197852346331,Angola,0091,187055,48625
