geo_name,lon,lat,country,census_id
ANGOLA_BENGO_AMBRIZ,13.500573856748415,-7.941839245075118,Angola,0001
ANGOLA_BENGO_BULA ATUMBA,14.820908751789867,-8.634475645495783,Angola,0002
ANGOLA_BENGO_DANDE,13.841710609854086,-8.53534736049627,Angola,0003
ANGOLA_BENGO_DEMBOS,14.552452662474186,-8.506656679922113,Angola,0004
ANGOLA_BENGO_NAMBUANGONGO,14.25926486683566,-8.047643790272277,Angola,0005
ANGOLA_BENGO_PANGO ALUQUÉM,14.467187741962098,-8.753291428515478,Angola,0006
ANGOLA_BENGUELA_BAÍA FARTA,13.110895429150032,-13.169353899832894,Angola,0007
ANGOLA_BENGUELA_BALOMBO,14.785534807000774,-12.362142938317604,Angola,0008
ANGOLA_BENGUELA_BENGUELA,13.613234701433782,-12.750903810317325,Angola,0009
ANGOLA_BENGUELA_BOCOIO,14.273806030010297,-12.337517465231237,Angola,0010
ANGOLA_BENGUELA_CAIMBAMBO,13.925466200463916,-13.103370379840863,Angola,0011
ANGOLA_BENGUELA_CATUMBELA,13.680172800346687,-12.477296385532492,Angola,0012
ANGOLA_BENGUELA_CHONGOROI,13.804725364547245,-13.596741410412521,Angola,0013
ANGOLA_BENGUELA_CUBAL,14.349577634106108,-13.16149142143734,Angola,0014
ANGOLA_BENGUELA_GANDA,14.733920867955561,-13.122131963632688,Angola,0015
ANGOLA_BENGUELA_LOBITO,13.886545783996153,-12.092395259332209,Angola,0016
ANGOLA_BIÉ_ANDULO,16.463299708517784,-11.274658946317146,Angola,0017
ANGOLA_BIÉ_CAMACUPA,17.780227977541617,-12.451681506672221,Angola,0018
ANGOLA_BIÉ_CATABOLA,17.254341809340623,-12.147939255129183,Angola,0019
ANGOLA_BIÉ_CHINGUAR,16.57220235885333,-12.562961032395926,Angola,0020
ANGOLA_BIÉ_CHITEMBO,17.2256685420672,-13.4761375683222,Angola,0021
ANGOLA_BIÉ_CUEMBA,18.450876402365434,-11.812583973776919,Angola,0022
ANGOLA_BIÉ_CUITO,17.0195337801636,-12.539053407735349,Angola,0023
ANGOLA_BIÉ_CUNHINGA,16.806485043535446,-11.988245606222938,Angola,0024
ANGOLA_BIÉ_NHAREA,17.157724905821997,-11.308602978499657,Angola,0025
ANGOLA_CABINDA_BELIZE,12.84464336058737,-4.6057909615670845,Angola,0026
ANGOLA_CABINDA_BUCO ZAU,12.545868870473262,-4.8021241752346375,Angola,0027
