date_time,SPD,DIR,t_chem,t_SO2,TEMP,stab_class
2010-01-01T00:00:00Z,2.962698404300604,130,240000.00000000003,91116.62531017371,280.97539512544984,D
2010-01-01T01:00:00Z,2.992650290893474,120,240000.00000000003,91116.62531017371,280.581365105936,E
2010-01-01T02:00:00Z,2.8247390758156667,120,240000.00000000003,91116.62531017371,280.31204492424814,E
2010-01-01T03:00:00Z,2.6877533055184193,120,240000.00000000003,91116.62531017371,279.5598057960854,E
2010-01-01T04:00:00Z,2.694572691191921,120,240000.00000000003,91116.62531017371,279.58633980413344,E
2010-01-01T05:00:00Z,2.583213529222035,110,240000.00000000003,91116.62531017371,279.2161903918629,E
2010-01-01T06:00:00Z,2.5815189473483477,120,240000.00000000003,91116.62531017371,279.2679317075566,D
2010-01-01T07:00:00Z,2.8825539679454244,130,240000.00000000003,91116.62531017371,279.4085619502114,D
2010-01-01T08:00:00Z,2.9428375516718828,110,240000.00000000003,91116.62531017371,279.1445485701331,D
2010-01-01T09:00:00Z,3.366516342190742,110,240000.00000000003,91116.62531017371,278.5568202918684,D
2010-01-01T10:00:00Z,3.4390541688942,110,240000.00000000003,91116.62531017371,277.3773836341318,D
2010-01-01T11:00:00Z,3.7283466919105623,110,240000.00000000003,91116.62531017371,277.29512820918274,D
2010-01-01T12:00:00Z,4.481970972848561,110,240000.00000000003,91116.62531017371,277.1040833512367,D
2010-01-01T13:00:00Z,4.821917947922989,110,240000.00000000003,91116.62531017371,276.9581463069723,D
2010-01-01T14:00:00Z,4.843294036366034,110,240000.00000000003,91116.62531017371,276.72730043695407,D
2010-01-01T15:00:00Z,4.839124479211716,110,301715.66610499984,98788.286169331,277.4609657594832,C
2010-01-01T16:00:00Z,4.712749420992936,120,344673.62278195296,102991.12725015997,278.12696936148967,C
2010-01-01T17:00:00Z,4.456453441527434,120,427999.9613443209,109352.62759072143,278.66030292325587,C
2010-01-01T18:00:00Z,4.496117159498537,120,464977.4821635392,111620.58906051965,278.8566545828116,C
2010-01-01T19:00:00Z,4.855844190627681,120,479357.53064821457,112430.23717970215,278.8884953924693,C
2010-01-01T20:00:00Z,4.982663560218567,120,499026.0473987159,113479.26859814241,278.79429966389864,C
2010-01-01T21:00:00Z,4.8424980836270235,120,505398.3007810915,113805.56785322179,278.77439915786255,C
2010-01-01T22:00:00Z,4.071933326764081,120,403028.45921601186,107648.49875930799,276.62647120637143,E
2010-01-01T23:00:00Z,3.8260131873671956,120,361715.8594896287,104461.77343077656,275.78136305004045,E
2010-01-02T00:00:00Z,3.6383172807338986,120,326454.0146011415,101301.7534880115,275.1007657436075,E
2010-01-02T01:00:00Z,3.5803405396456975,120,302543.2828061541,98876.84745904629,274.51701756655,E
2010-01-02T02:00:00Z,3.623413921555808,120,302504.1275413159,98872.6648988809,274.04471222329437,E
2010-01-02T03:00:00Z,3.6890245039570977,120,264812.10274415516,94477.40530314003,272.05200821888445,E
2010-01-02T04:00:00Z,3.651718292769106,120,260821.46761139625,93964.48187249801,271.4443794345837,E
2010-01-02T05:00:00Z,3.6787484386149,120,262327.73457092413,94159.26044061412,271.1312781396165,E
2010-01-02T06:00:00Z,3.6516899380481265,120,269426.09665923164,95058.1925051671,270.91369927362234,E
2010-01-02T07:00:00Z,3.6391033699805084,120,270373.5585337208,95175.86480745017,270.59927127825273,E
2010-01-02T08:00:00Z,3.603689857660689,120,265257.65124506236,94534.05603000348,270.49578864686526,E
2010-01-02T09:00:00Z,3.6831099057388585,120,265485.59457286034,94562.9912972088,270.17605384988605,E
2010-01-02T10:00:00Z,3.6147540740465054,120,244214.51664482715,91717.54314665525,269.10806002595126,E
2010-01-02T11:00:00Z,3.7884614720897054,120,243041.17237220684,91551.54920378016,269.12928723238974,E
2010-01-02T12:00:00Z,3.930134487451581,110,244824.95068472947,91803.50846654478,269.09877312313444,E
2010-01-02T13:00:00Z,3.9151213945861323,110,240000.00000000003,91116.62531017371,268.8904811599571,E
2010-01-02T14:00:00Z,4.1768298679000635,100,255540.01333693464,93270.00624967195,269.0311114026119,D
2010-01-02T15:00:00Z,4.260194559845847,100,346684.0973115683,103169.90334282495,270.4679279384148,C
2010-01-02T16:00:00Z,4.205318559564656,100,390234.9896377586,106714.04891650897,271.16577235007895,C
2010-01-02T17:00:00Z,4.051258365951041,100,469758.9393827356,111893.99275628681,271.7495205271365,C
2010-01-02T18:00:00Z,3.881862477293559,110,515496.8850485121,114309.81996055017,272.1674311538936,C
2010-01-02T19:00:00Z,3.7992196938446097,110,569815.052253414,116778.30705239499,272.6901511124405,C
2010-01-02T20:00:00Z,3.820695816015992,110,612930.0207702044,118486.40974683233,272.94487758970195,C
2010-01-02T21:00:00Z,3.8043613553460562,110,675986.5793939369,120662.22066584643,273.116021941612,C
2010-01-02T22:00:00Z,2.9298944722250417,100,615191.2076363737,118570.6580594841,271.5637824708,F
2010-01-02T23:00:00Z,2.8662758789001916,110,512615.69673631125,114167.52817226357,270.73194131849306,F
2010-01-03T00:00:00Z,2.9613103154079643,110,437068.00826639065,109935.38490653041,270.18666745310526,F
2010-01-03T01:00:00Z,3.1249967597372,100,431047.46237973915,109550.51523877138,270.06593771648653,E
2010-01-03T02:00:00Z,3.0257048373296014,90,390057.3805079567,106700.76274966983,269.7408961178977,E
2010-01-03T03:00:00Z,2.865047536306979,90,329928.3452843729,101633.86575473375,268.3783748046294,F
2010-01-03T04:00:00Z,2.814080068108614,90,323390.08437202976,101004.79952066639,268.29081257807076,F
