"","country","cause_name","adj_factor","new_mort","base_mort","sector_mort","sector"
"1","Angola","Chronic obstructive pulmonary disease",0.574637384,152.955135931559,152.961487465387,0.00635153382768294,"CHE"
"2","Angola","Diabetes mellitus type 2",0.574637384,210.23720320784,210.244627465622,0.00742425778241795,"CHE"
"3","Angola","Lower respiratory infections",0.574637384,183.717944965648,183.725654565237,0.00770959958938988,"CHE"
"4","Angola","Tracheal, bronchus, and lung cancer",0.574637384,37.9221833489719,37.9236549105192,0.00147156154726957,"CHE"
"5","Botswana","Chronic obstructive pulmonary disease",0.805646529,23.7982531093644,23.8105033104799,0.0122502011155241,"CHE"
"6","Botswana","Diabetes mellitus type 2",0.805646529,61.3075051968399,61.3335491316802,0.0260439348403025,"CHE"
"7","Botswana","Lower respiratory infections",0.805646529,38.6755445729282,38.6956874701242,0.0201428971959956,"CHE"
"8","Botswana","Tracheal, bronchus, and lung cancer",0.805646529,3.98477312772364,3.9866669256037,0.00189379788006505,"CHE"
"9","Eswatini","Chronic obstructive pulmonary disease",0.663761291,10.2217240194319,10.2256979678416,0.00397394840968346,"CHE"
"10","Eswatini","Diabetes mellitus type 2",0.663761291,26.8413701485975,26.8490973591724,0.00772721057496994,"CHE"
"11","Eswatini","Lower respiratory infections",0.663761291,17.0109943656414,17.0178398880175,0.00684552237606084,"CHE"
"12","Eswatini","Tracheal, bronchus, and lung cancer",0.663761291,1.15901735475359,1.15943081190194,0.000413457148350949,"CHE"
"13","Lesotho","Chronic obstructive pulmonary disease",0.557042913,36.5258856000042,36.5402360136781,0.014350413673867,"CHE"
"14","Lesotho","Diabetes mellitus type 2",0.557042913,60.7140981123942,60.7315081723609,0.0174100599666787,"CHE"
"15","Lesotho","Lower respiratory infections",0.557042913,44.738098848962,44.7562759809409,0.0181771319788382,"CHE"
"16","Lesotho","Tracheal, bronchus, and lung cancer",0.557042913,7.23369714180628,7.23628824550506,0.00259110369878712,"CHE"
"17","Malawi","Chronic obstructive pulmonary disease",0.2784701,14.320009371846,14.3283033443982,0.00829397255219888,"CHE"
"18","Malawi","Diabetes mellitus type 2",0.2784701,86.8223697250438,86.8664887734339,0.0441190483901011,"CHE"
"19","Malawi","Lower respiratory infections",0.2784701,73.4562615844739,73.4998458299445,0.0435842454706119,"CHE"
"20","Malawi","Tracheal, bronchus, and lung cancer",0.2784701,4.04376209855517,4.04604939374451,0.00228729518933424,"CHE"
"21","Mozambique","Chronic obstructive pulmonary disease",0.2134770455,17.4270161250892,17.4307946023801,0.00377847729092551,"CHE"
"22","Mozambique","Diabetes mellitus type 2",0.2134770455,67.1414245780595,67.1531816242446,0.011757046185167,"CHE"
"23","Mozambique","Lower respiratory infections",0.2134770455,77.8918797678066,77.9091770014642,0.0172972336575583,"CHE"
"24","Mozambique","Tracheal, bronchus, and lung cancer",0.2134770455,6.52762989654096,6.52894260538045,0.00131270883948709,"CHE"
"25","Namibia","Chronic obstructive pulmonary disease",0.757584391,5.936278036914,5.93818852693906,0.00191049002506105,"CHE"
"26","Namibia","Diabetes mellitus type 2",0.757584391,16.3410387579674,16.3458741720761,0.00483541410875077,"CHE"
"27","Namibia","Lower respiratory infections",0.757584391,9.82458388239974,9.82757994391827,0.00299606151853382,"CHE"
"28","Namibia","Tracheal, bronchus, and lung cancer",0.757584391,0.924620396358686,0.924881175138752,0.000260778780066251,"CHE"
"29","South Africa","Chronic obstructive pulmonary disease",0.8956019715,1290.291918237,1290.81741187277,0.525493635769635,"CHE"
"30","South Africa","Diabetes mellitus type 2",0.8956019715,3721.85724812904,3722.92233294465,1.06508481560377,"CHE"
"31","South Africa","Lower respiratory infections",0.8956019715,1919.19337549943,1919.99476148144,0.80138598200665,"CHE"
"32","South Africa","Tracheal, bronchus, and lung cancer",0.8956019715,982.751653922009,983.103150494338,0.35149657232887,"CHE"
"33","Zambia","Chronic obstructive pulmonary disease",0.5005237915,33.3026484418381,33.3207029287227,0.0180544868845445,"CHE"
"34","Zambia","Diabetes mellitus type 2",0.5005237915,173.903441118447,173.979362698637,0.0759215801900268,"CHE"
"35","Zambia","Lower respiratory infections",0.5005237915,152.386273397777,152.472301381148,0.0860279833709114,"CHE"
"36","Zambia","Tracheal, bronchus, and lung cancer",0.5005237915,10.295357401583,10.3006440673391,0.0052866657561097,"CHE"
"37","Zimbabwe","Chronic obstructive pulmonary disease",0.482071896,49.5706083322458,49.6020351893963,0.0314268571505565,"CHE"
"38","Zimbabwe","Diabetes mellitus type 2",0.482071896,101.442235294848,101.494937617726,0.0527023228781616,"CHE"
"39","Zimbabwe","Lower respiratory infections",0.482071896,136.624000801629,136.710892751104,0.0868919494744205,"CHE"
"40","Zimbabwe","Tracheal, bronchus, and lung cancer",0.482071896,36.6047730042108,36.6262379763129,0.0214649721020947,"CHE"
"41","Angola","Stroke",0.574637384,582.401896722357,582.424658178563,0.0227614562061262,"CHE"
"42","Botswana","Stroke",0.805646529,50.681885589343,50.7065378724469,0.0246522831039115,"CHE"
"43","Eswatini","Stroke",0.663761291,35.1359264028965,35.148380974631,0.0124545717345228,"CHE"
"44","Lesotho","Stroke",0.557042913,109.794276228087,109.834119706177,0.0398434780899919,"CHE"
"45","Malawi","Stroke",0.2784701,167.665936769602,167.759897759554,0.0939609899525635,"CHE"
"46","Mozambique","Stroke",0.2134770455,214.301464837548,214.344909437331,0.0434445997838111,"CHE"
"47","Namibia","Stroke",0.757584391,18.1543502365223,18.1596892793946,0.00533904287229703,"CHE"
"48","South Africa","Stroke",0.8956019715,4444.64898546875,4446.30543037906,1.6564449103098,"CHE"
"49","Zambia","Stroke",0.5005237915,532.615953244804,532.88720862805,0.271255383246057,"CHE"
"50","Zimbabwe","Stroke",0.482071896,315.063804627447,315.245554538857,0.181749911409497,"CHE"
"51","Angola","Ischemic heart disease",0.574637384,391.404379894887,391.419341057635,0.0149611627473973,"CHE"
"52","Botswana","Ischemic heart disease",0.805646529,39.5696544994372,39.5883260859473,0.0186715865100879,"CHE"
"53","Eswatini","Ischemic heart disease",0.663761291,18.2579022198691,18.2641081471498,0.00620592728072822,"CHE"
"54","Lesotho","Ischemic heart disease",0.557042913,40.0296355745067,40.0434878306307,0.0138522561240251,"CHE"
"55","Malawi","Ischemic heart disease",0.2784701,102.574783871246,102.631134843759,0.0563509725130302,"CHE"
"56","Mozambique","Ischemic heart disease",0.2134770455,112.046757434268,112.068695224462,0.0219377901943005,"CHE"
"57","Namibia","Ischemic heart disease",0.757584391,13.0442292216451,13.0480108130298,0.00378159138466749,"CHE"
"58","South Africa","Ischemic heart disease",0.8956019715,3134.39422956451,3135.48492383632,1.09069427181021,"CHE"
"59","Zambia","Ischemic heart disease",0.5005237915,282.306193145183,282.445142680415,0.138949535232427,"CHE"
"60","Zimbabwe","Ischemic heart disease",0.482071896,164.436694567975,164.529711874804,0.0930173068284148,"CHE"
