lon,lat,grid_area,emissions
11.875,-16.375,740285632,0
11.875,-16.125,741227776,0
11.875,-15.875,742155712,0
11.875,-15.625,743069568,0
11.875,-4.875,768792128,1.595883170675563
11.875,-4.625,769070912,7.400089235738102
11.875,-4.375,769335040,90.48196401011684
11.875,-4.125,769584512,24.255432115059325
11.875,-3.875,769819392,85.77002890354069
11.875,-3.625,770039552,281.8519425520026
11.875,-3.375,770245120,608.5264574952616
11.875,-3.125,770435968,320.78721925755576
11.875,-2.875,770612160,192.3000371646768
11.875,-2.625,770773696,0
11.875,-2.375,770920576,0
11.875,-2.125,771052736,0
11.875,-1.875,771170240,53.28505169606166
11.875,-1.625,771273024,0
11.875,-1.375,771361152,0
11.875,-1.125,771434624,13.87519779823049
11.875,-0.875,771493376,0
11.875,-0.625,771537408,0
11.875,-0.375,771566784,0
11.875,-0.125,771581504,134.69303649172798
12.125,-18.625,731174848,0
12.125,-18.375,732243136,0
12.125,-18.125,733297408,0
12.125,-17.875,734337792,0
12.125,-17.625,735364160,0
12.125,-17.375,736376512,0
12.125,-17.125,737374912,0
12.125,-16.875,738359232,0
12.125,-16.625,739329472,0
12.125,-16.375,740285632,0
12.125,-16.125,741227776,0
12.125,-15.875,742155712,0
12.125,-15.625,743069568,0
12.125,-15.375,743969280,0
12.125,-15.125,744854848,0
12.125,-14.875,745726144,0
12.125,-5.875,767530624,0
12.125,-5.625,767867968,9.95517523055834
12.125,-5.375,768190656,6.553101485631136
12.125,-5.125,768498688,71.36421618639078
12.125,-4.875,768792128,378.9110149227347
12.125,-4.625,769070912,1029.8880415491876
12.125,-4.375,769335040,31.53265922305588
12.125,-4.125,769584512,0
12.125,-3.875,769819392,380.3517648948816
12.125,-3.625,770039552,280.5637925908585
12.125,-3.375,770245120,551.9483956110698
12.125,-3.125,770435968,433.3279246971571
12.125,-2.875,770612160,68.17744157373278
12.125,-2.625,770773696,0
12.125,-2.375,770920576,0
12.125,-2.125,771052736,0
12.125,-1.875,771170240,0
12.125,-1.625,771273024,0
12.125,-1.375,771361152,2.599190404510785
12.125,-1.125,771434624,0
12.125,-0.875,771493376,0
12.125,-0.625,771537408,0
12.125,-0.375,771566784,0
12.125,-0.125,771581504,0
12.375,-18.875,730092672,0
12.375,-18.625,731174848,0
12.375,-18.375,732243136,0
12.375,-18.125,733297408,0
12.375,-17.875,734337792,0
12.375,-17.625,735364160,0
12.375,-17.375,736376512,0
12.375,-17.125,737374912,0
12.375,-16.875,738359232,0
12.375,-16.625,739329472,0
12.375,-16.375,740285632,0
12.375,-16.125,741227776,0
12.375,-15.875,742155712,0
12.375,-15.625,743069568,0
12.375,-15.375,743969280,0
12.375,-15.125,744854848,0
12.375,-14.875,745726144,0
12.375,-14.625,746583360,0
12.375,-14.375,747426304,0
12.375,-14.125,748254976,0
12.375,-13.875,749069440,0
12.375,-6.375,766812224,11.660610726928446
12.375,-6.125,767178752,44.9607061332642
12.375,-5.875,767530624,311.6351042633265
12.375,-5.625,767867968,929.77475069535285
12.375,-5.375,768190656,445.81290056886195
12.375,-5.125,768498688,64.01287733788621
12.375,-4.875,768792128,63.02116031033595
12.375,-4.625,769070912,1.75157860303172
12.375,-4.375,769335040,9.666130931296049
12.375,-4.125,769584512,59.108681117759694
12.375,-3.875,769819392,947.4252215961872
12.375,-3.625,770039552,1540.743053030748
12.375,-3.375,770245120,709.6443119496404
12.375,-3.125,770435968,236.1938756709444
12.375,-2.875,770612160,40.04351488599599
12.375,-2.625,770773696,0
12.375,-2.375,770920576,8.676746274475493
12.375,-2.125,771052736,0
12.375,-1.875,771170240,0
12.375,-1.625,771273024,0
12.375,-1.375,771361152,10.34476939692262
12.375,-1.125,771434624,57.13585090264455
12.375,-0.875,771493376,0
12.375,-0.625,771537408,0
12.375,-0.375,771566784,0
12.375,-0.125,771581504,0
12.625,-19.375,727886656,0
12.625,-19.125,728996608,0
12.625,-18.875,730092672,0
12.625,-18.625,731174848,0
12.625,-18.375,732243136,0
12.625,-18.125,733297408,0
12.625,-17.875,734337792,0
12.625,-17.625,735364160,0
12.625,-17.375,736376512,0
12.625,-17.125,737374912,0
12.625,-16.875,738359232,0
12.625,-16.625,739329472,0
12.625,-16.375,740285632,0
12.625,-16.125,741227776,0
12.625,-15.875,742155712,0
12.625,-15.625,743069568,0
12.625,-15.375,743969280,0
12.625,-15.125,744854848,0
12.625,-14.875,745726144,0
12.625,-14.625,746583360,0
12.625,-14.375,747426304,0
12.625,-14.125,748254976,0
12.625,-13.875,749069440,0
12.625,-13.625,749869696,0
12.625,-13.375,750655616,0
12.625,-13.125,751427264,0
12.625,-6.875,766035392,0
12.625,-6.625,766431104,301.44438794479817
12.625,-6.375,766812224,414.383710449873
12.625,-6.125,767178752,186.52893704778594
12.625,-5.875,767530624,576.1856454999622
12.625,-5.625,767867968,402.68697309811023
12.625,-5.375,768190656,457.95013069773677
12.625,-5.125,768498688,126.18123278386285
12.625,-4.875,768792128,0
12.625,-4.625,769070912,0
12.625,-4.375,769335040,477.81173342757785
12.625,-4.125,769584512,791.6692743024746
12.625,-3.875,769819392,1404.3748387520272
12.625,-3.625,770039552,930.0853225560758
12.625,-3.375,770245120,291.4372021349538
12.625,-3.125,770435968,40.685345653747675
12.625,-2.875,770612160,19.65054089767544
12.625,-2.625,770773696,69.91820653644793
12.625,-2.375,770920576,15.927788495688635
12.625,-2.125,771052736,51.40678442584314
12.625,-1.875,771170240,34.243171945804946
12.625,-1.625,771273024,0
12.625,-1.375,771361152,28.30134135941816
12.625,-1.125,771434624,42.972917287849036
12.625,-0.875,771493376,27.74213862766286
12.625,-0.625,771537408,0
12.625,-0.375,771566784,0
12.625,-0.125,771581504,0
12.875,-19.875,725625152,0
12.875,-19.625,726762816,0
12.875,-19.375,727886656,0
12.875,-19.125,728996608,0
12.875,-18.875,730092672,0
12.875,-18.625,731174848,0
12.875,-18.375,732243136,0
12.875,-18.125,733297408,0
12.875,-17.875,734337792,0
12.875,-17.625,735364160,0
12.875,-17.375,736376512,0
12.875,-17.125,737374912,1.9307142927660588
12.875,-16.875,738359232,0
12.875,-16.625,739329472,0
12.875,-16.375,740285632,0
12.875,-16.125,741227776,0
12.875,-15.875,742155712,0
12.875,-15.625,743069568,0
12.875,-15.375,743969280,0
12.875,-15.125,744854848,0
12.875,-14.875,745726144,0
12.875,-14.625,746583360,0
12.875,-14.375,747426304,0
12.875,-14.125,748254976,0
12.875,-13.875,749069440,0
12.875,-13.625,749869696,0
12.875,-13.375,750655616,0
12.875,-13.125,751427264,0
12.875,-12.875,752184576,0
12.875,-7.375,765200256,137.2070403772391
12.875,-7.125,765625088,603.4642469784897
12.875,-6.875,766035392,1528.3781525280438
12.875,-6.625,766431104,2656.3335105767924
12.875,-6.375,766812224,767.0005254853079
12.875,-6.125,767178752,1736.1361667386977
12.875,-5.875,767530624,786.8864291225149
12.875,-5.625,767867968,393.76180718488393
12.875,-5.375,768190656,201.8761743315754
12.875,-5.125,768498688,20.54205849627667
12.875,-4.875,768792128,30.78283875091453
12.875,-4.625,769070912,257.0117726256467
12.875,-4.375,769335040,1233.0840780124743
12.875,-4.125,769584512,2556.564461750038
12.875,-3.875,769819392,1346.8048085274345
12.875,-3.625,770039552,853.8208842511814
12.875,-3.375,770245120,1.709957731073324
12.875,-3.125,770435968,5.39151812236555
12.875,-2.875,770612160,0
12.875,-2.625,770773696,0
12.875,-2.375,770920576,2.745318407070037
12.875,-2.125,771052736,19.572991087157362
12.875,-1.875,771170240,60.80229714761052
12.875,-1.625,771273024,0
12.875,-1.375,771361152,0
12.875,-1.125,771434624,0
12.875,-0.875,771493376,0
12.875,-0.625,771537408,281.10980807408214
12.875,-0.375,771566784,0
12.875,-0.125,771581504,0
13.125,-20.375,723308416,0
13.125,-20.125,724473728,0
13.125,-19.875,725625152,0
13.125,-19.625,726762816,0
13.125,-19.375,727886656,0
13.125,-19.125,728996608,0
13.125,-18.875,730092672,0
13.125,-18.625,731174848,0
13.125,-18.375,732243136,0
13.125,-18.125,733297408,0
13.125,-17.875,734337792,0
13.125,-17.625,735364160,0
13.125,-17.375,736376512,0
13.125,-17.125,737374912,16.382781942977108
13.125,-16.875,738359232,0
13.125,-16.625,739329472,0
13.125,-16.375,740285632,0
13.125,-16.125,741227776,0
13.125,-15.875,742155712,0
13.125,-15.625,743069568,0
13.125,-15.375,743969280,0
13.125,-15.125,744854848,7.125457297858294
13.125,-14.875,745726144,10.429917726309741
13.125,-14.625,746583360,0
13.125,-14.375,747426304,0
13.125,-14.125,748254976,0
13.125,-13.875,749069440,0
13.125,-13.625,749869696,7.774637191773512
13.125,-13.375,750655616,0
13.125,-13.125,751427264,0
13.125,-12.875,752184576,4.264287544823959
13.125,-12.625,752927616,0
13.125,-9.625,760721920,0.20976470706471925
13.125,-9.375,761277568,0.19086879972625548
13.125,-9.125,761818688,5.855694284907078
13.125,-8.875,762345408,0
13.125,-8.125,763838272,0
13.125,-7.875,764306816,7.499282632832725
13.125,-7.625,764760768,259.99942770911713
13.125,-7.375,765200256,1046.635109644948
13.125,-7.125,765625088,1598.0415131940865
13.125,-6.875,766035392,1599.9212167872001
13.125,-6.625,766431104,1061.4978403548032
13.125,-6.375,766812224,1610.295079861869
13.125,-6.125,767178752,1688.029067030952
13.125,-5.875,767530624,618.811284461637
13.125,-5.625,767867968,181.75234763960086
13.125,-5.375,768190656,112.77958734424978
13.125,-5.125,768498688,67.57418578992332
13.125,-4.875,768792128,969.690192449334
13.125,-4.625,769070912,2414.706361768594
13.125,-4.375,769335040,1661.9024732959294
13.125,-4.125,769584512,1805.2925691680778
13.125,-3.875,769819392,939.7482986351895
13.125,-3.625,770039552,104.298794401552
13.125,-3.375,770245120,37.03720585740563
13.125,-3.125,770435968,48.471454260039884
13.125,-2.875,770612160,0
13.125,-2.625,770773696,0
13.125,-2.375,770920576,0
13.125,-2.125,771052736,0
13.125,-1.875,771170240,6.081418318073312
13.125,-1.625,771273024,195.404700746318
13.125,-1.375,771361152,201.52223993880895
13.125,-1.125,771434624,0
13.125,-0.875,771493376,0
13.125,-0.625,771537408,0
13.125,-0.375,771566784,0
13.125,-0.125,771581504,0
13.375,-20.875,720936640,0
13.375,-20.625,722129408,0
13.375,-20.375,723308416,0
13.375,-20.125,724473728,0
13.375,-19.875,725625152,0
13.375,-19.625,726762816,0
13.375,-19.375,727886656,0
13.375,-19.125,728996608,0
13.375,-18.875,730092672,0
13.375,-18.625,731174848,0
13.375,-18.375,732243136,0
13.375,-18.125,733297408,0
13.375,-17.875,734337792,0
13.375,-17.625,735364160,0
13.375,-17.375,736376512,0
13.375,-17.125,737374912,0
13.375,-16.875,738359232,0
13.375,-16.625,739329472,0
13.375,-16.375,740285632,0
13.375,-16.125,741227776,0
13.375,-15.875,742155712,0
13.375,-15.625,743069568,0
13.375,-15.375,743969280,0
13.375,-15.125,744854848,2.632388185951101
13.375,-14.875,745726144,30.824503509851144
13.375,-14.625,746583360,4.018348949777897
13.375,-14.375,747426304,0
13.375,-14.125,748254976,0
13.375,-13.875,749069440,22.040711666229416
13.375,-13.625,749869696,0
13.375,-13.375,750655616,4.056373443106285
13.375,-13.125,751427264,0
13.375,-12.875,752184576,0
13.375,-12.625,752927616,0
13.375,-10.125,759567104,12.739078131116502
13.375,-9.875,760151744,42.448220737883986
13.375,-9.625,760721920,287.53046527395946
13.375,-9.375,761277568,112.47509736882733
13.375,-9.125,761818688,187.6559600860194
13.375,-8.875,762345408,33.037137843182236
13.375,-8.625,762857536,1.1142019726595518
13.375,-8.375,763355136,7.986337144563339
13.375,-8.125,763838272,210.17607403545995
13.375,-7.875,764306816,621.6525354494742
13.375,-7.625,764760768,1684.9500418889093
13.375,-7.375,765200256,941.5312293765193
13.375,-7.125,765625088,392.6775951250973
13.375,-6.875,766035392,862.9565812619123
13.375,-6.625,766431104,496.06440581836455
13.375,-6.375,766812224,605.09427555386
13.375,-6.125,767178752,2065.1786153929047
13.375,-5.875,767530624,759.1781308086597
13.375,-5.625,767867968,680.7944832680319
13.375,-5.375,768190656,1116.5958625112505
13.375,-5.125,768498688,863.9959664057895
13.375,-4.875,768792128,1226.8019033137932
13.375,-4.625,769070912,1208.4934966786452
13.375,-4.375,769335040,701.4886623865596
13.375,-4.125,769584512,896.4406195294437
13.375,-3.875,769819392,424.445660915326
13.375,-3.625,770039552,928.0230649955579
13.375,-3.375,770245120,46.698553965473494
13.375,-3.125,770435968,20.59035047652273
13.375,-2.875,770612160,0
13.375,-2.625,770773696,0
13.375,-2.375,770920576,0
13.375,-2.125,771052736,7.468692573717602
13.375,-1.875,771170240,486.8747964656197
13.375,-1.625,771273024,894.7583779500337
13.375,-1.375,771361152,475.7529847294166
13.375,-1.125,771434624,185.56610262044802
13.375,-0.875,771493376,0
13.375,-0.625,771537408,0
13.375,-0.375,771566784,0
13.375,-0.125,771581504,0
13.625,-21.375,718509952,0
13.625,-21.125,719730112,0
13.625,-20.875,720936640,0
13.625,-20.625,722129408,0
13.625,-20.375,723308416,0
13.625,-20.125,724473728,0
13.625,-19.875,725625152,0
13.625,-19.625,726762816,0
13.625,-19.375,727886656,0
13.625,-19.125,728996608,0
13.625,-18.875,730092672,0
13.625,-18.625,731174848,0
13.625,-18.375,732243136,0
13.625,-18.125,733297408,0
13.625,-17.875,734337792,0
13.625,-17.625,735364160,0
13.625,-17.375,736376512,0
13.625,-17.125,737374912,0
13.625,-16.875,738359232,0
13.625,-16.625,739329472,1.165926494334838
13.625,-16.375,740285632,14.817643903029262
13.625,-16.125,741227776,1.291852153282983
13.625,-15.875,742155712,0
13.625,-15.625,743069568,3.9777755760002136
13.625,-15.375,743969280,0
13.625,-15.125,744854848,0.6633805313730728
13.625,-14.875,745726144,16.37965628217714
13.625,-14.625,746583360,123.1315503016934
13.625,-14.375,747426304,239.50424070296233
13.625,-14.125,748254976,91.92765054361426
13.625,-13.875,749069440,74.98003805749404
13.625,-13.625,749869696,4.348964930699798
13.625,-13.375,750655616,0
13.625,-13.125,751427264,0
13.625,-12.875,752184576,0
13.625,-12.625,752927616,5.363555414919773
13.625,-12.375,753656256,0
13.625,-12.125,754370624,0
13.625,-10.625,758354560,4.2182052851237035
13.625,-10.375,758968064,197.1817776964462
13.625,-10.125,759567104,646.4546864868039
13.625,-9.875,760151744,383.32067928777997
13.625,-9.625,760721920,195.48957909509917
13.625,-9.375,761277568,379.85043147884846
13.625,-9.125,761818688,658.8552800327994
13.625,-8.875,762345408,112.17539916026125
13.625,-8.625,762857536,296.9146773259733
13.625,-8.375,763355136,540.5631314245751
13.625,-8.125,763838272,1429.907595703162
13.625,-7.875,764306816,1383.7355797019356
13.625,-7.625,764760768,1270.6417545871068
13.625,-7.375,765200256,1150.4482576031219
13.625,-7.125,765625088,1915.3054509374256
13.625,-6.875,766035392,854.6047989802415
13.625,-6.625,766431104,1845.7844536133655
13.625,-6.375,766812224,863.6419498479236
13.625,-6.125,767178752,1144.3704824491824
13.625,-5.875,767530624,695.7188493313478
13.625,-5.625,767867968,908.5999052168925
13.625,-5.375,768190656,910.8752675260142
13.625,-5.125,768498688,1145.2818228132896
13.625,-4.875,768792128,982.391454009719
13.625,-4.625,769070912,1096.9286924662767
13.625,-4.375,769335040,999.0372227877069
13.625,-4.125,769584512,1181.596279433736
13.625,-3.875,769819392,615.4545448410356
13.625,-3.625,770039552,1175.9183571476938
13.625,-3.375,770245120,82.53727844258803
13.625,-3.125,770435968,9.831607794333967
13.625,-2.875,770612160,116.00423789887793
13.625,-2.625,770773696,71.44117495951427
13.625,-2.375,770920576,46.7148466699999
13.625,-2.125,771052736,14.560341473998719
13.625,-1.875,771170240,469.4393227646787
13.625,-1.625,771273024,985.2718596205243
13.625,-1.375,771361152,94.32360667627054
13.625,-1.125,771434624,65.5582826128491
13.625,-0.875,771493376,16.615682301008547
13.625,-0.625,771537408,68.25845566609752
13.625,-0.375,771566784,0
13.625,-0.125,771581504,0
13.875,-21.875,716028480,0
13.875,-21.625,717276032,0
13.875,-21.375,718509952,0
13.875,-21.125,719730112,0
13.875,-20.875,720936640,0
13.875,-20.625,722129408,0
13.875,-20.375,723308416,0
13.875,-20.125,724473728,0
13.875,-19.875,725625152,0
13.875,-19.625,726762816,0
13.875,-19.375,727886656,0
13.875,-19.125,728996608,0
13.875,-18.875,730092672,0
13.875,-18.625,731174848,0
13.875,-18.375,732243136,0
