GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.904318,36.24002,0.5832038112522685,12.191405059433102,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,PM25-PRI
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.647676,36.269528,0.2786621597096189,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,PM25-PRI
06035,53211,MT. LASSEN POWER,-121.018,40.297,17.32867513611615,38.09814081072844,1.5239256324291375,380.37222222222215,1.0344102407802498,egu,elevated,NA,PM25-PRI
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,-122.1104,39.1055,16.916987295825766,64.61444681499543,2.133495885400792,434.8166666666666,18.21136848521792,egu,elevated,NA,PM25-PRI
06007,124511,"OROVILLE COGENERATION, L.P.",-121.60517,39.51628,9.074410163339382e-5,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06013,148911,LOS MEDANOS ENERGY CENTER,-121.8727,38.0298,16.765919328493645,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,PM25-PRI
06013,150711,DELTA ENERGY CENTER,-121.84376,38.0151,20.3245390199637,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,PM25-PRI
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,-124.2084,40.7411,3.8001286907441014,30.478512648582747,1.6153611703748858,663.7055555555555,25.241420298689423,egu,elevated,NA,PM25-PRI
06023,155811,DG FAIRHAVEN POWER COMPANY,-124.2027,40.7998,0.11233860254083483,30.478512648582747,2.133495885400792,434.8166666666666,15.569094788174338,egu,elevated,NA,PM25-PRI
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,-122.06755,38.02209000000001,15.359876588021775,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,-92.21654785714286,34.59321371428572,6.873443738656987,47.35418734030128,3.537147432594214,413.7055555555555,21.122398134012876,egu,elevated,NA,PM25-PRI
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,-92.163531,34.834994,8.975640381125226,8.998972304972716,0.2525664813823194,699.8166666666666,19.13089596317245,egu,elevated,NA,PM25-PRI
06029,295911,"LINN OPERATING, INC",-119.37164,35.16575,13.551098003629763,18.28710758914965,3.474550441938433,460.92777777777775,53.62740018287108,egu,elevated,NA,PM25-PRI
06019,348711,FRESNO COGENERATION PARTNERS,-120.099422,36.61682800000001,0.7871828130671505,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06013,353611,"CROCKETT COGENERATION, A CAL LTD PARTNERSHIP",-122.21585,38.05712,8.062036297640653,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06029,361111,SUNRISE POWER COMPANY,-119.585,35.2097,48.509909255898364,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06029,410111,DOUBLE C LIMITED,-119.0461,35.5006,0.14634740471869329,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06029,412511,BADGER CREEK LIMITED,-119.029933,35.483724,0.11184791288566243,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06029,456011,LIVE OAK LIMITED,-119.009053,35.496231,0.02019521778584392,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06029,458111,BEAR MOUNTAIN LIMITED,-118.92654,35.419205,0.028676170598911067,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
06029,492111,CHALK CLIFF LIMITED,-119.39467,35.09769,0.11788439201451906,70.54962168792595,3.835434186864128,412.39600290496907,20.199595772615847,egu,elevated,NA,PM25-PRI
12099,533611,SOLID WASTE AUTHORITY OF PBC,-80.14162233333334,26.771985333333333,18.997676950998184,76.19628162145688,2.042060347455044,505.3722222222222,24.687595245352025,egu,elevated,NA,PM25-PRI
12001,535011,"CITY OF GAINESVILLE, GRU",-82.38859500000001,29.75842,89.35115698729581,103.81256358626874,5.209190237422179,406.6891810641297,15.06752248326512,egu,elevated,NA,PM25-PRI
12001,536811,GAINESVILLE REGIONAL UTILITIES,-82.321803,29.646,24.019132656079854,31.088082901554397,4.724169460530326,389.8166666666666,18.95763486741847,egu,elevated,NA,PM25-PRI
12081,537811,"TROPICANA MANUFACTURING COMPANY, INC.",-82.54796800000003,27.483272,9.580166061705988,20.42060347455044,3.65742151782993,404.26111111111106,15.452605912831453,egu,elevated,NA,PM25-PRI
12081,537911,FLORIDA POWER & LIGHT (PMT),-82.34568499999999,27.606119999999997,160.68661270417422,93.6027239869643,7.079897052520713,470.6719417583371,23.00048534980704,egu,elevated,NA,PM25-PRI
12057,538611,TAMPA ELECTRIC COMPANY (TEC),-82.40327449999998,27.794846,309.9073701451905,149.2196393517223,7.310625470353276,372.0077284251155,26.244091287271182,egu,elevated,NA,PM25-PRI
04013,545911,Redhawk Generating Facility,-112.8411,33.3346,45.08314882032667,53.3373971350198,5.486132276744895,365.3722222222222,20.572996037793356,egu,elevated,NA,PM25-PRI
04013,546011,Arlington Valley LLC,-112.889,33.3409,8.75505898366606,56.385248399878094,5.486132276744895,356.48333333333335,19.68911917098446,egu,elevated,NA,PM25-PRI
04013,547311,Ocotillo Power Plant,-111.91178,33.42493,9.765127041742286,48.50342561783687,2.9363771507316847,449.5061345508383,19.052432958373956,egu,elevated,NA,PM25-PRI
12105,552011,"DUKE ENERGY FLORIDA, LLC",-81.87002000000001,27.788707000000002,380.47733756805803,38.09814081072844,5.712134539633511,362.65102161419406,18.758878916275687,egu,elevated,NA,PM25-PRI
09011,552611,"MONTVILLE POWER, LLC",-72.10028,41.42929,5.270788384754991,116.41974067070228,5.371656527796756,580.8568971300901,35.336676218409814,egu,elevated,NA,PM25-PRI
12069,552811,"COVANTA LAKE II, INC.",-81.88944000000002,28.73974,1.0691543375680581,60.65224017067967,1.3105760438890581,405.3722222222222,20.786345626333436,egu,elevated,NA,PM25-PRI
12087,554011,FLORIDA MUNICIPAL POWER AGENCY,-81.73645933333333,24.563495666666668,0.06731485208711434,26.301482076545998,1.9392438235354166,644.3737742870081,29.715803448879427,egu,elevated,NA,PM25-PRI
12005,554911,GULF POWER COMPANY,-85.69929033333332,30.271135666666666,90.0535998185118,36.54176326383186,5.106977288105806,365.7886703131741,22.705065156980375,egu,elevated,NA,PM25-PRI
13185,555311,PCA Valdosta Mill,-83.303066,30.692288,34.223230490018146,91.43553794574824,3.047851264858275,463.7055555555555,22.64553489789698,egu,elevated,NA,PM25-PRI
12031,557811,JEA,-81.625227,30.364993,1.4479564428312157,32.75474266383716,6.037063528432814,873.0431141315489,41.50012303887176,egu,elevated,NA,PM25-PRI
12097,558411,FMPA & KISSIMMEE UTILITY AUTHORITY,-81.533,28.2764,79.46166343920144,42.97378788184837,5.274606741145056,375.5910864346646,18.659181574743055,egu,elevated,NA,PM25-PRI
