GEOID10,facility_name,lon,lat,stkhgt,stkdiam,stktemp,stkvel,emis,sector,poll,type,marginal_damage
01001,TenaskaAlabamaIIPartnersLP,-86.7388,32.64893,53.337397135019806,5.486132276744895,355.3722222222222,20.60341359341664,0.09455779010889293,egu,PM25-PRI,elevated,59116.384272973926
01001,TenaskaAlabamaPartnersLP,-86.73879,32.65344,53.33739713501982,5.486132276744895,355.3722222222222,19.548887534288326,0.07043302903811252,egu,PM25-PRI,elevated,59604.01849878391
01033,TVA,-87.85195,34.73684,9.676927765925022,3.8707711063700088,777.5944444444444,44.37317890886925,0.21415607985480942,egu,PM25-PRI,elevated,60131.28364164835
01033,TVA,-87.8486,34.7439,159.37027611676683,7.388395272490752,419.3401648319584,24.159001114754794,3287.2948503629764,egu,PM25-PRI,elevated,48571.308542691586
01033,TVA,-87.84103,34.73692,9.676927765925022,3.870771106370009,777.5944444444444,44.37317890886925,0.16061705989110706,egu,PM25-PRI,elevated,60213.04178467543
01039,AlabamaElectricCooperative,-86.4767,31.4001,45.71776897287412,6.705272782688205,360.92777777777775,13.824443767144162,0.07638585789473684,egu,PM25-PRI,elevated,51158.95714446412
01039,AlabamaElectricCooperative,-86.37309,31.40991,35.372256404747,5.344021128987267,483.9982372885121,23.94072155678805,0.9549301656987295,egu,PM25-PRI,elevated,45441.00776697339
01055,AlabamaPowerCompany,-85.9708,34.0128,91.43553794574827,4.571776897287412,445.92777777777775,17.250838159097835,404.2264907713248,egu,PM25-PRI,elevated,71222.01283353593
01063,AlabamaPowerCompany,-87.7811,32.6017,152.39187410896898,7.391019015665105,413.70660897524294,10.758957145507829,2146.6140284958256,egu,PM25-PRI,elevated,46137.486204269226
01071,TVA,-85.7547,34.8825,224.31192048179096,7.547835289863982,379.33741770253016,30.726360197215897,2263.8589943103443,egu,PM25-PRI,elevated,50093.029660793174
01073,ALABAMAPOWERCOMPANY-HEADQUARTERSBUI,-86.813408,33.518139,11.737275220969215,0.8908869247180738,598.15,22.228924108503506,0.019589177132486386,egu,PM25-PRI,elevated,665708.4803802053
01073,ALABAMAPOWERCOMPANY(MILLERPOWERPLAN,-87.0597,33.6319,214.01472956587256,7.619628162145687,414.36091133345167,22.629299282626906,1571.903092967332,egu,PM25-PRI,elevated,41876.982564075865
01073,ALABAMAPOWERCOMPANY(MILLERPOWERPLAN,-87.059288,33.631451,0,0,255.3722222222222,0,1.037086719782214,egu,PM25-PRI,elevated,199020.9136058191
01081,GeorgiaPowerCompany,-85.09573,32.6068,43.2794879609875,5.105150868637609,356.4833333333333,21.082078634562627,0.06637667649727767,egu,PM25-PRI,elevated,68444.59094470447
01081,SouthEasternElectricDevelopmentCorp,-85.03815,32.53971,9.233745122015431,1.3468920834750056,462.9572510998053,11.286558008012213,0.005162630490018149,egu,PM25-PRI,elevated,129514.84272108172
01097,AlabamaPowerCompany,-88.12881,30.52527,34.369424784571684,4.436688243259905,376.7747241951689,20.364126681435796,0.23634029310344826,egu,PM25-PRI,elevated,61934.99953075678
01097,AlabamaPowerCompany,-88.0103,31.0069,182.7517512157563,7.268051411004585,420.867305730163,23.56333311223353,2235.3644848927406,egu,PM25-PRI,elevated,36567.32027621301
01103,DecaturEnergyCenterLLC,-87.0214,34.6292,45.71776897287412,5.790917403230722,360.92777777777775,19.592319414812554,0.13885284283121596,egu,PM25-PRI,elevated,74277.51070981349
01117,AlabamaPowerCompany,-86.4567,33.2442,228.58884486437066,9.691743256260285,408.7313777186754,13.663728390486199,5683.553287041742,egu,PM25-PRI,elevated,41382.457089762414
01127,AlabamaPowerCompany,-87.2003,33.6446,187.99079518769315,9.121865278274381,434.4324222751412,11.601912627486236,2551.4868148548094,egu,PM25-PRI,elevated,44877.910546925974
01129,AlabamaElectricCooperative,-88.0299,31.2546,24.3828101188662,3.047851264858275,402.59444444444443,23.785278878390734,5.623360254083484e-4,egu,PM25-PRI,elevated,56510.81195138542
01129,AlabamaPowerCompany,-88.0156,31.2504,30.783297775068576,4.647973178908869,454.26111111111106,26.783785431270953,0.6785996735934663,egu,PM25-PRI,elevated,47199.986816630386
01129,CHARLESR.LOWMANPOWERPLANT,-87.9106,31.4858,114.23373878506413,4.855703960239417,394.26111111111106,18.78598131273172,1029.6724839564426,egu,PM25-PRI,elevated,46168.688596572596
04001,SALTRIVERPROJECT,-109.2717,34.5778,152.39256324291375,5.790917403230723,386.1107784620664,26.382279030110134,780.4465277767695,egu,PM25-PRI,elevated,17826.764580025498
04001,TUCSONELECTRICPOWERCO-SPRINGERVILLE,-109.1636,34.318600000000004,116.08892859197036,4.671083493406529,408.19703036492103,15.388241661499894,842.4425795639746,egu,PM25-PRI,elevated,18750.53797889198
04003,AZELECTRICPOWERCOOPERATIVEINC-APAC,-109.8931,32.0619,121.87546150156467,5.05806739514708,357.010944216728,16.289027456043186,283.04324034800356,egu,PM25-PRI,elevated,23320.55638423793
04003,FAIRVIEWGENERATINGSTATION,-109.55223,31.36357,9.753124047546478,4.123742761353245,749.8166666666666,14.477293508076805,0.07026315789473683,egu,PM25-PRI,elevated,24056.855482134433
04005,NAVAJOGENERATINGSTATION,-111.3886,36.9047,236.2084730265163,7.464187747637914,323.15,32.307223407497716,2556.2062068330306,egu,PM25-PRI,elevated,10927.334660754721
04013,APSWESTPHXPOWERPLANT,-112.1583,33.4417,36.5742151782993,4.266991770801584,394.26111111111106,23.92563242913746,0.025391494918330308,egu,PM25-PRI,elevated,44710.04330035794
