GEOID10,facility_name,lon,lat,stkhgt,stkdiam,stktemp,stkvel,emis,sector,poll,type,marginal_damage
01001,TenaskaAlabamaIIPartnersLP,-86.7388,32.64893,53.33739713501982,5.486132276744895,355.3722222222222,20.60341359341664,0.167059891107078,egu,VOC,elevated,2792.806284807073
01001,TenaskaAlabamaPartnersLP,-86.73879,32.65344,53.337397135019806,5.486132276744895,355.37222222222215,19.54888753428832,0.46823957050816695,egu,VOC,elevated,2815.7769849514166
01033,TVA,-87.85195,34.73684,9.676927765925022,3.8707711063700088,777.5944444444444,44.37317890886925,0.03284936479128857,egu,VOC,elevated,2838.5820637284496
01033,TVA,-87.8486,34.7439,172.7095477634715,7.727132352901063,422.71124463429214,26.112679933176192,96.16774410163339,egu,VOC,elevated,2172.07430796232
01033,TVA,-87.84103,34.73692,9.676927765925022,3.8707711063700088,777.5944444444444,44.37317890886925,0.08189655172413793,egu,VOC,elevated,2843.6073441435356
01039,AlabamaElectricCooperative,-86.37309,31.40991,43.458979010619686,6.408063577128411,387.7983960059485,16.033183699182324,9.491833030852995,egu,VOC,elevated,2304.8829093686245
01055,AlabamaPowerCompany,-85.9708,34.0128,91.43553794574824,4.571776897287412,445.9277777777777,17.250838159097835,8.596018148820328,egu,VOC,elevated,3364.4095143144036
01063,AlabamaPowerCompany,-87.7811,32.6017,127.89686093447868,6.669405517541509,451.15002519044543,12.25824960477411,65.9104891107078,egu,VOC,elevated,2208.586677660021
01071,TVA,-85.7547,34.8825,218.37439641787049,7.507255419656404,377.1295691711082,30.15670828606427,111.64959981851179,egu,VOC,elevated,2410.6839320091967
01073,ALABAMAPOWERCOMPANY-HEADQUARTERSBUI,-86.813408,33.518139,11.737275220969215,0.8908869247180737,598.15,22.228924108503506,0.02450090744101633,egu,VOC,elevated,31454.091482936896
01073,ALABAMAPOWERCOMPANY(MILLERPOWERPLAN,-87.0597,33.6319,213.88617816156943,7.619628162145687,415.04837792718354,22.61397041305657,396.4448452813067,egu,VOC,elevated,1977.1318588948488
01073,ALABAMAPOWERCOMPANY(MILLERPOWERPLAN,-87.059288,33.631451,0,0,255.3722222222222,0,3.1669691470054446,egu,VOC,elevated,9396.017889616474
01081,GeorgiaPowerCompany,-85.09573,32.6068,43.2794879609875,5.10515086863761,356.4833333333333,21.08207863456263,6.007259528130671,egu,VOC,elevated,3232.0789836024387
01081,SouthEasternElectricDevelopmentCorp,-85.03815,32.53971,5.851055386084492,0.6108585932862678,371.3151747612348,5.1146747666819055,1.2831215784936478,egu,VOC,elevated,7599.758174428841
01097,AlabamaPowerCompany,-88.0103,31.0069,159.322473859027,6.887002668221457,410.63876893037366,23.2588579370538,192.44587386569873,egu,VOC,elevated,1824.5326275233958
01103,DecaturEnergyCenterLLC,-87.0214,34.6292,45.71776897287412,5.790917403230722,360.92777777777775,19.592319414812554,0.11825045372050817,egu,VOC,elevated,3509.007726011697
01103,SOLUTIAINC.-DECATURALABAMA,-87.02182,34.63432,3.047851264858275,9.143553794574824e-4,295.3722222222222,9.143553794574823e-5,2.166969157350272,egu,VOC,elevated,7139.040713104078
01117,AlabamaPowerCompany,-86.4567,33.2442,228.5888448643706,9.70828101729878,408.2604872636379,13.517530003218226,156.90026043557168,egu,VOC,elevated,1955.9717315896044
01127,AlabamaPowerCompany,-87.2003,33.6446,205.63982528881226,9.514065947188142,431.334545398997,12.765532792086468,107.74861524500906,egu,VOC,elevated,2004.82163033507
01129,AlabamaElectricCooperative,-88.0299,31.2546,24.3828101188662,3.047851264858275,402.59444444444443,23.785278878390734,0.12815607985480942,egu,VOC,elevated,2670.108632347152
01129,AlabamaPowerCompany,-88.0156,31.2504,30.783297775068576,4.647973178908869,454.26111111111106,26.783785431270953,29.34225952813067,egu,VOC,elevated,2229.706380353116
01129,CHARLESR.LOWMANPOWERPLANT,-87.9106,31.4858,114.81060711714244,4.8692545586439415,394.26111111111106,18.843475156583327,51.04210526315789,egu,VOC,elevated,2177.6607364001593
04001,SALTRIVERPROJECT,-109.2717,34.5778,152.39256324291375,5.790917403230722,386.40155784311423,26.441953351934462,85.19038112522685,egu,VOC,elevated,842.6307577659977
04001,TUCSONELECTRICPOWERCO-SPRINGERVILLE,-109.1636,34.318600000000004,152.39256324291372,6.09570252971655,441.48333333333335,19.343980493751904,85.47816023774953,egu,VOC,elevated,823.077613476731
04003,AZELECTRICPOWERCOOPERATIVEINC-APAC,-109.8931,32.0619,109.84496386703508,4.597952198043635,363.79721248694904,17.028549862077845,45.83424682395644,egu,VOC,elevated,1131.4835386744123
04003,FAIRVIEWGENERATINGSTATION,-109.55223,31.36357,9.753124047546478,4.123742761353245,749.8166666666666,14.477293508076805,8.257713248638838e-4,egu,VOC,elevated,1136.7962401317977
04005,NAVAJOGENERATINGSTATION,-111.3886,36.9047,236.2084730265163,7.464187747637914,323.15,32.307223407497716,218.90143148820326,egu,VOC,elevated,518.6642112624595
04013,APSWESTPHXPOWERPLANT,-112.1583,33.4417,18.53462820109908,4.65884092937813,443.1657824687436,21.85645404989711,6.585062664337567,egu,VOC,elevated,2015.7416599395817
04013,DYNERGYARLINGTONVALLEYLLC,-112.892769,33.34832,56.09861622858117,5.456293140006556,356.4603675353251,19.594930323382208,5.136784573502722,egu,VOC,elevated,1181.5458674043293
04013,KYRENEGENERATINGSTATION,-111.9364,33.3544,43.77207643534144,5.476835197778975,398.1223884909198,19.956484408165778,0.9581896276769508,egu,VOC,elevated,1782.9714732356156
