GEOID10,facility_name,lon,lat,stkhgt,stkdiam,stktemp,stkvel,emis,sector,poll,type,marginal_damage
01001,TenaskaAlabamaIIPartnersLP,-86.7388,32.64893,53.337397135019806,5.486132276744895,355.37222222222215,20.60341359341664,0.5917422867513611,egu,NH3,elevated,42634.48039058867
01001,TenaskaAlabamaPartnersLP,-86.73879,32.65344,53.337397135019806,5.486132276744895,355.3722222222222,19.548887534288326,0.7758620689655171,egu,NH3,elevated,43166.118755405856
01033,TVA,-87.8486,34.7439,172.55144861367648,7.723093672167184,422.63789891405565,26.085972229339777,49.33089813067151,egu,NH3,elevated,28461.405401497304
01039,AlabamaElectricCooperative,-86.37309,31.40991,45.71776897287412,6.705272782688205,360.92777777777775,13.824443767144162,9.927404718693284,egu,NH3,elevated,33752.6004309777
01055,AlabamaPowerCompany,-85.9708,34.0128,91.43553794574824,4.571776897287412,445.92777777777775,17.250838159097835,3.7891240018148817,egu,NH3,elevated,53938.456122007214
01063,AlabamaPowerCompany,-87.7811,32.6017,126.05609450558069,6.615177259221201,453.963846234803,12.370919363571847,27.095865453720506,egu,NH3,elevated,27541.09120166852
01071,TVA,-85.7547,34.8825,218.50614518890995,7.508069788718157,377.1785595124566,30.16991291697096,56.086196878402895,egu,NH3,elevated,35285.38678722782
01073,ALABAMAPOWERCOMPANY(MILLERPOWERPLAN,-87.0597,33.6319,213.88689408916778,7.619628162145687,415.1326095574731,22.61870582617757,168.63249412885662,egu,NH3,elevated,25840.295454154748
01081,GeorgiaPowerCompany,-85.09573,32.6068,43.2794879609875,5.105150868637612,356.48333333333335,21.08207863456263,3.7477313974591646,egu,NH3,elevated,56543.927626646946
01097,AlabamaPowerCompany,-88.12881,30.52527,37.183785431270955,5.257543431880524,363.7055555555555,21.48735141725084,9.074410163339381,egu,NH3,elevated,51614.323506867026
01097,AlabamaPowerCompany,-88.0103,31.0069,111.60146704835019,6.208351664950483,389.98906336387597,22.57365015648498,131.76327923774952,egu,NH3,elevated,29115.78858888821
