census_id,Base_TotHNO3_mol,Base_NH3f_mol,Base_NO3_mol,Base_SO4_mol,Base_TotNH3_mol
0001,0.006018028810656673,0.013329802093529276,0.002560111829987949,0.010035597319654537,0.02838319807301108
0002,0.0168158922332091,0.01834514468030754,0.005857588028972616,0.017204574964611932,0.04415200712722544
0003,0.011236901134673164,0.018260230605699482,0.004384738967933443,0.018297591641674417,0.04570661806821111
0004,0.013197640589818056,0.010458452546924527,0.004049035528515412,0.01673921023506302,0.035567267899519056
0005,0.010535071271931581,0.0072071700501191195,0.003063975000305047,0.014685364105814823,0.029235216208841355
0006,0.013615294499574587,0.01085764371885577,0.004194967770634741,0.0179041587907044,0.03771388190491237
0007,0.002514416178425157,0.007865111218006217,0.0012190661906556152,0.007077099001020202,0.01848075971953652
0008,0.01664154884961948,0.02671606548203622,0.006789565780555207,0.02101182059161426,0.058233796369457615
0009,0.004377155779497086,0.00480726920546078,0.0013918072311322341,0.00948692730472381,0.019037660162546495
0010,0.017516491526354733,1e-20,0.00386202478862664,0.02991335149001959,0.032314786717072344
0011,0.006016939681585438,0.01688528434948572,0.0028887795285363585,0.0131378194101026,0.03659201346463962
0012,0.005982668084266444,0.0056077177737618306,0.001837422344439209,0.01195293294260351,0.023537117187667097
0013,0.004042518314841019,0.012998308239189914,0.0020351921311724383,0.008960421362074202,0.026438940282301218
0014,0.008985336239899073,0.002528795821792225,0.0022321936265467103,0.016473504679420794,0.027239052840923414
0015,0.012789352840191536,0.010088944596344362,0.003909351472551278,0.017625441383413855,0.036527106671465144
0016,0.009609819857664084,1e-20,0.0021187669031036086,0.01694755286924486,0.022207787181127477
0017,0.013125329801056738,0.014317736246323622,0.004451113832297719,0.011670082635112973,0.03182286019899308
0018,0.010349123008388165,0.011744820795621502,0.003484652652268165,0.009251378736399229,0.025621888900220345
0019,0.010502037171905227,0.014693885952479032,0.0038255409055465844,0.009653419073136365,0.02917401456218358
0020,0.011271167960381016,0.018029773062143737,0.004369635507619123,0.010982116338456234,0.03450294756982809
0021,0.01003727997780219,0.012885636756098717,0.0035235538287106557,0.009401790420034596,0.02698832238615061
0022,0.013042512484594392,0.01287963790589064,0.0042740034920121985,0.009560233707202116,0.027219988466693813
0023,0.011160018700768892,0.01911969222138615,0.004454196744041182,0.009778961519592476,0.033788134500774863
0024,0.011018641070344837,0.017231001185800503,0.004220520893903736,0.010270323592018646,0.03263648657382847
0025,0.015162625019098113,0.019488720592031626,0.005553459647606698,0.011226588988372555,0.03632860407459046
0026,0.0010313780827086816,0.0016256319719203,3.5927119812459424e-4,0.0033580405384586076,0.006662692779608212
0027,8.575220436532015e-4,0.0015025486604726941,3.103577668437081e-4,0.00317852201490439,0.006270331682829279
0028,8.565765464284829e-4,0.002022218415520488,3.5209479690866407e-4,0.0033636439803203465,0.0070676843860010075
0029,6.569329029370999e-4,4.3057434985420504e-4,1.7940045625686714e-4,0.0029756397574861055,0.004894033986083363
0030,0.005765991692272107,0.001734694597405273,0.0014307751558865387,0.008197137846301827,0.014030401366858014
0031,0.005588225299725531,0.004752483142649035,0.001667114882832344,0.007556644423702522,0.01608744977820282
0032,0.008831686642567602,0.012158837975249586,0.003150321839833229,0.008539545455162233,0.024968156157992936
0033,0.007813567313335743,0.02072349755874299,0.0037250964145337695,0.008089489018149904,0.032857731085967845
0034,0.009759693803845214,0.01637326369499719,0.0038066746886662875,0.009671472699089332,0.030880472743631187
0035,0.007706034728681821,0.004941309474616264,0.0021752511648553026,0.00837226777276726,0.017499711133767155
0036,0.008724654494508441,0.011695932959191385,0.003078057763572643,0.008044874165235435,0.023763244207044537
0037,0.007237136286949145,0.007838382668180752,0.002342679953685217,0.007886482392420681,0.019668106256811774
0038,0.006303075845090747,0.006930805714285889,0.0020354452028821567,0.009126225068160269,0.020620143316526292
0039,0.02189861223354162,0.029211385726851016,0.008591088521048418,0.016905450916659792,0.054569562101840705
0040,0.017069680163514487,0.02076219392547382,0.0062088619554145075,0.016329017259407715,0.04525571981458539
0041,0.018335629303092026,0.02701088994788737,0.007302098157326187,0.016642844600779274,0.05197515684905628
0042,0.014294105239021743,0.009971254762652,0.004262702424555741,0.016615336673530552,0.03489425977294783
0043,0.016942586687680773,0.015689227539047362,0.005578794173604798,0.016999897716851394,0.04118907411432445
0044,0.01930966281032951,0.028984198977835884,0.007819503252289231,0.01854463627743683,0.05680115339399113
0045,0.014813563290997535,0.014578737984701499,0.004907976459770777,0.015374183199216802,0.0376400127835267
0046,0.018385855351592675,0.020717674334920687,0.006556132531460899,0.017365350441271948,0.04676569999682861
0047,0.02072414737808717,0.029440093784334244,0.008282576007990372,0.016995442100837584,0.05493325693559062
0048,0.021213228454936586,0.027980278879618105,0.008237557243840529,0.016977757612826966,0.053446915298858554
0049,0.01260757099495524,0.025775449124788016,0.005552638907846244,0.017918282046747745,0.05265287219490963
0050,0.014515709484437995,0.026310042351023112,0.006145601369017566,0.016035326802554883,0.050363032554855434
0051,0.015316162066064946,0.022087819385737846,0.005889852833542625,0.014453017460672896,0.04376734557674719
0052,0.01604580997676256,0.035823433084015345,0.0076731836245660275,0.020374077087051277,0.06638454871459226
0053,0.01568242767839929,0.024467967047239185,0.0062618820767287135,0.018637369200445546,0.0524240208479075
0054,0.018686032448704,0.020571335764014452,0.006618753377042465,0.01699235074290884,0.04605986187837771
0055,0.016083133367464513,0.017269439726447056,0.0055410353322927295,0.014259833473399377,0.03865918993654612
0056,0.005888015833847345,1e-20,0.0012981859450524815,0.013787368155852206,0.013732492238402562
0057,0.01687498290635974,0.040278359201592444,0.008446605047970145,0.01586603349021806,0.06407740943691953
0058,0.011553333129444107,0.019223356084235456,0.004569004861048191,0.01625980929728031,0.04361307003015592
0059,0.01704270270068584,0.025087698330143363,0.006710820526530161,0.020813556502295688,0.056308033083586895
0060,0.011150797173727101,1e-20,0.0024585205909007685,0.02204762437906398,0.021058524422997032
0061,0.0016255839263016273,0.01837043562495921,0.0016255839263016273,0.005214189759501016,0.026191720264210735
0062,0.005492039322473396,0.015783690691301734,0.002652198088627553,0.006911468475118765,0.026150893403979882
0063,8.739265492912795e-4,0.013134421285301446,8.739265492912795e-4,0.0046610479104963725,0.020125993151046004
0064,0.0056653733010457626,0.013690448545021505,0.0025046902206772212,0.007313593789472754,0.024660839229230635
0065,0.004173524791505092,0.015262688195051624,0.002267920485879427,0.0067933527681372,0.025452717347257424
0066,0.0020565333787978183,0.03675290067588864,0.0020565333787978183,0.0057493001418591596,0.045376850888677385
0067,0.014113320575357751,0.023408313663215278,0.005710530046276422,0.012765138029179513,0.04255602070698455
0068,0.009137172510977875,0.01976111184531579,0.003983718027483551,0.012015153854637807,0.0377838426272725
0069,0.011669778614539111,0.022412710735103696,0.004936070434527898,0.011326496002315,0.0394024547385762
0070,0.012890999052590946,0.026393002776636004,0.005698663179622193,0.014271575999013126,0.047800366775155693
0071,0.010765364229363849,0.019682196661960596,0.004408082916587794,0.012835427541010325,0.038935337973476085
0072,0.015868765689862754,0.028853080084418403,0.006817824310460111,0.015059353116036971,0.05144210975847386
0073,0.0128400271803726,0.02345933482849319,0.005367186615158568,0.014791101233548412,0.04564598667881581
0074,0.011779387777980113,0.028481694095938554,0.005607266738040261,0.011351976479846636,0.04550965881570851
0075,0.011013316286141288,0.02092564061182702,0.00460314471284844,0.011828167890065598,0.038667892446925416
0076,0.01770273971463838,0.032409742118591614,0.007767169584534756,0.018812449095811305,0.06062841576230857
0077,0.014947033708556762,0.02585325562335902,0.006215053338285136,0.016669849340461264,0.050858029634050915
0078,0.0080852385753209,0.014986610820408478,0.0032399849795649795,0.011849690014817034,0.03276114584263403
0079,0.004280081931400332,0.0281127824256603,0.0034329656122038094,0.007850003332183322,0.039887787423935284
0080,0.006027605323903284,0.01714686877746218,0.0029157499759508224,0.009922460471230984,0.032030559484308656
0081,0.0021017982912768293,0.027129076924497564,0.0021017982912768293,0.0056874149139053455,0.035660199295355584
0082,0.006843394492750005,0.01787410575095595,0.003196241668963991,0.00972992534159218,0.03246899376334422
0083,0.008434044998603684,0.014512225793975838,0.0032823282659932445,0.010325054625745757,0.029999807732594475
0084,0.008334806426606715,0.01405989589684693,0.0032129121676670543,0.009144738322967251,0.027777003381297807
