census_id,H2SO4,NO3,NH4,SOA,PM,PM_25,OC_tot,OC_primary,OC_secondary,geo_name,country
0001,0.9834885373261447,0.15872693345925284,0.4073635164473465,5.170695611345151,4.540478083094766,11.26075268167266,3.803079755128459,0.9304710821589309,2.872608672969528,ANGOLA_BENGO_AMBRIZ,Angola
0002,1.6860483465319696,0.3631704577963022,0.7248012832475366,9.22030546363406,9.488685929325595,21.483011480535463,7.090888791648652,1.9684968674075076,5.122391924241144,ANGOLA_BENGO_BULA ATUMBA,Angola
0003,1.793163980884093,0.2718538160118734,0.737638600523081,5.470142185280203,4.935540703005163,13.208339285704414,4.047259169554442,1.0082912888432185,3.038967880711224,ANGOLA_BENGO_DANDE,Angola
0004,1.6404426030361758,0.2510402027679556,0.640210822191343,8.159170387285151,6.898961981907223,17.589825997187848,5.950992773819708,1.4181203364390684,4.5328724373806395,ANGOLA_BENGO_DEMBOS,Angola
0005,1.4391656823698529,0.1899664500189129,0.5262338917591444,6.266708910326808,5.529286523827991,13.95136145830271,4.616655720098281,1.1351507699167214,3.48150495018156,ANGOLA_BENGO_NAMBUANGONGO,Angola
0006,1.7546075614890313,0.26008800177935393,0.6788498742884227,9.36991476257645,7.084865171477261,19.148325371610518,6.657451470493049,1.4519432690616882,5.2055082014313605,ANGOLA_BENGO_PANGO ALUQUÉM,Angola
0007,0.6935557020999799,0.07558210382064814,0.27671875546852837,2.892673714046439,1.5625278067978614,5.501058082233457,1.9343357419934,0.32729478974537823,1.6070409522480218,ANGOLA_BENGUELA_BAÍA FARTA,Angola
0008,2.059158417978198,0.42095307839442286,0.8786377253481071,6.721024141697415,11.540264296604484,21.620037660022625,6.11113275541873,2.377230454475722,3.733902300943008,ANGOLA_BENGUELA_BALOMBO,Angola
0009,0.9297188758629334,0.08629204833019852,0.3426778829258369,3.0809645255261207,2.0483119092152333,6.487965241860323,2.141472966242371,0.42982600761674844,1.7116469586256224,ANGOLA_BENGUELA_BENGUELA,Angola
0010,2.9315084460219194,0.23944553689485168,0.5816661609073022,4.282504212773339,5.9059965952943605,13.941120951891772,3.593521677082781,1.2143526699864817,2.379169007096299,ANGOLA_BENGUELA_BOCOIO,Angola
0011,1.2875063021900548,0.17910433076925422,0.524959530277348,5.599967614542475,3.74132012511297,11.332857902892103,3.9011856520927624,0.7900925329024986,3.1110931191902638,ANGOLA_BENGUELA_CAIMBAMBO,Angola
0012,1.1713874283751442,0.11392018535523095,0.42366810937800775,3.260280588369595,2.505153801936553,7.474410113414532,2.340598423990628,0.5293314304519642,1.8112669935386638,ANGOLA_BENGUELA_CATUMBELA,Angola
0013,0.8781212934832717,0.12618191213269117,0.3592086273957752,3.7384138230378916,2.7171794881405944,7.819105144190225,2.6401270256776836,0.5632304573232997,2.076896568354384,ANGOLA_BENGUELA_CHONGOROI,Angola
0014,1.6144034585832376,0.13839600484589604,0.4903029511366215,3.970496491851244,4.202371696564545,10.415970602981545,3.068637092447566,0.8628057080857638,2.2058313843618023,ANGOLA_BENGUELA_CUBAL,Angola
0015,1.7272932555745577,0.24237979129817921,0.6574879200863726,4.562495963318866,6.492653737039585,13.682310667317559,3.893658007787187,1.358938028165595,2.5347199796215922,ANGOLA_BENGUELA_GANDA,Angola
0016,1.6608601811859964,0.13136354799242372,0.3997401692602946,2.944386200942496,3.3884274524349562,8.524777551816168,2.3356883220696325,0.6999182104349126,1.63577011163472,ANGOLA_BENGUELA_LOBITO,Angola
0017,1.1436680982410714,0.2759690576024586,0.500243023845426,5.462010068587186,8.18907010875682,15.570960357032961,4.712240568013387,1.6777905299093954,3.034450038103992,ANGOLA_BIÉ_ANDULO,Angola
0018,0.9066351161671244,0.21604846444062623,0.3957733822511992,5.956208132510851,6.879539557606182,14.354204652975984,4.72299609846993,1.413991580408346,3.309004518061584,ANGOLA_BIÉ_CAMACUPA,Angola
0019,0.9460350691673637,0.23718353614388824,0.41638282293274764,5.422574113963488,7.043827392547946,14.066002934755435,4.457948053943712,1.4454068795195518,3.01254117442416,ANGOLA_BIÉ_CATABOLA,Angola
0020,1.0762474011687109,0.27091740147238563,0.47400962732156865,4.8909036726285695,7.233521925492859,13.945600028084094,4.19907348827878,1.481904781262908,2.717168707015872,ANGOLA_BIÉ_CHINGUAR,Angola
0021,0.9213754611633904,0.21846033738006065,0.4018884240380372,5.6524181995113265,6.754823177715303,13.948965599808119,4.519705693016494,1.379473359954646,3.140232333061848,ANGOLA_BIÉ_CHITEMBO,Angola
0022,0.9369029033058074,0.2649882165047563,0.42110047631549574,7.397213839306344,7.856944844045781,16.877150279478187,5.745255748791854,1.6356925047327737,4.10956324405908,ANGOLA_BIÉ_CUEMBA,Angola
0023,0.9583382289200627,0.27616019813055326,0.43221815609807046,5.541794467885829,7.785895072745963,14.994406123780479,4.6720367386699815,1.5932620342889652,3.0787747043810163,ANGOLA_BIÉ_CUITO,Angola
0024,1.0064917120178274,0.26167229542203163,0.44570102540293854,5.065847827302513,7.532332170259583,14.312045030404894,4.3571589247146045,1.5427990206576525,2.814359904056952,ANGOLA_BIÉ_CUNHINGA,Angola
0025,1.1002057208605105,0.34431449815161524,0.5041194772383325,6.952050119240453,9.610459880636265,18.511149696127177,5.837715370737623,1.975465304492927,3.862250066244696,ANGOLA_BIÉ_NHAREA,Angola
0026,0.3290879727689436,0.022274814283724843,0.1199284700329478,4.000277816775405,1.2406669444149931,5.712236018276014,2.482977715196246,0.2606011503210215,2.222376564875225,ANGOLA_CABINDA_BELIZE,Angola
