census_id,emis,poll
0001,2924.2744000113107,PM2.5
0002,2302.8578176928345,PM2.5
0003,7401.30788920711,PM2.5
0004,2033.1149049558824,PM2.5
0005,8243.83721179212,PM2.5
0006,734.5845326145292,PM2.5
0007,4.106854866661025,PM2.5
0008,6744.668213475648,PM2.5
0009,62.713142111483236,PM2.5
0010,10555.071086279593,PM2.5
0011,1003.0180857950182,PM2.5
0012,32.285433248896645,PM2.5
0013,2848.537776367673,PM2.5
0014,4072.8061605731473,PM2.5
0015,9757.683465682148,PM2.5
0016,1263.6141994427828,PM2.5
0017,25168.6728215493,PM2.5
0018,18006.48402676591,PM2.5
0019,4772.739531261833,PM2.5
0020,6523.909403889108,PM2.5
0021,37107.34448949176,PM2.5
0022,24327.745027623194,PM2.5
0023,9800.522038192836,PM2.5
0024,4172.766090213577,PM2.5
0025,14979.201423797767,PM2.5
0026,371.2903583390585,PM2.5
0027,32.54047548634997,PM2.5
0028,754.4966875929331,PM2.5
0029,109.1007805460052,PM2.5
0030,8607.213445990272,PM2.5
0031,18619.627652840725,PM2.5
0032,20760.741822110696,PM2.5
0033,40280.32856189043,PM2.5
0034,25147.326251925377,PM2.5
0035,69815.71229391858,PM2.5
0036,35251.19379969893,PM2.5
0037,14085.95287207674,PM2.5
0038,40687.763190411984,PM2.5
0039,7050.604785526419,PM2.5
0040,2554.748610749582,PM2.5
0041,2691.952500211464,PM2.5
0042,7530.358756583131,PM2.5
0043,4115.721781166768,PM2.5
0044,2824.301036542886,PM2.5
0045,3850.7453729840304,PM2.5
0046,2620.385152691986,PM2.5
0047,616.5002108868797,PM2.5
0048,8033.295877526832,PM2.5
0049,1595.5275747418427,PM2.5
0050,10264.07284205024,PM2.5
0051,12153.33815458989,PM2.5
0052,4639.387213139423,PM2.5
0053,4336.925665937934,PM2.5
0054,15276.801950223478,PM2.5
0055,41612.669723997235,PM2.5
0056,2781.85272010053,PM2.5
0057,29754.540294321952,PM2.5
0058,4797.138671696109,PM2.5
0059,7045.363645725015,PM2.5
0060,3386.8407630409615,PM2.5
0061,1825.43143514791,PM2.5
0062,6597.3879198258965,PM2.5
0063,8.60344180051826,PM2.5
0064,14315.472779873615,PM2.5
0065,1622.6400132180054,PM2.5
0066,612.6329912439296,PM2.5
0067,11679.375776200684,PM2.5
0068,3529.115448389626,PM2.5
0069,4164.7340032836555,PM2.5
0070,1862.6955727410423,PM2.5
0071,3764.549185617991,PM2.5
0072,3748.663325156292,PM2.5
0073,1938.480804461903,PM2.5
0074,5358.880565833858,PM2.5
0075,5775.809365935724,PM2.5
0076,2901.819638161877,PM2.5
0077,2439.598204372267,PM2.5
0078,1802.8560437162607,PM2.5
0079,277.2745580215532,PM2.5
0080,547.3775719328062,PM2.5
0081,60.33304050056295,PM2.5
0082,874.7223614117202,PM2.5
0083,5462.163520815191,PM2.5
0084,14913.56625436297,PM2.5
0085,1442.0647502289303,PM2.5
0086,10.287418373570972,PM2.5
0087,15472.301190435304,PM2.5
0088,78.32193012444051,PM2.5
0089,10930.670659646179,PM2.5
0090,1034.9004507073685,PM2.5
0091,6760.997999881274,PM2.5
0092,20.95802819827787,PM2.5
0093,11.863994999657208,PM2.5
0094,0.8936031783977701,PM2.5
0095,1835.3082188043172,PM2.5
0096,1.4963158543023471,PM2.5
0097,9778.303825096382,PM2.5
0098,53.60599116782017,PM2.5
0099,30389.78273441663,PM2.5
0100,21789.651082593737,PM2.5
0101,32024.259983837346,PM2.5
0102,18187.13511284058,PM2.5
0103,21033.086385561106,PM2.5
0104,53573.12171834462,PM2.5
0105,39328.33479782678,PM2.5
0106,37167.29947327272,PM2.5
0107,72048.76074814572,PM2.5
0108,37909.27779026123,PM2.5
0109,33665.97081356787,PM2.5
0110,39625.879803322656,PM2.5
0111,99248.46818291875,PM2.5
0112,73964.69454138757,PM2.5
0113,21017.03900920764,PM2.5
0114,12825.518242290911,PM2.5
0115,17094.58751209048,PM2.5
0116,37739.57106917791,PM2.5
0117,18112.47968515269,PM2.5
0118,10475.85446420426,PM2.5
0119,6445.496313177663,PM2.5
0120,34684.65025247958,PM2.5
0121,5439.2049898224595,PM2.5
0122,14870.49110227351,PM2.5
0123,20038.801384166407,PM2.5
0124,4610.780547034724,PM2.5
0125,15001.74456647229,PM2.5
0126,25474.664643813343,PM2.5
0127,130313.67239317091,PM2.5
0128,68635.76325913705,PM2.5
0129,4398.362781421354,PM2.5
0130,16249.50309628739,PM2.5
0131,4067.292134132023,PM2.5
0132,31464.03931931795,PM2.5
0133,12028.421643298941,PM2.5
0134,77714.90243162472,PM2.5
0135,66274.79729254579,PM2.5
0136,168.77121667342203,PM2.5
0137,44.2439010280937,PM2.5
0138,0,PM2.5
0139,0.29355125838438334,PM2.5
0140,1.9908595081563918,PM2.5
0141,6207.705938829327,PM2.5
0142,7236.3859661633405,PM2.5
0143,5344.505637025678,PM2.5
0144,4621.127863752338,PM2.5
0145,7469.162058655204,PM2.5
0146,14278.195072266059,PM2.5
0147,14117.27295671265,PM2.5
0148,13376.634811879981,PM2.5
0149,2024.6265935023227,PM2.5
0150,3141.5759820962417,PM2.5
0151,3167.059032644883,PM2.5
0152,18035.439341883077,PM2.5
0153,6336.182606034633,PM2.5
0154,12883.207911877027,PM2.5
0155,4015.9212453970026,PM2.5
0156,2133.7279251512427,PM2.5
0157,5630.324303586296,PM2.5
0158,7375.487481924424,PM2.5
0159,7514.698377962677,PM2.5
0160,4888.986396176226,PM2.5
0161,2382.3635757543166,PM2.5
0162,8152.046998978088,PM2.5
0163,1.1916983918940882,PM2.5
0164,0.1554481489143854,PM2.5
0165,0,PM2.5
0166,0.02332134875985357,PM2.5
0167,0,PM2.5
0168,0,PM2.5
0169,0.09376233417818791,PM2.5
0170,79.227649643468,PM2.5
0171,0.6813097155563133,PM2.5
0172,0.07982424219685207,PM2.5
0173,0.00360144945468723,PM2.5
0174,0,PM2.5
0175,0.6316559110629547,PM2.5
0176,0,PM2.5
0177,0,PM2.5
0178,0.421506690014004,PM2.5
0179,0,PM2.5
0180,2.8111520565043846,PM2.5
0181,35.33069206701305,PM2.5
0182,0,PM2.5
0183,448.9267879661629,PM2.5
0184,18.80500044343816,PM2.5
0185,0.04491179182433964,PM2.5
0186,6.1487750343650305,PM2.5
0187,0,PM2.5
0188,7.930568200172752,PM2.5
0189,6.9761255150787465,PM2.5
0190,11.497733517811655,PM2.5
0191,10.86885732786223,PM2.5
0192,0,PM2.5
0193,22.079258423671284,PM2.5
0194,47.83212300124248,PM2.5
0195,0.096684392731113,PM2.5
0196,149.83104484119582,PM2.5
0197,0,PM2.5
0198,0,PM2.5
0199,0,PM2.5
0200,0.2719603689360758,PM2.5
0201,0,PM2.5
0202,0.002761026741005801,PM2.5
0203,0,PM2.5
0204,2.527526968768046,PM2.5
0205,0.053952424640538066,PM2.5
0206,0.11269192951811675,PM2.5
0207,0.08309154556328696,PM2.5
0208,0,PM2.5
0209,0.6198686568511492,PM2.5
0210,0,PM2.5
0211,0.16237951830437636,PM2.5
0212,0,PM2.5
0213,0,PM2.5
0214,0,PM2.5
0215,0,PM2.5
0216,0,PM2.5
0217,0,PM2.5
0218,0.6121964047854543,PM2.5
0219,0,PM2.5
0220,0.5000203865453676,PM2.5
0221,0.11754417031482853,PM2.5
0222,1.6166970290753877,PM2.5
0223,0,PM2.5
0224,0.13982175259476204,PM2.5
0225,0,PM2.5
0226,0.004280932226561455,PM2.5
0227,0,PM2.5
0228,0,PM2.5
0229,0,PM2.5
0230,5.993225940801473,PM2.5
0231,0,PM2.5
0232,0,PM2.5
0233,12.658709535976632,PM2.5
0234,0.013344287543580824,PM2.5
0235,12.850180624633131,PM2.5
0236,0.016700642094235437,PM2.5
0237,0,PM2.5
0238,1.6652696794649686,PM2.5
0239,0.4588534507882514,PM2.5
0240,0.10067019204153399,PM2.5
0241,11.790090607206798,PM2.5
0242,0.7968212788240431,PM2.5
0243,0.24996346053941784,PM2.5
0244,0.8188208905456132,PM2.5
0245,0.54749686399851,PM2.5
0246,0.6512382847787623,PM2.5
0247,0,PM2.5
0248,0.30168067497252865,PM2.5
0249,248.83906996657652,PM2.5
0250,0.08981163136396192,PM2.5
0251,0.036350779740947234,PM2.5
0252,3.5475709685342824,PM2.5
0253,98.63608113508812,PM2.5
0254,0,PM2.5
0255,3.8749994430832198,PM2.5
0256,12.171308456176803,PM2.5
0257,0,PM2.5
0258,0,PM2.5
0259,17.655992763082246,PM2.5
0260,0,PM2.5
0261,0.3757827054902674,PM2.5
0262,0,PM2.5
0263,1.677463850284692,PM2.5
0264,1.855690758860577,PM2.5
0265,0,PM2.5
0266,0,PM2.5
0267,0,PM2.5
0268,3.348595732800434,PM2.5
0269,0,PM2.5
0270,0.46735571795845393,PM2.5
0271,0,PM2.5
0272,0,PM2.5
0273,415.5061335416238,PM2.5
0274,1.4973221465906463,PM2.5
0275,0.25336287402030166,PM2.5
0276,0,PM2.5
0277,7.9806142641511295,PM2.5
0278,1.1151826001765412,PM2.5
0279,4.276174777640583,PM2.5
0280,0.05760746847376879,PM2.5
0281,0.17853321258594634,PM2.5
0282,0.06682289649008469,PM2.5
0283,0.03957743440369894,PM2.5
0284,0.12756586344830984,PM2.5
0285,10.937019818159564,PM2.5
0286,0.9350211770029674,PM2.5
0287,461.86349804985883,PM2.5
0288,0,PM2.5
0289,0.03159102110465563,PM2.5
0290,0.09272665985657791,PM2.5
0291,0,PM2.5
0292,0.05290862605581221,PM2.5
0293,4.075294226791826,PM2.5
0294,0.002726461285049558,PM2.5
0295,1.2159075299162685,PM2.5
0296,0.022161185574257294,PM2.5
0297,25.663059066459923,PM2.5
0298,0.07580437505290095,PM2.5
0299,0.010648248061129533,PM2.5
0300,0.09874304038696988,PM2.5
0301,2.47522226401734,PM2.5
0302,0.3964785952365453,PM2.5
0303,5.081006858722606,PM2.5
0304,0.4785589253550985,PM2.5
0305,0.004860503633433055,PM2.5
0306,0.05915494202773768,PM2.5
0307,28.315299653902308,PM2.5
0308,0.08908620934708851,PM2.5
0309,0,PM2.5
0310,0.020884904318665104,PM2.5
0311,11.143552143436974,PM2.5
0312,0.011108935441528817,PM2.5
0313,0.22829751001133458,PM2.5
0314,0,PM2.5
0315,162.82691524344847,PM2.5
0316,0.6862629727931628,PM2.5
0317,0,PM2.5
0318,0,PM2.5
0319,5.277979470420235,PM2.5
0320,4.064414527947745,PM2.5
0321,66.26688156308475,PM2.5
0322,93.61511198930219,PM2.5
0323,1150.5116194033162,PM2.5
0324,1333.0424941553144,PM2.5
0325,522.8411062423285,PM2.5
0326,14.004184408543306,PM2.5
0327,51.44040051412751,PM2.5
0328,753.2262986079371,PM2.5
0329,9728.442868337877,PM2.5
0330,29.58976592006341,PM2.5
0331,247.61237153785598,PM2.5
0332,110.94402563202762,PM2.5
0333,0.21198612880659695,PM2.5
0334,2237.525656621239,PM2.5
0335,2.1856314311157132,PM2.5
0336,186.05949709785742,PM2.5
0337,7.642692889198596e-5,PM2.5
0338,0.17875573455124413,PM2.5
0339,0.033911098052507256,PM2.5
0340,1.0137007010950552,PM2.5
0341,0.19788374093158898,PM2.5
0342,5.564616558498883,PM2.5
0343,0.271059692243562,PM2.5
0344,170.07401541169583,PM2.5
0345,0.6262347083128305,PM2.5
0346,1.3817358861811437,PM2.5
0347,118.00362786356077,PM2.5
0348,0.06911786533195552,PM2.5
0349,0,PM2.5
0350,364.6595154009248,PM2.5
0351,3.3077124925212398,PM2.5
0352,1.70434347734654,PM2.5
0353,45.84673685290386,PM2.5
0354,6.059352108442517,PM2.5
0355,6.305694779596515,PM2.5
0356,51.83270277759423,PM2.5
0357,0,PM2.5
0358,81.77788226026779,PM2.5
0359,0.45505719226756447,PM2.5
0360,2.653264967189034,PM2.5
0361,0.3645279278125184,PM2.5
0362,0.20162284213105505,PM2.5
0363,11.31746731719267,PM2.5
0364,148.63295743276578,PM2.5
0365,562.510533977726,PM2.5
0366,161.45917127244556,PM2.5
0367,0.4508951716524894,PM2.5
0368,0.41659128145664204,PM2.5
0369,76.08184492622078,PM2.5
0370,339.2861124749734,PM2.5
0371,349.11827685212415,PM2.5
0372,496.403188270154,PM2.5
0373,12.367000405876757,PM2.5
0374,0,PM2.5
0375,659.0217994938989,PM2.5
0376,446.0622257883749,PM2.5
0377,0,PM2.5
0378,152.10855128681854,PM2.5
0379,0,PM2.5
0380,0,PM2.5
0381,0,PM2.5
0382,0,PM2.5
0383,4.0858809124335655,PM2.5
0384,0.40874357230682656,PM2.5
0385,0.15365521183678862,PM2.5
0386,12.28791208589895,PM2.5
0387,0.011809899796112319,PM2.5
0388,0.006134870819659738,PM2.5
0389,9.526371751831554,PM2.5
0390,0,PM2.5
0391,57.73682118565225,PM2.5
0392,0,PM2.5
0393,221.27088319212382,PM2.5
0394,0,PM2.5
0395,0,PM2.5
0396,0,PM2.5
0397,0,PM2.5
0398,60.53619641388314,PM2.5
0399,0,PM2.5
0400,0.005446609567200764,PM2.5
0401,0.009544548280747687,PM2.5
0402,0,PM2.5
0403,0.13559037253668868,PM2.5
0404,0,PM2.5
0405,0.0016945913889688134,PM2.5
0406,0.12829101565227344,PM2.5
0407,1.3058559079427838,PM2.5
0408,0,PM2.5
0409,0,PM2.5
0410,0.05008900685793571,PM2.5
0411,7.091977992240023,PM2.5
0412,0,PM2.5
0413,0,PM2.5
0414,0,PM2.5
0415,0,PM2.5
0416,0,PM2.5
0417,0.047435446857089794,PM2.5
0418,0.0011428164266763794,PM2.5
0419,0.00491253403984896,PM2.5
0420,0.00559634571381727,PM2.5
0421,0.0020772460953296244,PM2.5
0422,0,PM2.5
0423,0.01382863897070368,PM2.5
0424,0.026986374416769918,PM2.5
0425,0.04524113071650244,PM2.5
0426,0,PM2.5
0427,0.008820305471189824,PM2.5
0428,0.002750286223800947,PM2.5
0429,0.04432392261167144,PM2.5
0430,0.006107206720848899,PM2.5
0431,0.008861081213223812,PM2.5
0432,0,PM2.5
0433,0,PM2.5
0434,0,PM2.5
0435,0.5821328297406321,PM2.5
0436,0,PM2.5
0437,0,PM2.5
0438,0,PM2.5
0439,0.1807560420335451,PM2.5
0440,0.2462712070181342,PM2.5
0441,0.017662420542808525,PM2.5
0442,0,PM2.5
0443,0.06829313935195923,PM2.5
0444,0.0021866565634225702,PM2.5
0445,0.05881396595147992,PM2.5
0446,0.021936405155680246,PM2.5
0447,0.02194343178441547,PM2.5
0448,0.0027117089219611656,PM2.5
0449,2.9285699573247452,PM2.5
0450,0,PM2.5
0451,0,PM2.5
0452,0,PM2.5
0453,0,PM2.5
0454,0.001477815245182366,PM2.5
0455,0,PM2.5
0456,2.0289977102870176,PM2.5
0457,2.0236505508732567,PM2.5
0458,129.12799482803416,PM2.5
0459,0.33216559019835673,PM2.5
0460,0.5913445548841513,PM2.5
0461,4.062770977788256,PM2.5
0462,3.7131752707928416,PM2.5
0463,184.40875484460184,PM2.5
0464,0.034198533943033446,PM2.5
0465,0,PM2.5
0466,0,PM2.5
0467,0,PM2.5
0468,0,PM2.5
0469,0.9883922814474841,PM2.5
0470,322.21191658180345,PM2.5
0471,86.64110589493781,PM2.5
0472,215.75333459820388,PM2.5
0473,0,PM2.5
0474,0,PM2.5
0475,24.332400852456125,PM2.5
0476,3148.909520461779,PM2.5
0477,0.10191366780702275,PM2.5
0478,3611.8930829862525,PM2.5
0479,3089.7031284920895,PM2.5
0480,0.14163488859243265,PM2.5
0481,0.21550870908740608,PM2.5
0482,0,PM2.5
0483,1.4735634562271962,PM2.5
0484,0,PM2.5
0485,0,PM2.5
0486,0,PM2.5
0487,5.735623100904181,PM2.5
0488,0,PM2.5
0489,0.6439840738209911,PM2.5
0490,0.9844462533848821,PM2.5
0491,0,PM2.5
0492,0,PM2.5
