census_id,emis,poll
0001,4669.340890154147,VOC
0002,3562.0746006195973,VOC
0003,11526.825314229958,VOC
0004,3137.0846105993733,VOC
0005,12829.39911915947,VOC
0006,1134.7586844033135,VOC
0007,7.321971585829061,VOC
0008,10381.069027985572,VOC
0009,100.43901608294038,VOC
0010,16357.180180192498,VOC
0011,1641.4317886423587,VOC
0012,52.3995936624265,VOC
0013,4556.675969123731,VOC
0014,6567.98259402214,VOC
0015,15169.93745947404,VOC
0016,1990.8444983037598,VOC
0017,38609.86805728604,VOC
0018,27992.847324075068,VOC
0019,7368.675059384895,VOC
0020,10148.672147673738,VOC
0021,58593.32024955534,VOC
0022,37697.6258567903,VOC
0023,15161.637325340338,VOC
0024,6440.9085515047245,VOC
0025,22983.4728573554,VOC
0026,690.3011972904328,VOC
0027,54.77422505974244,VOC
0028,1473.3013658332397,VOC
0029,234.19991073480105,VOC
0030,13213.928086964275,VOC
0031,28695.504912100052,VOC
0032,32047.84515466306,VOC
0033,65705.96905132911,VOC
0034,38602.25418723751,VOC
0035,107346.72892772597,VOC
0036,55858.87588817641,VOC
0037,21635.45963891482,VOC
0038,62486.930501311166,VOC
0039,10904.174798260665,VOC
0040,3975.294782617757,VOC
0041,4135.930873025207,VOC
0042,12050.563563975738,VOC
0043,6475.005973090083,VOC
0044,4350.411711395271,VOC
0045,5955.700466057085,VOC
0046,4113.907799015618,VOC
0047,951.4773722442934,VOC
0048,12357.08617800358,VOC
0049,2580.4166521283137,VOC
0050,15774.57764612434,VOC
0051,18760.27335545022,VOC
0052,7218.912688681,VOC
0053,6790.838598486178,VOC
0054,23533.12885895026,VOC
0055,63865.121114286514,VOC
0056,4490.881147713414,VOC
0057,45632.413881953864,VOC
0058,7479.357446888552,VOC
0059,10891.662813716026,VOC
0060,5253.150557966575,VOC
0061,2834.7827550390234,VOC
0062,10200.719778933655,VOC
0063,13.181400605522379,VOC
0064,22199.819507603115,VOC
0065,2498.8781221883373,VOC
0066,948.1063616343652,VOC
0067,17966.070472586624,VOC
0068,5543.912835084213,VOC
0069,6458.8526148524825,VOC
0070,2905.0893569414548,VOC
0071,5895.130515854653,VOC
0072,5777.426084792057,VOC
0073,3031.9208070748564,VOC
0074,8226.115061445253,VOC
0075,8960.96568053684,VOC
0076,4471.979821252056,VOC
0077,3781.3703764350284,VOC
0078,2802.01018768781,VOC
0079,432.3108573173364,VOC
0080,861.114457779632,VOC
0081,95.50888747927043,VOC
0082,1355.370489136845,VOC
0083,8404.123907703079,VOC
0084,22950.755020141227,VOC
0085,2264.2661142518505,VOC
0086,16.213211648091583,VOC
0087,23919.220569297282,VOC
0088,124.18732688981468,VOC
0089,17213.0634564139,VOC
0090,1625.0679569450883,VOC
0091,10631.907131860591,VOC
0092,37.50617824149412,VOC
0093,22.338145808291276,VOC
0094,1.5718979879333663,VOC
0095,3220.497628796454,VOC
0096,2.6321033066465698,VOC
0097,15970.850288398384,VOC
0098,97.63883782043659,VOC
0099,48270.877486310834,VOC
0100,33497.52299159638,VOC
0101,49928.32578795401,VOC
0102,28036.312773319703,VOC
0103,32818.816585010405,VOC
0104,83597.58234000822,VOC
0105,62350.091361551225,VOC
0106,57814.83592327583,VOC
0107,115252.97400918722,VOC
0108,60177.110467350816,VOC
0109,52124.54448533783,VOC
0110,61611.0951250328,VOC
0111,156110.74974729496,VOC
0112,118386.54832125828,VOC
0113,32507.412594958936,VOC
0114,20436.19424150979,VOC
0115,26265.401895462768,VOC
0116,58519.13217392205,VOC
0117,27857.45448395324,VOC
0118,16993.071307100814,VOC
0119,9908.856440177828,VOC
0120,53580.92384079454,VOC
0121,8426.726121466818,VOC
0122,23436.636419882478,VOC
0123,32763.390461004747,VOC
0124,7110.029520356073,VOC
0125,24675.120240976645,VOC
0126,39081.59659635755,VOC
0127,200245.02844010128,VOC
0128,106043.17753796943,VOC
0129,6779.515231820835,VOC
0130,25025.717423530215,VOC
0131,6265.546177046342,VOC
0132,48500.37434739236,VOC
0133,18524.10715513245,VOC
0134,126564.19465669576,VOC
0135,103792.65728469091,VOC
0136,261.0188237562058,VOC
0137,72.39215861046146,VOC
0138,0,VOC
0139,0.465779917487444,VOC
0140,3.0732922005537113,VOC
0141,9763.853417197239,VOC
0142,11769.183923613098,VOC
0143,8237.62389882883,VOC
0144,7129.435362771929,VOC
0145,11449.91087720652,VOC
0146,22157.725200456327,VOC
0147,21988.81786110712,VOC
0148,22332.9097531416,VOC
0149,3142.3469391280405,VOC
0150,4861.094815794451,VOC
0151,4858.54526342391,VOC
0152,28201.54039436311,VOC
0153,9757.353754074316,VOC
0154,19819.477691565746,VOC
0155,6284.420930189588,VOC
0156,3303.4989099286972,VOC
0157,9038.841418498647,VOC
0158,12369.077061728958,VOC
0159,12473.978810444843,VOC
0160,8696.493632875514,VOC
0161,4841.635314712021,VOC
0162,14356.909978571592,VOC
0163,1.8399263196764961,VOC
0164,0.24029788999531845,VOC
0165,0,VOC
0166,0.038779705134835106,VOC
0167,0,VOC
0168,0,VOC
0169,0.14365121696231092,VOC
0170,121.48485150494523,VOC
0171,1.049606980372212,VOC
0172,0.12229697065953797,VOC
0173,0.005517701690137182,VOC
0174,0,VOC
0175,0.9677461851153571,VOC
0176,0,VOC
0177,0,VOC
0178,0.6503870195878986,VOC
0179,0,VOC
0180,4.306904426244824,VOC
0181,54.31380464779754,VOC
0182,0,VOC
