GEOID17,Longitude,H2SO4,NO3,NH4,OC_tot,SOA,SO4,PM,PM_25
47179,-82.44277915160234,1.5716105049375197,0.8922795397222429,0.8363752065652701,3.6159716224354876,5.605865279778731,1.5395368211632847,3.433979071574328,12.340109602578092
47181,-87.76924017151666,1.471966508006181,0.49779393693316976,0.6852432110961005,2.739295889620759,4.536619508406809,1.4419263751897282,2.017579365986118,9.209202530428378
47183,-88.76201948552131,1.3884828739013766,0.6373343678908341,0.695087491689813,1.7990860412809107,2.879521904667798,1.3601464887197157,2.14194480521003,7.742371443359851
47185,-85.48204501234629,1.509260972414644,0.5999822526607257,0.7286107939636283,2.6855727135636718,4.334514146148894,1.4784597280796512,2.193517664182612,9.365885829370505
47187,-86.85236244626256,1.4981610942792694,0.684103166626492,0.7489554885385881,2.922485970348933,4.466350029773682,1.4675863780694884,3.2554790211382203,10.653048800356252
47189,-86.40620494758518,1.583979103956973,0.7178094027055163,0.7902661531277969,2.7214291473255634,4.153707365029697,1.5516529997945858,3.101884421063936,10.34764644588392
48001,-95.69628053151021,1.1537485738610547,0.6384614377132402,0.6091857789637968,1.849000723630724,3.0766724731826245,1.1302026845985842,1.5246752873278708,7.002743551048587
48003,-102.56231317596587,0.5644627923514701,0.17691579469992155,0.2587163288971598,1.151634557631905,1.9825069095863925,0.5529431435279707,0.6406257233433286,3.6232275488782726
48005,-94.71521417960909,1.3594706697781955,0.6190116952661001,0.6791104617173029,2.4644776132896182,4.181611862897426,1.331726370394967,1.4420341878550182,8.281238877514042
48007,-97.05768529290721,0.7730438867524514,0.3401070867466056,0.3827160724576175,0.9403512942039147,1.5738457252288374,0.7572674809003606,0.7617481048814934,3.8314608760670055
48009,-98.61909869946932,0.7366911827839019,0.48251302928358136,0.4107056786750999,0.965016103716817,1.5632680174198912,0.7216566688495366,1.233111933691394,4.426289841853869
48011,-101.35740433877513,0.5820555133469222,0.3343995664645017,0.31090005612799726,0.6770475854725282,1.048932098898658,0.5701768294010666,1.0972220887061788,3.373509323544258
48013,-98.55809273785266,0.6372234452631106,0.4024923944441901,0.3509347125784751,1.092250746016633,1.7910839602921218,0.6242188851557002,0.9865626161955672,4.168297128773465
48015,-96.22946343734974,1.0283770890654158,0.7443020017572485,0.5938588535045746,1.6080250858629204,2.5725459590683744,1.0073898015334686,1.7768384827702939,6.715922386165906
48017,-102.82991312340137,0.5035351993045524,0.2573679606306762,0.259691844535924,0.665339071780642,1.0576867186061627,0.49325897074731667,0.9412775321418128,3.0195592552191277
48019,-99.05635311389503,0.6034695550222992,0.21458885631669664,0.283982684225218,0.881879601658884,1.461403943942923,0.5911538498177624,0.7000570614497127,3.2635021009568494
48021,-97.34225248361804,0.8563374314305062,0.5335667290724685,0.4694794037255965,1.4189435701820299,2.253502887396012,0.8388611573196796,1.646711636420337,5.759598088044919
48023,-99.21351473990919,0.6852293695262913,0.40793052160451204,0.3701483530107046,0.7908918723536731,1.281239457718235,0.6712450966788159,0.9941165676084862,3.738664269468229
48025,-97.68969135147286,0.7060126419506351,0.36350913179242883,0.3648864919874361,0.9994192203982214,1.6703790405854253,0.6916042206863364,0.7547687474889038,3.8595560538048295
48027,-97.57085808144585,0.7917328653684215,0.4584711914205561,0.4239451838657303,1.152054294017293,1.8696708589252802,0.7755750517894741,1.2735317916019986,4.817351891181986
48029,-98.52673033740118,0.6314715871424283,0.44550626011403005,0.3613096815903636,1.5646457018426931,2.4697833942725387,0.6185844118946237,1.6686765073260739,5.576747430445435
48031,-98.39943510937698,0.6953546741775134,0.26545486469311,0.3325039522848676,0.9220369613248174,1.5007860742849821,0.681163762459605,0.9193072065443282,3.7134067719848014
48033,-101.43174879478475,0.5980703029180308,0.2436064512519289,0.2904237485387504,0.9067203862753586,1.5280883592509091,0.5858647865319485,0.9044453932660023,3.5646342552256214
48035,-97.59962520006542,0.8886449319327142,0.5173923448400481,0.4766516761638682,1.1607808498024637,1.891784700773888,0.8705093210769445,1.3055654881496308,5.08003914186015
48037,-94.21367466705105,1.1336411546721237,0.785057659893215,0.6443595736141888,2.7096951705968695,4.540189155642963,1.1105056209033048,1.912090553379453,9.015338097201944
48039,-95.38900071949516,1.042017894563836,0.492397492808018,0.5257361945325586,1.4884366632308001,2.361592855558745,1.0207522232462067,1.7472108177544037,6.168955255217561
48041,-96.3229972382265,0.9642861222445477,0.6454382096384121,0.5416128417794585,1.5640187428086871,2.529906653643577,0.944606813627312,1.6881615438096713,6.369405371115666
48043,-103.52691344245574,0.3837155551237408,0.0777615272652624,0.16353266180581177,0.6265200290002653,1.0805146497199116,0.3758846254273379,0.287901572773867,1.9934259666885936
48045,-101.20859330512651,0.5716604743356392,0.3157028218210235,0.3016533832141922,0.67044500887113,1.0522678736960198,0.5599939340430751,1.1143857327080116,3.355670285774886
48047,-98.16600480168984,0.5232206783800172,0.2720020148936978,0.271171841411567,0.7051284143868636,1.188332060139451,0.5125427053518535,0.5299435225119766,2.78467011733671
48049,-98.99755623476184,0.7158366329426081,0.30561440628872477,0.351687158890917,0.8537582167917467,1.4023753991886485,0.7012277220662284,0.8936447113814903,3.669158308692389
48051,-96.6441939612231,0.9031469982696372,0.6658211967295278,0.5250712131614084,1.4676828462992788,2.3673314728762844,0.8847154268763793,1.6316931243961965,6.093064005433055
48053,-98.23402710175287,0.7549789314831618,0.3084321283495989,0.3668840107766803,1.0570300065428249,1.7289834093752454,0.7395711981875871,1.0654198514344728,4.224698331419159
48055,-97.6695254985366,0.7943681777243449,0.4738597131529243,0.42938089313405137,1.2486948458744749,2.0079080927089343,0.7781565822605827,1.3402014978167882,5.045718374537043
48057,-96.62746118934497,0.8884453345377663,0.4036593357341137,0.44355909396367205,1.1007287880005177,1.8224773622442765,0.8703137970982201,0.9492698592145605,4.5074109856943885
48059,-99.42752157057082,0.6822297380823854,0.3472374184173654,0.35142586923767555,0.8784200918305916,1.4394142157094147,0.668306682203153,0.9983739028436601,3.818681144290501
48061,-97.55531142520569,0.42090727505008735,0.2842540909749512,0.23714438024878354,0.658506347983463,1.0896254906366554,0.41231733066131004,0.552186701381209,2.584117938291686
48063,-94.98671746725132,1.0304025488547677,0.9895597303050867,0.6658067566329846,2.2470518527436534,3.7141938920163997,1.009373925408752,1.9442833077133985,8.344246235522638
