GEOID17,Base_HNO3_mol,Base_NH3f_mol,Base_NO3_mol
47141,0.019292910813932685,0.04200725481565374,0.009414718385845488
47143,0.0217767253638505,0.051870530878058006,0.01146862704646819
47145,0.021968822311637184,0.03880161373052694,0.009848170738010486
47147,0.018316002206796494,0.05058872364465212,0.010140696442603946
47149,0.022001087928021818,0.05831645326574274,0.012376542309678815
47151,0.017824992127595,0.029932478130602472,0.0075071334938791884
47153,0.02228577990583703,0.05495698753156071,0.012041531347952442
47155,0.02180832571282194,0.0392205452142733,0.009852429433931399
47157,0.01789688067798889,0.049087325705849325,0.009820155371823706
47159,0.020451636770610394,0.05409026270635906,0.01129797047724612
47161,0.016066330246244598,0.041004135504849534,0.008277685097767511
47163,0.020662901413228095,0.05004955916219711,0.010861573412226893
47165,0.020366488628780724,0.04860266794751297,0.01058099646746942
47167,0.015314885262325035,0.03491353526040337,0.0073486651015522465
47169,0.020200267095499883,0.04678579353880868,0.010298892971808589
47171,0.02238994904679958,0.04751435133665678,0.011110493804220885
47173,0.02462568650638408,0.03717916494081534,0.010450470457330122
47175,0.01961211515764545,0.043056931197372895,0.009645473575117167
47177,0.020402491529255877,0.0577567294906092,0.011740821330897183
47179,0.02232764199339333,0.07295117525222442,0.014391605479391015
47181,0.016394781949882118,0.037976255021328606,0.008028934466664028
47183,0.015035285123078673,0.061563434638541484,0.01027958657888442
47185,0.01944522171167429,0.0437458475834523,0.00967713310743106
47187,0.0217465087776008,0.04856652491196267,0.011033922042362773
47189,0.02239193779630217,0.051103774543820785,0.011577571011379295
48001,0.01355334385962795,0.0666065489895046,0.0102977651244071
48003,0.004904653590197862,0.019695687572785524,0.002853480559676154
48005,0.013808774957642597,0.06290017103705968,0.009984059601066131
48007,0.009490896483536446,0.03377624978200575,0.005485598173332349
48009,0.008410566933909796,0.06049865503566721,0.007782468214251313
48011,0.005393541394588737,0.09155983428415508,0.005393541394588737
48013,0.009375654323765203,0.04416137110492858,0.006491812813615969
48015,0.016197593288954468,0.0728383157017779,0.012004870996084653
48017,0.004151096139204454,0.08971900094982987,0.004151096139204454
48019,0.006404242358861582,0.021938629239070216,0.0034611105857531715
48021,0.012849847249130332,0.05338550099096441,0.008605914985039815
48023,0.006579524542008258,0.06036998596137785,0.006579524542008258
48025,0.009773735930497456,0.036676820333700566,0.00586305051278111
48027,0.009662870625986485,0.05219875017975659,0.007394696635815421
48029,0.010299203084647525,0.04804126053314482,0.007185584840548872
48031,0.007730178348779677,0.02672530923884678,0.004281530075695323
48033,0.005366296143657631,0.03016583176223849,0.003929136310514982
48035,0.009802186611133508,0.06112451348604253,0.008345037820000777
48037,0.013951005804010305,0.08663567456420208,0.012662220320858305
48039,0.015619521838706513,0.03929702802011898,0.007941895045290612
48041,0.013016452839510992,0.06948760169721738,0.010410293703845358
48043,0.002203992684789406,0.009167882787044564,0.0012542181816977808
48045,0.005091980997113282,0.08104159793032903,0.005091980997113282
48047,0.006475486865721674,0.031629666002210774,0.004387129272478997
48049,0.00661364466258529,0.036973555018610986,0.004929264617560077
48051,0.013470916584754524,0.07091502151222476,0.010739051560153673
48053,0.007996797289272555,0.03309485000108859,0.004974711747574176
48055,0.010869945782261137,0.05063570265719246,0.007642898599240715
48057,0.011470495628149325,0.03792699568532157,0.006510634447324415
48059,0.00664780645646136,0.04400772508031974,0.005600603522860732
48061,0.0056653009742699215,0.03637070898694846,0.004584743402821794
48063,0.015960640811372367,0.14402235568017677,0.015960640811372367
48065,0.006005420813248574,0.07977895103184594,0.006005420813248574
48067,0.015825665543307672,0.09017673411327973,0.013853751623168098
48069,0.004607067497592256,0.2317127280497103,0.004607067497592256
48071,0.026533463742147902,0.03540814383777698,0.01078631686732665
48073,0.014442419484446682,0.06403396252823676,0.010341590210715635
48075,0.005707057165187444,0.05465214935889496,0.005707057165187444
48077,0.009053181734746122,0.06012825133637045,0.007976171487687816
48079,0.004018592600469712,0.045151067632178056,0.004018592600469712
48081,0.005703604349239722,0.021886411782692256,0.003266708377873724
48083,0.006119210339880799,0.03384710515314421,0.00448848936035231
48085,0.01683086878687887,0.07574142232035472,0.012590263794333333
48087,0.005962777854326082,0.052169581452782485,0.005962777854326082
48089,0.014297540080635919,0.05570301834301932,0.009360018497709979
48091,0.009460535438557108,0.0366527863093323,0.005765328146529912
48093,0.007559944808933535,0.04812662165588276,0.006289051126395419
48095,0.005492246277973093,0.02616099908955109,0.00359987912492901
48097,0.011128850804707513,0.05669949695801353,0.008361796193001328
48099,0.00887160073396299,0.04521914059846421,0.006434564921459499
48101,0.005721680757810301,0.05038909446152588,0.005721680757810301
48103,0.004676544479017387,0.011520457424792237,0.002061620165794505
48105,0.004293724182518117,0.008312402477197308,0.001682973073585112
48107,0.005405959025218313,0.06695553656539922,0.005405959025218313
48109,0.0030632440825543706,0.011455274661866558,0.001657849791432689
48111,0.004790172339171947,0.10816122865073721,0.004790172339171947
48113,0.02171695674167544,0.07672635874051695,0.014639873927576862
48115,0.005412561989966237,0.03152756208145021,0.004066628447027803
48117,0.004628559275711728,0.16493444887401246,0.004628559275711728
48119,0.013571765284294037,0.09375297809821001,0.013284876157761149
48121,0.015825116373757882,0.06748659191757855,0.011245640218493955
48123,0.012251398007717167,0.05667198451630248,0.00875183233688127
48125,0.005264817417701435,0.048967056975976184,0.005264817417701435
48127,0.00588928440937382,0.03063549777112695,0.004123818136294431
48129,0.005838138497766898,0.07018089934977145,0.005838138497766898
48131,0.00702191681473287,0.02496215671194684,0.0039149388027800176
48133,0.007412262230247183,0.058201700699972526,0.007204488165127354
48135,0.005365286412505283,0.014218325254847916,0.0024771882770501566
48137,0.003938143121757954,0.015141853230842377,0.002197207346184701
48139,0.017053236039784304,0.0737942013891802,0.012448518105910234
48141,0.00428355637792422,0.024902729340322158,0.0031496896036678134
48143,0.009110205682904313,0.06733738966505183,0.008714514561010524
48145,0.010709776263175748,0.068046577635055,0.009386591877333502
48147,0.013019762545587102,0.07163928989206314,0.010645055414439728
48149,0.012473584279874174,0.1860328310432505,0.012473584279874174
48151,0.005652298642444541,0.043666047099423996,0.005249655242285653
48153,0.005152787804965914,0.08065294995523306,0.005152787804965914
48155,0.0061183365953877715,0.0510306747830178,0.006081976371130936
48157,0.020447876418141973,0.05771391402512051,0.01175144567590745
48159,0.015502399470987733,0.1661066105714735,0.015502399470987733
48161,0.012644117502993452,0.06600033575687528,0.009893613911317326
48163,0.00645709274678581,0.03818499022504622,0.004994814879586722
48165,0.005308905407996048,0.031007576333053455,0.003989038999246438
48167,0.025617487473452737,0.040213584207587805,0.011170097384439727
48169,0.005220693822746505,0.041335477989354885,0.004900044530205044
48171,0.0060969287179855995,0.026035183185301264,0.0037576925641442387
48173,0.006600168809403799,0.021502107584925007,0.0034731653650936123
48175,0.011804362129378822,0.03993744734101784,0.006825781027013336
48177,0.012368375064872926,0.11239615401958128,0.012368375064872926
48179,0.006491960267022341,0.07298207844664877,0.006491960267022341
48181,0.012210743632560432,0.08464372358520834,0.01172143980569108
48183,0.01788508768803031,0.0977639015318784,0.015640028436995294
48185,0.014014145097283534,0.06551722269436913,0.01034882142421884
48187,0.012466022946599507,0.058881235730461515,0.00906391034288337
48189,0.004880339540041688,0.11943214631181842,0.004880339540041688
48191,0.005520010650447206,0.05869157569944486,0.005520010650447206
48193,0.008096785846062528,0.04937078157636346,0.0065874854789212366
48195,0.0062924342767544765,0.15097254391601683,0.0062924342767544765
48197,0.006255613315849914,0.061848633614069566,0.006255613315849914
48199,0.017522921895079206,0.024097795960709958,0.00672662004941549
48201,0.02396674254833727,0.052752928025908155,0.012328959439749236
48203,0.01803897907592601,0.07919394062015751,0.01348005380496235
48205,0.004710739056994177,0.11256966454011055,0.004710739056994177
48207,0.00600906682502555,0.06917363205862119,0.00600906682502555
48209,0.010072188122656908,0.038805161530944626,0.006170506059628685
48211,0.007337855121386388,0.059485337724090544,0.007300817904456585
48213,0.015711489791622322,0.09998192562844826,0.0149294524533579
48215,0.00529694743318721,0.04937980234134285,0.00529694743318721
48217,0.011001305660146937,0.062492407548801865,0.008919081338185052
48219,0.004474528704281166,0.054517537017255466,0.004474528704281166
48221,0.012249978312595356,0.05441550226691795,0.008510426734005969
48223,0.015559507684370217,0.12588359756104345,0.015559507684370217
48225,0.013158020902747673,0.06848299594854264,0.01035465106076431
48227,0.006145983156466274,0.02839860367868667,0.003990779747950919
48229,0.0023136314354039672,0.009078404572151713,0.001273167828824683
48231,0.01769405643535354,0.0733056995816947,0.01263965786444999
48233,0.006082588108225381,0.07485509479573745,0.006082588108225381
48235,0.005618298190873378,0.0148728284408316,0.002601150503074387
48237,0.010012113353964389,0.05119561558990449,0.007411397789276403
48239,0.012457330886977959,0.07508880743246267,0.010798873517317526
48241,0.014758871718239993,0.027208067344509406,0.006314861564468556
48243,0.0024088628053937538,0.012461663979319883,0.001581247213284384
48245,0.018999094916573544,0.02386266012732568,0.007104660126019223
48247,0.0072053351144361006,0.030507357117410233,0.004493928430351853
48249,0.00842347209306245,0.03662890053280608,0.00544745643800007
48251,0.013917613051968593,0.06336523452352097,0.01007512756198324
48253,0.00606701268117706,0.06108706332960575,0.00606701268117706
48255,0.011244768559024952,0.042743793176808195,0.0069444874760773425
48257,0.020506590675110323,0.07416992890646455,0.013839578558628593
48259,0.007297221310064571,0.02922403684293432,0.004398110819802058
48261,0.0062303813359597055,0.027431418613817496,0.0039249134849810305
48263,0.005364431275513947,0.04053772534227201,0.004872700027556422
48265,0.0056225947791597565,0.016121009935752998,0.0027165963195835453
48267,0.004998386334361234,0.015579474392020114,0.0025071310098121976
48269,0.00559821498076842,0.04666780109964554,0.005507172291912647
48271,0.003778527842111218,0.023139156724126593,0.0028554589362987373
48273,0.00782950564969306,0.06680033320235128,0.00782950564969306
48275,0.006052443148036775,0.056917891858804394,0.006052443148036775
48277,0.012301298786312777,0.07725933558843473,0.010969679273568969
48279,0.0044979594232853895,0.10587910712744918,0.0044979594232853895
48281,0.007771378549483346,0.038230344691654844,0.005403671964673992
48283,0.006952602045314111,0.02638911533753214,0.004030770602222636
48285,0.013264294223876856,0.09502722090170763,0.013264294223876856
48287,0.012863179471712824,0.054913512265773484,0.00877575781822086
48289,0.01197933600717996,0.07014160482194727,0.010086332102113871
48291,0.02180690046602005,0.037270012736616634,0.009601136327526636
48293,0.01151170426885617,0.06951428691508091,0.009842343733037376
48295,0.007262663798625245,0.0782443614461914,0.007262663798625245
48297,0.00858330376825774,0.033037372005621554,0.0051427342418825924
48299,0.006975618364616206,0.028580380606709036,0.00424476326148711
48301,0.004457636071883268,0.010495898618976705,0.0019164540547685989
48303,0.005070838625384626,0.06716458232351316,0.005070838625384626
48305,0.00518362595695934,0.05120693011505191,0.00518362595695934
48307,0.0055267843178886285,0.030043575300930395,0.003964412153723759
48309,0.009758266957533056,0.0600720129535397,0.008222844584361831
48311,0.007946230322276197,0.034626882513934996,0.0051082318581630514
48313,0.012265511324213456,0.08374670853844432,0.011648310694720544
48315,0.016448311024974304,0.07594983847720219,0.012463941732872703
48317,0.005547976843989701,0.02021685402849366,0.003071938401422125
48319,0.005489144893917138,0.022989023404086244,0.003309376070706073
48321,0.012803633440869447,0.04092549029992831,0.007244051875070788
48323,0.0038895147365856945,0.017449146721098582,0.002387046506196357
48325,0.007718348767497243,0.034244002320552275,0.005003041518811762
48327,0.005001003438427671,0.016729561602108315,0.0026115327817594386
48329,0.006263572652074592,0.02064763012692728,0.0033028756000981424
48331,0.012179949697885795,0.07013066767947972,0.010161559195853305
48333,0.006886135408305637,0.03845446032425651,0.005152321070834181
48335,0.005879485143648292,0.027041869115559967,0.0037896302665644884
48337,0.010350719767610664,0.05406542157401065,0.007819606318580804
48339,0.017778914754407498,0.04881487156932756,0.009748380088173837
48341,0.0054149152361309145,0.14210517151597618,0.0054149152361309145
48343,0.015512765551279532,0.1128567202875917,0.015512765551279532
48345,0.005263946814880796,0.05431817817924972,0.005263946814880796
48347,0.01455281860451379,0.10380746979438508,0.01455281860451379
48349,0.01347288849309545,0.05938573383828295,0.0094766795564844
48351,0.014842530168259675,0.027150245001312443,0.0063319931116581196
48353,0.005967164995256456,0.03468448174297869,0.004520579949594779
48355,0.008877953744126565,0.052922050280292336,0.007199639872782171
48357,0.006849880570225748,0.11461329285366936,0.006849880570225748
48359,0.0044780065480550975,0.07295617425560771,0.0044780065480550975
48361,0.01862566765867123,0.025188330715456342,0.007162810741660435
48363,0.009925051994378696,0.05477972852367484,0.007745619985243856
48365,0.017403202811335027,0.09543013273148429,0.015149456940342056
48367,0.013020438453930451,0.05977074673329509,0.009357294176094174
48369,0.004392871544193524,0.24073123581547923,0.004392871544193524
48371,0.004113437356633487,0.008055950083462066,0.0016171879263257684
48373,0.01482883167346429,0.034705219998525896,0.007179245409136584
48375,0.0056348106305621785,0.13566435467311128,0.0056348106305621785
48377,0.00159484349327229,0.008872486038723575,0.0010828056018014356
48379,0.017319182846819232,0.0813085078121504,0.013441322470647403
48381,0.005183705956323649,0.12232300850089582,0.005183705956323649
48383,0.005761992905990541,0.012427489097033445,0.002412907463704746
48385,0.004782717755852751,0.03481793585443296,0.004177506180539341
48387,0.012837211161904493,0.09417353219227256,0.012837211161904493
48389,0.004186491446663266,0.007505596228539611,0.0015860256555169934
48391,0.009992672817955038,0.03307270811080968,0.005563484162955845
48393,0.006903836479727423,0.06743320733805945,0.006903836479727423
48395,0.01134359314997484,0.07215769719458452,0.010055310656086872
48397,0.020309717370435902,0.07198799616674464,0.013489653092766762
48399,0.005803504156544856,0.035579757356015144,0.004553912871036423
48401,0.016587246479678196,0.07969442548353084,0.01295559691318695
48403,0.014947307725161806,0.0568383914106803,0.00971422019589069
48405,0.014667450547826298,0.06946926584118637,0.011034461304715937
48407,0.015695647438665174,0.03810368948753688,0.007828714154578245
48409,0.008944362403447263,0.05151240167666947,0.007082466606363654
48411,0.006452593411883644,0.030017295473701154,0.004229650202129583
48413,0.004934626082929116,0.018544130402439435,0.002757748707213364
48415,0.005609805057766641,0.05087834613672562,0.005609805057766641
48417,0.006618282482588539,0.05511014160938858,0.006618282482588539
48419,0.01590565418908558,0.14030697080411575,0.01590565418908558
