25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.004373163,1,1.029569886,1.004134044,1,1.028052038,1.003848721,1,1.026469454,1.003585617,1,1.02408783,1.003291666,1,1.023148341,1.003108573,1,1.021651501,1.002886833,1,1.019767642,1.002512829,1,1.017341462,1.002299594,1,1.015898094,1.002068646,1,1.013632141,1.001783351,1,1.011783618,1.001518823,1,1.010399574,1.001292655,1,1.008872113,1.00104502,1,1.007090056,1.0007703,1,1.005270545
1.005179157,1,1.033281786,1.004889375,1,1.032065625,1.004551318,1,1.02899457,1.004240817,1,1.026872697,1.003898985,1,1.02559429,1.003677821,1,1.024075668,1.003409926,1,1.021990119,1.002971689,1,1.01932449,1.002720411,1,1.017818723,1.002443799,1,1.015185115,1.002112686,1,1.013151731,1.001797345,1,1.011562452,1.001526328,1,1.009925693,1.001234887,1,1.007787407,1.000909478,1,1.005834427
1.006049646,1,1.036512056,1.005705996,1,1.03578963,1.005310179,1,1.031831668,1.004950031,1,1.029633821,1.004556947,1,1.027990527,1.004294203,1,1.026456312,1.003973917,1,1.024016037,1.00346815,1,1.021455957,1.003175057,1,1.019488968,1.002849409,1,1.016597258,1.002469869,1,1.014468989,1.002097787,1,1.012621194,1.00177852,1,1.010969881,1.001439662,1,1.008582868,1.001059876,1,1.006426612
1.006987112,1,1.039977056,1.006584382,1,1.038698047,1.006126543,1,1.034645771,1.00571318,1,1.032712705,1.005265778,1,1.030403359,1.004957647,1,1.029078592,1.004578558,1,1.026626093,1.004003517,1,1.023257649,1.003663646,1,1.021272247,1.003285895,1,1.018209147,1.002853575,1,1.015709459,1.002420739,1,1.013650716,1.002049322,1,1.012006402,1.001659561,1,1.009434679,1.001221748,1,1.007000399
1.007994309,1,1.043899728,1.007531539,1,1.04158765,1.007007185,1,1.037570725,1.006534418,1,1.0354148,1.006030625,1,1.032872841,1.005669827,1,1.03153437,1.005228669,1,1.02869438,1.004581919,1,1.025224546,1.004190198,1,1.022774064,1.003755305,1,1.019585247,1.003265344,1,1.016949463,1.002768291,1,1.01477842,1.00234131,1,1.012995316,1.001895969,1,1.010184327,1.001396227,1,1.007717064
1.009067748,1,1.047859875,1.008542301,1,1.044454924,1.00794847,1,1.040658157,1.007411265,1,1.037973662,1.006847262,1,1.035343707,1.006427165,1,1.033971781,1.005922283,1,1.030739543,1.005198923,1,1.027158415,1.004753778,1,1.024416157,1.004254756,1,1.020969318,1.003703817,1,1.018184976,1.003139236,1,1.015931794,1.002653549,1,1.014065776,1.002148016,1,1.010852666,1.001582543,1,1.008293686
1.010222918,1,1.051051251,1.009627582,1,1.047928256,1.008961194,1,1.044247507,1.008350604,1,1.040518407,1.007725736,1,1.037873125,1.007239892,1,1.036504354,1.006666427,1,1.032767692,1.005864302,1,1.02908335,1.005360362,1,1.026009086,1.004791191,1,1.02247051,1.004174555,1,1.019419237,1.003538223,1,1.016908461,1.002989035,1,1.015070262,1.002418577,1,1.01166901,1.001782203,1,1.008860796
1.011453696,1,1.054337578,1.010783437,1,1.05151878,1.010041874,1,1.04741305,1.009350133,1,1.043102662,1.008661399,1,1.040622487,1.008106268,1,1.039015869,1.007460154,1,1.034779237,1.006570835,1,1.030760437,1.006005963,1,1.027704487,1.005361983,1,1.023859705,1.004676115,1,1.020669425,1.003964067,1,1.017990876,1.003346409,1,1.01595956,1.002706608,1,1.012630215,1.001994592,1,1.009422604
1.01275924,1,1.057711692,1.012008776,1,1.055085354,1.011188405,1,1.050406576,1.010409771,1,1.045741425,1.009654748,1,1.043375111,1.00902592,1,1.041453482,1.008301468,1,1.036774574,1.007318984,1,1.032796981,1.006691297,1,1.029362387,1.005967592,1,1.025243377,1.005208275,1,1.021941224,1.004415183,1,1.019168193,1.003725445,1,1.01684204,1.003011778,1,1.013600622,1.00221988,1,1.00997924
1.014149333,1,1.062022128,1.013312938,1,1.058637853,1.012411061,1,1.053473284,1.011538111,1,1.048354611,1.010713387,1,1.046055364,1.010005934,1,1.043818613,1.009195901,1,1.038754087,1.008116433,1,1.034537939,1.007419847,1,1.031204955,1.006611251,1,1.026803938,1.005774278,1,1.023362224,1.004894492,1,1.020243592,1.004128687,1,1.017789588,1.0033358,1,1.014398402,1.002459764,1,1.010530829
1.015625746,1,1.065498721,1.014699593,1,1.062027468,1.013710175,1,1.056180967,1.012736248,1,1.050943445,1.011838395,1,1.048479685,1.011048636,1,1.046520282,1.010145151,1,1.041230028,1.008966039,1,1.036302554,1.008194736,1,1.033062077,1.007293676,1,1.028376151,1.006376415,1,1.024861846,1.005403287,1,1.02131885,1.004557127,1,1.018985082,1.00367956,1,1.015161608,1.002714204,1,1.011077265
1.01716693,1,1.068630974,1.016149618,1,1.065111071,1.015069042,1,1.058868236,1.013990394,1,1.053562329,1.013014074,1,1.050891443,1.012137812,1,1.048782228,1.011138609,1,1.043440575,1.009855195,1,1.038151655,1.009004851,1,1.034895963,1.00800691,1,1.029943109,1.007005453,1,1.026127032,1.005934627,1,1.022529981,1.005005384,1,1.019986766,1.004038133,1,1.015924329,1.002979568,1,1.011618408
1.018761145,1,1.071750948,1.017650473,1,1.068168405,1.016473689,1,1.06153827,1.015289954,1,1.05632595,1.014229819,1,1.053281223,1.013263795,1,1.051587552,1.012167199,1,1.045732398,1.010776056,1,1.040118767,1.00984233,1,1.036715257,1.008745226,1,1.031496786,1.007656146,1,1.027343739,1.006483773,1,1.023615296,1.005468206,1,1.02100721,1.004408689,1,1.016686799,1.003253543,1,1.012154741
1.020417988,1,1.074853489,1.019212681,1,1.071033589,1.017933908,1,1.064300895,1.016641672,1,1.058914018,1.015493417,1,1.055658136,1.014434062,1,1.053870453,1.013236252,1,1.047684963,1.011733023,1,1.042280748,1.010713181,1,1.038520285,1.009512596,1,1.033037477,1.00833265,1,1.028655691,1.007053993,1,1.024779685,1.005948006,1,1.021950863,1.004793841,1,1.017469373,1.003538034,1,1.012686376
1.022147088,1,1.078165754,1.020843424,1,1.07438839,1.019456316,1,1.067281464,1.018051987,1,1.061492829,1.016811087,1,1.058022971,1.015653211,1,1.056224214,1.014350764,1,1.049622539,1.01273158,1,1.044191677,1.011621209,1,1.040341035,1.010313997,1,1.034565466,1.009038803,1,1.029906322,1.007649326,1,1.02578043,1.006447912,1,1.022888632,1.005195414,1,1.018364254,1.00383449,1,1.013236691
1.023943634,1,1.08166558,1.022538351,1,1.077744421,1.021036416,1,1.070346924,1.019519325,1,1.064157928,1.018180218,1,1.060376048,1.016918934,1,1.058726197,1.015509994,1,1.05154545,1.013769703,1,1.046058984,1.012564317,1,1.042413013,1.011145935,1,1.036172578,1.009771349,1,1.031181092,1.00826747,1,1.026907601,1.006967193,1,1.023823797,1.005612089,1,1.019291455,1.004142353,1,1.013811952
1.02579967,1,1.08514413,1.024290552,1,1.080809532,1.022669759,1,1.073417977,1.021038512,1,1.06683244,1.019594588,1,1.062941462,1.01822621,1,1.06090465,1.016706417,1,1.053454013,1.014840607,1,1.047924985,1.013537253,1,1.044489615,1.012004885,1,1.037592413,1.010527726,1,1.032481139,1.008906185,1,1.028010151,1.007503625,1,1.024761661,1.006041797,1,1.020211289,1.004460297,1,1.014388151
1.027713778,1,1.088601851,1.026100922,1,1.083716481,1.02435569,1,1.076494744,1.022609169,1,1.06951639,1.02105566,1,1.065661906,1.019575418,1,1.063067069,1.017939835,1,1.055346712,1.015946506,1,1.049796822,1.014540638,1,1.046542864,1.012890993,1,1.03909084,1.011307653,1,1.033771422,1.009566063,1,1.029072614,1.008057165,1,1.025701073,1.006484755,1,1.021122441,1.004788406,1,1.014965288
1.029677823,1,1.092039175,1.027957705,1,1.086837696,1.026084461,1,1.079192149,1.024220722,1,1.072649839,1.02255498,1,1.068113329,1.020959685,1,1.065224651,1.019204386,1,1.057340481,1.017081554,1,1.051823634,1.015569532,1,1.048283213,1.013799441,1,1.040577555,1.012107248,1,1.035129007,1.010242925,1,1.030132655,1.008625075,1,1.026638379,1.006938652,1,1.021928531,1.005124635,1,1.015543359
1.031710003,1,1.095456521,1.029877869,1,1.090279098,1.027873096,1,1.082045964,1.025887243,1,1.075489174,1.02410454,1,1.07099515,1.022391809,1,1.067656871,1.020510746,1,1.05971228,1.018254848,1,1.053622828,1.016633752,1,1.049958602,1.014739456,1,1.042045421,1.012934895,1,1.036329048,1.010943475,1,1.031193843,1.009211965,1,1.027575649,1.007408328,1,1.022630568,1.005472019,1,1.016123634
1.033820544,1,1.098854298,1.0318683,1,1.093728086,1.029731445,1,1.084657533,1.027618935,1,1.078153588,1.025712645,1,1.073860206,1.023878903,1,1.0700725,1.02186555,1,1.061902524,1.019474035,1,1.055412754,1.017738357,1,1.051620305,1.01571603,1,1.043500152,1.013793475,1,1.037593108,1.011670488,1,1.032256744,1.009820698,1,1.02851291,1.007895498,1,1.023324977,1.005832689,1,1.016708811
1.036011301,1,1.102224595,1.033933488,1,1.096949467,1.031659772,1,1.087250979,1.029415667,1,1.080801343,1.027380236,1,1.07670839,1.025420889,1,1.072488529,1.023269149,1,1.063906292,1.020738946,1,1.057282677,1.018885243,1,1.053249968,1.016729022,1,1.044943954,1.014683448,1,1.038847918,1.012425271,1,1.033371437,1.010452059,1,1.029449873,1.00840057,1,1.0240137,1.006206533,1,1.017292759
1.038277545,1,1.105528737,1.036072206,1,1.09994511,1.033654569,1,1.089843867,1.031274883,1,1.083428993,1.029104142,1,1.079525692,1.027015846,1,1.074900002,1.024720946,1,1.066066152,1.022047376,1,1.059137071,1.02007227,1,1.054903786,1.017776887,1,1.046488146,1.015604163,1,1.040111456,1.013207235,1,1.034456068,1.011104736,1,1.030386331,1.008922213,1,1.024707796,1.006592878,1,1.017874754
1.040607139,1.000492924,1.109032178,1.03827039,1.000402826,1.102914154,1.03570193,1.000431736,1.092789733,1.033185484,1.000350522,1.085819198,1.030874858,1.000358233,1.081927028,1.028654031,1.000273438,1.077314771,1.02621199,1.000255301,1.06821322,1.02339132,1.000258778,1.060793085,1.021291096,1.000230499,1.056550466,1.018853525,1.000222252,1.048119537,1.016549175,1.00018404,1.041484257,1.014010961,1.000152381,1.03554634,1.011774878,1.000140395,1.03132939,1.009458091,1.000092568,1.025480778,1.00698934,1.00008435,1.018457659
1.042982179,1.001930497,1.11304952,1.040509066,1.001514412,1.105863868,1.03778853,1.001763088,1.095437103,1.035132102,1.001563616,1.088569608,1.032679299,1.001522648,1.084156274,1.030323268,1.001432738,1.079732889,1.027730459,1.00123908,1.070347763,1.024760343,1.001106337,1.062499105,1.022532172,1.001011762,1.058308224,1.019949308,1.000855069,1.049731649,1.017511385,1.000768154,1.042664499,1.014829004,1.000638318,1.036636829,1.012456579,1.000533498,1.03227629,1.010003805,1.00044709,1.026247766,1.00739295,1.00032798,1.018969892
1.045382226,1.003925098,1.117077887,1.042770049,1.003585656,1.109185926,1.039895909,1.003552594,1.097977227,1.037098857,1.00304947,1.091067123,1.034501285,1.002976094,1.086374985,1.03200789,1.002605816,1.082154404,1.02926314,1.002308955,1.072470035,1.026142012,1.002234008,1.064324425,1.023784497,1.002179246,1.059899699,1.021054885,1.00171952,1.051333398,1.018482032,1.001643235,1.043813794,1.015654213,1.001348348,1.037724134,1.013144012,1.001132353,1.033197123,1.010554254,1.000870066,1.02692713,1.007800012,1.000718361,1.019580382
1.047784889,1.005767661,1.121103851,1.045033172,1.005355433,1.112735851,1.042004966,1.005227666,1.100502401,1.039066969,1.004823283,1.093793905,1.036324194,1.004531905,1.088808686,1.033693052,1.003817763,1.084387956,1.030796224,1.003461199,1.074580287,1.027523736,1.003247088,1.066567705,1.025036747,1.003087475,1.061443833,1.022160276,1.002728131,1.052922555,1.019452344,1.002343577,1.04498896,1.016479027,1.002084094,1.038806749,1.013831015,1.001709337,1.034135447,1.011104291,1.001325474,1.027595495,1.0082067,1.001025846,1.020194907
1.050190254,1.007700218,1.124415575,1.047298518,1.007012209,1.115703278,1.044115776,1.0066313,1.103012909,1.041036509,1.005987339,1.096350472,1.038148093,1.005968901,1.091730325,1.035378817,1.004847283,1.086941386,1.032329768,1.004588645,1.07667876,1.028905568,1.004203553,1.068575645,1.02628897,1.004137584,1.062996354,1.023265524,1.003568115,1.054498104,1.020422359,1.002852661,1.046190237,1.017303481,1.002665871,1.039889632,1.014517615,1.002162266,1.035026993,1.011653936,1.001753866,1.028258536,1.008613031,1.001285728,1.020807706
