Location,2019 LBW Counts
Afghanistan,553077.5717
Albania,2026.775833
Algeria,84064.14188
American Samoa,105.6879744
Andorra,43.90922586
Angola,229588.8027
Antigua and Barbuda,114.7181567
Argentina,52051.08967
Armenia,3717.257192
Australia,20085.73631
Austria,5804.149557
Azerbaijan,11772.41507
Bahrain,1700.806764
Bangladesh,1023254.437
Barbados,298.8321958
Belarus,5789.259191
Belgium,9233.844055
Belize,833.871911
Benin,103280.6829
Bermuda,87.36592153
Bhutan,2481.858622
Bolivia (Plurinational State of),29600.91784
Bosnia and Herzegovina,1136.16888
Botswana,9795.670942
Brazil,261715.1915
Brunei Darussalam,798.9615689
Bulgaria,6032.830446
Burkina Faso,146483.3901
Burundi,87091.0179
Cambodia,59210.79797
Cameroon,132995.1961
Canada,24681.42982
Cabo Verde,2441.040313
Central African Republic,33997.93852
Chad,171744.6379
Chile,14288.4264
China,966713.2475
Colombia,103535.3764
Comoros,4835.26074
Congo,21301.22711
Costa Rica,4992.33831
Cote d'Ivoire,193010.6432
Croatia,1890.792293
Cuba,5622.0906
Cyprus,1147.524766
Czechia,8848.125198
Democratic Republic of the Congo,382480.9268
Denmark,3481.77983
Djibouti,7154.271227
Dominica,86.70077991
Dominican Republic,33907.44525
Ecuador,49165.9286
Egypt,422542.7328
El Salvador,14903.59432
Equatorial Guinea,8625.33518
Eritrea,40915.02593
Estonia,623.1537528
Ethiopia,748655.9181
Micronesia (Federated States of),196.2085115
Fiji,1774.278383
Finland,2117.951646
France,67322.62525
Gabon,7875.242569
Georgia,3051.012491
Germany,54911.38266
Ghana,154221.9548
Greece,9731.093599
Greenland,63.51195464
Grenada,145.6307656
Guam,328.0200895
Guatemala,56560.61556
Guinea,105646.3702
Guinea-Bissau,16578.71442
Guyana,2781.777108
Haiti,33663.94635
Honduras,31844.65127
Hungary,7594.573634
Iceland,191.1048974
India,8970299.736
Indonesia,482777.5833
Iran (Islamic Republic of),272832.2692
Iraq,189857.409
Ireland,3747.83262
Israel,15588.29229
Italy,38291.7533
Jamaica,6790.70399
Japan,86850.07796
Jordan,44121.15042
Kazakhstan,20903.80142
Kenya,189563.5965
Kiribati,302.8801279
Kuwait,7646.450988
Kyrgyzstan,8463.444965
Lao People's Democratic Republic,37954.19626
Latvia,905.9838995
Lebanon,12227.93229
Lesotho,8738.545759
Liberia,29974.53253
Libya,16368.32948
Lithuania,1561.431984
Luxembourg,440.4189511
North Macedonia,2166.526255
Madagascar,189673.1253
Malawi,98249.59138
Malaysia,62181.76663
Maldives,1500.042966
Mali,211200.2538
Malta,283.8714625
Marshall Islands,124.4513351
Mauritania,24459.65618
Mauritius,2253.766973
Mexico,211614.9833
Republic of Moldova,2057.825089
Mongolia,5517.765417
Montenegro,380.534287
Morocco,130786.2697
Mozambique,189499.7168
Myanmar,162739.5322
Namibia,12129.90848
Nepal,183556.9068
Netherlands,11220.22415
New Zealand,3461.051625
Nicaragua,17186.34988
Niger,251090.4573
Nigeria,1659323.467
Democratic People's Republic of Korea,34744.88115
Northern Mariana Islands,49.58317857
Norway,2590.233037
Oman,10523.05722
Pakistan,2510971.349
Palestine,13179.93829
Panama,9643.173201
Papua New Guinea,32225.57139
Paraguay,13306.59203
Peru,77132.41472
Philippines,681198.177
Poland,22941.93968
Portugal,7276.080105
Puerto Rico,2641.620919
Qatar,4290.974834
Romania,18491.87849
Russian Federation,104028.7402
Rwanda,34743.33607
Saint Lucia,186.7348538
Saint Vincent and the Grenadines,158.5902269
Samoa,380.8079096
Sao Tome and Principe,393.5723163
Saudi Arabia,90837.1397
Senegal,108157.191
Serbia,4699.362026
Seychelles,215.0508646
Sierra Leone,48352.40728
Singapore,7145.098683
Slovakia,4463.913394
Slovenia,1297.215468
Solomon Islands,2074.457296
Somalia,174974.3525
South Africa,189886.8677
Republic of Korea,23886.44387
South Sudan,72797.43866
Spain,31117.17668
Sri Lanka,47887.74897
Sudan,243288.1113
Suriname,1669.134268
Eswatini,3941.891933
Sweden,3521.027295
Switzerland,5776.104794
Syrian Arab Republic,46080.88406
Taiwan (Province of China),11433.75186
Tajikistan,18083.74927
United Republic of Tanzania,268616.0187
Thailand,63362.08299
Bahamas,703.3149514
Gambia,14598.86114
Timor-Leste,3805.895477
Togo,46744.21683
Tonga,236.503237
Trinidad and Tobago,2474.71825
Tunisia,16648.30365
Turkey,141080.5364
Turkmenistan,6854.302202
Uganda,322210.341
Ukraine,23046.76561
United Arab Emirates,9474.725311
United Kingdom,54841.7349
United States of America,306637.6398
Uruguay,3560.240862
Uzbekistan,47934.36142
Vanuatu,1048.867781
Venezuela (Bolivarian Republic of),43958.83226
Viet Nam,141785.2616
United States Virgin Islands,132.4574811
Yemen,183745.2498
Zambia,87876.38229
Zimbabwe,71595.33082
Cook Islands,12.17496287
Monaco,22.14847898
Nauru,29.85602378
Niue,2.561195492
Palau,19.18331555
Saint Kitts and Nevis,72.96552088
San Marino,12.96124176
Tokelau,3.720924268
Tuvalu,21.70732597
