Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
Bosnia and Herzegovina,0.535510304,0.819724318,1.331942467,3.342636973,9.594145536,22.21458177,50.87997376,99.67876915,136.3291795,174.4677266,287.8926347,309.6558585,193.0995349,60.54155558,16.31602222,,1.250859951,1366.699796
Botswana,2.252645841,3.439047656,6.077011379,11.96673353,17.64052071,27.55047152,46.77631491,62.91228285,82.9843638,101.1031312,89.63116434,67.96045974,34.08314313,11.98420366,2.943832823,,5.120260012,569.3053271
Brazil,121.1778489,191.9049978,301.2612693,492.3723983,928.2196383,1861.704817,3203.363589,5285.527882,7267.582872,9234.184687,11233.21329,12045.22713,10760.12796,6400.419318,3749.742651,,212.528329,73076.03034
Brunei Darussalam,0.121184361,0.201222839,0.355964792,0.612232927,1.106538111,1.609089164,2.893037529,5.58540316,8.723057865,11.84029825,15.63134387,15.79033179,10.61660684,2.980911358,0.582340629,,0.188991691,78.64956349
Bulgaria,2.030362422,3.626861206,7.450701214,16.28182308,43.20187894,76.93358826,143.8064325,280.3007629,395.7222399,472.6356338,556.4517791,673.4806119,574.0898822,226.113158,37.31969709,,2.043351477,3509.445412
Burkina Faso,16.14454594,22.30994229,20.87218086,28.90170284,51.60986945,99.48551778,124.4886608,184.5910879,243.4798192,301.6125492,272.0595549,202.1197352,124.7140294,62.22568891,17.01721742,,125.8929755,1771.632102
Burundi,12.82966217,19.47359888,24.31798308,35.62768025,57.21659526,96.00278813,178.2779678,257.7023248,272.4293449,304.7609955,272.5538918,230.840803,109.2696664,42.82014728,9.237062607,,88.03350664,1923.360512
Cabo Verde,0.564238853,0.648441932,0.677651295,0.992588543,1.651220492,3.010121244,3.654534461,4.810183382,6.25591651,7.479813044,12.06731057,16.63156223,15.42182803,7.901225039,4.611054383,,0.471491327,86.37769
Cambodia,17.54749647,19.76109778,24.80292383,35.56790376,69.6516666,154.0079126,252.9422225,414.4591137,545.0765528,636.8785314,697.837822,715.0377491,531.8598619,190.4514922,57.233323,,31.82514123,4363.11567
Cameroon,39.28683293,48.99780423,45.78723662,69.03592424,98.02966653,187.445789,214.8622462,334.1212369,425.0267275,511.681685,504.9024907,357.4518638,200.9312893,81.49704298,20.86986502,,85.46994178,3139.927701
Canada,2.299620446,3.678379395,6.918358676,15.90469033,48.54132992,159.556573,379.7710628,777.3439712,1317.182652,2015.05623,2512.93521,3021.196895,3239.043869,2335.047109,1226.050161,,4.509545483,17060.52611
Central African Republic,5.244110373,9.635621,12.2114997,27.9415627,54.56571591,83.80524647,135.083095,175.6801074,179.2126201,187.9927307,154.0587833,106.9873134,52.6243712,20.07731705,4.980317774,,35.20653544,1210.100412
Chad,17.60645949,20.7584781,19.73376246,30.74008191,52.49759816,102.5735349,114.0709986,186.0594179,258.8502354,343.1582677,301.7091943,231.2899087,121.884703,53.82986749,15.78268709,,81.04746751,1870.545195
Chile,3.368270865,3.705567071,5.796035456,10.79934421,20.91748343,56.30277085,114.3528206,207.7503187,352.0895904,524.8350681,717.5780949,941.4038337,1095.610577,708.7139353,366.0849215,,10.5007228,5129.308632
China,473.3267246,880.8639126,1323.265306,3449.566633,7403.294506,16015.02867,22352.9361,58087.75943,93601.37471,159156.3868,221919.1496,299131.2741,229772.4633,80712.32928,23046.07468,,479.9323349,1217325.094
Colombia,17.88952262,28.81463168,38.34045557,56.72054537,111.8329163,248.4187554,433.9900685,801.467252,1221.390793,1822.634836,2576.744969,3342.894141,3377.745696,2432.566464,1641.94815,,49.09967742,18153.3992
Comoros,0.535954826,0.817308792,1.113968965,1.673593022,2.682813712,4.605765223,8.30765814,13.50863934,16.56555127,26.11641641,26.17322628,24.96628414,13.12883108,6.556492089,1.613838899,,1.966386838,148.3663422
Congo,2.873898154,5.6897751,7.401491715,14.86682811,26.29123371,41.49529834,64.70268135,93.63873338,111.474168,133.5912722,138.7924925,118.2338469,69.04838529,27.37879415,7.597660276,,7.081400325,863.0765593
Cook Islands,0.015867958,0.029644401,0.041739621,0.066432961,0.115521329,0.198318054,0.314832919,0.405995448,0.691187281,0.759580784,1.274647843,1.210068068,1.050432136,0.644373088,0.276857984,,0.022388811,7.095499876
Costa Rica,1.222596528,1.857004828,2.675399368,3.491087345,6.162567297,11.80388214,24.80049876,49.02472669,70.84896313,115.2424785,188.193184,247.4799382,276.5670896,202.4343925,167.6000014,,3.105165006,1369.40381
Cote d'Ivoire,31.52096414,43.63685388,38.94620074,65.44816917,88.79391639,166.799277,189.5985848,287.3325302,360.183435,414.3696093,381.4012056,303.2032258,178.4464796,71.80536983,18.69690808,,75.26595038,2640.182729
Croatia,0.497539199,0.777655356,1.400598278,3.181207915,8.326114949,20.25795542,48.79948381,104.9618165,169.1489466,213.9905821,377.9449422,514.3636566,409.4443894,175.0823315,33.42712834,,0.87587302,2081.604348
Cuba,1.791422663,3.011757735,5.342565484,16.04830224,37.74046717,109.0975055,217.5927765,360.0105153,588.9804867,732.3105762,853.9725225,760.3148322,621.6367106,400.436025,227.0813234,,3.680413315,4935.367789
Cyprus,0.116373839,0.150568192,0.344346875,0.531514043,1.187849293,2.977654043,6.501732984,14.53732833,28.8193584,49.62263131,85.90104328,136.9365301,117.4503893,51.22428279,12.52351947,,0.217565522,508.8251222
Czechia,1.733065578,2.912823514,5.266720012,14.18256389,30.09615778,61.41717567,137.5289125,339.352564,574.0949521,739.4321124,692.5839342,669.9375619,611.1118467,311.1086494,111.5294897,,2.661958546,4302.288529
Democratic People's Republic of Korea,31.58418404,53.15678605,88.79801446,201.5769062,498.1127255,988.1940209,1589.21486,2690.353605,3366.017389,6475.148437,7677.549961,7289.647935,4341.936371,1871.689667,590.7948633,,40.98918231,37753.77573
Democratic Republic of the Congo,65.23880484,117.3583942,125.5090156,246.4550688,464.8092465,789.9086249,1367.703369,2058.482844,2356.77929,2789.479325,2791.159627,2651.130353,1684.393975,766.9504627,236.8735439,,278.2096714,18512.23194
