Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
Bosnia and Herzegovina,0.630838118,1.403199475,2.059324355,4.090565733,11.57333783,25.54756469,56.39527261,118.7317196,201.5021203,272.0526272,312.40672,330.4696642,150.3186499,39.1054369,9.548758473,,0.65259036,1535.835799
Botswana,1.075968977,1.803507194,4.174543177,10.04897645,21.33692129,37.68424904,64.3568795,112.5517257,125.9958383,116.1010011,98.27164151,58.43268153,30.52821659,9.341926459,2.222309041,,2.144103842,693.9263859
Brazil,81.60428163,212.2457754,395.1483136,704.7694721,1470.624174,2628.220282,4178.407767,6010.325348,7421.285528,8459.605339,8484.004432,7209.493495,5118.246346,2450.854831,1202.655743,,88.53701544,56027.49113
Brunei Darussalam,0.29961361,0.88968694,1.472099412,2.782322213,6.645554272,8.514643907,13.21864675,17.40457707,20.90457692,19.31661952,17.31814924,12.50274697,5.337672102,1.09061871,0.160597784,,0.280661318,127.8581254
Bulgaria,0.616378367,1.84350667,2.339392023,3.570820847,21.66641654,40.00835157,69.18585147,136.6592102,207.3854139,305.0961397,326.0692035,257.6253355,148.2758296,50.35194055,8.241281166,,0.401609039,1578.935071
Burkina Faso,8.467904117,14.53828868,15.95257025,47.77104973,101.7056112,165.4540586,195.6146136,229.6995212,258.9672451,208.4860519,239.7755204,206.2899887,107.4876609,53.71145893,14.38694883,,14.05772494,1868.308492
Burundi,2.442919758,6.187996984,11.19542458,17.97462772,39.76185941,73.65287551,99.73294277,145.897005,130.2225897,123.5114134,103.3012404,86.07803605,42.8481508,17.37982616,3.567334754,,4.950781097,903.754243
Cabo Verde,0.130517088,0.232556971,0.226704032,0.788868974,2.218450204,3.951091763,5.561542079,7.796707708,10.05131023,8.336267919,11.39729382,18.41115617,12.7654113,6.723350067,3.155326474,,0.239568975,91.7465548
Cambodia,8.010962028,16.35567479,23.38664962,37.02191932,82.3083814,165.4967772,243.9678716,319.7836312,340.7754782,342.9858882,302.0222908,230.3130924,134.249741,47.58030067,12.15448167,,10.11585564,2306.41314
Cameroon,18.17593249,28.01920991,26.42805763,73.54800272,148.9746435,241.4626317,287.9218746,391.506935,516.4348234,437.5500199,471.7314291,364.8323184,172.4011414,72.86207658,17.9288042,,29.36061578,3269.777901
Canada,0.699961963,3.699541004,5.589751058,9.77480941,59.50095334,112.8428916,209.9310971,370.9858304,525.5106943,678.8154472,757.0232367,888.2777916,826.8886508,646.4650677,394.294282,,0.430913141,5490.300006
Central African Republic,1.669239894,4.12499605,8.53046163,16.94684267,44.06481999,81.21723325,96.5791183,107.5717024,80.97066957,69.31596783,50.79352466,31.43284231,12.12736516,4.159271735,0.733802624,,3.25642306,610.2378581
Chad,4.697429129,6.756043305,7.392617246,20.07611943,48.25176616,78.01209703,88.92591959,124.2406953,172.9821898,146.7558972,154.2336227,115.7618429,58.70138928,21.69904193,6.902834545,,12.31990628,1055.389506
Chile,1.12532197,3.233246817,5.961138944,11.58766286,35.58079826,75.28297519,138.1654045,230.784632,322.8447929,407.9965636,503.4962475,500.2933967,464.3091063,261.3884135,92.6588572,,0.924677762,3054.708558
China,139.1169976,410.6586862,591.9023876,1139.562619,2906.305489,5920.421374,8391.045479,12606.64524,20198.37828,25333.37433,23943.67868,21603.99468,14090.8908,3815.348165,818.0454157,,91.20575799,141909.3686
Colombia,12.57873808,23.55791589,34.17361911,51.14707182,97.46886067,189.6218967,317.0644151,475.9979571,569.1271912,676.8622309,751.6693969,722.9539503,549.6504503,315.1718691,183.1671594,,12.21747552,4970.212723
Comoros,0.117772424,0.302551814,0.610857495,1.218273101,3.133075418,5.637832561,7.747094505,12.06937621,12.05024663,18.0352386,17.67038023,15.41680031,8.277820701,3.927608141,0.956595729,,0.138814189,107.1715239
Congo,1.469269037,4.287987744,9.379831541,16.84743769,40.55178209,69.89263664,85.86336912,103.9629377,99.96256686,106.1447694,92.1216182,70.10221077,37.87826343,15.00441617,2.556137826,,2.085459144,756.0252342
Cook Islands,0.008319271,0.020618242,0.056842864,0.208108346,0.528886785,1.136654254,2.032437009,2.025201622,3.137089628,2.263982665,3.505112734,2.400490084,2.077691637,0.783093952,0.283473362,,0.009259675,20.46800246
Costa Rica,0.920861449,1.936431198,2.610511172,4.305104506,8.65609389,16.10019385,23.41356033,37.87976839,45.13726477,51.17844623,61.67666525,57.70217952,47.58259477,30.38337173,17.38644532,,0.641944532,406.8694924
Cote d'Ivoire,11.27021632,18.03181944,19.09442551,53.33023611,113.854932,173.6981707,200.4951771,270.1681329,348.7771604,273.0072171,301.416912,238.4764106,115.9407073,51.08719799,13.7412132,,19.30416098,2202.389929
Croatia,0.072875956,0.308434782,0.50527289,0.775456824,3.66697236,9.208158781,21.18752982,44.57803993,74.81108847,103.8489284,146.6114424,193.6645477,143.4531025,58.37469967,9.801158144,,0.053092585,810.8677086
Cuba,1.646969864,3.442392886,4.484951649,8.006876813,29.42817459,64.88970633,102.1128356,118.8859712,173.0770778,226.3318812,266.4010918,218.8825364,151.330101,88.34545901,45.76007212,,1.426122717,1503.026098
Cyprus,0.014376783,0.083086442,0.2149692,0.405571219,1.042166928,2.490997336,5.85293142,13.50707569,27.07065259,45.95902009,65.37868424,99.07643534,73.61661733,23.25439038,3.237112726,,0.006318592,361.2040877
Czechia,0.208335672,0.708231998,1.162791529,2.590402535,16.09956029,26.42258908,54.59534645,117.5148505,234.003421,391.7770369,445.190143,474.9861483,425.8920312,229.1037137,71.7379134,,0.163367925,2491.992516
Democratic People's Republic of Korea,3.657470882,7.169804185,11.99578193,22.18632339,93.86399081,179.9386651,243.1633879,359.7616623,362.3824512,447.3461458,446.2581846,281.7767691,122.9874442,39.87866134,8.380065643,,3.514065726,2630.746808
Democratic Republic of the Congo,20.53001966,53.0710851,95.94039802,151.7151798,359.8677431,713.8102257,839.6944082,1062.773939,906.7907277,929.4671097,780.0528692,671.3718448,352.1205866,160.569622,32.84248588,,35.86912404,7130.618244
Denmark,0.180747445,0.742914285,1.088502494,2.019571501,11.12615617,25.38772285,35.64000349,58.49661436,86.46533225,147.9021829,175.7709466,193.3211345,167.8475166,118.0898783,59.24519414,,0.132471896,1083.324418
Djibouti,0.220429086,0.694932569,1.345490097,2.516867184,6.035850327,10.43643673,13.15678976,18.43529361,17.67227535,20.31147207,16.29863007,11.96519111,5.384654453,2.149301008,0.423839913,,0.310288949,127.0474533
Dominica,0.056334098,0.122811903,0.184958408,0.288904648,0.790376981,1.563030959,2.321949193,3.366088361,4.672185502,5.184888504,6.770399889,7.340253194,4.657278603,2.368758066,0.757874594,,0.072089211,40.4460929
Dominican Republic,10.2312932,18.87132014,25.62350804,42.03389226,80.12710794,134.6771961,163.6815948,234.5869085,238.8341947,272.7290886,226.2355012,197.7478697,140.5826949,61.88879687,20.75370748,,12.62121615,1868.604675
Ecuador,8.877280419,17.87787417,29.03856044,48.93926847,105.9948035,173.2159445,284.7045335,358.079868,426.6031628,482.0032273,521.5128977,476.1212918,383.5874429,226.9024632,45.65607786,,8.789614406,3589.114696
Egypt,25.73397109,58.89308253,93.65937913,184.4999656,523.0673439,1130.859327,1701.017982,2377.291283,2332.875549,1741.606871,1296.857394,841.9935508,481.843419,172.7300791,44.57564786,,23.74777521,13007.50484
El Salvador,3.864460683,8.652830959,13.64772103,24.30931076,54.04755236,85.22154541,126.4188102,166.8689939,193.4065242,212.104648,228.6021117,180.7825524,132.6177792,59.62701663,35.01601621,,2.842289821,1525.187874
Equatorial Guinea,0.417189849,0.999534813,1.41611316,2.207146868,4.985147188,8.322506263,10.75450829,14.87519976,16.97717069,18.29880142,21.57909662,18.49351164,9.288400481,3.997911328,0.909956278,,0.682509249,133.5221946
Eritrea,1.556290694,4.03509625,8.937996261,16.25131948,38.55082265,63.74496296,78.92316561,100.7729343,87.9285494,79.35351688,73.18503752,47.17437804,19.93941276,6.7892571,0.983075781,,2.577010084,628.1258156
Estonia,0.022611539,0.072643952,0.188588538,0.217172212,1.884502464,2.77936301,4.5833659,7.922032844,11.93910506,13.27974428,15.41539237,15.44541107,9.066190909,5.01706133,1.306878928,,0.015565096,89.14006441
Eswatini,0.9300878,1.361379912,2.774929966,6.75798797,14.40225532,25.15966306,37.23851464,69.44156317,81.73991555,82.69790991,68.56483419,34.54108803,14.20192266,4.020384919,0.791072604,,2.131508712,444.6235097
Ethiopia,19.3549998,47.38866597,88.38881291,137.5837348,328.4233784,556.2676781,737.8243729,1079.083708,1153.212473,1518.465983,1550.74424,1263.032835,645.08472,272.420089,56.33267324,,38.24324933,9453.608364
Fiji,1.955189985,5.047424556,12.0280793,27.46827334,53.31508145,110.332663,166.9220598,205.8101062,210.9381615,191.7400454,137.1411041,94.63866729,54.38998248,12.2471133,2.420266462,,1.678234875,1286.394218
Finland,0.106725122,0.507925417,0.660733032,0.965796844,5.436076743,8.151401263,12.40820186,19.78258115,30.88174268,48.18311214,47.95508278,64.94566089,55.07109619,40.03910237,17.89516597,,0.0893023,352.9904044
France,0.930624109,3.735274824,6.477593902,12.42270132,73.26273365,124.1830183,233.8210425,395.2184409,636.2746995,885.6216937,1015.780489,1625.639029,2039.343063,1640.437991,801.2731818,,0.739101322,9494.421575
Gabon,0.642748895,1.775949624,3.434372248,6.134256864,16.20377822,30.99515584,42.8267543,55.05599708,55.68216656,49.79403631,52.03772514,45.12015312,26.41741018,11.82369663,2.533906156,,1.023150265,400.4781072
Gambia,0.687953757,0.997889759,1.159589574,3.379545844,7.217632753,11.83720453,13.70880503,20.81552911,29.63029759,26.6274581,34.87230981,31.50471264,14.62889154,5.317469391,1.412327509,,1.423209532,203.7976169
Georgia,0.233065042,0.866498829,1.443886084,2.774319095,15.68701706,33.07797876,72.01852676,131.0176504,175.0884868,163.6498215,171.4326082,132.586485,40.66136975,22.75654049,7.926215563,,0.234757815,971.2204694
Germany,1.562179077,7.132867566,11.82094058,22.802857,114.0825061,275.0153944,471.7156438,731.2638386,1011.599299,1333.551231,2546.219675,4187.749355,3543.806247,2384.13647,1001.918869,,1.213181349,17644.37737
Ghana,14.66166554,27.9547328,28.38845657,92.58435183,179.2718862,298.3655667,355.6162434,515.592802,711.232521,544.7003806,591.5550315,424.2483904,209.1751628,82.72136014,24.12368779,,23.96256196,4100.192239
Greece,0.14361386,0.572521242,1.202914977,2.759325512,8.614462176,19.07413079,36.35608548,60.34147977,94.41668324,141.2621634,188.5403257,239.6852365,190.5666915,87.81295608,24.5934388,,0.138662621,1095.942029
Greenland,0.002511441,0.017218808,0.023809958,0.035908227,0.10776845,0.305541741,0.465572251,0.546683394,0.533989091,0.5674634,0.556281351,0.40674255,0.284422606,0.098543291,0.017394648,,0.00133076,3.969851204
Grenada,0.089834748,0.21422168,0.314322031,0.542910681,1.541708801,3.018832738,4.52489964,6.218869339,8.532608808,10.00264109,10.45540159,6.518627341,3.530409563,2.021006486,0.841388362,,0.122075218,58.3676829
Guam,0.040693775,0.115591182,0.28211195,0.640925629,1.315927746,2.904999535,3.629052684,4.29343472,4.553515569,3.889539927,3.175443688,2.889488007,2.512364493,1.481986589,0.734971798,,0.028383715,32.46004729
Guatemala,21.23912628,51.46265168,95.30360073,145.8353574,245.4631428,346.8055886,459.743913,573.8633841,627.5785212,577.2372296,505.7207154,598.8713413,374.1341991,127.1246663,16.94294902,,18.41015002,4767.326387
Guinea,6.138523582,7.816019237,8.913987414,22.33294563,47.16064391,81.21461207,96.5843795,151.803893,205.0541381,171.8718635,178.6725933,146.7993543,82.05614053,45.43093255,13.86888483,,11.81759609,1265.718912
Guinea-Bissau,1.437763109,2.023969507,2.330320472,5.831049362,11.67469511,17.88892593,19.59147615,26.32158875,33.09614173,26.37081216,24.29436536,16.52475519,7.429872151,2.98680253,0.745716382,,2.279087724,198.5482539
Guyana,1.232744225,2.253968351,3.269644316,7.209681654,16.96229987,32.01391085,48.54363507,61.34041808,64.74047533,52.9000814,45.52016821,31.80597687,17.32085557,10.08545655,3.207971385,,1.50963694,398.4072877
Haiti,8.352718262,18.25807016,27.73569383,46.87414282,106.5627994,178.7407872,250.4597994,337.6561518,403.8177214,359.29176,304.4620098,217.4794726,96.05196016,34.65685965,8.319132352,,11.83085523,2398.719079
Honduras,2.382534066,4.409963298,7.019081078,14.04878163,30.64483611,50.69089266,71.83652286,95.3964016,110.4057574,119.0478005,107.6964545,71.39294086,32.57023991,13.18104419,3.169458117,,2.680579734,733.8927088
Hungary,0.336737691,1.116325928,1.886265843,4.3912487,21.57003621,41.70920147,72.55861202,146.1969386,227.6028031,283.6916914,364.7505249,338.577576,238.9665731,94.13667527,21.70196414,,0.194365686,1859.193174
Iceland,0.002162422,0.009733187,0.015738085,0.027650143,0.15864944,0.299660635,0.548890772,1.00380546,1.462534064,2.096040549,2.700738205,3.332312043,3.122437519,2.404060046,1.414407053,,0.001738528,18.59881962
India,280.1205062,781.4615823,1122.034128,2578.320948,6297.714653,11866.39164,17317.74783,26806.36338,31814.73208,32407.46303,34227.34399,30613.16073,15311.70838,6164.374611,1077.803721,,329.2521807,218666.7412
Indonesia,225.2621704,559.4928506,1165.420038,2416.655134,5434.578761,8374.449085,11208.66198,12753.09473,11161.66884,9164.991192,7934.682451,5528.987239,2890.421072,991.8709781,226.3222745,,251.0267475,80036.55879
Iran (Islamic Republic of),14.28655562,34.78932023,61.80683903,103.8921101,251.4710083,520.1014151,857.6267182,1386.853835,1508.161839,1563.943293,1729.647275,1670.613822,1176.971489,485.6108015,152.3622219,,12.68243127,11518.13854
Iraq,28.0660942,42.02886827,66.03143995,124.0107306,304.6528135,442.9729092,620.796981,851.6947902,960.8192797,969.1966394,862.2235098,613.0149299,383.4423876,175.819469,64.69515571,,36.57877651,6509.465998
Ireland,0.080177445,0.285321489,0.461938205,0.700217408,2.733387479,4.388225896,7.959499897,12.70605602,22.24172269,42.85184663,64.39056539,79.99021395,80.37700409,45.54564451,17.75398045,,0.05856194,382.4658016
Israel,0.298575818,1.021500636,2.160621329,4.870465851,18.15916414,36.14264568,61.99664589,105.5925869,180.2986857,264.243461,274.6762397,380.1163935,351.9068582,258.5340569,147.7347138,,0.189612325,2087.752615
Italy,0.810099954,3.429613515,7.118972303,16.98226717,90.43663602,212.4608593,388.1921156,662.8982641,1115.115943,1809.341546,2634.488958,3549.592668,3708.114393,2479.429976,1138.171543,,0.689550643,17816.58386
Jamaica,1.864495023,4.50389955,6.00996241,12.19858173,31.97732572,61.79843364,102.032714,147.7530855,188.13457,254.2372859,265.4834158,258.2377211,207.5129739,136.8233843,101.1711764,,1.858170381,1779.739025
Japan,1.779994142,6.272293595,11.65107734,25.19311213,101.6721427,140.8017352,195.2419408,293.9665823,498.1568102,786.9319009,989.0830649,1110.767401,1127.307849,916.916689,609.6560961,,1.599064788,6815.39869
Jordan,1.811212308,3.69282028,6.062731118,14.17448891,39.76402009,84.76712152,124.5821818,170.6502879,223.4689525,262.6281439,265.8356011,186.3882299,92.42450364,39.19116009,14.45817154,,2.094372895,1529.899627
Kazakhstan,2.29601467,5.644294883,6.716545481,9.519873384,42.86596881,74.75573298,175.1197781,282.25317,366.0805056,290.5363379,310.1184421,262.8653718,58.95678987,29.71132549,3.764214525,,1.69981392,1921.204366
Kenya,10.02936353,28.53714811,53.13800107,86.65154249,213.287286,356.0867662,458.6497606,619.3004435,600.425039,715.6041193,635.9165918,485.8669369,248.0961672,106.7733509,24.0507277,,18.53925658,4642.413244
Kiribati,0.465650491,0.954711589,1.895573569,4.615478972,7.544800387,12.24955572,16.43684536,15.88957078,13.04356108,9.760304903,5.587157243,2.627304883,1.67946628,0.425332329,0.072023759,,0.340309722,93.24733734
Kuwait,0.532946898,1.772477383,2.556141048,4.398983089,8.859493223,15.09430529,18.25158031,23.39455846,24.20175042,36.21605373,30.6387006,33.09105747,34.4119398,20.75044923,10.26634798,,0.563243561,264.4367849
Kyrgyzstan,0.869580692,1.546000572,2.088105289,3.627318614,11.22387006,18.92945764,38.32095569,45.79083761,46.28096963,20.92844118,17.58396755,11.66829255,6.572115713,4.593425382,0.909837964,,0.749437905,230.9331761
Lao People's Democratic Republic,5.404426387,10.17278631,13.50207534,23.06032427,46.09405174,76.96499065,108.2746059,138.7563679,137.5671756,127.7878238,121.1229627,90.84646183,50.17003607,20.27946325,6.137178893,,6.21506629,976.1407306
Latvia,0.304697224,0.82972849,1.036731642,1.384579711,4.226507573,7.690404425,11.94154941,18.93353174,26.89896736,33.33125333,43.85115016,44.36330884,28.4067483,15.13704478,3.936324165,,0.134844587,242.2725272
Lebanon,0.453841715,1.072330994,1.623995922,3.312470494,9.070434975,19.20643801,27.68295854,35.63666163,68.23042574,92.04431179,94.3445008,79.196684,54.89553828,26.61883015,7.164274816,,0.356741002,520.5536979
Lesotho,1.378864214,2.156348197,4.721375128,10.67577242,23.19546559,46.19352952,77.66209613,139.4987353,162.2810466,143.7872516,107.7657645,60.34887801,29.56368854,9.050515936,1.814885509,,2.938215572,820.0942172
Liberia,2.04475648,2.645304737,3.526498425,9.429320243,20.71627418,27.88323852,30.94346615,40.02286848,55.09337469,47.3155939,52.028954,45.97161678,25.89745132,13.16043993,4.152334357,,3.693636169,380.8314922
Libya,0.641785808,1.91596909,3.767383088,9.197808629,25.87092578,39.99092718,48.99839233,72.24570673,74.97096145,73.41027212,73.66035989,50.54845172,35.7991825,20.69907111,8.528281326,,0.645861399,540.2454788
Lithuania,0.100480673,0.27640436,0.434852645,0.53582756,4.784248867,6.191287405,10.20820578,16.90678401,21.52053699,22.95192572,27.5193597,26.63543593,16.11111706,8.574577655,2.044318034,,0.046399404,164.7953624
Luxembourg,0.008541971,0.036573699,0.057099744,0.090413712,0.451012075,0.860176409,1.410007378,2.415214724,3.372345388,4.947182619,7.180939605,9.275655193,9.116242222,6.390156811,3.155922246,,0.005857655,48.7674838
Madagascar,5.573431539,13.70991923,24.96270134,44.00837784,90.21368133,153.5823889,201.1386652,276.1093009,232.8992375,237.8820703,188.8443224,142.9750349,72.985491,34.23723841,7.18995005,,9.987283907,1726.311811
Malawi,3.473091133,9.567368235,15.9669118,26.61559658,64.87693644,107.6780719,132.4724313,206.4981605,233.3786497,278.8451659,233.2785497,169.2837122,84.83455656,42.80145711,10.58025257,,7.569688812,1620.150912
Malaysia,5.816877004,16.0573667,21.7780708,32.17699481,72.4802624,136.5165613,221.4149904,307.6854945,367.4392033,377.3287495,284.0690795,210.3818293,116.3005306,72.02690346,15.98826269,,6.011704868,2257.461176
Maldives,0.101991759,0.324230908,0.45067308,0.646725649,1.166329407,1.910214558,2.692193648,3.797730615,3.574568733,3.851363591,4.81339455,5.406279998,3.73699318,1.707766929,0.577598981,,0.054455345,34.75805559
Mali,7.701054496,9.525062891,12.4117794,29.56826083,69.40375549,117.5645378,139.4814474,208.1666266,282.9696173,258.3035813,246.3657536,197.4883979,97.62013111,46.39820644,12.79739995,,16.67878384,1735.765613
Malta,0.021938058,0.078747579,0.120368166,0.197146111,0.672975038,1.090649784,2.32734039,4.686608969,7.848219189,13.72369527,14.41766232,18.61030737,14.09072564,8.880899531,5.482417014,,0.014511071,92.24970044
Marshall Islands,0.066966157,0.181345827,0.472666566,1.034804437,1.728454548,2.77192908,3.393906787,3.844088106,3.826299898,2.915291592,1.607180137,0.94487198,0.490018293,0.1408011,0.031932089,,0.052401754,23.4505566
Mauritania,1.045048018,1.304217372,1.806017737,4.678889547,10.5120674,19.17679605,24.21263876,39.22961633,56.48533787,53.12277287,66.11307488,60.0481351,35.89372823,15.12572495,6.197572895,,2.023100407,394.951638
