25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.006187667,1,1.048730754,1.005713804,1,1.048804862,1.005178377,1,1.036009404,1.004696564,1,1.032129499,1.004322536,1,1.028308453,1.003887898,1,1.024788095,1.003516754,1,1.020014747,1.003131721,1,1.018389201,1.002818051,1,1.01732856,1.002428146,1,1.014232928,1.002076703,1,1.012703411,1.001825089,1,1.013246967,1.001477328,1,1.008979151,1.001163052,1,1.008276452,1.000853132,1,1.00605323
1.007307328,1,1.053397567,1.006747664,1,1.053435955,1.006116734,1,1.039604236,1.005548081,1,1.035344205,1.005106484,1,1.031141472,1.004593421,1,1.02731401,1.004155382,1,1.022034181,1.003700375,1,1.020245315,1.003329803,1,1.019091906,1.002869173,1,1.015705475,1.002454002,1,1.013969337,1.002156343,1,1.014565639,1.001745708,1,1.009898282,1.001374246,1,1.009085866,1.001008142,1,1.006651809
1.008536297,1,1.058128554,1.007882471,1,1.058117695,1.00714709,1,1.043271083,1.006483225,1,1.038624328,1.005967503,1,1.034032776,1.005368423,1,1.029898286,1.004857032,1,1.024098786,1.004325147,1,1.02214258,1.003892079,1,1.020895719,1.003353772,1,1.017215432,1.002868613,1,1.015273491,1.002520276,1,1.015914213,1.002040632,1,1.01083909,1.001606308,1,1.009908459,1.001178498,1,1.007261086
1.009857234,1,1.062907194,1.009102187,1,1.06278806,1.008254908,1,1.046995799,1.007488802,1,1.041956992,1.006893437,1,1.036970519,1.006201963,1,1.032530165,1.005611804,1,1.026198881,1.004997206,1,1.024103409,1.004496926,1,1.022732165,1.003875086,1,1.018756011,1.003314665,1,1.016610676,1.002911717,1,1.017283275,1.002357915,1,1.011795523,1.001855939,1,1.010740986,1.001361776,1,1.00787867
1.011269599,1,1.067734426,1.010406311,1,1.067584643,1.009439784,1,1.050778782,1.008564461,1,1.045342499,1.007883972,1,1.039954965,1.007093773,1,1.035209776,1.006419472,1,1.028334612,1.005716349,1,1.026111181,1.005144164,1,1.024601287,1.004432961,1,1.020327204,1.00379203,1,1.017970861,1.003330542,1,1.01867282,1.002697465,1,1.012766778,1.002123064,1,1.011583449,1.001557925,1,1.008504554
1.012779474,1,1.072618158,1.011800469,1,1.072437483,1.010706892,1,1.054626229,1.009714926,1,1.048786409,1.008943472,1,1.042991201,1.008047804,1,1.037941485,1.007283637,1,1.030577952,1.006485788,1,1.028160534,1.005836689,1,1.026506265,1.0050299,1,1.021931704,1.004302859,1,1.019356361,1.003778625,1,1.020084872,1.003060815,1,1.013756582,1.002408886,1,1.01243714,1.001767834,1,1.009139676
1.01438629,1,1.077559269,1.013284134,1,1.077308285,1.012055802,1,1.058538517,1.010939826,1,1.052289005,1.010071607,1,1.04607947,1.009063772,1,1.040725046,1.008204061,1,1.032870197,1.007305306,1,1.030251498,1.006574306,1,1.028447132,1.005665742,1,1.023560645,1.004847016,1,1.020767173,1.004255836,1,1.02151942,1.003447866,1,1.014764908,1.002713325,1,1.013302058,1.001991448,1,1.009784025
1.016092763,1,1.082562089,1.014859817,1,1.0822312,1.013488857,1,1.062518902,1.01224131,1,1.055853185,1.011270366,1,1.049222415,1.010143489,1,1.043563137,1.009182405,1,1.035212365,1.008176386,1,1.032385022,1.007358355,1,1.030425484,1.006341645,1,1.025208634,1.0054255,1,1.022204443,1.004763036,1,1.022977462,1.003859331,1,1.015792546,1.003036938,1,1.014178841,1.00222918,1,1.010438062
1.017898315,1,1.087627424,1.016526984,1,1.087208726,1.01500562,1,1.066567733,1.013619,1,1.059479209,1.01253941,1,1.052420257,1.011286663,1,1.046455863,1.010218424,1,1.037604495,1.009098805,1,1.034560999,1.008188636,1,1.032441345,1.007057443,1,1.026888679,1.006038171,1,1.023668163,1.005300091,1,1.024458983,1.004295109,1,1.016839467,1.003379645,1,1.015067401,1.002480974,1,1.011101773
1.019834871,1,1.092790863,1.01831518,1,1.092273888,1.016633101,1,1.070714243,1.015097513,1,1.063191502,1.013901465,1,1.055697221,1.01251383,1,1.049365242,1.011330784,1,1.040065962,1.010089214,1,1.036797535,1.009080164,1,1.034508938,1.007826108,1,1.028614183,1.006696159,1,1.025169797,1.005876753,1,1.025974049,1.00476314,1,1.017913781,1.003747693,1,1.015973947,1.002751434,1,1.011779847
1.021866088,1,1.098014982,1.020190766,1,1.097392071,1.018340662,1,1.074927052,1.016648963,1,1.06695471,1.015330806,1,1.059027148,1.013801775,1,1.052291651,1.012498423,1,1.042574194,1.01112882,1,1.039034205,1.010015995,1,1.036612186,1.008633008,1,1.030370392,1.007386919,1,1.026696716,1.006481999,1,1.027511056,1.005254471,1,1.019006498,1.00413403,1,1.016891661,1.003035371,1,1.012467095
1.023981761,1,1.103290043,1.022144293,1,1.102554305,1.020119719,1,1.07919781,1.018265551,1,1.07072918,1.016820238,1,1.062403044,1.015144014,1,1.055254882,1.013715468,1,1.045037444,1.012212382,1,1.041268214,1.010991406,1,1.038705529,1.009474065,1,1.032153287,1.008106958,1,1.028245478,1.007112751,1,1.029067277,1.005766609,1,1.020115154,1.004536687,1,1.017818621,1.00333134,1,1.013162098
1.026168578,1,1.108602802,1.024163436,1,1.107748369,1.021959056,1,1.083515276,1.019937071,1,1.074478546,1.018360345,1,1.065815527,1.016532053,1,1.058247638,1.014974213,1,1.047514812,1.013333023,1,1.043525118,1.012000195,1,1.040785233,1.010343924,1,1.033957527,1.008851685,1,1.029811508,1.007764972,1,1.030638821,1.006296276,1,1.021236484,1.004953081,1,1.018752277,1.003637443,1,1.013862979
1.028445284,1,1.113974556,1.026265553,1,1.112994059,1.023874572,1,1.087762518,1.021678028,1,1.07841192,1.019964529,1,1.069278815,1.017978012,1,1.061355845,1.01628569,1,1.050028978,1.014500585,1,1.045815297,1.013051243,1,1.042892919,1.011250262,1,1.035791097,1.009627691,1,1.03140164,1.008444432,1,1.032231684,1.006848177,1,1.022375318,1.005386915,1,1.019696448,1.003956408,1,1.014572532
1.030817724,1,1.119412772,1.028456056,1,1.118298354,1.025871261,1,1.09204473,1.023492992,1,1.082409578,1.021637017,1,1.072797036,1.019485727,1,1.064573099,1.017653401,1,1.052584728,1.015718195,1,1.048142239,1.014147368,1,1.045111495,1.012195522,1,1.037656639,1.010437076,1,1.033018132,1.00915296,1,1.033847845,1.00742381,1,1.023532904,1.005839367,1,1.020652398,1.004289108,1,1.015291678
1.033272697,1,1.124904218,1.030722719,1,1.123649041,1.027937984,1,1.09637383,1.025371822,1,1.086461327,1.023368449,1,1.076361782,1.021046747,1,1.0678161,1.019069681,1,1.055174435,1.016979007,1,1.050499141,1.015282399,1,1.047384472,1.013174372,1,1.039548827,1.011275266,1,1.034656422,1.009886534,1,1.035483289,1.008019908,1,1.024705629,1.006307862,1,1.021617582,1.004633648,1,1.016018542
1.035806583,1,1.130445613,1.033062189,1,1.129043437,1.030071714,1,1.100747256,1.027311773,1,1.090564729,1.025156296,1,1.079970139,1.022658797,1,1.07102116,1.020532473,1,1.057796248,1.018281185,1,1.052881595,1.016454679,1,1.049688529,1.014185382,1,1.041466272,1.012141039,1,1.036315362,1.010644072,1,1.037116157,1.008635599,1,1.025893282,1.00679171,1,1.022591363,1.004989522,1,1.01675265
1.038425209,1,1.136044578,1.035479864,1,1.134488384,1.032277429,1,1.105170978,1.029317402,1,1.094723523,1.027004772,1,1.083627171,1.024325701,1.000392924,1.074266621,1.022045271,1.000558598,1.060454058,1.019627848,1.000394643,1.055294647,1.017667024,1.000042972,1.052026732,1.015230991,1.000410797,1.043410853,1.013036492,1,1.037997199,1.011427402,1,1.038743436,1.009272379,1.000271589,1.02707457,1.007292087,1,1.023574999,1.005357601,1,1.01749492
1.041087495,1,1.141657031,1.037937689,1,1.139943037,1.034520311,1,1.109608302,1.03135695,1,1.098700482,1.028884535,1.000414148,1.087302691,1.026020923,1.001273037,1.077527271,1.023583939,1.001374076,1.06312307,1.020997448,1.00111931,1.057717119,1.018899991,1.000685414,1.054395498,1.016294385,1.000978802,1.045366142,1.013947191,1.000061038,1.039687235,1.012223863,1,1.040375058,1.009919937,1.000619078,1.028249703,1.007800871,1.000221055,1.024560296,1.005731898,1.000017774,1.018239326
1.043846059,1,1.147341425,1.040484413,1,1.145461686,1.036845051,1.000910875,1.114107684,1.033471218,1,1.102677396,1.030833301,1.001444204,1.091036893,1.027778598,1.002216603,1.080839488,1.02517956,1.002248095,1.065923253,1.022417733,1.001896373,1.060177952,1.020178622,1.001375239,1.056824552,1.017397232,1.001587882,1.047354525,1.014891745,1.00055601,1.041404506,1.013049756,1,1.042027883,1.010591568,1.00099181,1.029445694,1.008328531,1.00050687,1.025557955,1.006120137,1.0002226,1.018993724
