Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
Bosnia and Herzegovina,1.937270662,4.909584574,10.14921978,28.95322711,75.64475774,191.5957355,400.3067575,552.6164022,594.7495867,484.3906805,373.9401743,275.8203263,102.0682635,25.11036411,5.06062181,,2.488315286,3127.252972
Botswana,1.418534742,4.14101893,10.10079308,20.06376293,34.949037,47.5736277,63.27265052,70.39513686,66.22793907,54.3202729,38.46647394,23.65446267,9.231513662,2.243981297,0.428498002,,1.160295157,446.4877033
Brazil,68.03341098,154.9088021,305.3938223,584.8185423,1279.175297,2546.539157,4286.4127,5708.121519,6204.494998,6146.856443,5149.421853,3748.753527,2188.379388,925.9580807,370.9037735,,82.25650722,39668.17131
Brunei Darussalam,0.528842461,1.083718761,2.088321238,3.531514342,5.764149631,8.756949973,12.81339655,17.34685548,22.60960257,19.5251812,16.58582048,11.82476563,5.031797348,1.049455572,0.154399365,,0.452838638,128.6947706
Bulgaria,4.423796799,13.8529521,41.30673437,105.7080978,260.3727832,481.1180085,786.4591836,1061.319815,1166.991617,977.1208089,631.7610717,314.015293,157.5227334,36.3799305,4.819128278,,3.323074158,6043.171955
Burkina Faso,6.771700719,19.71987065,23.83128811,34.36496824,62.85809827,116.9783315,145.3429264,191.2299198,217.0914462,218.8789287,164.3407914,95.12499318,38.165858,11.06753263,2.438929035,,7.164819371,1348.205583
Burundi,1.865030838,4.344207142,9.113172581,18.24589131,28.8943277,45.08662038,67.5101356,86.60973672,86.34423486,65.2481558,46.88881994,24.93016769,9.350808115,2.289821683,0.413060613,,2.451343767,497.134191
Cabo Verde,0.472939606,1.518799542,1.543681511,1.575775409,3.089510045,6.381686363,8.630267272,12.19919248,13.50101708,12.2211351,12.53316054,15.87767132,9.859057059,3.68658251,1.207921518,,0.611789202,104.2983974
Cambodia,17.24429914,29.55047121,53.42310626,88.21383668,168.5700059,341.208109,529.7583054,668.5480939,706.7350164,666.9788616,486.6897778,284.8702053,155.0524278,35.05326261,6.810500465,,18.63857318,4238.70628
Cameroon,14.06081711,40.47540738,48.47839195,70.28627233,118.9515997,220.7876725,272.7640137,362.0460121,388.1429291,369.8101086,282.9239489,169.5177653,66.88546345,17.41305957,3.092464846,,16.32456492,2445.635926
Canada,8.792184099,20.18251539,50.2551607,115.8064034,313.7843744,866.5280807,1944.94038,3153.733613,4175.886952,5050.59678,4453.589072,3625.876608,2381.386954,1148.927509,449.5309968,,6.216410243,27759.81758
Central African Republic,1.638456553,4.080480577,9.226595746,22.98876049,52.15564096,87.46220142,108.7238748,104.0337055,77.85145996,47.60827765,24.97387676,10.85456861,3.430897027,0.849570098,0.176380724,,2.45206068,556.0547469
Chad,4.615398663,12.72329889,15.13472438,22.1501156,43.77837674,85.39731054,99.58605728,145.7205768,174.3132213,174.0737321,138.029788,72.06587511,32.01645647,6.766563146,1.527166237,,5.636852931,1027.898661
Chile,4.768050619,10.15330047,20.57215484,42.43280177,95.29043234,185.4437414,364.3343583,575.3807088,736.0890134,776.4865863,696.7295934,586.9341843,387.1403477,155.3123017,41.96277313,,4.014383876,4679.030349
China,1228.344615,3378.326016,5772.164708,12486.65857,27046.62451,56270.08919,78983.80856,111292.4834,150834.4213,156819.7137,128547.0447,97682.24599,51712.4827,11048.41739,2176.751922,,737.1626432,895279.5773
Colombia,22.29667027,40.33634941,67.27337316,103.3455619,211.6706717,416.5619862,706.7854695,1078.27192,1210.064837,1325.020102,1211.671228,1008.837539,643.4653368,302.8106397,142.6335248,,26.36528969,8491.04521
