Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Bhutan,0,0,0,0.98625389,2.604158421,3.75074087,6.897619688,9.792232478,15.63090957,23.23115666,33.50063693,46.87522445,59.97868286,75.4846904,88.68329709,99.4668157,92.94216294,63.65143057,28.5800115,11.03092719,,659.4965389,663.0869512
Bolivia (Plurinational State of),0,0,0,15.32648594,21.11770351,24.75538955,37.12311403,55.28275671,93.60041409,166.6294659,263.3475156,408.8130634,633.1758181,853.0557403,1121.314106,1251.942355,1238.833891,914.8984919,463.1321979,152.0436215,,7677.947941,7714.39213
Bosnia and Herzegovina,0,0,0,1.207084364,2.972294682,3.887952508,9.767129293,22.09533362,49.65538681,98.7090814,192.2563525,362.6248587,549.9067083,769.922382,977.0751436,1306.178966,1982.038891,1583.102092,679.32301,226.7421407,,8813.285429,8817.464809
Botswana,0,0,0,1.57292272,2.414055648,4.374018062,10.80597846,25.47191346,46.83797487,75.35029425,101.3403984,138.977344,174.5433837,193.9707033,181.7330896,165.264979,148.3819311,91.11151268,35.57210412,11.12558866,,1404.861214,1408.848192
Brazil,0,0,0,137.9745456,281.1722934,437.2995875,948.7567878,1863.372164,3373.472304,5789.555876,9318.86903,13380.26622,17347.0219,20083.59636,21720.09282,21602.62112,20620.72579,16723.94033,10952.17513,6665.428977,,170827.1944,171246.3412
Brunei Darussalam,0,0,0,0.493134122,0.917019938,1.935821855,3.605656146,6.428548686,11.71085719,17.49084962,18.8780222,24.85001507,27.24128688,31.06772487,31.09827082,32.36606467,29.88945636,17.87340639,4.988242955,1.001371548,,260.4255953,261.8357493
Bulgaria,0,0,0,2.385162427,8.224303502,19.24782183,53.42699721,114.2668544,242.7683523,487.1932275,779.9849133,1251.129336,1893.358038,2727.787534,3997.288528,4894.119586,6672.416938,7321.824181,3290.801632,694.0912222,,34439.70516,34450.31463
Burkina Faso,0,0,0,30.50296296,31.88719915,31.61705666,82.11263931,138.3293561,227.3364973,356.9319061,547.5186587,644.2762557,951.0947995,1156.983999,1583.652615,1532.499062,1176.51641,615.4406699,279.8931687,87.80343788,,9412.006532,9474.396694
Burundi,0,0,0,22.36345518,20.28736226,27.45728032,50.00894708,85.5859485,129.2869645,190.5545674,275.5929962,404.2364427,530.2817543,558.7871098,499.0963764,438.9710485,405.7399588,260.2098055,100.6642708,29.54428909,,3986.01776,4028.668577
Cambodia,0,0,0,14.40206004,32.48572166,58.83027458,105.4161555,156.4225018,232.3139044,389.009668,705.2138907,1005.528356,1248.474936,1382.7964,1553.830622,1518.207836,1439.288101,1027.307272,448.5826452,138.0479163,,11409.27048,11456.15826
Cameroon,0,0,0,33.41591435,48.67186499,40.75373564,101.8778979,167.995492,262.7363635,413.2655337,621.3200453,796.3078896,1164.01203,1407.793932,1583.20003,1484.320149,1280.610693,773.927276,345.0193235,93.63352844,,10536.77392,10618.8617
Canada,0,0,0,2.41503289,7.400365735,21.56982509,48.98677403,107.0536178,230.4475657,461.9245615,937.7610126,1761.802812,2709.323511,3556.648535,4640.213734,5529.756911,7091.116196,9050.517088,7643.211817,4973.902452,,48764.23641,48774.05181
Cabo Verde,0,0,0,0.379255025,0.701573709,0.761338847,1.828562854,3.349913945,4.938127356,9.465766252,18.45950803,28.15135557,41.8313421,48.32129005,51.29251934,64.04438623,114.9795812,101.4917791,52.36155261,26.51972317,,567.7967466,568.8775753
