Location,2017 PTB Counts
Afghanistan,118047.3448
Albania,2241.641793
Algeria,55730.54591
American Samoa,82.78319568
Andorra,28.09943241
Angola,89084.69518
Antigua and Barbuda,88.04934563
Argentina,51186.86436
Armenia,3638.596311
Australia,20557.50332
Austria,5593.527372
Azerbaijan,13372.73719
Bahrain,941.0006477
Bangladesh,359403.5274
Barbados,248.6959806
Belarus,3852.91313
Belgium,9361.52648
Belize,627.4003749
Benin,27843.76928
Bermuda,39.78477455
Bhutan,1237.501341
Bolivia (Plurinational State of),27071.16925
Bosnia and Herzegovina,633.5729375
Botswana,4108.668035
Brazil,236115.9267
Brunei Darussalam,540.433387
Bulgaria,4354.295282
Burkina Faso,72790.59549
Burundi,36492.0066
Cambodia,31575.95596
Cameroon,74108.09343
Canada,25654.49232
Cabo Verde,939.0151817
Central African Republic,15442.02338
Chad,59906.45936
Chile,16888.58797
China,1005966.423
Colombia,91782.60285
Comoros,1398.072946
Congo,12359.54705
Costa Rica,5875.122185
Cote d'Ivoire,72797.9221
Croatia,1417.258416
Cuba,8259.80684
Cyprus,2289.677536
Czechia,7333.98843
Democratic Republic of the Congo,199240.9702
Denmark,3606.215971
Djibouti,2940.360652
Dominica,62.44342002
Dominican Republic,19441.00908
Ecuador,14737.90183
Egypt,135499.62
El Salvador,8457.17457
Equatorial Guinea,3169.183743
Eritrea,16296.19505
Estonia,891.0026866
Ethiopia,294700.9133
Micronesia (Federated States of),155.6795252
Fiji,1419.986738
Finland,3243.715833
France,43358.81921
Gabon,3558.53203
Georgia,4342.624727
Germany,48347.75409
Ghana,69925.22203
Greece,5923.962968
Greenland,55.40533787
Grenada,122.49959
Guam,222.454944
Guatemala,34243.98516
Guinea,38245.81838
Guinea-Bissau,5147.163623
Guyana,1232.967517
Haiti,27168.15789
Honduras,19235.37521
Hungary,5611.224965
Iceland,264.4997022
India,2616512.023
Indonesia,343207.9958
Iran (Islamic Republic of),57985.14931
Iraq,81400.44198
Ireland,4023.783277
Israel,10766.75249
Italy,30685.3338
Jamaica,3153.885972
Japan,64835.46538
Jordan,28839.81418
Kazakhstan,10374.56577
Kenya,81631.73486
Kiribati,232.8919836
Kuwait,5177.669496
Kyrgyzstan,12934.03356
Lao People's Democratic Republic,14479.03594
Latvia,1349.679337
Lebanon,5769.268277
Lesotho,3908.751773
Liberia,11251.52872
Libya,5346.897208
Lithuania,1847.89437
Luxembourg,460.1009046
North Macedonia,1450.634546
Madagascar,69370.41877
Malawi,38247.18943
Malaysia,43792.34453
Maldives,319.0011241
Mali,73689.05485
Malta,279.4069185
Marshall Islands,85.07317363
Mauritania,9107.028044
Mauritius,1122.528273
Mexico,118331.3941
Republic of Moldova,2201.812527
Mongolia,7301.555421
Montenegro,437.762978
Morocco,39797.36679
Mozambique,89046.27169
Myanmar,90032.19429
Namibia,5198.874158
Nepal,22003.78174
Netherlands,9953.941798
New Zealand,4002.971475
Nicaragua,11298.84591
Niger,87167.85865
Nigeria,559719.7392
Democratic People's Republic of Korea,30683.85679
Northern Mariana Islands,34.23851666
Norway,3656.036247
Oman,5342.048818
Pakistan,355558.5072
Palestine,7760.551235
Panama,6556.040894
Papua New Guinea,23916.67813
Paraguay,8080.035613
Peru,44510.31381
Philippines,236013.7187
Poland,24486.59431
Portugal,5409.056395
Puerto Rico,1958.033705
Qatar,811.0710593
Romania,11961.48289
Russian Federation,40164.3319
Rwanda,28750.50356
Saint Lucia,159.1297865
Saint Vincent and the Grenadines,134.0445195
Samoa,285.730495
Sao Tome and Principe,400.6379694
Saudi Arabia,30409.1382
Senegal,38073.99537
Serbia,1829.222859
Seychelles,130.7649288
Sierra Leone,22226.2642
Singapore,5050.654074
Slovakia,3731.128783
Slovenia,1284.064949
Solomon Islands,1588.405242
Somalia,66709.0285
South Africa,89339.59173
Republic of Korea,28605.55219
South Sudan,27370.01667
Spain,25331.17066
Sri Lanka,12968.50943
Sudan,72970.5105
Suriname,796.7350299
Eswatini,2530.408962
Sweden,7418.287803
Switzerland,5246.687877
Syrian Arab Republic,20108.48309
Taiwan (Province of China),11369.08965
Tajikistan,21477.14974
United Republic of Tanzania,126357.4429
Thailand,63346.00791
Bahamas,360.8398066
Gambia,5859.158863
Timor-Leste,3140.458229
Togo,19839.76166
Tonga,188.7750433
Trinidad and Tobago,1412.841501
Tunisia,11145.42439
Turkey,85817.69641
Turkmenistan,9857.394029
Uganda,60580.21346
Ukraine,27073.51553
United Arab Emirates,2722.634612
United Kingdom,49831.1457
United States of America,258858.2366
Uruguay,3453.916946
Uzbekistan,63473.31492
Vanuatu,585.1138439
Venezuela (Bolivarian Republic of),36913.22438
Viet Nam,60970.61736
United States Virgin Islands,97.75526791
Yemen,79872.68494
Zambia,49570.70578
Zimbabwe,37508.8101
Cook Islands,18.98527614
Monaco,20.28667378
Nauru,20.10304141
Niue,1.727285717
Palau,13.93957982
Saint Kitts and Nevis,52.86577875
San Marino,20.18962006
Tokelau,2.450481504
Tuvalu,14.25809904
