Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),0,0,0,1503,1882,2785,6202,10007,20238,45606,78815,110905,157639,178971,185441,195893,181156,120942,58763,22143,,1375506,1378891
Afghanistan,0,0,0,13,22,24,36,54,134,389,447,379,462,563,549,459,300,138,47,11,,3993,4028
Albania,0,0,0,0,0,0,0,0,0,2,3,6,11,17,24,31,26,11,5,2,,140,140
Algeria,0,0,0,3,4,7,18,30,58,141,251,344,513,564,523,662,667,611,106,14,,4508,4515
American Samoa,0,0,0,0,0,0,0,0,1,2,4,5,5,5,5,5,4,3,1,0,,41,41
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,,8,8
Angola,0,0,0,8,13,13,30,50,85,182,350,418,519,429,438,379,246,115,51,10,,3315,3336
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,1,2,4,5,6,7,7,8,5,2,1,,51,51
Argentina,0,0,0,3,6,8,21,36,61,183,315,591,973,1352,1524,1591,1402,1108,556,236,,9957,9967
Armenia,0,0,0,0,0,1,2,2,5,17,38,99,158,189,149,238,164,54,25,5,,1145,1145
Australia,0,0,0,0,1,1,5,7,15,45,72,114,170,257,369,485,668,753,554,236,,3751,3752
Austria,0,0,0,0,0,0,1,2,4,15,31,56,94,155,212,347,402,448,322,129,,2221,2221
Azerbaijan,0,0,0,2,3,3,6,8,15,66,150,294,356,333,172,267,152,45,10,1,,1879,1884
Bahamas,0,0,0,0,0,0,1,1,2,6,10,11,15,17,16,18,15,8,5,2,,127,127
Bahrain,0,0,0,0,1,1,2,5,11,24,37,67,86,84,83,95,67,34,7,1,,606,607
Bangladesh,0,0,0,56,48,64,117,167,435,1070,1530,1286,1961,2685,2445,3105,5750,4316,1454,401,,26787,26891
Barbados,0,0,0,0,0,0,1,1,2,5,9,15,22,28,36,41,45,38,22,6,,272,272
Belarus,0,0,0,0,0,0,2,2,2,8,14,28,40,47,30,47,49,43,24,5,,343,343
Belgium,0,0,0,0,0,0,1,2,3,13,23,43,71,105,142,178,290,341,250,108,,1570,1570
Belize,0,0,0,0,0,1,2,2,3,6,11,15,15,17,16,16,13,9,4,2,,130,130
Benin,0,0,0,11,5,8,10,11,29,61,96,108,149,192,170,197,160,77,40,13,,1320,1336
Bermuda,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,3,2,1,,22,22
Bhutan,0,0,0,0,0,0,1,1,1,3,6,8,14,16,20,24,21,14,5,2,,136,136
Bolivia (Plurinational State of),0,0,0,2,3,5,11,19,39,92,170,286,413,513,594,563,407,201,71,17,,3402,3408
Bosnia and Herzegovina,0,0,0,0,1,1,2,3,6,17,39,88,170,257,341,509,472,215,54,12,,2184,2185
Botswana,0,0,0,2,2,2,4,7,17,33,60,96,165,164,149,126,81,40,13,3,,960,963
Brazil,0,0,0,41,67,95,228,407,706,1509,2694,4205,5987,7365,8228,8728,7817,6022,3055,1546,,58592,58699
Brunei Darussalam,0,0,0,0,0,0,1,2,4,8,10,16,20,23,22,21,15,6,1,0,,150,151
Bulgaria,0,0,0,0,0,1,3,3,5,30,53,98,190,288,354,398,333,172,59,9,,1997,1998
Burkina Faso,0,0,0,19,7,14,26,24,70,139,223,264,311,341,282,309,269,143,70,20,,2504,2530
Burundi,0,0,0,4,5,4,10,17,26,57,106,144,193,157,166,142,113,58,23,5,,1222,1231
Cabo Verde,0,0,0,0,0,0,0,0,1,3,5,6,7,9,9,16,25,15,8,5,,111,111
Cambodia,0,0,0,7,10,14,26,36,56,125,238,340,420,451,412,393,299,173,63,17,,3062,3079
Cameroon,0,0,0,34,17,31,45,44,120,225,358,423,558,685,592,628,483,211,90,24,,4518,4569
Canada,0,0,0,0,1,1,6,8,14,72,143,244,412,578,686,773,947,953,770,463,,6071,6071
Central African Republic,0,0,0,2,3,3,8,15,28,71,122,140,149,111,99,71,43,16,6,1,,883,888
Chad,0,0,0,14,6,8,11,12,32,69,114,126,180,225,214,212,162,70,32,10,,1477,1498
Chile,0,0,0,0,1,2,4,8,16,42,93,158,251,364,453,546,568,559,309,116,,3488,3489
China,0,0,0,28,91,188,430,664,1446,3769,7020,8540,16086,21527,25886,26723,24547,14894,4038,928,,156686,156805
Colombia,0,0,0,7,12,18,33,47,70,140,262,417,595,698,808,911,889,692,390,214,,6186,6204
Comoros,0,0,0,0,0,0,1,1,2,5,8,11,17,16,24,22,20,10,5,1,,145,146
Congo,0,0,0,1,2,3,7,16,27,59,96,116,139,124,132,121,92,48,18,4,,1001,1005
Cook Islands,0,0,0,0,0,0,0,0,0,1,2,2,2,4,3,4,3,2,1,0,,25,25
Costa Rica,0,0,0,0,1,2,3,4,6,13,23,31,47,56,62,77,76,64,39,24,,525,526
Cote d'Ivoire,0,0,0,23,12,21,31,31,85,164,254,291,378,454,375,387,315,148,63,19,,3018,3053
Croatia,0,0,0,0,0,0,0,1,1,5,13,32,63,98,132,200,253,181,72,12,,1064,1064
Cuba,0,0,0,1,1,2,4,6,13,40,86,117,156,231,285,333,267,198,120,58,,1917,1919
Cyprus,0,0,0,0,0,0,0,0,0,1,3,8,17,34,54,78,120,90,32,5,,443,443
Czechia,0,0,0,0,0,0,1,2,4,20,39,74,179,329,498,524,616,616,337,96,,3335,3335
