Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Benin,95.34601373,14.72788732,20.11267884,16.3947064,33.47869153,33.97724419,44.48217753,68.79366723,129.9417173,170.2055056,273.5130082,325.479622,465.0269091,514.9035301,644.7023133,755.811105,637.3895247,346.9458975,167.0583013,51.775191,,4630.005714,4810.065692
Bermuda,0.001336397,0.000995562,0.001515694,0.008575463,0.016877908,0.018273507,0.039261757,0.092229501,0.216181344,0.469597283,0.931643076,1.563475812,2.220008248,2.930375808,4.306372666,6.275987049,8.81325015,8.296924756,5.697295237,3.361413441,,45.23228963,45.26159066
Bhutan,0.491123626,0.096194525,0.14405956,0.484498447,0.861902428,1.049152497,1.720903642,2.720216777,4.312468345,7.177628167,12.0359046,18.85434517,30.37568729,43.78741211,53.4216391,61.45320594,45.58330456,33.21769213,14.37641869,5.421414118,,335.5073931,337.5851717
Bolivia (Plurinational State of),17.26929984,7.140674281,7.286087268,29.58327824,34.77161513,40.30353045,49.09692603,70.36368226,112.7608595,167.1644579,247.2543707,327.9124392,445.816875,586.099149,730.1007252,845.7979193,775.9452832,494.508534,233.3905621,66.20756126,,5192.722875,5288.77383
Bosnia and Herzegovina,0.782836015,0.355040134,0.923861899,1.992133253,3.727463403,3.773431991,7.464820597,13.02851531,26.80183372,47.85763306,94.931623,192.5286037,336.2581083,610.3927488,941.7846405,1381.354882,1965.64664,1286.677142,480.8646665,136.3492064,,7525.714496,7533.495831
Botswana,2.668810862,0.99685075,1.306565519,3.925169374,4.602247549,6.435285299,10.8561566,19.79798568,33.45446312,49.9739001,71.44237896,97.71877253,168.6659205,191.9267604,189.4242061,191.9370332,164.8181025,101.4807023,38.60613609,11.16243484,,1347.700238,1361.199882
Brazil,68.20726161,41.58471132,77.65661825,191.4237356,292.3265588,411.1972484,752.1360692,1456.256381,2505.435382,3702.02395,5677.53537,7862.492681,10494.36882,13243.00665,16396.142,18740.20891,19371.43233,15928.69457,9003.985063,4790.912003,,130335.8274,131007.0263
Brunei Darussalam,0.087205403,0.021330161,0.04538021,0.133581474,0.2569424,0.528499313,1.088247252,2.219064303,4.229117695,6.445871109,8.292381576,10.93107528,14.44368418,18.81273611,19.79997368,21.75737888,18.80715742,11.25165892,2.793116023,0.48965114,,141.8896129,142.4340525
Bulgaria,1.924069151,0.735458786,1.396597583,3.799922393,7.303100403,14.21375718,30.76529389,61.06845096,137.2010636,258.289621,435.6350806,776.0716947,1371.032426,2317.632221,3778.408818,4975.942847,6016.620566,5710.76195,2313.465277,448.2755626,,28645.38463,28660.54378
Burkina Faso,245.0897001,30.9407872,39.77738746,27.34200674,52.05568408,56.48235689,78.4597556,127.8116907,257.7463569,337.3945264,530.3330708,670.5196887,814.7322836,841.6180389,893.1473869,857.7743677,707.6408405,482.0230013,263.6906982,83.73385217,,7003.107915,7398.313481
Burundi,19.00139474,9.763460264,12.24699348,29.26548243,44.58579059,41.12861267,60.39627334,85.50107038,158.2354585,200.288463,311.7624114,407.5879362,598.9109765,665.4308239,584.5636445,570.1019829,464.2148743,219.2861782,95.45964662,26.53404239,,4489.402395,4604.265516
Cambodia,48.23343427,3.865773382,3.591358159,15.80121819,30.0173721,44.92648342,82.30525173,153.3529738,237.0760758,436.7909165,832.5185792,1176.114888,1517.76993,1789.658663,2148.339471,2212.918844,2019.736271,1342.109573,510.0416662,133.3238081,,14636.9834,14738.49255
Cameroon,149.5908375,39.5019032,60.36726621,52.18045274,104.0591826,116.0332539,156.8024933,234.7541978,414.6293117,506.0267156,771.4800739,889.4718047,1167.686229,1164.93299,1297.048999,1380.824413,1201.813473,720.9870225,327.7188922,82.18622762,,10432.3961,10838.09574
Canada,2.772272248,0.968130003,1.868135576,3.651416705,8.063418674,15.60034044,25.4362403,41.38024105,73.29099217,119.4069362,210.1556857,375.1172121,557.3302613,844.1645858,1427.995745,2072.215764,3000.764619,3899.741086,3468.965186,2329.146529,,18460.71142,18478.0348
Cabo Verde,0.575215146,0.131037296,0.346501249,0.521125526,1.247337238,1.58217712,1.905825903,2.85991917,4.93804475,8.050059782,15.03921336,20.05072974,27.22620946,25.47677537,26.72847891,35.74462755,62.81152679,56.57826654,30.24234811,14.48166443,,333.715867,336.5370834
Central African Republic,30.04372802,6.061467626,6.742539011,16.04538281,24.53163781,22.08078633,30.82567281,52.46703452,123.3108491,192.8679069,286.9826257,339.9538563,409.9648083,385.8259151,344.2969527,290.8288399,189.865764,77.53784382,22.38841613,4.886505871,,2774.083777,2857.508533
Chad,197.3604542,43.51207514,44.78846671,31.00515331,54.76287995,56.01143407,67.65134181,99.24651038,182.6691619,244.0212695,398.0538426,449.6156456,604.7567953,649.4184615,723.8771878,710.2074693,578.8162889,378.1005818,148.4146632,48.78733699,,5339.647991,5711.07702
Chile,1.217378582,1.074439713,2.391463268,8.316095285,12.81624791,19.50883543,29.35874229,56.7640173,94.52104609,159.1293708,266.9531159,417.6683355,598.0035031,816.7487977,1138.318786,1544.472506,1803.991326,1877.866735,1188.000092,508.496269,,10519.80148,10545.6171
China,298.7439345,199.4994217,191.6281378,900.2711405,1782.344956,3201.347997,7307.165825,11185.89263,21700.8473,39728.34988,76233.5088,97939.14795,146604.2227,238922.5351,327719.9415,362566.4549,417371.5527,311307.6271,99588.75549,24425.17455,,2185802.524,2189175.012
Colombia,22.75139364,10.59396554,17.36799145,36.56389759,54.02092916,78.75017575,96.13149597,161.5450559,235.4077457,345.3141806,575.4235741,809.902602,1124.835659,1378.645992,1809.746225,2269.386817,2661.015443,2313.963969,1720.623818,1221.294162,,16801.98691,16943.28509
Comoros,0.469384099,0.303123923,0.462681887,1.038364275,1.955033207,2.032599359,3.014187447,4.566417379,9.333056021,13.4389126,20.59690054,25.65728986,38.81739926,50.00015481,72.06302237,79.03248232,68.91365536,34.56607671,17.97791823,5.852361198,,445.8624335,450.0910209
Congo,4.787311079,2.004119597,3.177384674,7.580096724,11.8644325,13.69136832,22.22263849,39.94235803,88.21245823,129.487149,180.8009833,220.8153455,280.5543192,322.9669875,353.0866719,356.5453263,285.0196176,157.1188171,51.3819427,11.51372893,,2513.359712,2542.773057
Costa Rica,0.274349532,0.231249683,0.578786109,2.29210962,3.988354238,5.510803092,8.488487255,13.72218876,16.98404325,26.3107952,43.03718793,60.4968512,83.57963548,99.82330573,138.7968962,188.5738346,231.1605182,238.7657346,172.7279793,134.2987263,,1462.276987,1469.641836
Cote d'Ivoire,140.6309624,35.46648783,50.61186197,44.13328944,92.79067518,100.2649384,136.0285595,201.7931836,356.4885721,416.968894,624.6682064,731.7820614,971.8600015,934.8112469,987.573296,1027.908127,872.3371604,557.1594939,258.1845351,75.20782256,,8253.036099,8616.669375
Croatia,0.473249258,0.116575623,0.270152237,0.642414745,1.188428893,2.083448969,4.566086755,10.01469357,20.40982193,37.71713069,79.34708806,141.7442481,288.92206,497.8127896,720.6868668,1269.291117,1869.883573,1676.171949,767.4238408,168.8313114,,7554.906026,7557.596846
Cuba,0.430774385,0.487791311,1.048530081,3.825302185,6.436980334,10.10627128,21.29453004,33.14061099,69.30939262,168.8747363,330.6746796,497.6425711,584.5026648,862.9258543,1273.249095,1711.586026,1890.152209,1610.404651,1095.541186,664.1396602,,10823.54414,10835.77352
Cyprus,0.083715686,0.088983851,0.127012404,0.211565776,0.277592418,0.57000733,1.169206437,1.850734208,3.55550251,5.416885848,8.345994757,12.33758802,21.68321003,32.96728929,62.04555051,110.1671206,200.1770237,192.1396039,78.1152941,14.1174968,,744.658508,745.4473782
Czechia,0.242394055,0.124753457,0.228292358,0.818969491,1.819761512,3.878879465,8.031999224,16.62309087,39.15248735,72.13323234,116.9832607,193.2284172,374.3184281,736.9048786,1261.661495,1726.420818,2127.643751,2477.673095,1637.224198,734.6377361,,11526.51577,11529.74994
Democratic Republic of the Congo,151.2884089,50.83202484,62.16281605,138.1312266,217.0826278,214.6194968,310.6993353,463.3767773,939.9634012,1413.613376,2272.619495,2990.677462,4066.541156,4367.932937,4493.93575,4324.748614,3686.058875,1986.318195,753.2525621,199.3497512,,32483.70718,33103.20429
Denmark,0.069634684,0.07771938,0.126272978,0.314908287,1.015989989,1.883255859,3.248210412,6.029420972,14.45164665,27.83727039,54.82634411,86.24505816,134.5427273,210.4263793,449.7530708,624.2532407,861.1835992,900.0439735,735.9332675,427.8216011,,4538.479066,4540.083591
Djibouti,1.327609229,0.496794513,0.695876825,1.695642926,3.222777133,3.296733417,5.622456203,8.803245301,18.37797263,24.33224965,35.08933765,41.4897243,58.73860636,67.43163011,73.04337421,65.14524152,45.76422879,19.65646265,8.421583794,2.432727939,,477.6455745,485.0842752
Dominica,0.017812616,0.004030424,0.014656247,0.048843608,0.073520391,0.103323571,0.180605816,0.300195495,0.481454671,0.952538225,1.828864021,2.880942886,4.207992819,5.710203067,7.550740219,10.84503351,13.77540306,10.20242793,5.78249847,2.347728334,,67.14995209,67.30881537
Dominican Republic,12.28994307,3.861220078,5.325617069,13.47987468,29.66886496,41.4007914,75.76652913,111.6386688,186.9168802,291.5572394,470.3912411,537.9946519,758.9155449,825.7536864,1099.857834,999.1298675,1053.165379,920.3035404,474.4210507,227.7736509,,8074.986556,8139.612076
Ecuador,5.017449534,6.114842116,12.14982228,40.78824017,58.74394334,59.63123252,76.91648806,96.72806816,135.2001677,190.8689624,261.2500757,347.1497203,429.7353726,513.707695,618.0947987,795.7199099,896.8832945,845.4206544,572.1402928,129.2316446,,5968.678378,6091.492675
Egypt,1216.098362,320.9464901,498.9416157,688.8548659,798.0759132,787.0965477,733.0885199,882.1121803,1023.426494,1438.369593,2507.256611,3613.319148,5140.003547,6068.338185,5900.806627,6126.913612,4546.546358,2475.464829,802.5469544,198.6186926,,42243.9079,45766.82515
El Salvador,2.422027397,1.756862304,3.467066749,8.799335625,11.0927679,13.84939935,17.18619021,22.50814851,34.49785598,48.71236493,69.22687177,92.53053936,119.6868393,158.8963597,224.797172,305.6126253,355.4158872,334.4191777,209.0493787,158.6333578,,2165.022168,2192.560228
Equatorial Guinea,0.890720096,0.327393993,0.572781846,1.847147683,2.962765003,2.41699089,3.321236506,4.709325015,8.26763136,12.22050982,17.10226725,21.35291301,30.86181261,43.20279998,45.16888763,59.36610898,51.41618878,28.07315388,10.62886542,3.158287443,,341.2669786,347.8677872
Eritrea,6.038997493,2.546594093,4.345880461,15.29475383,28.76359104,25.86649864,37.50410615,59.90243764,122.6090069,167.9202079,233.7304104,278.6604335,355.9253864,371.9974666,333.2602015,352.8069127,232.2045084,96.00555623,33.1309644,6.340657435,,2707.864755,2764.854572
Estonia,0.009233696,0.007589685,0.022968715,0.107728423,0.230828105,0.49137783,1.221640456,2.221380287,4.537784841,9.278114844,15.76335543,31.11864433,56.36396615,92.99748153,114.1507407,183.348458,242.8486074,244.3254719,150.0145265,44.04426741,,1192.725818,1193.104166
Ethiopia,129.841401,38.81130995,52.96593639,153.2945407,246.7960369,219.5397137,295.7024526,419.780727,781.1057338,976.6538337,1448.384928,1820.441407,2742.488875,3599.501878,4434.520318,5278.197996,4382.379479,2278.328647,1086.100866,320.0065827,,30083.13344,30704.84266
Micronesia (Federated States of),0.097193002,0.04771473,0.109344241,0.489676915,1.146902797,1.831927325,2.052681827,2.629270698,3.781324244,6.335845467,9.501709526,13.14460087,16.34171235,13.05716136,11.44587299,8.836680041,8.127449134,5.639730622,1.6476705,0.341000289,,104.7146372,106.6054689
Fiji,2.057804265,0.808179534,1.369474041,2.438357048,4.312843993,6.19485423,6.679699908,12.16345077,16.25817388,22.693032,40.4592427,55.66238172,76.78575789,81.03033646,88.45159639,87.00170309,65.20676113,42.75312902,10.75888392,2.548463899,,614.647467,625.6341259
Finland,0.173331933,0.110123815,0.261199138,0.636789077,1.447196801,3.239154489,4.60549912,10.02224097,16.83106056,27.63410743,47.12822543,79.87216309,138.8811715,249.3587099,462.323142,637.7972677,1047.311453,1248.210625,1002.976858,572.1374071,,5548.329085,5550.957726
France,5.682241822,2.511083673,4.245753453,10.97803649,18.61210319,29.97894671,54.25538159,94.41498231,174.506953,312.7287214,458.5309356,686.7470612,1026.711526,1636.34815,2624.178888,3649.086124,6935.909657,10824.7095,10511.41064,5750.985327,,44770.5028,44812.53202
Gabon,0.93504823,0.383952731,0.673499778,2.151690218,3.868364704,3.342195768,4.838009655,8.02253725,18.57281412,29.9403567,47.68961345,65.96459658,93.85552809,115.9552248,103.657295,126.6298043,119.5247133,74.52465735,28.77065685,8.158579615,,849.4465829,857.4591385
Georgia,0.313320162,0.349104332,0.407572041,3.37079642,5.851471254,11.39057493,24.86241555,43.78385646,75.35433322,127.6503154,221.9072434,403.9971689,628.8427656,911.2072406,1131.441526,1672.300886,2369.016099,1361.652541,943.9157627,384.3303769,,10311.65311,10321.94537
Germany,2.70460269,1.867088802,3.823141644,10.68309093,23.19717292,39.042285,74.62189072,116.7684255,196.4039665,358.781818,772.6279202,1239.304903,1829.111129,2848.857432,4440.246698,9402.794492,17214.73541,16428.29563,11507.22931,5143.079864,,71611.90118,71654.17628
Ghana,70.34747151,18.14398872,34.83484531,44.1102418,113.6676895,123.3945576,194.605122,293.7065852,572.4103786,763.3305521,1139.008551,1265.510661,1856.424165,1964.460389,2064.371264,2349.295369,2149.616067,1381.681511,612.4693887,189.8112394,,16920.0958,17201.20004
Greece,0.44001104,0.517871446,0.896779044,1.906244917,5.012479688,7.22011179,13.49815184,28.03653779,53.57456132,94.7811843,153.5822335,227.7607787,344.4305196,569.0930704,1109.72935,2067.331346,4448.357774,5860.339146,4050.360835,1379.38851,,20407.48411,20416.2575
Greenland,0.028456743,0.005319091,0.007291488,0.014256689,0.032424463,0.078531696,0.160458931,0.308663617,0.485262289,0.89110385,2.407460206,3.446321968,4.139591543,4.289346712,5.163791769,6.008618476,5.884035442,5.671601141,2.86428636,0.841288283,,42.64036228,42.72811076
Grenada,0.028203136,0.010011085,0.01579511,0.086815094,0.16186018,0.201499683,0.370745455,0.600656061,1.072919319,2.236805255,4.134131685,6.127687456,7.980257718,10.7595881,13.21054418,16.02117444,12.35626038,7.846886305,5.269452705,2.464269226,,90.65287798,90.95556258
Guam,0.231410595,0.059740443,0.150216352,0.329923907,0.482104117,0.766885399,0.870141931,1.704684302,2.222753225,3.530117669,6.320509398,7.481870751,8.308190226,9.755128384,9.812931342,9.432394503,11.16882003,10.51008936,6.557453961,3.426281928,,91.86825241,93.12164782
Guatemala,21.76318532,7.131946277,12.98516989,43.49879691,56.49745414,68.76363846,85.39524486,103.6652093,123.988948,141.590242,180.7465685,232.9273533,295.0531839,386.6282184,469.9716492,549.7363875,911.1221104,706.8236308,306.2558695,44.01398329,,4606.682238,4748.55879
Guinea,133.0261983,30.47528305,33.94693157,26.28294866,48.70091814,49.99325411,65.60274031,92.15805492,163.6767527,206.702463,344.3295261,416.1073782,604.5719835,645.9366887,711.1693544,735.3864178,667.1425763,494.4139968,284.2943689,86.93108103,,5568.416637,5840.848916
Guinea-Bissau,9.932185087,2.722367964,4.527543124,4.998862354,10.74349498,12.35912465,16.27793963,23.72088222,41.39783426,50.13352534,72.65222621,84.18185094,104.7662755,101.1345374,103.178784,96.31022675,71.22136287,42.12482873,17.34545126,4.610783624,,841.4156334,874.3400869
Guyana,0.820077474,0.339224508,0.56495353,1.602639529,3.713160561,5.169075447,6.114831786,8.780213211,15.85564459,30.68904465,50.98419653,75.11124111,102.1221264,123.4371196,116.9414383,108.6064444,92.03218802,51.88605697,31.9659091,10.5006864,,830.1962166,837.2362722
Haiti,150.6060647,30.17642202,21.92132024,41.56700231,59.09800749,90.54905833,144.6183042,223.1154621,351.4057953,463.8608092,644.1523147,805.94231,1076.289714,1253.09578,1308.195593,1283.674205,1124.309181,610.8560018,245.2967092,68.53227387,,9693.893512,9997.262329
Honduras,21.46925677,5.873481344,8.622583482,20.75983643,26.25497913,32.99604676,44.82105679,69.23044056,121.3010512,173.9901507,250.7568806,361.8086546,462.5721208,611.0829215,791.2243833,906.0463425,823.6953393,489.7698207,223.3399371,62.23962315,,5424.874769,5507.854907
Hungary,0.304969557,0.393789632,0.778626885,1.608599821,2.879046488,5.46401148,12.52573946,29.11948268,79.08279469,134.4344786,241.9819817,359.9998097,716.531683,1074.207842,1418.410082,2088.285392,2494.338106,2424.932351,1448.376165,557.5522325,,13085.24215,13091.20718
Iceland,0.019866254,0.013046798,0.022871202,0.045031494,0.100933206,0.152777982,0.192904935,0.35771937,0.537717691,0.855314697,1.443532216,2.20895165,3.593012263,5.726962928,10.17864971,15.32191254,23.92504467,33.96294115,30.15800726,19.62009279,,148.2355418,148.4372908
India,623.1272639,242.7083726,388.1297475,969.215617,2053.438136,2568.252109,4678.178126,8427.153757,13230.4193,21561.3095,38890.89278,56872.15094,83023.81955,107914.8195,108394.4641,104031.1565,76819.16726,43124.94462,20679.72283,4585.031868,,694801.4827,699078.1019
Indonesia,195.3134049,82.65968689,121.0169287,497.5482616,803.5994936,1032.205242,1746.206671,3747.958835,6935.143213,12345.7218,19783.79194,27959.18503,37027.65636,43887.62608,46196.69642,47080.17097,42435.32214,26968.46905,10105.6819,2397.240547,,329649.0762,331349.214
Iran (Islamic Republic of),32.27516751,20.90445764,37.87247217,86.15730557,117.1800788,174.7997918,275.1438387,421.0576592,542.8380682,758.9092833,1233.375818,1802.056438,2786.591797,3406.281001,4199.788766,6001.335693,7600.584022,6937.41321,3438.519156,1039.239387,,40617.93393,40912.32341
Iraq,63.64250407,38.58912992,41.16515269,137.3954692,228.0099875,245.9510079,280.2389839,362.9675026,595.5949228,1083.846646,1387.994564,1773.601067,2498.124716,3102.783533,3626.485148,3714.715197,3280.401374,2237.353502,1159.229473,397.6968717,,25746.98451,26255.78675
Ireland,0.122171434,0.08220007,0.179318786,0.520334582,0.958172683,1.78370956,3.362931102,6.401811633,11.81003029,18.37567139,28.06264445,39.6050397,59.47994326,98.67620938,184.456465,295.9867202,459.9692128,553.9040104,394.3336142,204.7797025,,2360.987716,2362.849914
Israel,0.877549861,0.228103805,0.470206881,1.464600601,2.280507382,2.430964974,3.934827758,7.369322287,13.67206213,24.82361058,42.64216971,65.14124694,110.8371522,188.169895,318.6255189,372.5016416,621.0634733,687.1499975,549.9983174,335.897734,,3344.257934,3349.578903
Italy,3.36149264,2.191693754,4.496078178,8.622692641,15.26482868,23.41522913,45.5290183,80.25435834,160.4000975,303.8459705,494.6372769,697.349777,1043.07997,1765.908561,3468.010315,6739.71144,12687.20018,17633.13852,14590.81064,7525.714149,,67259.00551,67292.94229
Jamaica,1.896175825,0.697533352,1.078483725,2.501240839,4.745710116,7.661006229,10.80831683,17.99236316,30.0550464,54.5099733,84.19435496,123.4913277,183.4193581,235.7807494,359.318504,390.5650264,427.7866899,396.9117046,276.8477487,247.8720691,,2847.214239,2858.133383
Japan,6.431395194,3.354425456,5.952755506,13.08981047,26.21733601,51.27820756,118.282069,291.7721697,734.9281735,1379.9399,1843.820362,2240.884392,3200.829524,5402.233882,9188.471566,14310.15472,21865.77541,29760.32504,28847.60602,25370.38238,,144606.6838,144661.7295
Jordan,3.31321752,1.262523447,2.511260461,4.655906616,6.313712135,8.655300196,13.85979909,25.50452103,41.80398074,80.85228064,127.9984161,181.1944786,259.2596349,361.9134398,471.3804463,682.2555209,560.4754048,344.7498171,139.5225167,49.35802707,,3348.783584,3366.840204
Kazakhstan,5.604395876,2.09105548,2.259195619,11.81378331,22.60833941,45.52980475,106.1720963,193.738856,332.9000584,582.8848143,960.7884453,1651.683107,2213.32873,2865.061867,2564.178752,3542.513425,4510.960855,2236.350048,1291.393195,224.8804389,,23322.36449,23366.74126
Kenya,25.32617549,11.96251105,22.73582292,93.23190835,142.92843,123.6937169,190.5168176,284.0685018,527.476266,733.1365685,1049.636873,1305.562422,1925.144618,2307.572218,2616.884051,2690.497504,2112.545037,1083.067327,508.6253764,155.5642509,,17613.99155,17910.1764
Kiribati,0.423549406,0.145332719,0.24291752,0.860670741,2.302460451,4.129586402,4.339512541,6.305166824,8.956714717,9.993434957,13.35431792,18.74708344,20.40572704,16.84389419,14.16931692,13.09127002,7.403999488,3.355019496,0.884067101,0.161277753,,142.1403888,146.1153196
Kuwait,1.54389109,0.763991998,1.256624439,2.0001581,3.518054104,5.40365125,13.0269732,19.73880968,33.56231685,40.93929857,47.79014802,45.90297108,61.19544355,61.27454726,98.6494651,96.16365419,118.5282997,145.3296451,84.17180183,39.49193227,,911.1689577,920.2516774
Kyrgyzstan,0.310276746,0.355893919,0.640383657,3.994023723,9.005503887,16.28127077,30.32604801,54.52331141,97.73301647,177.1898997,301.7845602,500.8316505,621.3234263,643.2778323,422.3412927,512.8157715,577.1739644,361.3711267,208.8503262,49.78826476,,4575.611762,4589.917844
Lao People's Democratic Republic,23.20665372,5.363436886,6.018466877,17.86210511,29.52138052,37.79686931,62.87783217,103.2010246,173.7482285,267.8144933,417.3654048,551.4518118,687.7507631,774.4607327,803.7778822,845.9683009,724.4631072,435.8844155,176.40629,52.52269676,,6115.489853,6197.461896
Latvia,0.010912715,0.027971824,0.059009064,0.264190584,0.567975602,0.909933966,2.783301591,6.105375307,13.28857741,28.51299403,55.97884431,114.6895844,202.0192557,310.5101085,433.4499357,795.335469,1076.769654,988.8582024,656.4164584,188.9757424,,4874.603437,4875.533497
