Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
Bosnia and Herzegovina,5.646215809,10.6587726,17.35349421,34.33900974,64.86363652,135.3165085,281.1213074,454.2280387,688.6578248,1025.278702,1870.43775,2204.825787,1458.195827,523.3912137,140.8985398,,12.40220599,8915.212627
Botswana,11.40017285,19.98353312,32.15786482,54.03315228,75.57386752,106.512937,140.1618235,230.6247469,245.0990162,240.5419169,244.0910124,218.2873206,125.3957162,49.51114528,14.31166611,,24.93483332,1807.685892
Brazil,457.5603249,812.9448419,1524.589661,2491.441945,3850.227989,5869.13231,7973.742442,10524.62927,13240.80635,15859.67678,18815.24418,19440.8899,16799.31195,9532.364567,5158.03824,,835.5162045,132350.6008
Brunei Darussalam,0.734836701,1.35805897,2.771261083,5.334111351,7.866736676,9.81078391,12.68306484,16.30761173,19.82904282,20.96643373,24.76011649,20.65906056,12.86926371,3.300662743,0.589965678,,0.793633818,159.841011
Bulgaria,21.86102249,39.69651684,83.17218698,176.8520087,326.9645062,542.5486682,1026.08322,1784.169353,2973.408722,4016.305116,5416.404463,7092.828141,6085.920807,2521.30009,445.638533,,22.62901876,32553.15335
Burkina Faso,81.24698666,110.3113564,179.5879302,347.8135716,450.8245484,690.200723,852.6299269,1053.07389,1067.875699,1169.317861,1048.633286,872.8691037,578.4529141,302.5494974,99.78181117,,679.7028651,8905.169106
Burundi,60.05076277,87.86062011,118.9440895,210.9788285,283.5191479,444.4005728,560.8323171,770.4682968,773.3512257,754.7626588,724.0530201,593.0747462,282.7504394,119.8871826,33.65332528,,178.2506477,5818.587234
Cabo Verde,3.099101658,3.672244409,5.258805999,7.85458945,13.17058332,17.94961755,23.15404506,22.25428461,21.4656232,26.32048562,45.7790957,70.98361263,62.30869419,33.58960297,19.00741674,,4.398500634,375.8678031
Cambodia,68.84546535,119.6448305,211.6743187,327.3049257,626.0067941,1134.962322,1481.881161,1794.238415,2133.486895,2325.950667,2584.007155,2362.687938,1563.343998,595.4056849,156.8367115,,181.6714534,17486.27728
Cameroon,179.1186983,242.5188338,343.3500949,636.751755,765.4851148,1151.824802,1315.652368,1652.211374,1574.297484,1688.652682,1772.285748,1505.395371,850.5741967,365.7744119,97.15299359,,700.2880027,14141.04593
Canada,23.91071957,37.94290438,57.81333407,97.80381525,155.1401243,287.4245403,468.7690372,631.720681,992.4294139,1551.280352,2177.183624,3299.01439,4356.646606,3889.958579,2521.500742,,26.53211495,20548.53886
Central African Republic,34.49966625,48.55998166,81.86844021,190.4032526,296.6097069,411.0607403,484.6256895,551.8576638,506.6660358,483.1905741,401.0860072,262.1866474,109.2464617,33.29325121,7.245015757,,143.1610701,3902.399134
