PTB,95% UI,
1.241058157,1.052121097,1.465560853
1.241622004,1.052252964,1.466498653
1.242185717,1.052384807,1.467434539
1.242749297,1.052516629,1.4683623
1.243312744,1.05264847,1.469365751
1.243876058,1.052788195,1.470494151
1.244439242,1.05292794,1.471622777
1.245002295,1.053156217,1.472751631
1.245565219,1.053553077,1.473880713
1.246128013,1.053951388,1.475010025
1.246690679,1.054257413,1.476139567
1.247253217,1.054391975,1.477268322
1.247815628,1.054518097,1.47839321
1.248377913,1.054644191,1.479344359
1.248940072,1.054770256,1.480075844
1.249502106,1.054896292,1.480801683
1.250064016,1.054977524,1.481524328
1.250625802,1.055055949,1.482561611
1.251187465,1.055134192,1.483691821
1.251749006,1.055212256,1.484822143
1.252310425,1.055290139,1.485952579
1.252871723,1.055367845,1.487083125
1.253432901,1.055445372,1.48804737
1.253993959,1.055522723,1.488959952
1.254554898,1.055599898,1.489870581
1.255115719,1.055676898,1.490779264
1.255676421,1.055753723,1.491893368
1.256237007,1.055830375,1.493175002
1.256797476,1.055906855,1.494457392
1.257357829,1.055986808,1.495740538
1.257918066,1.056117899,1.497024442
1.258478189,1.056248962,1.498309104
1.259038197,1.056379996,1.499590381
1.259598092,1.056511002,1.500732223
1.260157873,1.05664198,1.501874226
1.260717542,1.056772928,1.503016388
1.2612771,1.056903848,1.504158707
1.261836545,1.057034738,1.505301182
1.26239588,1.057165599,1.506443811
1.262955105,1.057296431,1.507586592
1.26351422,1.057427232,1.508729524
1.264073226,1.057558004,1.509872605
1.264632124,1.057688745,1.511015834
1.265190913,1.057819456,1.512156687
1.265749594,1.057950137,1.513296365
1.266308169,1.058080786,1.514436173
1.266866637,1.058211405,1.51557611
1.267424999,1.058341993,1.516716175
1.267983256,1.058472549,1.517856365
1.268541407,1.058603074,1.518996679
1.269099454,1.058733567,1.520137116
1.269657397,1.058864028,1.521277673
1.270215236,1.058994458,1.522418349
1.270772973,1.059124854,1.523559142
1.271330606,1.059255219,1.52470005
1.271888138,1.059385551,1.525841073
1.272445568,1.05951585,1.52698125
1.273002897,1.059646115,1.528119037
1.273560124,1.059776348,1.529256849
1.274117252,1.059906547,1.530394683
1.27467428,1.060036713,1.531532539
1.275231208,1.060166844,1.532670414
1.275788038,1.060296942,1.533808308
1.276344769,1.060427006,1.534946219
1.276901401,1.060557035,1.536084145
1.277457936,1.060687029,1.537222085
1.278014374,1.060816989,1.538360037
1.278570715,1.060946914,1.539498001
1.279126959,1.061076804,1.540530074
1.279683107,1.061206658,1.541509259
1.28023916,1.061336477,1.542485614
1.280795117,1.06146626,1.543459152
1.28135098,1.061596007,1.544429885
1.281906748,1.061725719,1.545397823
1.282462421,1.061855393,1.546362978
1.283018001,1.061985032,1.547325363
1.283573488,1.062114633,1.548284988
1.284128882,1.062244198,1.549241865
1.284684182,1.062373726,1.550196007
1.285239391,1.062503217,1.551147424
1.285794508,1.06263267,1.552096129
1.286349533,1.062749209,1.553042133
1.286904467,1.062848648,1.553985448
1.28745931,1.062948037,1.554926086
1.288014062,1.063047378,1.555864059
1.288568724,1.06314667,1.556799378
1.289123296,1.063245913,1.557722681
1.289677779,1.063345108,1.558642576
1.290232173,1.063444255,1.559559804
1.290786477,1.063543354,1.560474375
1.291340693,1.063642404,1.56146325
1.29189482,1.063741407,1.562833681
1.29244886,1.063840363,1.564205121
1.293002812,1.063939271,1.565577569
1.293556676,1.064038131,1.566684076
1.294110454,1.064136944,1.56742266
1.294664145,1.064235711,1.568159442
1.295217749,1.06433443,1.568894432
1.295771267,1.064433103,1.569627639
1.296324699,1.064531729,1.570359073
1.296878045,1.064630308,1.571088744
1.297431306,1.064728842,1.572126427
1.297984482,1.064827329,1.573539971
1.298537573,1.06492577,1.57494641
1.29909058,1.065024165,1.576349391
1.299643502,1.065122922,1.577753132
1.300196341,1.065221906,1.579157632
1.300749095,1.065320846,1.580562887
1.301301766,1.065419742,1.581968896
1.301854354,1.065518594,1.583375656
1.302406859,1.065617403,1.584783165
1.302959282,1.065716168,1.586191422
1.303511622,1.065814889,1.587439448
1.304063879,1.065913568,1.588366606
1.304616055,1.066012203,1.589289605
1.305168149,1.066110795,1.590199513
1.305720161,1.066209344,1.591109331
1.306272092,1.06630785,1.592019062
1.306823943,1.066406313,1.592928705
1.307375712,1.066504734,1.593838263
1.307927401,1.066603113,1.594694969
1.30847901,1.066701449,1.595430318
1.309030538,1.066799743,1.596164598
1.309581987,1.066897995,1.596897814
1.310133356,1.066996205,1.597629971
1.310684645,1.067094373,1.598361073
1.311235856,1.067192499,1.599091126
1.311786987,1.067290584,1.599820133
1.31233804,1.067388627,1.600548098
1.312889014,1.067486628,1.601275028
1.31343991,1.067584589,1.602000925
1.313990728,1.067682508,1.602725794
1.314541467,1.067780386,1.60344964
1.315092129,1.067878223,1.604172466
1.315642714,1.067976019,1.604894279
1.316193221,1.068073774,1.60561508
1.316743651,1.068171489,1.606334876
1.317294005,1.068269163,1.60705367
1.317844281,1.068366797,1.607771467
1.318394481,1.068464391,1.60848827
1.318944605,1.068561944,1.609204084
1.319494652,1.068659457,1.609918913
1.320044624,1.06875693,1.610632761
1.32059452,1.068854363,1.611345633
1.32114434,1.068951756,1.612057532
1.321694085,1.06904911,1.612768463
1.322243755,1.069146424,1.613478429
1.32279335,1.069243698,1.614187435
1.32334287,1.069340934,1.614895485
1.323892316,1.069438129,1.615602582
1.324441687,1.069535286,1.616422558
1.324990984,1.069632403,1.61778133
1.325540206,1.069729481,1.619140735
1.326089355,1.069826521,1.620500772
1.32663843,1.069923521,1.621861438
1.327187432,1.070020483,1.62322273
1.32773636,1.070117406,1.624584646
1.328285215,1.070214291,1.625947183
1.328833997,1.070311137,1.62731034
1.329382706,1.070407945,1.628674112
1.329931343,1.070504715,1.630038499
1.330479907,1.070601446,1.631403496
1.331028398,1.070698139,1.632769102
1.331576818,1.070794795,1.634013052
1.332125165,1.070891412,1.634937039
1.332673441,1.070987992,1.635861022
1.333221645,1.071084533,1.636785001
1.333769777,1.071181038,1.637862151
1.334317838,1.071277504,1.63915026
1.334865828,1.071373933,1.640438653
1.335413747,1.071470325,1.641714136
1.335961594,1.07156668,1.642986468
1.336509372,1.071662997,1.644259035
1.337057078,1.071759277,1.645426731
1.337604715,1.07185552,1.646155918
1.33815228,1.071951726,1.646884107
1.338699776,1.072047896,1.6476113
1.339247202,1.072144028,1.648337503
1.339794558,1.072240124,1.649062719
1.340341845,1.072336183,1.649786954
1.340889062,1.072432206,1.650510211
1.34143621,1.072528192,1.651232495
1.341983288,1.072624142,1.65195381
1.342530297,1.072725053,1.65267416
1.343077238,1.072858738,1.65339355
1.34362411,1.072992421,1.654250626
1.344170913,1.073126101,1.655172132
1.344717648,1.073259779,1.656096959
1.345264314,1.073393453,1.65734884
1.345810912,1.073527124,1.658601178
1.346357442,1.073660791,1.659853971
1.346903905,1.073794454,1.66110722
1.347450299,1.073928113,1.662359071
1.347996626,1.074061767,1.66359828
1.348542886,1.074195416,1.664837914
1.349089078,1.074307054,1.666077973
1.349635203,1.074374531,1.667318457
1.35018126,1.074441914,1.668559365
1.350727251,1.074509204,1.669800698
1.351273175,1.0745764,1.671042456
1.351819033,1.074643502,1.672284637
1.352364824,1.074710512,1.673527243
1.352910548,1.074777429,1.674770273
1.353456206,1.074844254,1.676013727
1.354001798,1.074910988,1.677257605
1.354547324,1.074977629,1.678501906
1.355092784,1.07504418,1.679738686
1.355638179,1.075110639,1.681014225
1.356183507,1.075177008,1.682278535
1.356728771,1.075243287,1.683543321
1.357273968,1.075309475,1.684808583
1.357819101,1.075375574,1.686074319
1.358364168,1.075456398,1.687340531
1.35890917,1.075549525,1.688607218
1.359454108,1.075642615,1.689874379
1.35999898,1.07573567,1.691142014
1.360543788,1.075828689,1.692410123
1.361088532,1.075921672,1.693678706
1.36163321,1.076014619,1.694947762
1.362177825,1.07610753,1.696217292
1.362722375,1.076200406,1.697487294
1.363266861,1.076293247,1.698835104
1.363811284,1.076386052,1.700237243
1.364355642,1.076478822,1.701640363
1.364899936,1.076571556,1.703044464
1.365444167,1.076664256,1.704449548
1.365988335,1.07675692,1.705855613
1.366532438,1.076849549,1.70726266
1.367076479,1.076942143,1.708670688
1.367620456,1.077034703,1.710079697
1.36816437,1.077127227,1.711489687
1.368708221,1.077219717,1.712900658
1.369252009,1.077312172,1.71431261
1.369795734,1.077404593,1.715725542
1.370339397,1.077496979,1.717139455
1.370882997,1.077589331,1.718554347
1.371426534,1.077681648,1.71997022
1.371970009,1.077773931,1.721376067
1.372513421,1.07786618,1.7227803
1.373056771,1.077959327,1.724185483
1.373600059,1.078052709,1.725591617
1.374143285,1.078146057,1.726998701
1.374686449,1.078239372,1.728406736
1.375229551,1.078332653,1.729647486
1.375772591,1.078425901,1.730581223
1.37631557,1.078519116,1.731515033
1.376858486,1.078612297,1.732448917
1.377401342,1.078705445,1.733382873
1.377944135,1.07879856,1.734316904
1.378486867,1.078891642,1.735251009
1.379029538,1.07898469,1.736185189
1.379572148,1.079077706,1.737119444
1.380114697,1.079170689,1.738275278
1.380657184,1.079263639,1.739559421
1.381199611,1.079356556,1.740844019
1.381741976,1.07944944,1.742129073
1.382284281,1.079542292,1.743414582
1.382826524,1.079635111,1.744700547
1.383368707,1.079727897,1.745986965
1.38391083,1.079820651,1.747273839
1.384452892,1.079913373,1.748561165
1.384994893,1.080006062,1.749848946
1.385536834,1.080098718,1.751127727
1.386078714,1.080191343,1.752406109
1.386620534,1.080283935,1.753770454
1.387162294,1.080376495,1.755135566
1.387703994,1.080469022,1.756501445
1.388245633,1.080561518,1.75786809
1.388787213,1.080653981,1.759235502
1.389328732,1.080746413,1.760603682
1.389870191,1.080838812,1.761972629
1.390411591,1.08093118,1.763342344
1.390952931,1.081023516,1.764712826
1.39149421,1.08111582,1.766084077
1.39203543,1.081208092,1.767456097
1.392576591,1.081300333,1.768828885
1.393117691,1.081392542,1.770202442
1.393658732,1.081484719,1.771576769
1.394199714,1.081576865,1.77273023
1.394740636,1.081668979,1.773745328
1.395281498,1.081761062,1.774760446
1.395822301,1.081853113,1.775775584
1.396363045,1.081945133,1.776808568
1.396903729,1.082037122,1.778104426
1.397444354,1.082134144,1.779400725
1.397984919,1.08224165,1.780697462
1.398525426,1.082349089,1.781994637
1.399065873,1.08245646,1.783292251
1.399606261,1.082563762,1.784590303
1.400146589,1.082670997,1.785888792
1.400686859,1.082778164,1.787187718
1.40122707,1.082885263,1.78848708
1.401767221,1.082992294,1.789780657
1.402307314,1.083099257,1.791063295
1.402847347,1.083206151,1.792346333
1.403387321,1.083312977,1.79362977
1.403927237,1.083419735,1.794913607
1.404467093,1.083526424,1.795647258
1.405006891,1.083633045,1.796352049
1.40554663,1.083739597,1.797056253
1.40608631,1.08384608,1.797759873
1.406625931,1.083952495,1.798462909
1.407165493,1.084058841,1.799165363
1.407704996,1.084165118,1.799867237
1.40824444,1.084271326,1.800568534
1.408783826,1.084377465,1.801269253
1.409323153,1.084483536,1.801969397
1.409862421,1.084589537,1.802668968
1.41040163,1.084695469,1.803367966
1.41094078,1.084801332,1.804095936
1.411479872,1.084907125,1.805108933
1.412018905,1.085012849,1.806225648
1.412557879,1.085118504,1.807720043
1.413096794,1.085224089,1.80921502
1.413635651,1.085329605,1.810710576
1.414174449,1.085435051,1.812206707
1.414713188,1.085540428,1.81370341
1.415251868,1.085645735,1.81520068
1.415790489,1.085750972,1.816698514
1.416329052,1.08585614,1.818193241
1.416867556,1.085961237,1.819687001
1.417406001,1.086066265,1.821181294
1.417944387,1.086171223,1.822676116
1.418482715,1.08627611,1.824171464
1.419020983,1.086380928,1.825667334
1.419559193,1.086485676,1.827163722
1.420097344,1.086590353,1.828660624
1.420635436,1.08669496,1.830158036
1.421173469,1.086799497,1.831655956
1.421711443,1.086903964,1.833154379
1.422249359,1.08700836,1.834653301
1.422787215,1.087112686,1.836152719
1.423325012,1.087216941,1.837652628
1.423862751,1.087321126,1.839153026
1.42440043,1.08742524,1.840653909
1.424938051,1.087529284,1.842155272
1.425475612,1.087633257,1.843436256
1.426013114,1.087737159,1.844541281
1.426550557,1.08784099,1.84564591
1.427087941,1.087944751,1.846750144
1.427625266,1.088048441,1.847853979
1.428162531,1.08815206,1.848957415
1.428699738,1.088255608,1.850053621
1.429236885,1.088359085,1.85114333
1.429773972,1.08846249,1.85223261
1.430311001,1.088565825,1.853321459
1.43084797,1.088669089,1.854409877
1.431384879,1.088772282,1.855497862
1.431921729,1.088875403,1.856585412
1.43245852,1.088978453,1.857672526
1.432995251,1.089081432,1.858759203
1.433531923,1.089184339,1.859845441
1.434068534,1.089287175,1.86093124
1.434605087,1.08938994,1.862016596
1.435141579,1.089492633,1.86310151
