Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Bhutan,1.727732145,1.871479048,2.145678416,2.394015467,2.86375464,4.163925105,6.102627856,11.3778359,15.86835348,23.74864662,27.82789063,29.53243898,20.22259505,9.002733111,3.494130352,,95.59847139,103.3452958,162.3438368,265.6891326
Bolivia (Plurinational State of),58.6353474,63.97451249,80.58450534,108.9197097,142.5311849,200.0297325,269.6711579,407.8712259,558.2796982,792.7480494,984.3606225,1039.474943,925.6023587,439.3977783,151.3819985,,2450.677317,2709.3055,6223.462824,8932.768324
Bosnia and Herzegovina,1.90559104,2.473213064,2.989856098,4.855698653,7.378505002,11.91655747,22.69565112,30.27832282,39.65986501,53.32924642,99.77606703,125.6182821,89.60653143,36.11774113,12.2311884,,7.052818957,14.0966698,540.8323168,554.9289866
Botswana,62.83670377,88.5066255,115.5772315,125.042467,123.7993057,126.6378736,138.6388537,180.4579473,162.8979682,142.7203509,137.9443195,135.3514671,82.51801421,34.64671506,11.6459402,,428.4706471,555.5404359,1669.221783,2224.762219
Brazil,610.1873339,856.930125,1245.59466,1567.323179,2150.99275,2974.284967,3921.389492,5095.835614,6387.113526,8227.395827,10971.81259,13441.65722,14252.56961,10440.91802,6566.085781,,6700.116575,8277.443378,88710.09068,96987.53406
Brunei Darussalam,1.423534843,1.499610172,1.882652718,2.540879767,3.063732581,3.422832943,4.83080516,6.553935134,9.016997314,11.89391106,15.71683981,15.45281184,10.66129677,3.237028851,0.67690656,,5.296095172,9.141717332,91.87377554,101.0154929
Bulgaria,15.4174519,23.02252485,34.45592791,50.94648699,74.19908001,98.09317106,141.5479361,203.8895077,262.9374201,287.7181942,334.1755978,361.1160918,316.820335,137.6061435,29.73351163,,89.92458116,123.8330262,2371.679381,2495.512407
Burkina Faso,211.4273256,223.1794008,252.541459,310.5518888,372.3522287,524.6473703,629.665105,815.5491217,976.584147,1259.494169,1280.792003,1096.198291,594.8286729,282.2872826,111.3635678,,23114.75814,24337.9445,8941.462032,33279.40653
Burundi,146.9930231,143.116546,153.5619975,196.9599408,228.4090436,299.0437589,386.4810313,504.2149847,479.9470425,502.1085483,519.9982494,440.057624,279.909856,114.1688536,42.04257819,,4163.664224,4925.417543,4437.013078,9362.430621
Cabo Verde,4.304392854,5.056560508,5.933315748,5.212454431,9.707248974,11.44123656,15.68954974,13.45301557,15.07116165,19.64430318,33.03360277,60.27973727,53.78774048,28.76718557,18.53327705,,27.8425673,35.0808082,299.9147824,334.9955906
Cambodia,177.0239086,199.7796404,219.1745902,231.4917533,302.1413274,454.1280687,598.3262905,845.0401739,1034.574919,1211.488997,1448.289794,1578.77299,1293.284604,573.0263602,193.0910075,,5079.36541,5623.766076,10359.63443,15983.40051
Cameroon,339.5435446,340.9286377,380.6555141,460.2670976,562.3468856,745.3571218,919.9402014,1165.011647,1283.851952,1509.057377,1558.303771,1357.986092,720.8612376,296.5817031,97.13712471,,12256.06387,13680.57975,11737.82991,25418.40966
Canada,15.80601824,23.78156337,31.90254509,45.93962067,72.89505691,122.9183098,183.1762751,266.4085988,394.8859349,590.3642323,886.6484354,1414.969985,2451.95018,2260.510186,1530.382181,,40.4667975,65.89865409,10292.53912,10358.43777
Central African Republic,92.67094139,101.5853146,125.6108492,186.9832576,259.2234319,322.1975361,364.1123855,373.3733194,331.5047804,303.6654908,265.7003026,176.6206933,90.65696913,32.66767359,10.49052904,,5252.189083,5664.100902,3037.063475,8701.164377
Chad,157.2938706,150.8870207,171.898873,210.8161208,290.1391274,395.8979535,479.4517651,596.4835458,699.1212299,918.4913045,888.1627928,776.9840844,397.3471801,168.2161994,65.72461632,,18609.49262,19732.20374,6366.915684,26099.11942
Chile,14.68615797,19.51409718,28.50306089,45.09108001,60.86302217,99.59519623,123.9490593,164.6871169,217.1634054,341.5261776,516.8491801,767.4414578,1118.311269,920.9032318,612.343382,,80.47442373,108.0060321,5051.426894,5159.432926
China,808.6138545,925.7947715,1031.374166,1653.44873,2560.310996,3895.048042,4245.378208,7890.73812,11133.75606,17364.33625,26347.43522,44030.20818,41566.02353,19026.51487,6710.264754,,22793.61287,25205.54852,189189.2457,214394.7942
Colombia,118.1344761,120.0195187,146.5256043,160.9381651,206.3912017,279.9441494,364.9010795,470.5570608,567.8091072,731.0699456,974.5612454,1111.011526,1185.543104,852.8910923,666.7811248,,1493.016812,1809.808045,7957.078402,9766.886447
Comoros,8.256592062,7.812044446,9.239203372,12.48198764,14.65872939,18.61909847,22.5525402,32.46619977,37.60072183,54.76219002,64.44118066,61.99356119,40.80531949,20.2813328,8.411194779,,216.1748336,249.1023533,414.3818961,663.4842494
Congo,49.80283006,61.07300253,78.77754808,109.2415212,126.5557209,152.6504696,173.7541053,217.0059113,224.581463,242.895353,263.5212792,223.3344245,147.7037031,56.56918151,18.13105722,,553.4751419,691.4611106,2145.59757,2837.058681
Cook Islands,0.15273345,0.184971724,0.228615184,0.261335034,0.330653932,0.483356214,0.704864461,0.733049517,1.039628384,1.040632715,1.721892897,1.918678501,1.673334363,1.189871728,0.377179097,,0.166707065,0.406719422,12.0407972,12.44751662
Costa Rica,8.297982339,10.88656108,12.68947262,17.93332601,24.67708442,33.58263313,40.51428627,48.02948643,48.79084286,56.385774,82.42066624,97.55518536,117.9491155,92.06952163,93.39215293,,44.90970336,58.72633238,785.1740909,843.9004233
Cote d'Ivoire,309.9403276,340.7479804,372.3185082,448.9263613,554.296934,666.8552122,795.2105364,978.2391065,1103.448335,1252.132037,1209.971823,1095.011319,605.4512926,256.1114337,90.49818828,,14280.2771,15494.46923,10079.15939,25573.62862
