Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
GLOBAL,25384.90844,29714.15574,36445.40256,43979.91998,54818.08252,74701.27821,97792.96964,140368.5854,179255.1001,231107.042,273626.1453,338058.1793,316596.7209,218558.9307,118398.5106,,896276.7881,995850.3578,2178805.931,3174656.289
Afghanistan,253.7622099,218.502957,215.3849167,244.0476585,406.9431999,335.2959424,236.6869591,297.555712,459.9841516,652.9176419,739.4848844,655.9713375,447.7579824,168.3639371,43.9337204,,18540.83364,20232.19979,5376.593211,25608.793
Albania,4.714533806,4.507289242,3.581473055,3.818671461,5.174021103,7.944080811,12.88796668,23.64486829,33.53977298,55.77036746,88.80657251,124.9628602,96.99627799,55.56996616,24.09783239,,84.0860539,101.6076498,546.0165541,647.6242039
Algeria,101.5513269,135.6068536,156.1506029,161.2043579,166.1363221,198.6944508,252.6472141,388.5599637,459.7845924,550.9453226,842.9204224,1168.821272,1715.046035,414.6906198,62.47188213,,1068.009315,1390.252177,6775.231238,8165.483415
American Samoa,0.352797383,0.348319932,0.424889047,0.440032853,0.533783138,0.798159334,0.956560979,1.143458881,1.12876732,1.252244085,1.595669206,1.940144013,1.511684394,1.074832576,0.294996835,,1.474206291,2.357341567,13.79633998,16.15368154
Andorra,0.035221701,0.056960767,0.093779222,0.143532964,0.213269068,0.311320746,0.466908181,0.603748628,0.829612652,1.4756889,2.492412878,3.653670517,6.131647669,6.733954579,4.893029083,,0.044063917,0.09255158,28.13475755,28.22730913
Angola,262.0133919,288.3643814,305.6002272,431.1477926,518.3666739,685.6423469,851.3825949,993.737948,1069.425251,912.8217936,1057.517973,773.1423408,458.3881935,210.2342252,76.55685742,,7616.757279,8763.806487,8894.341991,17658.14848
Antigua and Barbuda,0.241871916,0.242988113,0.340975548,0.393024231,0.601252201,1.004942356,1.391862445,2.267757605,2.559324682,3.577252333,5.129208707,6.42692363,6.565728457,4.510349686,2.391406927,,1.447223626,1.880819778,37.64486884,39.52568862
Argentina,190.5858961,234.2882969,310.1091625,442.2158005,585.0897762,840.7543915,1199.381266,2038.187781,3009.818868,4283.876963,5848.720826,7253.048715,8171.887202,5728.799469,3073.669422,,586.5635635,956.6298743,43210.43384,44167.06371
Armenia,4.534533749,6.534578129,7.786280069,11.67725409,12.21218389,15.69156975,25.94630955,41.6855238,45.10435523,51.31566466,64.25391119,119.6683322,94.63897286,56.01081627,10.69287687,,130.0957345,148.1009661,567.7531623,715.8541283
Australia,8.355798601,12.9096405,19.22107049,25.63144144,37.26070367,47.59984298,63.23916738,101.8106588,151.8788226,255.5039497,407.9851893,699.0140611,1135.945907,1332.818233,1035.479617,,35.12118905,47.99487836,5334.654103,5382.648982
Austria,2.087371712,2.683914469,3.511931407,5.286430205,8.896241724,15.66713555,23.70919641,33.98771452,51.80125392,89.66674798,165.490307,242.3937842,321.86884,322.5697386,197.0889113,,5.651461213,9.283567305,1486.709519,1495.993086
Azerbaijan,38.58994127,41.79973686,42.86144286,46.72525394,56.55121044,79.87479548,123.1894002,145.4504823,144.7609067,106.1470388,153.0885105,253.3230889,165.9574568,37.70568381,5.160695609,,1793.178733,2008.259029,1441.185645,3449.444674
Bahamas,1.849944568,2.405366111,3.104275593,3.586433339,4.420722021,5.730270653,6.42782342,8.222187921,9.431823802,10.84086781,14.07789169,15.53625944,14.5431276,11.07932973,8.125114291,,5.721000976,8.566622703,119.381438,127.9480607
Bahrain,1.063675941,1.709002232,3.417292067,3.838133854,3.613992709,4.176277534,7.003941628,10.50382159,10.35203748,11.51496881,15.78258372,17.83825374,13.63925099,3.478580898,0.448312882,,3.08775601,6.715551259,108.3801261,115.0956773
Bangladesh,317.8731688,287.5933229,388.3487648,486.3256851,677.8667467,1170.229527,1478.724549,2385.854572,3233.674455,4189.765718,4502.019573,5777.897041,4226.892088,1927.127288,520.4866208,,16788.60291,19935.27539,31570.67912,51505.95452
Barbados,0.677580321,0.959868242,1.148621212,1.454455243,2.254946692,3.265018397,5.177908174,9.584017414,12.47612138,20.82818104,28.34016119,35.82149283,44.85257435,34.05354839,12.62285339,,3.175604374,4.472887496,213.5173483,217.9902358
Belarus,18.45908372,45.18040655,68.23144587,87.21977539,112.621957,130.0790281,157.1241357,137.3843146,83.64103623,61.87008063,79.34221597,159.2912642,188.7560592,178.0484823,58.21620947,,34.49293792,49.42768771,1565.465495,1614.893183
Belgium,4.790697417,6.266182102,9.780317317,16.72429987,27.41065425,49.40912284,86.33182682,144.6176854,241.5568193,419.5154029,642.0574842,1252.317601,2023.77706,1800.883139,1080.735347,,10.83095671,19.46124751,7806.17364,7825.634887
Belize,2.800736766,3.537104323,3.199953803,3.678923732,4.326727723,5.241303271,6.430147832,7.957816601,8.147053528,10.61563408,12.66292953,16.98107483,17.28027022,14.05051886,8.687142338,,15.89525658,21.51570372,125.5973374,147.1130412
Benin,133.0636722,122.1979864,137.1472189,177.4686783,211.6360395,285.53872,338.8772639,415.5179533,480.754788,642.7881662,679.4076696,639.9756537,349.9114542,175.5012694,74.36524048,,7303.351143,7960.029693,4864.151774,12824.18147
Bermuda,0.031112702,0.047849123,0.076163432,0.118235238,0.189425753,0.29118175,0.455998233,0.777434391,1.124912811,1.746476064,2.917139147,4.023030289,5.065872186,3.981417754,2.974841425,,0.161151655,0.228558517,23.8210903,24.04964882
Bhutan,1.629162114,1.695184808,2.19444144,2.435866397,2.997186617,4.218211849,6.304840565,11.64318047,16.76032864,25.08179842,29.10117828,31.22681859,21.77688646,10.20219436,3.903991033,,81.2416086,88.40217458,171.17127,259.5734446
Bolivia (Plurinational State of),57.59893893,62.28979676,81.06697455,113.3959167,149.25404,205.9149591,283.8547565,428.6645406,597.6448174,853.0762326,1052.87651,1088.448862,979.2052331,491.4749597,174.3628023,,2148.012228,2397.389388,6619.12934,9016.518728
Bosnia and Herzegovina,1.740677344,2.303800953,3.003580289,5.050035319,7.392348867,11.8794098,21.99010921,31.8073309,46.25258252,61.2282538,91.00845386,135.0109758,96.51973928,42.55531755,14.79068617,,5.729106533,11.83151917,572.5333016,584.3648208
Botswana,60.02855321,84.37222344,121.3854888,131.3841473,132.7958374,128.8697487,141.4806895,187.2791719,175.3783627,151.007003,142.5634466,138.2560881,89.66684753,37.62596461,12.82250654,,413.3881553,536.5284922,1734.916079,2271.444571
Brazil,618.1128238,880.0101026,1316.63932,1697.693533,2185.075437,2974.889137,3981.668403,5235.99607,6623.886297,8821.883823,11326.59404,14016.43047,14385.68166,11136.06595,7042.62627,,6005.23867,7513.07888,92243.25334,99756.33222
Brunei Darussalam,1.383145819,1.638651466,1.977164282,2.576481598,3.17306767,3.513043703,5.167244707,7.273269231,10.46311064,13.74318949,15.95155048,16.79837457,11.24598473,3.323873905,0.686072084,,5.358613861,9.080602153,98.91422437,107.9948265
Bulgaria,14.66710221,25.04499834,35.39593891,54.97534221,81.27595042,108.5050339,145.159463,209.7209988,261.7875001,339.9484007,384.390347,374.0463762,358.1538532,151.9148702,35.57999607,,83.6660276,119.2860464,2580.566171,2699.852218
Burkina Faso,226.1133643,238.4736891,270.5977067,333.2032485,403.3406492,562.977229,677.8863631,868.3336946,1017.350607,1308.835177,1344.3112,1172.286514,640.5728839,308.9308023,120.8779551,,22573.03154,23846.44406,9494.091083,33340.53514
Burundi,154.732137,151.8883466,174.730156,218.9086076,245.8684059,313.346618,419.0099351,546.7804444,568.5052687,517.6426696,533.5803273,469.8791788,294.5880344,123.7106821,45.36775309,,4353.885977,5148.223025,4778.538565,9926.761589
Cabo Verde,3.604671484,4.232096472,5.109522955,5.298960881,8.985621606,13.32801337,19.47748457,22.21798335,24.72992032,26.14598024,35.14626098,70.70011434,64.66802973,35.64611757,19.39787851,,23.00885716,30.89438747,358.6886564,389.5830438
Cambodia,171.4719606,201.0083458,231.3203838,243.8108281,297.2458752,460.2789733,639.9335789,935.7209749,1093.251857,1373.680439,1546.627191,1693.602492,1401.531322,637.4917905,218.3609392,,4544.94711,5061.786421,11145.33695,16207.12337
Cameroon,343.3394743,358.0013667,398.5602976,490.4436094,586.7888874,766.2014373,962.1320327,1190.633628,1376.590438,1603.446971,1537.279086,1437.125533,802.0494834,353.7276211,109.3408622,,11057.39012,12418.01061,12315.66073,24733.67134
