Location,2017 LBW Counts
Afghanistan,352295.697
Albania,1633.618993
Algeria,64226.96811
American Samoa,83.05825535
Andorra,32.87015851
Angola,158293.9367
Antigua and Barbuda,92.75864066
Argentina,50548.2901
Armenia,3757.144128
Australia,19712.85622
Austria,5731.11411
Azerbaijan,11207.70905
Bahrain,1686.729611
Bangladesh,758726.5357
Barbados,251.6996282
Belarus,5740.011366
Belgium,8821.109729
Belize,627.7517381
Benin,78582.85012
Bermuda,70.24771989
Bhutan,1663.318037
Bolivia (Plurinational State of),22767.88583
Bosnia and Herzegovina,978.186572
Botswana,7486.908411
Brazil,266284.6464
Brunei Darussalam,668.3300361
Bulgaria,6122.985871
Burkina Faso,111468.9038
Burundi,64324.26018
Cambodia,44065.48621
Cameroon,103299.2139
Canada,24083.15032
Cabo Verde,1444.54524
Central African Republic,26194.06647
Chad,92261.77094
Chile,14179.68755
China,859171.4623
Colombia,80220.0321
Comoros,3863.52463
Congo,16708.97323
Costa Rica,5110.200573
Cote d'Ivoire,131246.1771
Croatia,1903.80832
Cuba,5843.613057
Cyprus,1020.578629
Czechia,9008.511809
Democratic Republic of the Congo,304775.9396
Denmark,3266.620856
Djibouti,4466.009832
Dominica,73.09853111
Dominican Republic,25584.36102
Ecuador,38359.55517
Egypt,234585.2357
El Salvador,11775.11859
Equatorial Guinea,4880.414701
Eritrea,24760.90059
Estonia,608.1979984
Ethiopia,447795.5717
Micronesia (Federated States of),156.2256915
Fiji,1425.668991
Finland,2100.64962
France,53750.61876
Gabon,5892.455972
Georgia,3055.590746
Germany,50481.54961
Ghana,115443.334
Greece,8142.764651
Greenland,64.22420577
Grenada,123.994217
Guam,259.3330944
Guatemala,43673.13976
Guinea,58921.35453
Guinea-Bissau,12646.12913
Guyana,2243.750085
Haiti,27534.11755
Honduras,24396.693
Hungary,7730.587032
Iceland,176.092943
India,6118628.528
Indonesia,393781.6336
Iran (Islamic Republic of),158117.5264
Iraq,102117.7759
Ireland,3721.715993
Israel,14701.57321
Italy,32384.13482
Jamaica,5355.77887
Japan,90482.23289
Jordan,31575.99956
Kazakhstan,20126.43645
Kenya,148804.6236
Kiribati,234.0745904
Kuwait,5873.015547
Kyrgyzstan,8226.73801
Lao People's Democratic Republic,28874.84638
Latvia,956.247938
Lebanon,10064.51183
Lesotho,6666.275449
Liberia,17328.06479
Libya,9257.916623
Lithuania,1309.123904
Luxembourg,406.6789836
North Macedonia,2085.452942
Madagascar,138494.981
Malawi,74922.39242
Malaysia,57141.63803
Maldives,1011.534065
Mali,113598.6056
Malta,277.6487534
Marshall Islands,99.21646761
Mauritania,14017.36005
Mauritius,2227.432853
Mexico,166387.2439
Republic of Moldova,1748.761487
Mongolia,4513.02627
Montenegro,378.9870796
Morocco,109332.8212
Mozambique,143398.1551
Myanmar,127579.8698
Namibia,9403.039956
Nepal,133526.1924
Netherlands,10742.13636
New Zealand,3353.246549
Nicaragua,14025.97086
Niger,134163.2301
Nigeria,926812.7467
Democratic People's Republic of Korea,27960.79996
Northern Mariana Islands,39.90824419
Norway,2577.327689
Oman,8281.030186
Pakistan,1651705.149
Palestine,10604.58575
Panama,7694.139291
Papua New Guinea,24028.74571
Paraguay,10221.58467
Peru,60722.66454
Philippines,523271.4883
Poland,22867.84548
Portugal,7564.909623
Puerto Rico,2288.506907
Qatar,1980.874003
Romania,15542.37321
Russian Federation,106015.1994
Rwanda,26357.84633
Saint Lucia,161.1143173
Saint Vincent and the Grenadines,135.6982348
Samoa,286.7648421
Sao Tome and Principe,307.8240642
Saudi Arabia,49904.79583
Senegal,81886.75934
Serbia,3950.670237
Seychelles,177.5844598
Sierra Leone,37364.69189
Singapore,5594.126845
Slovakia,4432.96638
Slovenia,1240.464894
Solomon Islands,1594.422968
Somalia,101433.5874
South Africa,147862.6545
Republic of Korea,24271.22139
South Sudan,41608.86357
Spain,32933.12681
Sri Lanka,49083.94349
Sudan,151355.1513
Suriname,1360.567863
Eswatini,3041.606871
Sweden,2813.466102
Switzerland,5661.909023
Syrian Arab Republic,25211.86931
Taiwan (Province of China),9709.290487
Tajikistan,13901.58023
United Republic of Tanzania,204496.4428
Thailand,65977.37065
Bahamas,551.5814162
Gambia,11439.81465
Timor-Leste,2863.885292
Togo,37191.98964
Tonga,189.4466303
Trinidad and Tobago,2038.20535
Tunisia,13228.507
Turkey,112509.7046
Turkmenistan,5588.451523
Uganda,193008.4876
Ukraine,24218.7554
United Arab Emirates,8422.54076
United Kingdom,54139.47577
United States of America,305383.6663
Uruguay,3536.640584
Uzbekistan,38412.03711
Vanuatu,809.0599314
Venezuela (Bolivarian Republic of),43691.28888
Viet Nam,116513.8552
United States Virgin Islands,114.2758254
Yemen,100350.1909
Zambia,66993.02549
Zimbabwe,55198.5249
Cook Islands,9.762139837
Monaco,17.32853231
Nauru,23.44802999
Niue,2.014406334
Palau,16.25084438
Saint Kitts and Nevis,61.83058951
San Marino,10.34325923
Tokelau,2.856108978
Tuvalu,16.62629509
