PTB,95% UI,
1.091149258,1,1.248951828
1.09159663,1,1.249952864
1.092044001,1,1.250818354
1.092491373,1,1.251683832
1.092938745,1,1.252549298
1.093386116,1,1.253414753
1.093833488,1,1.254280196
1.094280859,1,1.255145627
1.094722287,1,1.256004228
1.095163716,1,1.256862813
1.095605144,1,1.257721382
1.096046572,1,1.258579936
1.096488,1,1.259356063
1.096929428,1,1.260132182
1.097370856,1,1.260908293
1.097812284,1,1.261684395
1.098253712,1,1.262460488
1.09869514,1,1.263236574
1.099131106,1,1.264006371
1.099567073,1,1.264776156
1.10000304,1,1.265545931
1.100439006,1,1.266315695
1.100874973,1,1.267057708
1.101310939,1,1.267799714
1.101746906,1,1.268541712
1.102182872,1,1.269283704
1.102618839,1,1.270025689
1.103054806,1,1.270767668
1.103485785,1,1.271503893
1.103916764,1,1.272240109
1.104347744,1,1.272976316
1.104778723,1,1.273712513
1.105209703,1,1.274434006
1.105640682,1,1.275155492
1.106071661,1,1.275876972
1.106502641,1,1.276598447
1.10693362,1,1.277319915
1.1073646,1,1.278041378
1.107791057,1,1.278757614
1.108217514,1,1.279473843
1.108643971,1,1.280190064
1.109070428,1,1.280906277
1.109496885,1,1.281806303
1.109923343,1,1.282706319
1.1103498,1,1.283606325
1.110776257,1,1.284506321
1.111202714,1,1.285406306
1.111629171,1,1.286306282
1.1120515,1,1.28720147
1.11247383,1,1.288096646
1.112896159,1,1.288991808
1.113318488,1,1.289886957
1.113740817,1,1.290952486
1.114163147,1,1.292018001
1.114585476,1,1.293083504
1.115007805,1,1.294148994
1.115430134,1,1.29521447
1.115852464,1,1.296279934
1.116270933,1,1.297340898
1.116689402,1,1.298401845
1.117107871,1,1.299462776
1.11752634,1,1.300523689
1.11794481,1,1.301297137
1.118363279,1,1.302070579
1.118781748,1,1.302844015
1.119200217,1,1.303617445
1.119618686,1,1.304390868
1.120037156,1,1.305164286
1.120451973,1,1.305933441
1.120866791,1,1.306702589
1.121281608,1,1.307471729
1.121696426,1,1.30824086
1.122111243,1,1.308977417
1.122526061,1,1.309713969
1.122940878,1,1.310450516
1.123355696,1,1.311187058
1.123770513,1,1.311923594
1.124185331,1,1.312660126
1.124596688,1,1.313392611
1.125008046,1,1.31412509
1.125419403,1,1.314857562
1.12583076,1,1.315590028
1.126242118,1,1.316094193
1.126653475,1,1.316598359
1.127064833,1,1.317102523
1.12747619,1,1.317606687
1.127887547,1,1.318110851
1.128298905,1,1.318615014
1.128706953,1,1.31911531
1.129115001,1,1.319615605
1.12952305,1,1.320115899
1.129931098,1,1.320616193
1.130339146,1,1.321298516
1.130747194,1,1.321980836
1.131155243,1,1.322663152
1.131563291,1,1.323345464
1.131971339,1,1.324027772
1.132379388,1,1.324710076
1.13278426,1,1.325388661
1.133189132,1,1.32606724
1.133594004,1,1.326745815
1.133998877,1,1.327424385
1.134403749,1,1.328299601
1.134808621,1,1.329174809
1.135213493,1,1.330050011
1.135618366,1,1.330925205
1.136023238,1,1.331800392
1.13642811,1,1.332675572
1.136829925,1,1.333547159
1.13723174,1,1.334418737
1.137633555,1,1.335290305
1.13803537,1,1.336161864
1.138437185,1,1.337044331
1.138838999,1,1.337926791
1.139240814,1,1.338809244
1.139642629,1,1.33969169
1.140044444,1,1.340574129
1.140446259,1,1.341456561
1.140845111,1,1.3423355
1.141243964,1,1.34321443
1.141642816,1,1.344093351
1.142041668,1,1.344972263
1.142440521,1,1.345898586
1.142839373,1,1.346824902
1.143238225,1,1.34775121
1.143637078,1,1.348677511
1.14403593,1,1.349603804
1.144434782,1,1.35053009
1.144830737,1,1.351452947
1.145226691,1,1.352375795
1.145622646,1,1.353298632
1.146018601,1,1.35422146
1.146414555,1,1.355132107
1.14681051,1,1.356042746
1.147206464,1,1.356953378
1.147602419,1,1.357864003
1.147998374,1,1.358774621
1.148394328,1,1.359685232
1.148787429,1,1.360592456
1.149180531,1,1.361499671
1.149573632,1,1.362406877
1.149966734,1,1.363314074
1.150359835,1,1.364300439
1.150752936,1,1.365286796
1.151146038,1,1.366273145
1.151539139,1,1.367259486
1.151932241,1,1.368245818
1.152325342,1,1.369232142
1.152715619,1,1.370215101
1.153105895,1,1.371198048
1.153496172,1,1.372180986
1.153886449,1,1.373163912
1.154276725,1,1.374295771
1.154667002,1,1.375427619
1.155057279,1,1.376559457
1.155447556,1,1.377691285
1.155837832,1,1.378823102
1.156228109,1,1.379954909
1.156615579,1,1.381083354
1.157003049,1,1.382211786
1.157390519,1,1.383340205
1.157777989,1,1.384468609
1.158165459,1,1.385270566
1.158552929,1,1.386072518
