Location,2019 PTB Counts
Afghanistan,148250.7743
Albania,3049.409962
Algeria,116651.0223
American Samoa,103.6481446
Andorra,36.19114139
Angola,128029.8586
Antigua and Barbuda,97.34277608
Argentina,57303.91307
Armenia,3966.103017
Australia,26162.81439
Austria,6970.248114
Azerbaijan,14960.82247
Bahrain,1360.847327
Bangladesh,508285.7198
Barbados,279.3046255
Belarus,4466.88708
Belgium,12290.14686
Belize,737.0323666
Benin,45064.4792
Bermuda,49.02371761
Bhutan,1390.241476
Bolivia (Plurinational State of),31151.26213
Bosnia and Herzegovina,1819.477141
Botswana,5676.350872
Brazil,343558.2302
Brunei Darussalam,655.1747358
Bulgaria,5452.729984
Burkina Faso,107060.6757
Burundi,53593.45552
Cambodia,37468.27566
Cameroon,104327.1927
Canada,30429.8919
Cabo Verde,1273.091189
Central African Republic,22342.52912
Chad,89452.66254
Chile,17780.43251
China,1047586.208
Colombia,114249.3582
Comoros,1932.707022
Congo,16879.89174
Costa Rica,6511.390806
Cote d'Ivoire,102610.1422
Croatia,1786.480208
Cuba,6282.808843
Cyprus,2824.732101
Czechia,8441.440057
Democratic Republic of the Congo,278237.3873
Denmark,4517.382399
Djibouti,4048.886246
Dominica,79.01876099
Dominican Republic,22157.06307
Ecuador,27649.71939
Egypt,281323.2002
El Salvador,10719.24974
Equatorial Guinea,4493.331659
Eritrea,23139.34353
Estonia,756.9020298
Ethiopia,423429.2638
Micronesia (Federated States of),192.3943858
Fiji,1738.458687
Finland,2874.156239
France,59917.2515
Gabon,4991.467816
Georgia,4800.670438
Germany,67721.58897
Ghana,99215.55689
Greece,9931.776413
Greenland,75.11678165
Grenada,136.1022555
Guam,269.820225
Guatemala,39720.27119
Guinea,55015.52107
Guinea-Bissau,7235.370904
Guyana,1393.97421
Haiti,31428.94937
Honduras,22613.74859
Hungary,7352.614166
Iceland,368.4284778
India,3146289.433
Indonesia,396163.0075
Iran (Islamic Republic of),81896.13623
Iraq,98006.60847
Ireland,3870.390912
Israel,16554.07817
Italy,34734.91138
Jamaica,3522.134273
Japan,51623.36018
Jordan,42605.20008
Kazakhstan,18338.25408
Kenya,112986.7766
Kiribati,296.3449889
Kuwait,6265.616131
Kyrgyzstan,15083.66646
Lao People's Democratic Republic,17417.83807
Latvia,1052.861611
Lebanon,9456.362048
Lesotho,5402.554425
Liberia,15605.98153
Libya,10897.82317
Lithuania,1469.023708
Luxembourg,624.5774827
North Macedonia,1943.83913
Madagascar,99001.96029
Malawi,55472.77876
Malaysia,55905.62511
Maldives,521.6273245
Mali,109835.6634
Malta,304.9652825
Marshall Islands,102.331132
Mauritania,12748.09701
Mauritius,1534.523767
Mexico,146291.2279
Republic of Moldova,2828.173746
Mongolia,8340.423325
Montenegro,585.0453055
Morocco,80122.89776
Mozambique,129221.4808
Myanmar,106495.0207
Namibia,7334.272193
Nepal,31950.41086
Netherlands,13206.55565
New Zealand,4412.499187
Nicaragua,12765.8853
Niger,130913.214
Nigeria,824261.5892
Democratic People's Republic of Korea,35521.59786
Northern Mariana Islands,40.80302141
Norway,3314.942629
Oman,7155.169359
Pakistan,541606.3695
Palestine,11412.91243
Panama,7437.929717
Papua New Guinea,31547.73396
Paraguay,10080.62223
Peru,55735.5313
Philippines,346171.1739
Poland,26738.90349
Portugal,6240.535691
Puerto Rico,2412.732387
Qatar,1211.131598
Romania,15361.05827
Russian Federation,145708.469
Rwanda,40923.54119
Saint Lucia,174.4598285
Saint Vincent and the Grenadines,148.1996362
Samoa,373.3314399
Sao Tome and Principe,549.5944789
Saudi Arabia,17856.61024
Senegal,53911.83421
Serbia,9927.136038
Seychelles,177.0657888
Sierra Leone,31884.29484
Singapore,5927.599928
Slovakia,5111.26171
Slovenia,1386.670466
Solomon Islands,2033.476627
Somalia,98865.33973
South Africa,126568.9018
Republic of Korea,27369.05776
South Sudan,41164.01452
Spain,24035.8871
Sri Lanka,20685.44056
Sudan,154186.6629
Suriname,876.5326171
Eswatini,3444.904447
Sweden,6875.001294
Switzerland,6327.537184
Syrian Arab Republic,23807.78934
Taiwan (Province of China),12390.30555
Tajikistan,25888.92035
United Republic of Tanzania,331394.3253
Thailand,74631.0961
Bahamas,404.0336149
Gambia,8295.618815
Timor-Leste,3887.502336
Togo,27519.24875
Tonga,231.8764704
Trinidad and Tobago,1519.734859
Tunisia,22443.56757
Turkey,120948.7367
Turkmenistan,11550.05372
Uganda,100916.2971
Ukraine,34309.4779
United Arab Emirates,3175.599152
United Kingdom,55141.40471
United States of America,361818.8497
Uruguay,4085.644475
Uzbekistan,73876.78117
Vanuatu,753.3909276
Venezuela (Bolivarian Republic of),45736.46612
Viet Nam,87332.6701
United States Virgin Islands,120.9856011
Yemen,94712.53306
Zambia,71018.06004
Zimbabwe,51903.80345
Cook Islands,22.72466132
Monaco,24.55330388
Nauru,24.54773885
Niue,2.106179679
Palau,15.78144008
Saint Kitts and Nevis,66.61423495
San Marino,24.55866495
Tokelau,3.062117861
Tuvalu,17.85306158
