Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Belize,0.063349479,0.022329029,0.024255115,0.130840442,0.178202404,0.250503992,0.317741534,0.361805684,0.554931511,0.982872701,1.726824304,3.001630031,4.2321776,4.863944376,6.024638597,6.078698561,6.933522777,5.039582727,2.659340778,1.276087725,,44.3043029,44.72327937
Benin,8.568927344,0.736838275,0.628870998,12.60799307,2.946752909,9.162215765,11.14906427,10.3384442,14.86668531,24.42692971,48.16119063,52.41297472,85.91843521,124.18273,151.5212407,164.0251042,123.0998566,76.86190639,38.88978203,11.33167522,,946.3482349,971.8376175
Bermuda,0.001417087,0.000523924,0.000439867,0.00201579,0.002988886,0.003659085,0.004456709,0.009778169,0.021456785,0.059185791,0.14429993,0.312284562,0.613729412,0.889697442,1.310863186,1.857728695,2.334464239,2.072191519,1.305876354,0.674035277,,11.61370716,11.62109271
Bhutan,0.122471985,0.021927532,0.020605653,0.14528131,0.267510219,0.3727466,0.63664565,1.047850781,1.863514034,3.863420849,8.255087531,14.72826454,29.78119732,46.50197088,71.52236746,84.70684911,96.24411409,58.64510668,22.7113378,7.968742162,,448.8492155,449.4270122
Bolivia (Plurinational State of),12.63579953,2.445872721,1.883726496,4.001743397,4.883253474,5.159988332,5.589263084,7.767525798,11.76306839,19.2940134,32.44975982,51.81798642,115.8470827,182.6291357,323.8154307,424.5917414,497.5746616,393.1285124,173.110577,56.468469,,2301.007216,2326.857611
Bosnia and Herzegovina,0.043990262,0.022627211,0.059173548,0.29284802,0.439792625,0.355415141,0.547287647,0.860908232,2.370824517,7.159538956,16.81313551,40.06687508,78.47869334,109.9465131,140.7399103,237.0110567,250.6528556,157.4728026,46.88032871,12.37409087,,1101.730236,1102.588668
Botswana,0.984252293,0.21041979,0.153616713,0.424688099,0.750437357,1.146253859,1.802619788,3.261785961,6.381455614,10.4318642,17.18172276,29.84257016,41.5013153,56.10386406,71.93194727,63.3227038,48.09112157,23.68185158,8.052990043,1.944660857,,384.6787268,387.2021411
Brazil,16.47224005,6.446582662,9.075658657,61.37112084,76.7667726,99.09250518,154.6102914,246.5559016,421.8541783,824.4039808,1691.364158,2920.349459,4733.37324,6549.789929,8453.914037,10126.89169,10523.05749,8968.859097,5112.363628,2958.34815,,63784.82774,63954.96011
Brunei Darussalam,0.010247064,0.00849223,0.013283907,0.032103372,0.03815079,0.077052998,0.137210883,0.245386188,0.43355908,0.781560265,1.163055542,2.008992936,4.014728938,6.776842159,9.501134996,12.8875151,13.15041854,8.493274175,2.342641855,0.445351687,,62.45872534,62.5610027
Bulgaria,0.093896605,0.0657543,0.099838819,0.401351834,0.748072218,1.559268113,2.797501674,5.690034886,12.95588936,33.90617854,60.68009654,113.7321007,224.1678933,318.8037186,381.1999626,440.8701567,533.457437,460.1909604,185.0477904,29.98715924,,2805.046148,2806.455062
Burkina Faso,30.31015108,2.038802573,0.933684496,14.99764619,3.471974975,9.481536111,13.71115276,13.05278857,18.18577996,34.32174843,69.2712933,83.57801628,129.0472059,179.4592324,221.0072604,202.2606713,149.9241423,93.29919778,46.86796346,12.33678778,,1275.804777,1327.557036
Burundi,14.60545562,3.058199165,1.376896719,6.192022631,8.077250008,7.315854348,11.41475603,14.49882145,21.05409938,34.16879776,60.78950199,115.455119,177.7048797,190.0627158,219.0375371,194.1787952,165.6121262,79.15706919,30.5059585,6.621756356,,1327.577788,1360.887612
Cabo Verde,0.009244774,0.001820263,0.006378238,0.198852978,0.061868104,0.352723486,0.392135066,0.424957298,0.641155727,1.070885791,2.016875408,2.395333479,3.240440446,4.416491255,5.386108079,8.754988848,11.79735397,10.70020321,5.671683267,3.216900111,,60.47823544,60.7563998
Cambodia,1.8342441,0.672060774,0.769618719,4.809744275,10.2245838,11.22233949,12.78867253,16.53516603,22.8296977,46.52082846,105.4477885,176.8162718,296.2971907,405.9927847,479.5618486,533.7643947,557.2116639,400.2295638,146.0029103,43.01258507,,3254.233706,3272.543958
Cameroon,8.56580849,1.343846349,1.385530832,28.47459179,6.940211125,24.1985935,30.35342954,27.88726394,40.40924678,61.0187612,121.6533621,138.5933137,221.2714936,301.2545372,366.8751028,364.1823251,264.0914857,150.2399519,61.30375907,14.97952422,,2188.31215,2235.022139
Canada,0.388798629,0.280598473,0.373089815,0.938002943,1.222217035,1.684608905,2.688695455,5.085719228,11.77066888,38.48714475,128.5748994,317.3262758,657.5314847,1146.853209,1746.01187,2172.775952,2562.782136,2695.230035,1861.933202,943.0037713,,14291.73967,14294.94238
Central African Republic,6.958846214,0.814337631,0.524130603,2.507678713,3.149172391,2.701096943,4.98149259,6.589876076,16.50708692,33.70573147,53.8255969,87.01283395,112.0760141,116.4895174,122.0301192,96.3552723,63.7670109,28.45063585,10.52315319,2.292958475,,757.3083963,771.2625618
Chad,13.34132075,1.86130362,1.138336459,19.37044187,3.610047702,10.60702942,13.54210696,12.25047974,18.58988866,33.16379343,68.79980606,74.59696262,125.3857465,178.3042859,246.4278293,217.0855757,161.8334686,88.10307803,38.8595894,11.12989134,,1298.679532,1338.000982
Chile,2.448271928,0.952817643,0.707771561,1.851643928,1.499626923,2.366358651,2.649890721,4.158756521,8.193477762,16.21368471,43.31856754,88.03332254,162.344517,281.7822863,420.3685711,580.7464146,764.783146,874.325477,565.9923908,285.5380352,,4100.814896,4108.275028
China,17.54164974,20.84892389,20.19370326,106.9459311,213.3355965,375.3402586,714.4195129,1083.68093,2784.491945,5949.983419,12679.98245,17732.28945,45560.28978,75193.22379,130674.0368,185231.4306,246380.4258,189335.9528,60624.44662,17201.28725,,991521.2815,991900.1473
Colombia,7.269353321,2.844013836,1.749211747,6.94208034,10.96525754,12.24778773,19.69262799,26.82504549,40.10703326,83.62203009,197.0757614,352.1278524,660.1891506,1014.519163,1529.868959,2181.10146,2798.707792,2763.866889,1948.760699,1328.680297,,14957.39255,14987.16247
