Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
All countries (204 in total),1119.695968,342.2266441,308.9904546,1726.517899,2343.34883,3121.049543,5187.04083,8064.412057,14605.82064,29604.72117,65315.78792,113632.0082,211262.7367,332692.3154,481932.0606,557982.4295,661147.4722,485796.4979,222489.1805,80711.29325,,3273602.364,3279443.353
Afghanistan,22.66202256,18.70182811,15.43459029,41.81928456,59.34256575,57.10437139,57.66406893,70.45632015,102.0410907,248.7153129,330.9357639,284.6987457,274.5748742,411.6933973,524.9065233,551.7404098,456.1695755,277.5029639,100.5876544,25.32455161,,3774.115624,3932.075915
Albania,0.641480202,0.129474617,0.112085503,0.142561955,0.338127287,0.331384043,0.37481236,0.43294746,0.702669285,1.744749172,4.272738443,9.43490731,26.75008243,44.21009426,79.66427648,115.2053813,147.0679363,103.2220231,49.3275733,18.96788108,,601.7094563,603.0731859
Algeria,6.36674047,3.885213558,4.021530656,11.38772888,16.79158208,21.28963615,35.36295325,50.02062203,62.50620708,91.11155981,138.5730934,202.0713561,329.7788846,450.2333157,490.5033743,743.605018,902.8306823,1067.4273,242.3095068,35.37135953,,4862.994869,4905.447665
American Samoa,0.006591106,0.003220036,0.005080094,0.055508821,0.0823198,0.064439301,0.105373551,0.143662235,0.228180955,0.412494045,0.735242571,1.000181178,1.492811815,1.842782193,2.204481055,2.535103394,2.515120671,1.835838069,1.070570827,0.388389016,,16.57467088,16.72739073
Andorra,0.001054151,0.000516509,0.000850333,0.002726449,0.005217774,0.007473596,0.013327752,0.030375995,0.072310111,0.180713229,0.432167607,0.827646696,1.428924127,2.125372553,3.388850629,4.51560442,5.075196259,6.751337882,5.545232902,3.172390811,,33.56692457,33.57728978
Angola,13.63012313,2.489149065,1.625306982,6.345451539,8.863986332,8.147252899,15.0111422,16.22457575,34.82269235,59.72642184,103.7247242,179.7630073,266.728397,337.4197393,337.7851625,364.2791053,264.9676876,139.4344188,66.69350624,17.45443866,,2212.182272,2245.136289
Antigua and Barbuda,0.001653376,0.000573796,0.000516293,0.00232311,0.004851803,0.005321625,0.005977952,0.011439366,0.020913988,0.050053208,0.130690456,0.278250816,0.589622846,0.716332584,1.005748761,1.18267304,1.335396194,1.041712598,0.607709269,0.255165065,,7.237007767,7.246926145
Argentina,5.51266506,2.503247261,2.458234734,15.13351182,20.51561473,26.22531231,35.80184824,49.47580176,78.7473627,147.5390523,289.5645078,548.0092883,1022.654321,1507.545719,2063.783021,2447.023329,2808.169769,2667.25438,1724.252626,934.0186564,,16350.065,16396.18827
Armenia,0.0365911,0.041350495,0.080556639,0.207792171,0.367977373,0.548327882,0.945943714,1.597653981,3.699097006,6.25147882,14.42141905,35.01557526,72.46574027,101.5047439,120.7942027,144.584001,301.9112981,241.9545037,128.5942033,21.93997662,,1196.228165,1196.962433
Australia,0.370673802,0.22941085,0.301275034,0.541169366,0.905690623,1.297030343,2.101661608,4.681492924,12.32339135,33.63868559,79.99104445,185.9802108,373.9140375,697.7562523,1217.768269,1476.141304,1734.63317,1740.995522,1197.383537,531.8124445,,9290.418053,9292.766272
Austria,0.23876452,0.13992512,0.203391861,0.446895672,0.607637773,0.643770159,0.866324036,1.998140643,3.713743119,11.23229319,33.82982864,81.76546054,157.7894283,281.7057872,396.4140409,508.0015571,554.3371019,530.9006764,368.2896397,179.8913531,,3111.379145,3113.01576
Azerbaijan,0.568647651,1.010667814,1.245629465,2.634690821,5.839511943,7.9442695,10.61474978,13.21247958,18.53434425,29.3352825,61.08900685,113.7722671,175.2411439,193.1620004,158.2171374,210.0473017,309.9482002,162.4114015,33.54750478,3.665382834,,1500.742472,1512.04162
