Location,2017 LBW Counts
Afghanistan,236932.9549
Albania,1288.62216
Algeria,50759.43606
American Samoa,63.09293599
Andorra,26.46876253
Angola,122523.0188
Antigua and Barbuda,72.56139509
Argentina,48765.46649
Armenia,3435.5393
Australia,19463.18242
Austria,5656.619329
Azerbaijan,9823.893106
Bahrain,1541.75969
Bangladesh,534300.6922
Barbados,217.3904504
Belarus,5191.635107
Belgium,8445.225861
Belize,496.8370656
Benin,61752.62616
Bermuda,55.43368024
Bhutan,1172.383295
Bolivia (Plurinational State of),17827.39397
Bosnia and Herzegovina,774.8256912
Botswana,5868.671885
Brazil,262196.3165
Brunei Darussalam,548.7245235
Bulgaria,5858.960628
Burkina Faso,82329.05058
Burundi,46314.56426
Cambodia,27568.77225
Cameroon,80213.47837
Canada,23219.82252
Cabo Verde,992.5105421
Central African Republic,20289.90477
Chad,63319.30901
Chile,13899.62178
China,668933.2083
Colombia,62375.33693
Comoros,3069.984164
Congo,13144.94711
Costa Rica,5072.029668
Cote d'Ivoire,116350.845
Croatia,1836.110456
Cuba,5726.397223
Cyprus,933.8480243
Czechia,8831.795129
Democratic Republic of the Congo,238479.456
Denmark,3137.083763
Djibouti,3103.885328
Dominica,63.07751062
Dominican Republic,19714.93335
Ecuador,29853.66632
Egypt,143637.8711
El Salvador,9122.599923
Equatorial Guinea,3349.731012
Eritrea,17202.48864
Estonia,564.7211785
Ethiopia,311090.3556
Micronesia (Federated States of),118.65063
Fiji,1082.238148
Finland,2034.831185
France,42413.69885
Gabon,4633.238082
Georgia,2809.610863
Germany,46310.08262
Ghana,92077.68686
Greece,6390.860128
Greenland,63.41743164
Grenada,107.0794992
Guam,196.9845255
Guatemala,33111.03326
Guinea,40424.66902
Guinea-Bissau,9971.479189
Guyana,1746.535477
Haiti,23748.26512
Honduras,19149.93435
Hungary,7409.983035
Iceland,162.372681
India,4116122.167
Indonesia,291521.1359
Iran (Islamic Republic of),96811.78335
Iraq,62485.4558
Ireland,3547.173113
Israel,14164.25772
Italy,25179.92324
Jamaica,4190.456805
Japan,89992.08557
Jordan,25095.16344
Kazakhstan,18383.38892
Kenya,115453.5598
Kiribati,177.4978471
Kuwait,4626.750524
Kyrgyzstan,7772.889438
Lao People's Democratic Republic,19300.13053
Latvia,926.9393957
Lebanon,7894.043412
Lesotho,5234.044058
Liberia,11892.52431
Libya,5668.037532
Lithuania,1044.297693
Luxembourg,390.5561368
North Macedonia,1933.358912
Madagascar,94198.59176
Malawi,58419.09826
Malaysia,56034.877
Maldives,693.7669813
Mali,77887.09405
Malta,265.9021815
Marshall Islands,75.33255247
Mauritania,9625.852187
Mauritius,2161.201596
Mexico,131193.9195
Republic of Moldova,1389.058343
Mongolia,3529.827781
Montenegro,363.975735
Morocco,87705.33586
Mozambique,112646.4743
Myanmar,87723.6757
Namibia,7418.710604
Nepal,92880.18144
Netherlands,10448.06857
New Zealand,3257.270872
Nicaragua,11022.45183
Niger,92133.7805
Nigeria,635977.2813
Democratic People's Republic of Korea,21235.19903
Northern Mariana Islands,30.31831002
Norway,2543.718496
Oman,6391.323127
Pakistan,1108693.618
Palestine,8082.814533
Panama,6028.85074
Papua New Guinea,18228.01633
Paraguay,8198.16081
Peru,46683.78985
Philippines,368881.7913
Poland,21791.65171
Portugal,7475.227961
Puerto Rico,1977.916837
Qatar,-332.8759721
Romania,12370.38372
Russian Federation,99730.95714
Rwanda,20750.0314
Saint Lucia,139.0987336
Saint Vincent and the Grenadines,117.1711678
Samoa,217.768542
Sao Tome and Principe,233.1899744
Saudi Arabia,30562.1002
Senegal,62507.82251
Serbia,3173.161343
Seychelles,134.1652062
Sierra Leone,29378.45634
Singapore,4347.432118
Slovakia,4248.933611
Slovenia,1110.537369
Solomon Islands,1210.597748
Somalia,70418.97212
South Africa,114795.1943
Republic of Korea,24014.4202
South Sudan,28892.16774
Spain,32523.53333
Sri Lanka,48263.16315
Sudan,105150.2603
Suriname,1059.725961
Eswatini,2313.146283
Sweden,2137.066342
Switzerland,5582.108808
Syrian Arab Republic,15435.8834
Taiwan (Province of China),7560.05513
Tajikistan,10757.53351
United Republic of Tanzania,157625.0956
Thailand,64312.81851
Bahamas,435.0659395
Gambia,9173.234013
Timor-Leste,2173.398735
Togo,29490.07088
Tonga,143.8742685
Trinidad and Tobago,1562.966113
Tunisia,10402.30694
Turkey,88778.78967
Turkmenistan,4321.089853
Uganda,134137.5777
Ukraine,23271.66898
United Arab Emirates,6569.843357
United Kingdom,53699.81628
United States of America,302281.9266
Uruguay,3445.119473
Uzbekistan,29868.05195
Vanuatu,636.0006912
Venezuela (Bolivarian Republic of),42512.79896
Viet Nam,81858.07609
United States Virgin Islands,98.74793769
Yemen,61312.70301
Zambia,53248.25903
Zimbabwe,43711.45448
Cook Islands,7.414051101
Monaco,13.79254143
Nauru,17.80130395
Niue,1.529516725
Palau,12.34354007
Saint Kitts and Nevis,53.40261182
San Marino,8.124465588
Tokelau,2.169908781
Tuvalu,12.62558981
