DM,95% UI,
1.411023535,1.197183833,1.656922002
1.412513043,1.197827321,1.659261319
1.414002107,1.198470427,1.661601086
1.415490732,1.199113155,1.66394131
1.416978923,1.199755509,1.666487655
1.418466683,1.200399383,1.66907346
1.419954017,1.201044679,1.671072806
1.42144093,1.201689627,1.673339135
1.422927427,1.202334233,1.675698683
1.424413512,1.20314787,1.678058937
1.425899189,1.203987425,1.680419902
1.427384463,1.204827483,1.682781586
1.428869339,1.20566804,1.685143994
1.430353822,1.206509094,1.687507132
1.431837916,1.207279531,1.689871007
1.433321625,1.20785257,1.692235623
1.434804955,1.20842322,1.69464593
1.43628791,1.208991491,1.697371744
1.437770494,1.209557732,1.700090651
1.439252713,1.210122701,1.702802651
1.440734571,1.21069134,1.705507746
1.442216072,1.212579717,1.708205937
1.443697222,1.214114562,1.710897227
1.445178025,1.214958398,1.71358162
1.446658486,1.215802653,1.71625912
1.448138609,1.216649948,1.718929733
1.449618399,1.217498678,1.721593465
1.451097861,1.218347873,1.724250323
1.452576999,1.21919753,1.726900316
1.454055818,1.220047647,1.729543451
1.455534322,1.22089822,1.73217974
1.457012517,1.221741793,1.734809191
1.458490407,1.222538116,1.737431116
1.459967997,1.223336329,1.740035761
1.46144529,1.224134975,1.742633564
1.462922293,1.224934052,1.745224539
1.464399008,1.225733561,1.747808699
1.465875442,1.226533501,1.750405486
1.467351598,1.227333873,1.753331713
1.468827481,1.228134676,1.755625386
1.470303095,1.22893591,1.758112577
1.471778446,1.229737575,1.76068131
1.473253537,1.230539671,1.763237896
1.474728373,1.231342197,1.765776599
1.476202958,1.232145153,1.768565663
1.477677298,1.23294854,1.771245362
1.479151396,1.233752356,1.773352002
1.480625256,1.234556602,1.775863635
1.482098884,1.235361278,1.778368553
1.483572283,1.236166383,1.780863987
1.485045458,1.236971917,1.783131002
1.486518414,1.237777879,1.785393857
1.487991154,1.238584271,1.787652572
1.489463683,1.23939109,1.789907167
1.490936004,1.240198338,1.792157662
1.492408124,1.241006013,1.794775883
1.493880044,1.241814117,1.797560853
1.495351771,1.242622647,1.800347912
1.496823307,1.243431605,1.80310509
1.498294658,1.244240989,1.805552038
1.499765826,1.245050801,1.807992713
1.501236817,1.245861038,1.810427139
1.502707635,1.246671702,1.812855342
1.504178283,1.247482791,1.815277348
1.505648765,1.248294306,1.817693183
1.507119086,1.249106246,1.820102874
1.508589249,1.249918611,1.822506447
1.510059258,1.250731401,1.824903931
1.511529118,1.251544615,1.827295351
1.512998832,1.252358253,1.829680735
1.514468404,1.253172315,1.832058809
1.515937838,1.253986801,1.834414575
1.517407138,1.25480171,1.836764262
1.518876307,1.255617041,1.839107897
1.520345349,1.256432795,1.84144551
1.521814269,1.257248971,1.843777129
1.523283069,1.258065569,1.846102785
1.524751754,1.258882589,1.848422506
1.526220327,1.25970003,1.850736323
1.527688791,1.260517892,1.853044264
1.529157151,1.261336174,1.855346359
1.530625409,1.261949299,1.857642639
1.53209357,1.262331265,1.859933133
1.533561637,1.262712128,1.862217872
1.535029613,1.263091896,1.864496885
1.536497503,1.263470576,1.866770203
1.537965308,1.263848175,1.869037856
1.539433033,1.264224701,1.871299874
1.540900682,1.264600162,1.873556288
1.542368256,1.264974564,1.875807128
1.543835761,1.265608793,1.878052424
1.545303199,1.266421615,1.880292208
1.546770573,1.267234776,1.882526509
1.548237887,1.268048275,1.884755359
1.549705143,1.268897346,1.886978787
1.551172346,1.270181416,1.889050244
1.552639498,1.272159672,1.891107656
1.554106602,1.274139688,1.893162429
1.555573661,1.276121316,1.895214578
1.55704068,1.276962972,1.897264115
1.55850766,1.277789589,1.899311055
1.559974604,1.278616619,1.901355412
1.561441516,1.279444061,1.903397198
1.562908399,1.280271915,1.905436427
1.564375256,1.28110018,1.907473112
1.565842089,1.281928857,1.909507267
1.567308901,1.282757943,1.911538904
1.568775696,1.28358744,1.913568037
1.570242476,1.284417347,1.915594679
1.571709245,1.285247662,1.917675899
1.573176004,1.286078387,1.920112508
1.574642757,1.286909519,1.922549997
1.576109506,1.28774106,1.924988366
1.577576255,1.288573008,1.927427619
1.579043005,1.289405363,1.929867757
1.58050976,1.290238125,1.932308782
1.581976523,1.291071293,1.934662006
1.583443295,1.2917644,1.936780362
1.58491008,1.29233578,1.938894103
1.58637688,1.292906948,1.94100326
1.587843698,1.293477905,1.943107861
1.589310537,1.294048652,1.945207936
1.590777398,1.29461919,1.947303512
1.592244285,1.295189521,1.949394619
1.593711199,1.295759645,1.951481285
1.595178144,1.296329565,1.953563539
1.596645122,1.296899281,1.955618614
1.598112135,1.297468794,1.958192538
1.599579185,1.298038107,1.961184121
1.601046276,1.298607219,1.96297491
1.602513409,1.299176132,1.964516773
1.603980587,1.299744847,1.966244527
1.605447813,1.300552275,1.969060078
1.606915087,1.301385076,1.971878454
1.608382414,1.302218217,1.974689362
1.609849794,1.303051699,1.977498625
1.61131723,1.30388552,1.980310631
1.612784726,1.30471968,1.983125382
1.614252281,1.30555418,1.985942879
1.6157199,1.306389017,1.988763124
1.617187584,1.307224192,1.991586117
1.618655335,1.308059705,1.994411861
1.620123155,1.308895554,1.997240357
1.621591047,1.30973174,2.000071606
1.623059012,1.310568261,2.002905609
1.624527054,1.311405117,2.005742368
1.625995173,1.312242308,2.008581884
1.627463371,1.313084928,2.011235488
1.628931652,1.313932063,2.01372858
1.630400016,1.314779551,2.016222771
1.631868466,1.315627392,2.018718061
1.633337004,1.316475585,2.02121445
1.634805632,1.31732413,2.023711938
1.636274352,1.318173025,2.026210525
1.637743165,1.319022271,2.028710211
1.639212073,1.319751492,2.031210996
1.640681079,1.320433381,2.03371288
1.642150185,1.321115212,2.036215864
1.643619392,1.321796985,2.038719946
1.645088701,1.322478701,2.041225128
1.646558116,1.323160361,2.043731409
1.648027637,1.323841965,2.046238789
1.649497267,1.324523515,2.048747267
1.650967007,1.325205012,2.051256844
1.652436859,1.325886455,2.053767519
1.653906824,1.326567847,2.056279293
1.655376906,1.327212708,2.058792164
1.656847104,1.327703338,2.061306133
1.658317421,1.32854397,2.0638212
1.659787859,1.329272047,2.0663296
1.66125842,1.329941524,2.068817091
1.662729104,1.330610912,2.07130549
1.664199914,1.331280212,2.073794798
1.66567085,1.331949423,2.076285015
1.667141916,1.332618549,2.078776141
1.668613112,1.333287589,2.081268178
1.67008444,1.333956545,2.083761125
1.671555902,1.334625418,2.086254984
1.673027499,1.335294208,2.088749753
1.674499232,1.335962917,2.091245433
1.675971103,1.336631546,2.09330972
1.677443115,1.337300095,2.095968759
1.678915267,1.337912985,2.098629607
1.680387562,1.338325678,2.101292267
1.681860001,1.33873738,2.103837355
1.683332585,1.339155286,2.106363796
1.684805317,1.339583607,2.108891301
1.686278197,1.340010846,2.111419869
1.687751226,1.34043701,2.1139495
1.689224407,1.341184439,2.116480192
1.690697741,1.342344096,2.119011945
1.692171228,1.343498353,2.121544759
1.693644871,1.344647206,2.124078633
1.69511867,1.345384298,2.126613565
1.696592627,1.346050682,2.129149556
1.698066744,1.346717001,2.131686604
1.699541021,1.347383257,2.134224708
1.70101546,1.34804945,2.136763868
1.702490062,1.3486742,2.139304083
1.703964828,1.349260518,2.141832148
1.70543976,1.349846722,2.144345002
1.706914859,1.350432815,2.146711599
1.708390125,1.351018796,2.148245452
1.709865561,1.351604666,2.149774036
1.711341168,1.352190426,2.151584035
1.712816946,1.352776077,2.154444807
1.714292896,1.35336162,2.157306401
1.715769021,1.353947054,2.16016881
1.71724532,1.354532382,2.163032024
1.718721796,1.355117603,2.165896035
1.720198449,1.355702718,2.168760834
1.72167528,1.356287728,2.171626413
1.723152291,1.356872634,2.174492761
1.724629482,1.357457437,2.177359872
1.726106855,1.358042136,2.179974411
1.72758441,1.358626734,2.182536179
1.729062149,1.359211229,2.185281059
1.730540072,1.359795624,2.18839728
1.732018181,1.360379918,2.191515203
1.733496477,1.360964113,2.19462526
1.73497496,1.361548209,2.197511676
1.736453632,1.362132206,2.200398801
1.737932493,1.362716105,2.203286626
1.739411544,1.363304684,2.206175143
1.740890787,1.363899414,2.209064342
1.742370223,1.364494065,2.211954215
1.743849851,1.365088636,2.214844752
1.745329673,1.365683128,2.217735944
1.746809691,1.366277541,2.220627784
1.748289904,1.366871876,2.223519542
1.749770313,1.367466133,2.226402914
1.751250921,1.368060313,2.229286914
1.752731726,1.368654416,2.232171534
1.754212731,1.369248442,2.235056766
1.755693935,1.369842392,2.237942601
1.75717534,1.370436266,2.240829029
1.758656947,1.371030064,2.243716044
1.760138755,1.371623788,2.246603636
1.761620767,1.372217436,2.249491797
1.763102983,1.372811011,2.252380518
1.764585403,1.373404511,2.255269791
1.766068028,1.373997938,2.258159608
1.767550859,1.374591291,2.261049959
1.769033896,1.375184572,2.263940837
1.770517141,1.37577778,2.266832234
1.772000593,1.376370916,2.26972414
1.773484254,1.37696398,2.272616547
1.774968125,1.377556972,2.275509447
1.776452205,1.378149893,2.278402832
1.777936495,1.378742743,2.281296693
1.779420997,1.379335522,2.284191022
1.78090571,1.379928231,2.287005391
1.782390636,1.380520871,2.289805105
1.783875774,1.38111344,2.292606734
1.785361126,1.38170594,2.295410279
1.786846692,1.382298371,2.29821574
1.788332472,1.382890734,2.301023119
1.789818467,1.383483028,2.303902773
1.791304678,1.384075254,2.306892501
1.792791105,1.384667411,2.309884721
1.794277748,1.385259502,2.312879432
1.795764608,1.38573807,2.315876633
1.797251686,1.386210139,2.318876323
1.798738982,1.386857673,2.3218785
1.800226496,1.387613863,2.324790251
1.801714229,1.388196914,2.327695282
1.803202181,1.388779889,2.330600664
1.804690354,1.389362791,2.333506387
1.806178746,1.389945618,2.336412444
1.807667359,1.390528372,2.339318827
1.809156192,1.391111053,2.342225527
1.810645247,1.39169366,2.345132536
1.812134524,1.392276195,2.348039847
1.813624023,1.392858658,2.350947451
1.815113744,1.393441048,2.35385534
1.816603688,1.394023367,2.356763505
1.818093854,1.394605615,2.35967194
1.819584245,1.395187792,2.362580636
1.821074859,1.395769898,2.365489584
1.822565697,1.396351934,2.368398778
1.824056759,1.396933899,2.371308208
1.825548046,1.397515795,2.374217867
1.827039558,1.398097622,2.377127747
1.828531294,1.398679379,2.38003784
1.830023257,1.399261068,2.382948138
1.831515444,1.399842688,2.385858633
1.833007858,1.40042424,2.388769317
1.834500498,1.401005724,2.391680182
1.835993364,1.40158714,2.394591221
1.837486456,1.402168489,2.397502426
1.838979775,1.402749771,2.400413788
1.840473321,1.403330986,2.403325301
1.841967094,1.403903999,2.406236955
1.843461095,1.404222449,2.409148744
1.844955322,1.404540398,2.41206066
1.846449778,1.404857851,2.414972694
1.847944461,1.405174808,2.41788484
1.849439371,1.405491272,2.420914954
1.85093451,1.405807246,2.424642623
1.852429877,1.40612273,2.42837595
1.853925472,1.406437728,2.432114943
1.855421295,1.406752241,2.43585961
1.856917346,1.407066272,2.439609957
1.858413626,1.407379822,2.443365992
1.859910135,1.407692894,2.447127723
1.861406872,1.40800549,2.450373398
1.862903838,1.408317611,2.453503319
1.864401032,1.40862926,2.456635809
1.865898455,1.408940438,2.459770866
1.867396108,1.409251147,2.462908489
1.868893988,1.409561391,2.466048677
1.870392098,1.409871259,2.469191428
1.871890437,1.410186654,2.47233674
1.873389004,1.410501601,2.475484613
1.8748878,1.410816102,2.478635044
1.876386826,1.411130159,2.481788033
1.877886079,1.411661889,2.484943577
1.879385562,1.412333092,2.488101675
1.880885274,1.413004316,2.491262326
1.882385214,1.41367556,2.494425527
1.883885383,1.414346824,2.497591278
1.885385781,1.415018109,2.500753069
1.886886407,1.415689414,2.503894683
1.888387262,1.416360741,2.50703873
1.889888345,1.417033439,2.510185209
1.891389656,1.417708083,2.513334118
1.892891196,1.418382748,2.516485456
1.894392964,1.419057433,2.519639219
1.89589496,1.419732139,2.522795407
1.897397184,1.420406865,2.525954017
1.898899636,1.420993061,2.529115048
1.900402315,1.421411368,2.532278497
1.901905222,1.42182925,2.535444363
1.903408357,1.422246706,2.538612645
1.904911719,1.422663739,2.541783338
1.906415308,1.42308035,2.544956443
1.907919124,1.423496539,2.548131957
1.909423167,1.423912307,2.551309878
1.910927437,1.424327657,2.554490203
1.912431933,1.424742589,2.557672932
1.913936656,1.425157104,2.560858061
1.915441604,1.425571203,2.56404559
1.916946779,1.425984888,2.567235515
1.91845218,1.42639816,2.570427834
1.919957806,1.42681102,2.573622547
1.921463657,1.427223468,2.57681965
1.922969734,1.427635506,2.580019141
1.924476035,1.428047136,2.583057002
1.925982561,1.428458357,2.585821884
1.927489312,1.428869172,2.588588284
1.928996287,1.429279582,2.591356202
1.930503486,1.429689586,2.594125639
1.932010909,1.430099188,2.596896593
1.933518555,1.430508387,2.599669066
1.935026425,1.430917184,2.602443058
1.936534517,1.431325581,2.605218569
1.938042833,1.431733579,2.607995598
1.93955137,1.432141179,2.610774147
1.94106013,1.432548382,2.613554215
1.942569112,1.432955188,2.616335802
1.944078316,1.4333616,2.619118908
1.94558774,1.433767617,2.621903534
1.947097386,1.434173242,2.624689679
1.948607253,1.434578474,2.627546743
1.95011734,1.434983315,2.631000906
1.951627647,1.435387766,2.63445803
1.953138174,1.435791829,2.637918114
1.95464892,1.436195503,2.641381154
1.956159886,1.43659879,2.644847149
1.95767107,1.437001691,2.648316096
1.959182473,1.437404207,2.651787995
1.960694094,1.437806339,2.655262842
1.962205933,1.438208088,2.658740635
1.963717989,1.438609455,2.662221373
1.965230263,1.43901044,2.665705052
1.966742753,1.439411045,2.669191672
1.96825546,1.439811271,2.672681229
1.969768382,1.440211119,2.676173722
1.971281521,1.440610589,2.679669149
1.972794874,1.441009682,2.683154766
1.974308443,1.4414084,2.686635591
1.975822226,1.441806744,2.690119248
1.977336224,1.442204713,2.693605733
1.978850435,1.44260231,2.696697554
1.98036486,1.442999535,2.699191
1.981879497,1.443396389,2.701683043
1.983394347,1.443792873,2.704173679
1.98490941,1.444188988,2.706662903
1.986424684,1.444584734,2.709150712
1.98794017,1.444980114,2.711637101
1.989455867,1.445375126,2.714122068
1.990971774,1.445769773,2.716605607
1.992487891,1.446164055,2.719087716
1.994004219,1.446557974,2.721568389
1.995520755,1.446951529,2.724047624
1.9970375,1.447305724,2.727152807
1.998554454,1.447568579,2.730645246
2.000071616,1.447831065,2.734140317
2.001588986,1.448093182,2.737638016
2.003106562,1.448354934,2.741134181
2.004624345,1.448618422,2.744631445
2.006142335,1.448882622,2.748121949
2.00766053,1.449146467,2.751610734
2.009178931,1.449409959,2.755102096
2.010697537,1.449673099,2.758596032
2.012216347,1.449935889,2.762092539
2.013735361,1.45019833,2.765591615
2.015254578,1.450460423,2.769093257
2.016773999,1.450722906,2.772597462
2.018293622,1.450987516,2.776104229
2.019813447,1.451251783,2.779613555
2.021333474,1.451758132,2.783125436
2.022853702,1.452405395,2.786639871
2.024374131,1.453056568,2.790156857
2.025894759,1.453707676,2.793676391
2.027415588,1.454358717,2.79719847
2.028936616,1.45500969,2.800723092
2.030457842,1.455660595,2.804250254
2.031979267,1.456311432,2.807579746
2.033500889,1.456738505,2.810414928
2.035022709,1.457126218,2.813251441
2.036544725,1.457513596,2.816089282
2.038066937,1.45790064,2.818928453
2.039589346,1.458287352,2.821768952
2.041111949,1.458673731,2.824610778
2.042634747,1.459059778,2.827453931
2.044157739,1.459445495,2.83029841
2.045680925,1.459830882,2.833144216
2.047204305,1.460279264,2.835991346
2.048727876,1.460800159,2.838839801
2.05025164,1.461320954,2.84168958
2.051775596,1.461841647,2.844540682
2.053299742,1.462362239,2.847393107
2.054824079,1.46288273,2.850246854
2.056348606,1.46333994,2.853101922
2.057873323,1.463676157,2.855958311
2.059398228,1.464011997,2.858816019
2.060923322,1.464347461,2.861675047
2.062448604,1.464682552,2.864535394
2.063974073,1.465017269,2.867397058
2.065499728,1.465351616,2.870260039
2.067025571,1.465685593,2.873124338
2.068551598,1.466019202,2.875989951
2.070077811,1.466354427,2.87885688
2.071604209,1.466692704,2.881724973
2.07313079,1.467157182,2.884571803
2.074657555,1.467742808,2.887419844
2.076184503,1.468328387,2.890269095
2.077711634,1.468913917,2.893119555
2.079238946,1.469499399,2.895981207
2.08076644,1.470084833,2.89940456
2.082294114,1.470437577,2.902830367
2.083821968,1.470737827,2.906258627
2.085350002,1.471038601,2.909689341
2.086878215,1.471343736,2.913122508
2.088406607,1.471648558,2.916558128
2.089935176,1.471953066,2.919996202
2.091463923,1.472257261,2.923436728
2.092992847,1.472561144,2.926879708
2.094521947,1.472979132,2.93032514
2.096051222,1.473518322,2.933773025
2.097580672,1.474057001,2.937223363
2.099110297,1.474595171,2.940676152
2.100640096,1.475132831,2.944131394
2.102170068,1.475669982,2.947589088
2.103700213,1.476214027,2.951049234
2.10523053,1.476759247,2.954511832
2.106761019,1.477303964,2.957976881
2.108291678,1.477848178,2.961444381
2.109822508,1.478391889,2.964914333
2.111353508,1.478935097,2.968386735
2.112884677,1.479477802,2.971861589
2.114416015,1.480020004,2.975338892
2.115947521,1.480561704,2.978765686
2.117479195,1.481102901,2.981445781
2.119011035,1.481643596,2.984124254
2.120543041,1.482183788,2.9868011
2.122075214,1.482834639,2.989476317
2.123607551,1.483489727,2.992149899
2.125140053,1.484144746,2.994821844
2.126672719,1.484799697,2.997492147
2.128205548,1.485454577,3.000160806
2.12973854,1.486109386,3.002827815
2.131271694,1.486764124,3.005493172
2.13280501,1.48741879,3.008156873
2.134338486,1.488073384,3.010818914
2.135872123,1.488727905,3.013479292
2.13740592,1.489382352,3.016138003
2.138939876,1.490036725,3.018795044
2.14047399,1.490691023,3.021450411
2.142008262,1.491345245,3.0241041
