Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Russian Federation,1126,80.43708767,66.8115108,80.04736187,159.906297,542.1261534,1243,1839,2057,2142,2529,3477,3551,2925,1594,2762,2291,2074,1560,415.6190015,,31001,32515
Rwanda,2329,120.7468116,68.69677693,67.47461191,70.91267114,80.55970987,85.12676445,87.69839462,95.27100473,111.150304,152.4882694,213.1206328,300.0718726,321.2541207,353.2758813,402.7585255,386.0869087,241.8999144,100.3613775,41.14167708,,2972,5630
Saint Kitts and Nevis,0.833840871,0.117192867,0.088861471,0.097689394,0.171416896,0.127124769,0.201361642,0.159518115,0.19864971,0.462423358,0.600149081,1.099274023,1.332126422,1.550954937,1.469153844,2.282033976,2.89922044,2.683051363,1.77155704,0.826650608,,17.66324933,18.97225083
Saint Lucia,1.658784411,0.141591717,0.113977941,0.163443418,0.273290922,0.364730165,0.493550201,0.604626362,0.860363447,1.204673551,1.478711249,1.770647916,2.250166013,2.72213898,4.332427865,5.48813127,7.511644376,9.813422052,7.700602986,3.083223489,,49.67905992,52.03014833
Saint Vincent and the Grenadines,1.786978294,0.083507176,0.12539336,0.145945865,0.184901188,0.251033216,0.315426726,0.418820901,0.58007631,0.910652868,1.164480581,1.42747556,1.754611924,2.146666622,3.225849156,5.054252304,7.306770186,6.897399686,3.569245836,1.219572426,,36.2423343,38.56906019
Samoa,6.375007184,0.805663948,0.672134997,1.119111033,1.381637974,1.461726693,1.585634189,1.801379009,1.607091666,2.006492502,2.702293436,3.413993087,4.028766073,3.720212135,4.094501268,6.411505218,8.2167722,6.728343747,4.566056145,1.018825088,,53.36359246,63.71714759
San Marino,0.018578779,0.002104026,0.002271253,0.004517887,0.007302992,0.009742869,0.011990091,0.015654562,0.022443948,0.033789829,0.051692359,0.071837179,0.10620512,0.179029844,0.34436709,0.659490355,1.276051908,1.880058387,1.726875024,1.139704176,,7.52893274,7.563707677
Sao Tome and Principe,18.04348171,1.519111345,0.973561842,1.52536906,1.742314712,1.874592721,1.99683888,2.407808869,2.896725794,3.676417073,4.65765759,5.80034229,6.8383873,7.589198616,9.660575305,11.846067,13.19191494,8.94035207,4.225055922,1.536873675,,87.13880805,110.9426467
Saudi Arabia,49.90632513,15.55419057,18.15874995,42.42772533,84.20318795,132.7700849,203.4436338,274.8633078,344.422975,377.5138564,400.1855972,401.7420388,448.4842423,396.3495881,344.6821773,268.077032,238.6101512,255.775805,150.403548,53.88981748,,4291,4501
Senegal,2955,157.8439581,81.00013227,76.70026998,85.53485943,93.26497701,85.78433834,92.96192155,111.684879,134.8161412,193.0633967,245.0420546,318.2229459,389.4565207,526.4452139,589.5888736,579.8756022,344.7901337,173.5975349,60.3691194,,3939,7295
Serbia,15.45054985,1.285870979,1.796421688,3.197074227,3.466695017,4.702972394,8.520675525,9.883063624,16.3873893,22.20253968,37.85331446,59.36924494,106.2308789,158.1944388,147.6448698,247.076457,380.1911523,234.8215977,85.61161203,17.11267401,,1536,1561
Seychelles,2.223447989,0.179776138,0.12063021,0.255965755,0.507363326,0.697414846,1.045024604,1.260495869,1.913563788,2.492509581,3.2793097,4.135057189,5.387520004,5.652050265,6.730551812,10.87806752,11.95008794,9.807628146,5.71286292,2.327033878,,73.26917807,76.55636149
Sierra Leone,4534,162.1454611,67.2821418,56.29569623,64.73336287,74.23240919,69.82356753,76.34610191,89.19503918,108.0729771,146.052856,173.5768154,218.3950564,266.691425,376.3378114,438.1925733,388.3607361,210.9619117,98.36442415,35.84859828,,2770,7655
Singapore,11.64113766,1.351588927,2.543851102,2.710270719,4.337227012,6.51146369,6.649188144,11.66185761,12.75132057,25.26247776,46.60782845,76.5435402,132.041788,199.0935436,262.2917664,434.4836372,536.0646885,628.1837101,449.9098125,315.0275468,,3143,3166
Slovakia,28.38497964,2.582156399,2.442358847,3.647373937,5.10873122,6.596668284,9.142795303,14.21908861,22.41628743,29.81649115,42.62245712,70.8024405,115.7415468,148.0684019,171.1213432,237.9133481,316.4470104,332.5755067,187.7455283,74.36710939,,1780,1822
Slovenia,1.033257784,0.100038117,0.134285089,0.23565967,0.326499394,0.478011292,0.79313682,1.189466539,1.57437247,2.508261631,4.380806412,6.782870853,10.93530218,19.03956484,31.3582441,70.41586956,137.4465745,176.4155736,126.0888951,57.47447708,,646.881427,648.711167
Solomon Islands,101.2319743,4.947831804,4.699610844,9.273715803,15.24205587,19.30926693,22.46328382,28.49370975,27.35220374,27.08288513,28.53658663,30.49327868,34.48994159,33.47854286,32.23850289,30.86484612,24.06252997,10.67151511,3.321030206,0.564212255,,353.4223357,488.8175243
Somalia,13792,411.6147475,231.1984154,198.0249392,194.4932351,180.2150052,178.9700887,239.4849473,346.678024,306.5797496,321.0169675,456.767682,690.9642462,690.9720865,623.6263526,536.1121355,356.3629864,179.1910912,62.06435168,16.09202851,,5185,20012
South Africa,4371,305.8440715,52.15249621,195.9980344,402.2772345,654.73872,774.9270418,743.1124833,921.6380545,1058,1510,1856,2738,2549,2179,2385,2973,2684,1433,483.1774731,,24941,30268
South Sudan,5926,109.2265289,57.3416465,45.94961695,32.97979067,33.54684779,41.23320273,51.51677186,68.36480745,87.52480726,113.1283074,133.1534262,175.4854104,195.4001873,258.7435173,288.6498591,256.783489,165.3575375,97.78653001,45.91552222,,2013,8184
Spain,25.37687975,3.502481335,3.731441948,4.737732568,6.464702042,11.03443288,17.33944431,30.82971589,55.28684502,85.31246053,133.4156272,183.061238,225.8271154,327.9964638,564.1440382,962.6032519,2248,3493,3283,1799,,13419,13463
Sri Lanka,145.2994003,24.08895934,21.30356885,28.22243979,35.80598057,39.34993081,52.41960348,73.40902179,90.66650458,135.8372303,196.1643582,240.3420078,332.6224642,449.2490389,570.7697153,560.4595898,634.8139206,560.644375,313.9191576,123.5790896,,4374,4629
Sudan,3546,225.7327998,137.8515566,98.54722505,108.5848157,109.3245593,112.6309468,119.3592897,124.6895754,131.1473645,143.6667048,165.5993425,237.2015733,273.3138526,394.5404954,463.2513286,475.2744305,380.5815843,219.8830626,105.6095462,,3456,7573
Suriname,16.16698368,0.661571609,0.726528269,0.859158063,0.828342729,1.424564535,1.848215776,2.27214975,2.578767378,3.639461088,5.332247846,7.138641235,8.028094416,10.21256051,14.57614499,20.78340835,23.07188094,19.69012661,10.91143271,7.834247294,,139.3419434,158.5845278
Sweden,5.874352453,0.590482797,0.496727956,0.646741849,1.298483097,2.50522976,3.024824415,3.443124201,5.5550628,9.298285993,14.99360695,21.79025142,37.36065192,70.12969428,135.5417994,228.3736905,436.3567996,670.4944916,686.4908856,503.7020232,,2829,2838
Switzerland,4.919121249,0.289973996,0.416326043,0.474989679,0.739269672,1.135597323,1.595208744,2.430467501,3.550861148,5.757050443,10.74829264,17.38818758,26.09635683,42.39720795,80.6734865,138.6505406,271.956247,437.4764323,438.9934178,354.4726521,,1833,1840
