25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.003880655,1,1.028142436,1.003647642,1,1.026727088,1.003431451,1,1.025226138,1.00322917,1,1.022947378,1.002998546,1,1.022301403,1.002708281,1,1.018703456,1.002540333,1,1.018702025,1.002258259,1,1.015987731,1.002013408,1,1.014759122,1.001839144,1,1.013004181,1.001576546,1,1.011740651,1.001361897,1,1.010181286,1.001118693,1,1.008233059,1.000907045,1,1.006831447,1.000676183,1,1.004829917
1.004597849,1,1.031603018,1.004320242,1,1.02965045,1.004067116,1,1.028035862,1.003824668,1,1.025357908,1.003546992,1,1.024710379,1.003205935,1,1.0206974,1.00300656,1,1.020941866,1.002672239,1,1.018042433,1.002385492,1,1.016453292,1.002175474,1,1.014599463,1.001866889,1,1.012987578,1.001612764,1,1.011302227,1.001325792,1,1.009250005,1.001074012,1,1.007531031,1.000801103,1,1.005442977
1.005374739,1,1.034491038,1.005051752,1,1.032401309,1.004756614,1,1.030665876,1.004470022,1,1.028219543,1.004141699,1,1.027114078,1.003745841,1,1.022801478,1.003510981,1,1.023239323,1.003120544,1,1.019644256,1.002788662,1,1.018117685,1.002540218,1,1.0162685,1.002181956,1,1.014234583,1.001885052,1,1.012412017,1.001550538,1,1.010188313,1.001255397,1,1.008221273,1.000936429,1,1.006043819
1.006217794,1,1.038426739,1.005847411,1,1.035798789,1.005505027,1,1.033364787,1.005170938,1,1.030793185,1.004788544,1,1.029773486,1.004333143,1,1.024883464,1.004058821,1,1.025335051,1.003608708,1,1.021878167,1.003226927,1,1.019802848,1.002937295,1,1.017704797,1.00252575,1,1.015486714,1.002181133,1,1.013600438,1.001795162,1,1.011010171,1.001452443,1,1.00889166,1.001083409,1,1.006627555
1.007126636,1,1.041874012,1.006705644,1,1.038709939,1.006311888,1,1.036229082,1.005925948,1,1.03319071,1.005487488,1,1.032433372,1.004967326,1,1.027025174,1.004650181,1,1.027553878,1.004136454,1,1.023905843,1.003699714,1,1.021501804,1.003365309,1,1.019125344,1.002896504,1,1.016920642,1.002501076,1,1.014742023,1.002058943,1,1.011934714,1.001664686,1,1.009594248,1.001242136,1,1.007109927
1.008088316,1,1.044820017,1.007614381,1,1.041645296,1.007167904,1,1.038866168,1.006723942,1,1.035490153,1.006228396,1,1.03498285,1.005639446,1,1.029205922,1.005276938,1,1.029769154,1.004695374,1,1.025648141,1.004201303,1,1.02302113,1.003817451,1,1.020493575,1.003288923,1,1.018294731,1.002840107,1,1.015857273,1.002338176,1,1.012815922,1.001888928,1,1.010277048,1.001409767,1,1.007590003
1.009115681,1,1.047750871,1.008583208,1,1.044772288,1.008082236,1,1.04146676,1.007578,1,1.038625178,1.007019685,1,1.037276808,1.006356054,1,1.031472635,1.00594499,1,1.031971974,1.005292655,1,1.027766522,1.004735889,1,1.024517795,1.004299598,1,1.021858279,1.003708201,1,1.019705589,1.00320197,1,1.016992993,1.002636314,1,1.013645018,1.002127621,1,1.010957435,1.001588367,1,1.00813886
1.010208007,1,1.050947199,1.009611314,1,1.047880751,1.00905228,1,1.04407929,1.008482102,1,1.041263784,1.007858771,1,1.039842319,1.007116218,1,1.033748292,1.006653524,1,1.034165537,1.00592504,1,1.02962163,1.005302291,1,1.026151671,1.004811294,1,1.02323224,1.004152485,1,1.020982529,1.003585828,1,1.018115666,1.002952581,1,1.01457783,1.002380502,1,1.011672021,1.001778169,1,1.008694294
1.011362662,1,1.054292929,1.010698014,1,1.050974088,1.010077168,1,1.046707615,1.009437201,1,1.043819037,1.008744936,1,1.042954112,1.007920379,1,1.036242232,1.007401049,1,1.036348726,1.006593578,1,1.031571975,1.005900791,1,1.027913793,1.005351886,1,1.024602606,1.004621688,1,1.022309845,1.003991417,1,1.019230582,1.003287043,1,1.015623945,1.00264722,1,1.01240265,1.001978969,1,1.009245964
1.012588007,1,1.05789475,1.011852013,1,1.054062736,1.011164715,1,1.049352121,1.010451118,1,1.04636415,1.009685268,1,1.045414629,1.008777428,1,1.038429427,1.008193966,1,1.038518916,1.007302954,1,1.033321983,1.006535699,1,1.029412884,1.005925931,1,1.026099092,1.005119847,1,1.023557954,1.004421239,1,1.020337924,1.003642069,1,1.016527694,1.002929945,1,1.013276283,1.002192371,1,1.009854326
