Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Bermuda,0,0,0.000700012,0.005997511,0.007697766,0.010934419,0.034281358,0.095143451,0.26282403,0.688180141,1.446392646,2.552537398,3.671373691,4.244967838,4.615811957,4.89272182,4.340961664,2.995633584,1.370115685,0.535651452,,31.75753113,31.77192642
Bhutan,0,0,0.014896135,0.045560837,0.083558086,0.152534974,0.305758454,0.586503785,1.021794252,1.769858312,2.88219804,4.103997202,5.636728726,6.932626851,7.63721731,6.501686787,4.200549543,1.906372151,0.528311632,0.121269258,,44.28740728,44.43142233
Bolivia (Plurinational State of),0,0,0.276973845,1.87241466,2.599729558,4.047859817,7.013510379,12.39111881,21.92162354,39.90962374,64.957974,100.5718581,155.3760542,191.3931361,221.1443948,188.4465796,120.4681958,62.45452143,17.98049539,3.878363677,,1211.955309,1216.704427
Bosnia and Herzegovina,0,0,0.134903929,0.533973335,1.014692561,1.265382902,3.412642319,7.407926958,21.07969235,55.17299366,140.9129427,298.4197179,416.2154245,458.3477363,373.4563151,294.6646242,216.211246,79.9289235,17.84235909,3.699354935,,2388.037282,2389.720852
Botswana,0,0,0.143917045,0.172598834,0.300140778,0.751732487,2.170296726,5.556393693,11.39737095,21.27652892,31.09004816,41.36537947,47.37359081,47.31746103,38.29760952,26.78719748,16.11939127,6.255194688,1.466451265,0.275976118,,297.5006226,298.1172792
Brazil,0,0,4.357850041,25.43533195,44.66746272,62.27028908,142.2490148,282.4355628,545.945461,1190.7263,2387.474118,4007.722939,5343.941837,5849.287288,5777.351369,4807.725376,3423.826288,1966.261297,807.9175564,317.5129792,,36912.64768,36987.10832
Brunei Darussalam,0,0,0.020080473,0.082292785,0.183648712,0.349151575,0.804367466,1.56971139,2.660452656,4.460063201,6.826049822,10.32316821,14.11065943,18.52702149,16.14873111,13.49825928,9.307681451,3.760374979,0.709913947,0.106240556,,103.1618466,103.4478685
Bulgaria,0,0,0.138230165,0.702793715,1.440096024,3.107240038,9.890083805,28.85050333,76.00372378,191.1471822,350.4255807,572.9279231,793.669043,910.9667903,766.7921873,496.1373619,248.0611523,124.971806,28.96989187,3.847629407,,4605.768099,4608.049219
Burkina Faso,0,0,0.961577335,1.054256366,1.789676529,3.837346569,11.31473556,14.32211075,21.12534767,40.43971516,78.92092962,97.48667392,128.6139647,148.6322438,150.0489816,113.3266526,62.59163283,25.07924304,7.348100713,1.53211389,,904.6197924,908.4253026
Burundi,0,0,0.389665267,0.330841277,0.612286929,1.036555674,2.447933738,5.246452566,10.63648562,17.63506033,27.76293156,42.3781679,55.56984337,57.08289676,44.44916312,32.2709592,16.6664764,6.108980369,1.474739401,0.253884118,,321.0205301,322.3533236
Cambodia,0,0,0.538836823,3.671676057,6.310861807,10.67767851,17.96882348,32.56822726,56.17050228,110.880901,235.9907304,375.0394428,487.4619749,510.0456158,476.1200216,336.0925922,194.502294,103.209105,23.57353585,4.307078055,,2974.608523,2985.129898
