Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
GLOBAL,13233.03828,15978.97309,19860.23575,23892.34872,29786.9955,41259.24906,55994.44982,83045.57822,109458.2882,144397.7837,176500.0275,221639.6272,205537.8602,134931.6081,69655.3028,,489801.2148,540025.9586,1345171.366,1885197.325
Afghanistan,102.7630631,85.82381111,83.75753913,103.1931419,176.081098,140.8368583,106.2664203,134.6567332,214.6544225,315.9124738,360.1200484,344.4378624,232.0385633,86.20650995,21.37515077,,9680.441733,10346.7771,2508.123696,12854.9008
Albania,1.449674337,1.330009212,1.077977201,1.010211341,1.497466875,2.799444267,4.628615816,9.698213094,13.53693098,25.10209829,38.70917976,59.56174152,50.05136084,28.13551551,11.4819976,,50.21643541,58.35373294,250.0704366,308.4241695
Algeria,47.28740475,62.09404145,74.09482033,78.12447413,81.21294346,94.71821032,116.334876,177.9744587,204.1989838,255.0610274,407.4862426,604.3734641,875.5068028,204.5665927,29.53632594,,545.7087528,694.9876391,3312.570668,4007.558307
American Samoa,0.150473732,0.147962781,0.187670201,0.190559265,0.251478616,0.413452203,0.523994899,0.619864694,0.620351616,0.69814325,0.888015235,1.070075601,0.824513289,0.593574748,0.151625732,,0.665289426,1.094394872,7.331755862,8.426150734
Andorra,0.015452914,0.022658262,0.039869244,0.063302669,0.097558045,0.139266374,0.210496145,0.27187441,0.372138185,0.670384853,1.1623497,1.804663501,3.178786366,3.287195405,2.417494437,,0.020916695,0.044426811,13.75349051,13.79791732
Angola,113.6501433,123.8178101,133.3731294,186.8438687,230.4857474,314.495916,387.321815,482.0564929,527.6505017,487.9033987,589.4145955,449.5894661,268.7734448,116.3920211,38.6171234,,3976.930256,4458.333467,4450.385474,8908.718941
Antigua and Barbuda,0.122008452,0.124607882,0.166718224,0.194122738,0.292218209,0.455693629,0.785236154,1.080305265,1.296852787,2.164423531,2.694813718,3.962448379,3.682958673,2.449334208,1.239225355,,0.666471171,0.913342569,20.7109672,21.62430977
Argentina,108.5470563,137.7407739,186.9827413,257.8959444,356.8180832,492.8400318,820.769454,1242.217847,1850.657354,2664.832315,3660.788296,5317.07371,5619.878521,3615.719772,1875.807958,,333.5288693,544.6183307,28208.56986,28753.18819
Armenia,2.178404034,3.049121211,4.250105538,5.614335045,5.903718969,7.649972243,14.12787942,20.53468305,22.76827729,26.24293309,34.27373988,78.05545062,57.49341171,34.67263169,5.603449074,,72.09008177,81.31590829,322.4181129,403.7340212
