25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.005880379,1,1.043279756,1.005388908,1,1.038931009,1.004942516,1,1.029900073,1.004620269,1,1.030163981,1.004204799,1,1.025961628,1.003906726,1,1.025943389,1.003479314,1,1.019937812,1.002996329,1,1.017079682,1.002695085,1,1.0143049,1.002394052,1,1.015106887,1.002050326,1,1.010614494,1.001725979,1,1.009283168,1.001445629,1,1.008231958,1.001162079,1,1.006578031,1.000862084,1,1.004576706
1.006941666,1,1.047538929,1.00636205,1,1.042776611,1.005835501,1,1.032956478,1.005454791,1,1.033238293,1.004964613,1,1.028613199,1.004612235,1,1.0285552,1.004108361,1,1.021982724,1.003538537,1,1.018849819,1.0031829,1,1.015802647,1.002827259,1,1.016640145,1.002421546,1,1.011730122,1.002038591,1,1.010259727,1.001707373,1,1.009088153,1.00137243,1,1.007258723,1.001018186,1,1.005058754
1.008105865,1,1.051873609,1.007429724,1,1.046692424,1.00681537,1,1.036085538,1.006370462,1,1.036383085,1.005798414,1,1.031326884,1.005386344,1,1.031221842,1.004798772,1,1.024077271,1.004133778,1,1.020665407,1.003718466,1,1.017341434,1.003302848,1,1.018207396,1.002829146,1,1.01287693,1.002381876,1,1.011263468,1.00199478,1,1.009966545,1.001603394,1,1.007956562,1.001189601,1,1.005554256
1.00935641,1,1.056267795,1.008576736,1,1.05066372,1.007868174,1,1.039273591,1.007354223,1,1.039585548,1.006694309,1,1.034090016,1.006217979,1,1.033932458,1.005540688,1,1.026211748,1.004773556,1,1.022523108,1.004294136,1,1.018913692,1.003814017,1,1.019801905,1.003267297,1,1.014048942,1.002750923,1,1.012289516,1.002303731,1,1.010863043,1.001851655,1,1.008668255,1.001373869,1,1.006060761
1.010692679,1,1.06072199,1.009802535,1,1.054690877,1.008993424,1,1.042520755,1.008405607,1,1.042845773,1.007651883,1,1.036903384,1.007106739,1,1.036687087,1.006333777,1,1.028386132,1.005457603,1,1.024419644,1.004909675,1,1.020519349,1.004360551,1,1.021423555,1.003735823,1,1.015246273,1.003145589,1,1.013337794,1.002634102,1,1.011777578,1.002117114,1,1.009393741,1.001570917,1,1.006578214
1.012120322,1,1.065243264,1.011112334,1,1.05878028,1.010195931,1,1.045823133,1.009529106,1,1.04610643,1.008675248,1,1.039771774,1.008056427,1,1.039490089,1.007181466,1,1.030604235,1.006188901,1,1.026357273,1.005567772,1,1.022161301,1.004944838,1,1.023075017,1.004236782,1,1.016471104,1.003567614,1,1.014410128,1.002987348,1,1.012711673,1.002400936,1,1.010134235,1.001781615,1,1.007107509
1.013638681,1,1.069832071,1.012505551,1,1.062932269,1.011475178,1,1.049174343,1.010724226,1,1.04939345,1.009763966,1,1.042695206,1.00906662,1,1.042341483,1.008083406,1,1.032866014,1.006967167,1,1.028335922,1.006268177,1,1.023839462,1.005566649,1,1.02475623,1.004769987,1,1.017723347,1.004016845,1,1.015506433,1.003363337,1,1.013664406,1.002703015,1,1.010889669,1.002005883,1,1.007648587
1.015250205,1,1.074492122,1.01398446,1,1.067150161,1.012833274,1,1.052590387,1.011992932,1,1.05273552,1.010919842,1,1.04567601,1.010138976,1,1.045243427,1.00904111,1,1.03517333,1.00779373,1,1.030357161,1.007012092,1,1.025555221,1.006227049,1,1.026468447,1.005336361,1,1.018997612,1.004494065,1,1.016627572,1.003762721,1,1.014636136,1.003023872,1,1.01166061,1.002244114,1,1.008201861
1.016954226,1,1.079223822,1.015548467,1,1.071434256,1.014269691,1,1.056071349,1.013334718,1,1.05613276,1.012142431,1,1.048714185,1.011273063,1,1.048172631,1.010054219,1,1.037526121,1.008668298,1,1.032420908,1.007799261,1,1.027308482,1.006925803,1,1.028211598,1.00593571,1,1.020298968,1.004999117,1,1.017773455,1.004185366,1,1.015627763,1.003363397,1,1.012446985,1.002496227,1,1.008767268
1.018780782,1,1.084060216,1.017225234,1,1.075814704,1.015809911,1,1.059644426,1.014773415,1,1.059610681,1.013453504,1,1.051789366,1.012489086,1,1.051150601,1.011140855,1,1.039943327,1.009606577,1,1.034543465,1.008643845,1,1.029113858,1.007675498,1,1.030001255,1.00657886,1,1.021639011,1.005541143,1,1.018953413,1.004638927,1,1.016638851,1.003727745,1,1.01325505,1.002766803,1,1.00934944
1.020695398,1,1.088965837,1.01898306,1,1.080258989,1.017424767,1,1.063279889,1.016281721,1,1.063141476,1.014828145,1,1.054880578,1.013763878,1,1.054172692,1.012280304,1,1.042421079,1.010590659,1,1.03670672,1.009529704,1,1.030955066,1.008461777,1,1.03183296,1.007253481,1,1.023005343,1.00610974,1,1.020156986,1.005114683,1,1.017662337,1.004109899,1,1.014077763,1.003050624,1,1.009943146
1.022688323,1,1.093931251,1.020812987,1,1.08475842,1.019106027,1,1.066969691,1.017851924,1,1.066717644,1.016259321,1,1.058012715,1.01509089,1,1.057232515,1.013466726,1,1.044942229,1.011615505,1,1.038905697,1.0104523,1,1.032827618,1.009280601,1,1.033691517,1.007956111,1,1.024394538,1.006701989,1,1.021381275,1.005610184,1,1.018701037,1.004507884,1,1.014913166,1.003346223,1,1.010546927
1.024746897,1,1.098943773,1.022703376,1,1.089301343,1.020842982,1,1.070703112,1.019473999,1,1.070329181,1.017737881,1,1.061176651,1.016461611,1,1.060321576,1.014692514,1,1.047495365,1.01267454,1,1.041133811,1.011405708,1,1.034725591,1.010126699,1,1.035571654,1.008682222,1,1.02580208,1.00731407,1,1.022622462,1.006122226,1,1.019751763,1.004919122,1,1.015758688,1.003651683,1,1.011158869
1.026888698,1,1.104023074,1.024670433,1,1.093905702,1.022650578,1,1.074496298,1.021161919,1,1.073991242,1.019276607,1,1.064385921,1.017887893,1,1.063452598,1.015968319,1,1.050091706,1.01377701,1,1.043400032,1.012398269,1,1.036657645,1.011007481,1,1.037481093,1.009438197,1,1.02723454,1.007951378,1,1.023886076,1.006655326,1,1.020819146,1.005347245,1,1.016618032,1.00396971,1,1.011781711
1.029119118,1,1.109175859,1.026719143,1,1.098577576,1.024533423,1,1.078354617,1.022919989,1,1.077708886,1.020879443,1,1.067643508,1.019373385,1,1.066629786,1.017297438,1,1.052734907,1.014925791,1,1.045707875,1.013432582,1,1.038626585,1.011925256,1,1.039422337,1.010226026,1,1.028694032,1.0086156,1,1.025173894,1.007210894,1,1.021904675,1.005793383,1,1.017492377,1.004301148,1,1.012416323
1.031425604,1,1.114389484,1.028837959,1,1.10330535,1.026480891,1,1.082267396,1.024738254,1,1.081472144,1.022537302,1,1.070941905,1.020909631,1,1.069844677,1.018672312,1,1.05541739,1.016114347,1,1.04805104,1.014502754,1,1.04062651,1.012874777,1,1.041390135,1.011041206,1,1.030176059,1.009302933,1,1.02648211,1.007785741,1,1.02300517,1.006254971,1,1.018379162,1.004644087,1,1.013060797
1.033804644,1,1.119660943,1.031023661,1,1.10808623,1.028490026,1,1.086231976,1.026613943,1,1.085278555,1.024247659,1,1.074278837,1.022494273,1,1.073095145,1.020090845,1,1.058137203,1.017340876,1,1.050427829,1.015607165,1,1.042655883,1.0138546,1,1.043383122,1.011882499,1,1.031679439,1.010012338,1,1.027809722,1.008378992,1,1.024119796,1.006731301,1,1.019277703,1.004998003,1,1.01371462
1.036261615,1,1.124996829,1.033281223,1,1.112926204,1.030565428,1,1.090253662,1.028551349,1,1.089133113,1.026014452,1,1.077658794,1.024130951,1,1.076385348,1.021556331,1,1.060897974,1.018608252,1,1.052841369,1.016748409,1,1.044717493,1.014867028,1,1.045403789,1.012751896,1,1.03320628,1.010745498,1,1.029158496,1.008992055,1,1.025250035,1.007223505,1,1.020189178,1.005363741,1,1.014378659
1.038757792,1,1.13035578,1.035574953,1,1.117787398,1.032674191,1,1.09429804,1.030519678,1,1.093001951,1.027809522,1,1.081052518,1.02579351,1,1.079688099,1.023045296,1,1.063675516,1.019896116,1,1.055270759,1.017908118,1,1.046792575,1.015895726,1,1.047435416,1.013635339,1,1.034754972,1.011490535,1,1.030516386,1.009614973,1,1.026385818,1.007723571,1,1.021105499,1.005735334,1,1.015046909
1.041342545,1,1.135792113,1.037950395,1,1.122718793,1.034858338,1,1.098409985,1.032558242,1,1.096927474,1.029668841,1,1.084498133,1.027515333,1,1.083038801,1.024587754,1,1.066510978,1.021230537,1,1.057743095,1.019109822,1,1.048905426,1.016961612,1,1.049499663,1.014550845,1,1.036346569,1.012262685,1,1.031898956,1.010260512,1,1.027540165,1.008241765,1,1.022037096,1.006120433,1,1.015727103
1.04401815,1,1.141309141,1.040409668,1,1.127723687,1.03711984,1,1.102592078,1.034668875,1,1.100913247,1.0315941,1,1.087997802,1.029297972,1,1.086439451,1.026185124,1,1.069399672,1.022612766,1,1.060259852,1.020354656,1,1.051057349,1.018065689,1,1.051597699,1.015499287,1,1.037968505,1.013062691,1,1.033307025,1.010929288,1,1.028713759,1.008778584,1,1.022984507,1.006519409,1,1.016419633
1.046781066,1,1.146903812,1.042949525,1,1.132829419,1.039455714,1,1.106841629,1.036848777,1,1.104956767,1.033582749,1,1.091549211,1.03113904,1,1.089887888,1.02783529,1,1.072337045,1.024040984,1,1.062780046,1.021640982,1,1.053246792,1.019206496,1,1.053728146,1.016479414,1,1.039619579,1.013889498,1,1.034739209,1.011620416,1,1.029905647,1.009333312,1,1.023947039,1.006931729,1,1.017123979
1.049627792,1,1.152573061,1.045566753,1,1.138040472,1.041863012,1,1.111155952,1.039095178,1,1.109055535,1.035632261,1,1.095150049,1.033036176,1,1.093381955,1.029536154,1,1.07532113,1.025513386,1,1.065312943,1.022967174,1,1.055472208,1.020382581,1,1.055889629,1.017489985,1,1.041298591,1.014742061,1,1.036193601,1.012333014,1,1.031114622,1.009905237,1,1.024924002,1.007356867,1,1.017839625
1.052554865,1,1.158313814,1.048258173,1,1.143321269,1.04433881,1,1.115532362,1.041405334,1,1.113207053,1.037740137,1,1.098798012,1.034987044,1,1.0969195,1.031285638,1,1.078349968,1.027028184,1,1.067881368,1.024331621,1,1.057732059,1.021592508,1,1.058080781,1.018529767,1,1.043004353,1.015619343,1,1.037670369,1.013066211,1,1.032340284,1.010493655,1,1.025914715,1.0077943,1,1.018566057
1.055536047,1,1.164097834,1.050999575,1,1.148650955,1.046860769,1,1.119947372,1.043758333,1,1.117389344,1.039887237,1,1.102473129,1.036973869,1,1.100481965,1.033067765,1,1.081407037,1.028571501,1,1.070471045,1.025721793,1,1.060013514,1.022825133,1,1.060290165,1.019589161,1,1.044727095,1.016513223,1,1.039115693,1.0138132,1.000068332,1.033575745,1.011093089,1,1.026918766,1.008239945,1.000154033,1.019299165
1.058531216,1,1.169881273,1.053753916,1,1.153984013,1.049394683,1,1.124374494,1.046122164,1,1.121568391,1.042044249,1.000669838,1.106144526,1.038969446,1,1.10404067,1.034858054,1,1.084466707,1.030122053,1,1.073059928,1.027118467,1.000207843,1.062296779,1.024063361,1,1.06250013,1.020653434,1,1.046451759,1.017411237,1,1.040540144,1.014563535,1.000462318,1.034810389,1.011695132,1.000135833,1.027924979,1.008687538,1.000393104,1.020032625
1.06152048,1,1.175642307,1.056502823,1,1.159300441,1.051923583,1,1.128837465,1.04848095,1,1.125727294,1.044196631,1.00177744,1.109796865,1.040960282,1,1.107581367,1.036644353,1.000367138,1.087515601,1.03166927,1,1.075694866,1.028512097,1.000918225,1.064572009,1.025298704,1,1.064701897,1.021715266,1.000015063,1.048170857,1.018307188,1.000425931,1.041956243,1.015312025,1.000856421,1.036038946,1.012295608,1.000446857,1.028927054,1.009133964,1.000632218,1.020763293
1.064503847,1,1.181381013,1.059246305,1,1.16460029,1.054447477,1,1.133287726,1.050834698,1,1.129866132,1.046344389,1.00288584,1.113442958,1.042946385,1,1.111104121,1.038426669,1.001223854,1.090553172,1.033213157,1,1.078323681,1.029902686,1.001628934,1.066839224,1.026531166,1,1.066895484,1.022774661,1.000538524,1.049868346,1.01920108,1.000879272,1.043364018,1.016058674,1.00125064,1.037261434,1.012894521,1.000757986,1.029925,1.009579225,1.000871376,1.021491175
1.067481329,1,1.187097466,1.06198437,1,1.169883608,1.056966372,1.001117494,1.13772531,1.053183418,1,1.133984985,1.048487532,1.00399503,1.117105884,1.044927765,1.000102953,1.114608994,1.040205009,1.002079372,1.09358071,1.034753719,1.000727638,1.080943848,1.031290239,1.002339965,1.069098443,1.027760753,1.000322405,1.069080908,1.023831623,1.001062145,1.051556755,1.020092916,1.001332914,1.044763501,1.016803484,1.001644972,1.038477877,1.013491873,1.00106922,1.030918829,1.010023325,1.001110576,1.022216277
1.070452933,1.000711577,1.192791743,1.064717028,1,1.175150442,1.059480275,1.002304527,1.142150246,1.055527117,1.000383888,1.138083934,1.050626067,1.005105001,1.12075232,1.04690443,1.001044833,1.118096049,1.041979378,1.002933689,1.096598239,1.036290962,1.001468787,1.083555387,1.032674762,1.003051316,1.071349685,1.02898747,1.000895424,1.071258189,1.024886155,1.001585927,1.053238755,1.020982699,1.001786686,1.046154722,1.017546459,1.002039418,1.039688294,1.014087666,1.001380558,1.031908551,1.010466264,1.001349817,1.022938605
1.07341867,1.002095033,1.198463919,1.067444286,1.000363941,1.18039977,1.061989196,1.003491586,1.146562568,1.057865804,1.001425935,1.142163058,1.052760002,1.006215743,1.124382326,1.048876389,1.001987503,1.121565351,1.043749783,1.003786805,1.099605783,1.03782489,1.002210303,1.086158318,1.034056257,1.003762982,1.07359297,1.03021132,1.001467997,1.073427345,1.025938261,1.002109867,1.054914364,1.021870433,1.002240587,1.047537712,1.018287602,1.002433974,1.040892706,1.014681904,1.001692001,1.032894176,1.010908045,1.001589097,1.023658164
1.076378549,1.003480054,1.204114068,1.070166154,1.001579196,1.185631462,1.06449314,1.004678662,1.150962305,1.060199488,1.002466787,1.146222436,1.054889345,1.007327249,1.127995961,1.050843652,1.002930955,1.12501696,1.045516232,1.004638718,1.102603365,1.03935551,1.002952181,1.08875266,1.035434731,1.00447496,1.075828317,1.03143231,1.002040121,1.075588393,1.026987946,1.002633965,1.056583602,1.022756121,1.002694613,1.048912501,1.019026916,1.00282864,1.042091134,1.01527459,1.002003548,1.033875715,1.01134867,1.001828417,1.024374962
1.07933258,1.004866621,1.209742263,1.072882639,1.002794897,1.190846714,1.066992116,1.005866129,1.155349487,1.062528177,1.00350644,1.150408133,1.057014103,1.008439509,1.131593287,1.052806226,1.003875181,1.128479115,1.047278729,1.005489427,1.10559101,1.040882826,1.003694417,1.091338434,1.036810188,1.005187246,1.078055745,1.032650443,1.002611797,1.077741352,1.028035213,1.00315822,1.058247687,1.023639766,1.003145414,1.050278432,1.019764405,1.003223414,1.043283599,1.015865726,1.002315198,1.034853178,1.011788141,1.002067774,1.025089003
1.082280772,1.006254717,1.215348579,1.075593752,1.004011032,1.196045572,1.069486132,1.007054458,1.159724147,1.06485188,1.004580462,1.154587223,1.059134283,1.009552515,1.13524467,1.054764123,1.00482027,1.132018551,1.049037283,1.006376609,1.108568741,1.042406843,1.004437007,1.093915659,1.038182632,1.005899837,1.080275274,1.033865724,1.003183024,1.07988624,1.029080067,1.003682629,1.059924815,1.024521371,1.003587066,1.051650757,1.020500071,1.003618295,1.044470121,1.016455315,1.002626951,1.035826575,1.01222646,1.002307169,1.025805513
1.085223136,1.007644323,1.220933088,1.0782995,1.005243266,1.201228083,1.071975194,1.008242833,1.164086313,1.067170605,1.005666596,1.158753174,1.061249895,1.010666257,1.138924981,1.056717349,1.005766887,1.135545583,1.050791899,1.007265239,1.111536583,1.043927566,1.005179946,1.096484356,1.039552067,1.00661273,1.082486922,1.035078159,1.003753802,1.082023075,1.03012251,1.004207194,1.061596452,1.025400939,1.004028301,1.053091133,1.021233917,1.004013281,1.045650722,1.01704336,1.002938807,1.036795917,1.01266363,1.002546598,1.026521236
1.08815968,1.009035422,1.226495861,1.080999892,1.006479169,1.206394294,1.074459312,1.009431245,1.168436016,1.069484361,1.006754396,1.162906021,1.063360944,1.011780728,1.142593774,1.058665914,1.006714294,1.139060243,1.052542584,1.008154343,1.114494558,1.045445002,1.005923229,1.099044544,1.0409185,1.007325921,1.084690709,1.036287752,1.004324131,1.084151875,1.031162547,1.004731911,1.063262609,1.026278475,1.004469119,1.05452708,1.021965947,1.00440837,1.04683489,1.017629863,1.003250765,1.037761215,1.013099651,1.002786062,1.027234517
1.091090414,1.010427997,1.232036971,1.083694936,1.007716208,1.21154425,1.076938492,1.010619687,1.172773287,1.071793156,1.007843459,1.167045796,1.06546744,1.01289592,1.146251077,1.060609828,1.007662484,1.142562562,1.054289344,1.009043914,1.117442691,1.046959154,1.006666853,1.101596242,1.042281934,1.008039406,1.086886653,1.037494508,1.004894009,1.086272658,1.032200181,1.005256781,1.064923298,1.02715398,1.004913661,1.055958606,1.022696164,1.004803561,1.048028555,1.018214829,1.003562825,1.038722478,1.013534527,1.00302556,1.027945361
1.094015347,1.011822031,1.23755649,1.086384642,1.008954366,1.216677998,1.079412741,1.011808149,1.177098153,1.074096999,1.008933322,1.171172531,1.067569389,1.014011823,1.149896924,1.062549099,1.00861145,1.146052573,1.056032186,1.009933947,1.120376847,1.048470028,1.007410814,1.104139472,1.043642374,1.008753183,1.089074775,1.038698431,1.005463438,1.088385442,1.033235418,1.005781802,1.066578529,1.028027459,1.00536627,1.05738572,1.023424571,1.005198853,1.049218758,1.018798259,1.003874987,1.039679718,1.01396826,1.00326509,1.028653775
1.09693449,1.013217507,1.243054486,1.089069018,1.010193815,1.221795582,1.081882069,1.012996626,1.181410646,1.076395898,1.010023973,1.175286258,1.0696668,1.01512843,1.153531343,1.064483736,1.009561186,1.149530306,1.057771117,1.010824437,1.123193701,1.04997763,1.008155106,1.106674251,1.044999825,1.009467248,1.091255093,1.039899528,1.006032416,1.090490244,1.034268259,1.006306973,1.068228315,1.028898914,1.005818973,1.058808431,1.024151171,1.005594244,1.050436179,1.019380156,1.004187251,1.040632944,1.014400851,1.003504651,1.029359761
