Location,2019 PTB Counts
Afghanistan,169260.9659
Albania,4649.764403
Algeria,268601.9598
American Samoa,131.8645921
Andorra,45.24004068
Angola,178421.8494
Antigua and Barbuda,111.852527
Argentina,78165.45626
Armenia,4534.915292
Australia,30581.64462
Austria,8542.627336
Azerbaijan,17094.95908
Bahrain,2726.582201
Bangladesh,694121.3013
Barbados,320.7889359
Belarus,5633.912734
Belgium,15745.61923
Belize,846.8076147
Benin,65707.65567
Bermuda,58.37587725
Bhutan,1586.404755
Bolivia (Plurinational State of),35767.42475
Bosnia and Herzegovina,4218.941886
Botswana,7902.858539
Brazil,351025.6389
Brunei Darussalam,749.1777499
Bulgaria,7014.253049
Burkina Faso,149049.1401
Burundi,74664.83152
Cambodia,42798.15168
Cameroon,145309.9249
Canada,36204.5324
Cabo Verde,1774.620616
Central African Republic,31078.85808
Chad,124555.9792
Chile,25627.01752
China,1191866.953
Colombia,142793.3064
Comoros,2689.947891
Congo,23528.67899
Costa Rica,7482.465021
Cote d'Ivoire,142828.7045
Croatia,2288.853398
Cuba,11967.12417
Cyprus,3367.935218
Czechia,10792.29046
Democratic Republic of the Congo,372942.219
Denmark,5513.910132
Djibouti,5639.587395
Dominica,93.92590845
Dominican Republic,25419.75625
Ecuador,45817.19326
Egypt,648124.884
El Salvador,13515.53637
Equatorial Guinea,6257.374621
Eritrea,32221.28077
Estonia,1301.678425
Ethiopia,589592.3898
Micronesia (Federated States of),244.7412833
Fiji,2210.204464
Finland,4844.589133
France,81077.41135
Gabon,6953.539973
Georgia,5488.146126
Germany,74210.78953
Ghana,138075.8788
Greece,8463.50428
Greenland,77.14320679
Grenada,156.3088314
Guam,323.8658024
Guatemala,45623.02752
Guinea,76575.53349
Guinea-Bissau,10075.57623
Guyana,1599.535156
Haiti,36053.3246
Honduras,25978.36336
Hungary,8085.640445
Iceland,562.0757091
India,3715216.44
Indonesia,452710.5318
Iran (Islamic Republic of),117829.0012
Iraq,111993.338
Ireland,5912.668883
Israel,23763.1913
Italy,40562.021
Jamaica,4043.110501
Japan,91523.61904
Jordan,57241.46021
Kazakhstan,31159.06758
Kenya,147497.9956
Kiribati,376.3625787
Kuwait,7164.94621
Kyrgyzstan,17244.57762
Lao People's Democratic Republic,19886.94453
Latvia,1895.576277
Lebanon,14965.2296
Lesotho,7509.989345
Liberia,21726.60766
Libya,25104.62781
Lithuania,2637.627038
Luxembourg,802.9595508
North Macedonia,2964.703136
Madagascar,137936.6119
Malawi,75524.46831
Malaysia,63938.79976
Maldives,819.3929051
Mali,152757.0966
Malta,418.5815623
Marshall Islands,122.8014133
Mauritania,17760.27448
Mauritius,2139.789543
Mexico,180575.7993
Republic of Moldova,4313.370103
Mongolia,9533.949871
Montenegro,892.5472939
Morocco,184458.4572
Mozambique,179951.3071
Myanmar,121580.484
Namibia,10218.20685
Nepal,44667.84216
Netherlands,17042.37364
New Zealand,5938.595074
Nicaragua,14669.85706
Niger,182413.2419
Nigeria,1130211.244
Democratic People's Republic of Korea,40611.30075
Northern Mariana Islands,48.99234242
Norway,5541.227773
Oman,9452.269132
Pakistan,765900.386
Palestine,16371.99013
Panama,8546.07766
Papua New Guinea,40081.55368
Paraguay,12352.40092
Peru,69666.55258
Philippines,481878.5043
Poland,35837.09299
Portugal,7854.530355
Puerto Rico,2872.32809
Qatar,1727.927398
Romania,23433.48898
Russian Federation,378745.7592
Rwanda,57024.62419
Saint Lucia,200.3073177
Saint Vincent and the Grenadines,170.1840111
Samoa,474.8649318
Sao Tome and Principe,766.0042335
Saudi Arabia,93557.92101
Senegal,75098.95846
Serbia,28192.69146
Seychelles,246.9527263
Sierra Leone,44381.37518
Singapore,6780.502501
Slovakia,6931.625595
Slovenia,1856.851342
Solomon Islands,2585.9996
Somalia,137555.8452
South Africa,173723.9693
Republic of Korea,41189.43913
South Sudan,57294.23249
Spain,36113.44579
Sri Lanka,31692.9422
Sudan,354596.6819
Suriname,1005.618215
Eswatini,4800.631774
Sweden,11434.03697
Switzerland,7564.861428
Syrian Arab Republic,27219.57611
Taiwan (Province of China),14097.32128
Tajikistan,29585.6965
United Republic of Tanzania,665736.7241
Thailand,91639.48738
Bahamas,464.2562523
Gambia,11551.44758
Timor-Leste,4440.826248
Togo,38325.16452
Tonga,294.9396416
Trinidad and Tobago,1745.279936
Tunisia,51701.39445
Turkey,165609.8596
Turkmenistan,13201.92169
Uganda,152057.7652
Ukraine,52334.41012
United Arab Emirates,4211.042225
United Kingdom,61020.39786
United States of America,367012.4954
Uruguay,5205.117991
Uzbekistan,84449.78975
Vanuatu,957.9160572
Venezuela (Bolivarian Republic of),56801.70584
Viet Nam,124285.2812
United States Virgin Islands,144.0404281
Yemen,108055.1358
Zambia,98912.10744
Zimbabwe,72277.78992
Cook Islands,27.29330227
Monaco,30.69207078
Nauru,29.45511091
Niue,2.527469961
Palau,18.94524153
Saint Kitts and Nevis,79.27547625
San Marino,30.69646957
Tokelau,3.67688776
Tuvalu,21.42800147
