Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Bhutan,0.432676465,0.398194934,0.564615378,0.663087498,0.858133928,1.278669416,1.922719671,3.566262498,5.269307262,8.154398506,9.754698127,10.63706237,7.41303431,3.230883697,1.274808287,,37.19549876,39.61192694,55.41855235,95.03047929
Bolivia (Plurinational State of),21.66680354,20.08731532,31.76177617,47.78544488,61.71532377,89.62181227,124.6765919,193.9707862,255.1334175,403.8624859,509.8413133,592.4806843,515.6020353,226.9451124,70.91432808,,1381.516899,1509.62953,3166.065231,4675.694761
Bosnia and Herzegovina,0.873339832,1.049253886,1.323727231,2.185869868,3.547388127,5.557152698,11.54705845,15.69787739,20.66722515,27.64903274,55.29625675,71.83357787,49.56530215,19.48414495,5.836732092,,3.906248481,7.504179839,292.1139392,299.618119
Botswana,20.58020384,28.06032269,38.36643252,44.02114394,45.13417379,49.2715368,55.43055809,79.18026973,73.98631177,66.59390444,68.57281642,66.93537959,38.81375531,15.04434277,4.981169882,,193.1484762,248.2415061,694.9723216,943.2138277
Brazil,512.7469581,719.3447254,1034.773697,1304.994349,1779.018583,2484.884762,3373.797562,4234.692587,5318.07797,6815.460487,8908.4009,10694.60883,10411.31563,7102.841571,4079.315865,,4408.939839,5661.193872,68774.27448,74435.46835
Brunei Darussalam,0.660676317,0.75798856,0.940496251,1.251330092,1.56077016,1.810441178,2.643471568,3.664512223,5.001185834,6.787824664,9.436023722,9.72250646,6.87251335,2.076962295,0.411976844,,3.354602239,4.943979234,53.59867952,58.54265875
Bulgaria,7.805417682,11.99796205,18.00679636,27.776089,40.90884886,54.28765863,85.07155639,118.8432846,147.2278358,163.2338351,196.7399444,242.6751939,209.2221341,85.48492858,16.73853127,,58.29203268,75.53523107,1426.020017,1501.555248
Burkina Faso,94.03570806,103.7558382,121.8416688,147.7077033,187.192155,263.2299479,332.0494027,425.4881978,513.3550593,707.9156548,747.0357016,668.1060294,356.9254813,160.4962852,58.53508118,,11466.59037,11967.0778,4887.669915,16854.74772
Burundi,66.18931347,65.15196576,67.46088062,81.08907445,93.42777111,130.499105,170.503431,228.5076945,227.8637607,254.9949917,268.6144454,237.4912555,145.055826,57.61163347,20.44542228,,1428.725513,1786.116911,2114.906571,3901.023482
Cabo Verde,2.150207533,2.50163709,2.977253881,2.745979221,5.159409055,5.889110001,8.239780649,7.177728092,8.399285925,11.13093961,18.9425146,35.69640338,31.34384326,16.13027782,10.31532759,,12.0411411,15.72577023,168.7996977,184.5254679
