GEOID10,Base_HNO3_mol,Base_NH3f_mol,Base_NO3_mol
01001,0.021977144410311386,0.013905424513292117,0.0066392450779228515
01003,0.01924691838916005,0,0.004243548190673484
01005,0.021098469767673267,0.033016221428570316,0.008844416818117517
01007,0.022674168968585515,0.013828896609550265,0.006805084152727643
01009,0.027171690355699482,0.13075506131013293,0.024410048500492294
01011,0.020650131191422148,0.02340064092407057,0.007500531700628259
01013,0.01849590893529019,0.09752327812453494,0.01588206605993217
01015,0.029216038483304115,0.07730277814471125,0.01769225509909549
01017,0.024513229433027285,0.0364452186320937,0.010317189482716694
01019,0.0335273309011514,0.10127068046634562,0.02312903841684704
01021,0.0215010072690448,0.012379848335322172,0.006324001449959386
01023,0.018950007615113923,0.02929397851415186,0.007754197500297126
01025,0.017295415637900595,0.010957720513338765,0.005109524767809177
01027,0.026471616899947144,0.046346118996354144,0.012290988442293527
01029,0.028607131365982818,0.08727710243999466,0.01888821015491664
01031,0.018475180888865975,0.10634955371473163,0.01694077923369829
01033,0.026257188678846497,0.06385420994753341,0.014650737726471448
01035,0.01800472992422418,0.015257638706480503,0.005799308468257222
01037,0.024237817079675695,0.020242336826675825,0.008059703566954624
01039,0.01793303335780041,0.07041559553479065,0.012386291218121877
01041,0.019850179017554336,0.06850291523812932,0.012880105553310667
01043,0.026524772177273937,0.49711861319002354,0.026524772177273937
01045,0.01888701309555472,0.08749901719587862,0.014833188853508249
01047,0.020784342840838334,0.011255051600901164,0.006003685946899664
01049,0.03337235306488624,0.17151970237501063,0.03337235306488624
01051,0.0230161056111789,0.021057250616280526,0.007840872699267329
01053,0.018508984052324793,0.01073603091879708,0.0053806459791944285
01055,0.029660616218032027,0.10981468143485244,0.022633676226462993
01057,0.0225646304033561,0.037335140324641136,0.009841236152771637
01059,0.02524238665469774,0.09737490586709519,0.01885307851005088
01061,0.017841860838107952,0.2981625920238697,0.017841860838107952
01063,0.020228134728292775,0.018493240293835658,0.00677150437343413
01065,0.01989996959021842,0.011957899804059174,0.005873277012702212
01067,0.01957643181693938,0.03490862554111199,0.008627709765350327
01069,0.018601342281770794,0.04626064179975779,0.009711692202406544
01071,0.03431534496167867,0.12356025506508866,0.026989011776684533
01073,0.027978934980926903,0.0443182447689016,0.012493585972822045
01075,0.021777640391565347,0.029268965934484456,0.008563741229525763
01077,0.026001249094829697,0.04622304243853294,0.012120447750146488
01079,0.027049415853740807,0.11120381617252566,0.021597859044887327
01081,0.024249808138596556,0.02253572874832073,0.008370652488427204
01083,0.02849703034902469,0.0721380014225389,0.016663491714969055
01085,0.01882425112470047,0.08359085038480764,0.01433082663350198
01087,0.0220193838259441,0.0176437370493418,0.007132487206823065
01089,0.03126768284135473,0.08581565722637298,0.01978598728311518
