GEOID10,SO4,Tot_HNO3,Tot_NH3,OC_secondary,OC_primary,PM
48331,2.993959657979227,2.032621740330234,8.086497971646091,81.00120339099199,0.8505830091687029,8.60562674763839
48333,2.3512572316235194,1.0652621105891495,4.196305864913025,55.12074645688389,0.4478864755545635,4.516666422464427
48335,1.7567458966059428,0.7632455398068039,1.8058163574092798,42.24795104550141,0.284394794420726,3.230398726716769
48337,2.7497603518132827,1.6545910530743557,5.4643244640749025,68.46459874901667,0.6128294082692785,6.279834685556104
48339,4.292402650518721,3.8070007640368755,6.089064896136486,130.17395791534926,1.6678909890862894,16.13508541491756
48341,1.7256128592576851,0.8614251660939223,8.246208621492446,40.344831867271076,0.408582934258713,3.9855016313592935
48343,4.046799821225908,2.5844404730363975,8.855097307182403,128.5121221502482,1.5498889978629478,12.505571805600928
48345,1.8629610999847872,0.7765891002657782,3.182286201263071,37.028584012158376,0.33094901710169,3.6135242281027766
48347,4.387746196290558,2.814886941937244,8.866458059390878,129.88525524841697,1.3477169063707466,10.63203036911098
48349,3.4630539470262,2.5841493748202464,5.4877530537356645,81.0241298868314,0.8279093035039603,8.73091012877324
48351,4.825757399918352,3.5110317383712744,4.428533056758514,163.34884713771373,2.3696945617623437,14.47837228569165
48353,1.8758771279751405,0.8163869606535963,1.9400749458069164,42.818332195186024,0.3161316977779701,3.518207302353646
48355,2.4270615125684047,1.8522184777632984,3.1958752696702093,63.01222333675665,0.7036612846677848,6.972727831135386
48357,1.9534272299259796,1.024680077857589,4.566305977611396,36.656002127224234,0.41163460319221645,3.7129758050265975
48359,1.5956227868913193,0.6419614653204725,2.8637723003724047,32.24616436737599,0.27945084021965966,2.865526069353019
48361,5.086842566736918,5.047142420022587,7.820015680873136,187.9916230686514,4.8464441749085765,27.286053826148045
48363,2.693894675105598,1.7295550920356135,4.295547509908745,70.158151606544,0.6605895438330377,6.77238753839484
48365,4.432373705042849,3.2515437936922567,6.96284616146284,160.23428093658814,1.680704510147618,12.549202751988457
48367,2.996695662278623,2.3439484024337855,5.4375400745021,76.55455398247759,0.8538832720612254,9.98893239465954
48369,1.5166086608596077,0.6415876657120946,8.0439207255823,36.75275822731542,0.36636596097679874,4.315100981173348
48371,1.3746659801484709,0.5567220704190793,0.6647182729037685,35.666762210362855,0.18662806093310305,1.7742822792975885
48373,4.416842518491824,3.0999141419013867,4.808016037317396,137.88132684850734,1.6812973648628444,12.47280873485527
48375,1.7194048496413834,0.8910029069560119,4.686281877216755,42.62669275495237,0.4158932041982768,4.517415381865644
48377,1.0717378469280283,0.24502490308865096,0.3661514484604836,41.513761068775544,0.1486227308300109,1.3787073338497078
48379,3.8448666304008063,3.0322505280339844,7.478444350691483,102.26780554224312,1.067463288697394,11.16048893741756
48381,1.7010054306683422,0.8415901121216134,4.678225217849546,39.09639336311284,0.3826807746648737,4.125623436198212
48383,1.5934020297205527,0.7471538186043312,1.0139614155995942,39.467917589355515,0.23710832498327325,2.4216442807453356
48385,1.8645962246042578,0.7779787411716045,1.6152386954723135,55.86566576867123,0.37759027716261007,3.311478390437858
48387,3.75142527694332,2.07848618529632,7.065203886486454,107.50794128225151,1.3994633307135413,10.326565382323244
48389,1.288036805945835,0.42381708923766687,0.6422382638511316,34.52887599254599,0.17633949285396608,1.7374287550827547
48391,2.7124811939943907,1.8233385285974744,3.427480674719256,62.39444759493524,0.6523542753436732,5.565556793340252
48393,2.0062191895818318,1.0521994636268512,3.143364291443826,37.616962669934736,0.37260322727767997,3.5261622285522187
48395,3.1809752172722026,2.000596507350921,7.682674010842527,88.13537920138428,0.7760806239714669,7.527815892138134
48397,3.90849773345152,3.7305162639318143,7.309250673164497,117.41347863782188,1.3892169531327698,16.747075994935194
48399,1.9591248059067086,0.819545300473846,3.458206235619684,50.97674786661081,0.35248046657383086,4.180177183198382
48401,4.199644249371717,3.2488146456125158,6.465596447083006,143.90361707455253,1.5206436755587511,13.157765512749389
48403,4.6238689588223565,2.8198170589994804,5.161490562092035,142.04370727590018,1.5530436434109192,10.625671101050012
48405,4.571664171396456,2.805399167715977,5.912875315795501,133.0270223198105,1.4734772217806977,10.460373287857596
48407,4.555859771730277,3.514033157474019,5.211552438655193,149.28117534172108,1.7539796358465076,13.587494248380974
48409,2.4625572052451217,1.5424394441504197,3.6065350652999877,60.402561411367564,0.6394459356184504,6.322239005209041
48411,2.2714388601204725,0.972973951735627,3.178855311613565,48.93754388811073,0.4699802791966773,4.174293804054464
48413,1.760731390142528,0.7306697578921231,1.4856986081839139,39.186947236499314,0.26389212693598785,2.5775163886954964
48415,1.7732914987572428,0.7978323545024233,2.6574394299162343,51.66583478841904,0.32515099891191834,3.9238019171325402
