GEOID10,Longitude,H2SO4,NO3,NH4,OA_tot,SOA,SO4,PM,PM_25
01001,-86.50867495543261,4.440535568543253,0.4116331948312168,1.4737105019603587,3.9003666572066646,2.7029322288003,4.349912393675024,4.421165908885459,13.449977403020586
01003,-87.76072545302802,3.5369340127952107,0.263099987821756,0.9356285483466319,2.915635759714032,1.9131581413174568,3.4647516860034715,3.9898274579414506,10.638648148222506
01005,-85.34199753991007,4.484699458071622,0.548353842723286,1.8066401199769153,3.8131530044562583,2.5183040043278093,4.393174979335467,4.5264406798612304,13.884438104960864
01007,-87.1436756812292,4.205145018267927,0.42191521746911387,1.407480501147762,3.851825378532123,2.676353593433163,4.119325732180826,4.380414671783828,13.091309002101795
01009,-86.59099727751641,4.72743537750587,1.5134230070305221,2.1759897871946907,3.583937160391093,2.5072169630120444,4.630957104495546,4.67998176568286,15.604046900425988
01011,-85.71219026929238,4.490166785616461,0.46503296543895206,1.6582983040990298,4.169436689567917,2.4746210434171982,4.398530728767145,5.3284419478337846,14.416561046405425
01013,-86.65388307261483,4.211249387336381,0.9846880957157946,1.8328667599370414,5.03073689305773,3.4970796082352877,4.125305522288699,5.055269467749762,15.581153318974266
01015,-85.81988015816405,4.784963170994648,1.0969198161439204,2.076202164802161,4.0790967327988374,2.809004037478259,4.687310861382513,5.199589908746101,15.966679098165088
01017,-85.29008960169482,4.698260062194954,0.639665747928435,1.9116008621074552,4.988879986799955,3.1914852463368137,4.602377203782813,5.9366927998642325,16.377704718431893
01019,-85.6110256918035,5.1378268523959365,1.4340003818445166,2.303687657689509,3.8908473728987376,2.702949713243231,5.032973243163366,5.081801390869677,16.660265996042874
01021,-86.6891361771361,4.200783660456424,0.3920880898974819,1.3801960336309362,3.6804893800145058,2.526515119902733,4.115053381671599,4.2661599658067395,12.765742869694314
01023,-88.2656026940456,3.850908351178211,0.4807602450184218,1.5541949493157114,3.612915961126949,2.5259609904947076,3.7723183848276354,3.6620690396873488,12.0738935756944
01025,-87.80785727676763,3.810186786300152,0.316790535604169,1.2469843083227925,3.386608614780214,2.2646114836387197,3.7324278722940263,3.6720879092096994,11.310661023075532
01027,-85.84578081140867,4.564956318619993,0.7620412834221987,1.8981605212502606,4.069996496505949,2.7122999292738372,4.471793944770606,4.949349919574414,14.886807972140701
01029,-85.51650556481319,4.686941825892516,1.1710690296048318,2.0617215147490153,3.967979072294498,2.7005105660242146,4.5912899518947095,4.918988417531956,15.539231353802535
01031,-85.9173700619233,4.1264383114573855,1.050328312489294,1.820768507966425,3.6729483532624485,2.4333656423291665,4.042225284692949,4.386606576929046,13.817507351171319
01033,-87.6911388305135,5.06532938911304,0.9083457390412297,2.1244465240567862,3.610905754006617,2.58537859154385,4.961955319947467,4.627983196479501,15.311483440234408
01035,-86.98894804351396,3.8241355967958737,0.35955712503194776,1.3282258754257164,3.403498337179477,2.2964366241483303,3.746092013187795,3.8321333613618642,11.640488582763732
01037,-86.20874642476458,4.4111899325066295,0.49970162115118666,1.5796899014279098,4.238177028970413,2.828799830386009,4.321165648169759,4.989073687382009,14.308454972853745
01039,-86.41226338942522,3.8885333219513663,0.7679500555235563,1.6513940540715937,3.843577619494258,2.529443107420021,3.8091754990544,4.4176181981143205,13.254938737080858
01041,-86.30594533437957,4.259281041406024,0.7985665443052614,1.7964757519046621,3.7502134569126397,2.590841825463003,4.172356938520187,4.082943665905119,13.52810882898407
01043,-86.83450415343846,4.9596884318846515,1.6445358749909842,2.299372261924068,4.469219444661326,3.1644310009519696,4.8584703006217,5.6851229846450595,17.753150554396733
